epoch,slot,user_id,chosen_angle_deg,chosen_width_deg,chosen_beam_id,snr
0,0,101,0.0,180.0,0,
0,1,2,0.0,180.0,0,
0,2,101,0.0,180.0,0,
0,3,2,0.0,180.0,0,
0,4,101,0.0,180.0,0,
0,5,2,0.0,180.0,0,
0,6,101,0.0,180.0,0,
0,7,2,0.0,180.0,0,
0,8,101,0.0,180.0,0,
0,9,2,0.0,180.0,0,
0,10,101,0.0,180.0,0,
0,11,2,0.0,180.0,0,
0,12,101,0.0,180.0,0,
0,13,2,0.0,180.0,0,
0,14,101,0.0,180.0,0,
0,15,2,0.0,180.0,0,
0,16,101,-30.0,20.0,10,43.3444
0,17,2,0.0,40.0,20,30.9829
0,18,101,-20.0,40.0,14,39.9102
0,19,2,0.0,40.0,20,31.6832
0,20,101,-20.0,60.0,15,40.2523
0,21,2,10.0,40.0,23,-10.0
0,22,101,-40.0,60.0,9,43.6158
0,23,2,0.0,60.0,21,30.772
0,24,101,-30.0,40.0,11,43.3929
0,25,2,0.0,40.0,20,30.2251
0,26,101,-30.0,20.0,10,42.2083
0,27,2,0.0,40.0,20,31.5104
0,28,101,50.0,20.0,34,30.3171
0,29,2,0.0,60.0,21,31.4103
0,30,101,-20.0,40.0,14,40.7583
0,31,2,0.0,60.0,21,30.463
0,32,101,-30.0,40.0,11,-10.0
0,33,2,20.0,40.0,26,17.9666
0,34,101,-20.0,40.0,14,39.9102
0,35,2,-10.0,40.0,17,34.5965
0,36,101,-20.0,20.0,13,39.8438
0,37,2,-30.0,40.0,11,29.428
0,38,101,-30.0,20.0,10,42.3419
0,39,2,0.0,60.0,21,31.436
0,40,101,-30.0,60.0,12,44.3406
0,41,2,0.0,40.0,20,31.6878
0,42,101,-30.0,20.0,10,43.0332
0,43,2,0.0,40.0,20,32.0818
0,44,101,-30.0,60.0,12,-10.0
0,45,2,0.0,40.0,20,32.0655
0,46,101,-30.0,20.0,10,-10.0
0,47,2,10.0,60.0,24,23.934
0,48,101,-30.0,60.0,12,45.0854
0,49,2,0.0,40.0,20,32.3401
0,50,101,-40.0,40.0,8,42.8256
0,51,2,0.0,60.0,21,32.4087
0,52,101,-30.0,40.0,11,44.4681
0,53,2,0.0,40.0,20,34.1696
0,54,101,-30.0,60.0,12,42.7792
0,55,2,10.0,40.0,23,-10.0
0,56,101,-30.0,20.0,10,-10.0
0,57,2,0.0,40.0,20,-10.0
0,58,101,-40.0,20.0,7,43.9812
0,59,2,10.0,60.0,24,24.6509
0,60,101,10.0,40.0,23,32.3837
0,61,2,0.0,40.0,20,31.5371
0,62,101,-30.0,40.0,11,-10.0
0,63,2,0.0,40.0,20,31.837
0,64,101,-30.0,40.0,11,43.3929
0,65,2,10.0,40.0,23,25.6199
0,66,101,-30.0,20.0,10,43.3524
0,67,2,0.0,40.0,20,-10.0
0,68,101,-30.0,40.0,11,-10.0
0,69,2,0.0,40.0,20,32.3269
0,70,101,-30.0,20.0,10,42.8962
0,71,2,0.0,60.0,21,33.0124
0,72,101,-30.0,20.0,10,42.3419
0,73,2,0.0,40.0,20,32.9232
0,74,101,-40.0,40.0,8,43.4566
0,75,2,-30.0,40.0,11,27.8766
0,76,101,0.0,20.0,19,27.728
0,77,2,-10.0,40.0,17,34.5513
0,78,101,-50.0,20.0,4,-10.0
0,79,2,0.0,40.0,20,33.0992
0,80,101,0.0,40.0,20,29.4893
0,81,2,0.0,60.0,21,32.5234
0,82,101,-30.0,60.0,12,43.4681
0,83,2,10.0,60.0,24,26.9755
0,84,101,-50.0,60.0,6,41.8741
0,85,2,-30.0,60.0,12,-10.0
0,86,101,-30.0,20.0,10,-10.0
0,87,2,-10.0,40.0,17,-10.0
0,88,101,-30.0,20.0,10,43.3444
0,89,2,40.0,60.0,33,22.8998
0,90,101,10.0,20.0,22,31.8687
0,91,2,-10.0,60.0,18,34.272
0,92,101,-30.0,40.0,11,-10.0
0,93,2,0.0,40.0,20,32.2958
0,94,101,40.0,60.0,33,-10.0
0,95,2,-40.0,60.0,9,-2.4032
0,96,101,-30.0,60.0,12,-10.0
0,97,2,0.0,40.0,20,35.1838
0,98,101,-50.0,60.0,6,-10.0
0,99,2,-10.0,60.0,18,35.4516
0,100,101,-30.0,60.0,12,45.0854
0,101,2,-10.0,60.0,18,33.9592
0,102,101,-30.0,60.0,12,-10.0
0,103,2,20.0,40.0,26,8.7388
0,104,101,-30.0,60.0,12,42.7792
0,105,2,0.0,60.0,21,33.3554
0,106,101,-20.0,60.0,15,38.8146
0,107,2,30.0,40.0,29,20.9799
0,108,101,-30.0,40.0,11,43.3929
0,109,2,0.0,60.0,21,34.5713
0,110,101,-10.0,40.0,17,30.0185
0,111,2,0.0,60.0,21,35.4251
0,112,101,10.0,40.0,23,31.6965
0,113,2,40.0,20.0,31,-10.0
