slot,id,beam,CRC,SNR
0,101,1,1,26.1534
0,101,1,1,39.7033
0,101,1,1,40.1847
0,101,1,1,40.0537
0,101,1,0,39.3126
0,101,1,1,39.1343
0,101,1,1,38.8022
0,101,1,1,39.9378
0,101,1,1,38.7721
0,101,1,1,39.7291
0,101,1,1,39.3776
0,101,1,0,39.5581
0,101,1,1,39.1518
0,101,1,1,39.1802
0,101,1,1,39.4019
0,101,1,1,39.1093
0,101,1,1,40.1093
0,101,1,1,39.2330
0,101,1,1,38.9550
0,101,1,1,40.7057
0,101,1,1,40.0440
0,101,1,1,38.5955
0,101,1,1,41.3839
0,101,1,1,39.7874
0,101,1,1,39.1140
0,101,1,1,39.1150
0,101,1,1,40.3750
0,101,1,1,39.0767
0,101,1,1,39.6322
0,101,1,1,39.0938
0,101,1,1,40.0289
0,101,1,1,40.0673
0,101,1,1,39.4636
0,101,1,1,40.4525
0,101,1,1,39.8650
0,101,1,1,39.2604
0,101,1,1,39.0622
0,101,1,1,38.2907
0,101,1,1,40.7351
0,101,1,1,39.2231
0,101,1,1,39.4694
0,101,1,1,40.8972
0,101,1,1,38.9418
0,101,1,1,39.5995
0,101,1,1,40.5758
0,101,1,1,38.5401
0,101,1,1,39.8444
0,101,1,1,40.3164
0,101,1,1,39.5881
0,101,1,1,39.1086
0,101,2,1,38.7757
0,101,2,1,39.6342
0,101,2,1,38.9537
0,101,2,1,40.6864
0,101,2,1,40.1363
0,101,2,1,39.2797
0,101,2,1,38.5736
0,101,2,1,39.6185
0,101,2,1,39.9164
0,101,2,1,39.4341
0,101,2,1,40.4681
0,101,2,1,39.3769
0,101,2,1,39.4536
0,101,2,1,39.0859
0,101,2,1,39.2191
0,101,2,1,39.4343
0,101,2,1,40.1071
0,101,2,1,38.9951
0,101,2,1,39.2892
0,101,2,1,39.1189
0,101,2,1,39.0897
0,101,2,1,39.5813
0,101,2,1,38.9091
0,101,2,1,39.6967
0,101,2,1,41.2221
0,101,2,1,39.6241
0,101,2,1,39.3755
0,101,2,1,39.9345
0,101,2,1,39.8084
0,101,2,1,38.6671
0,101,2,1,39.0872
0,101,2,1,39.5884
0,101,2,0,39.8599
0,101,2,1,39.6245
0,101,2,1,37.8311
0,101,2,1,39.9608
0,101,2,1,39.0757
0,101,2,1,39.0618
0,101,2,1,38.5801
0,101,2,0,38.9991
0,101,2,1,41.5520
0,101,2,1,40.3078
0,101,2,1,39.1081
0,101,2,1,38.4355
0,101,2,1,38.9271
0,101,2,1,39.9845
0,101,2,1,39.4539
0,101,2,1,39.4814
0,101,2,1,40.4783
0,101,2,1,39.6728
0,101,3,1,39.2653
0,101,3,1,39.3047
0,101,3,1,40.0619
0,101,3,1,39.6739
0,101,3,1,38.5993
