time_slot,target_id,type,x_m,y_m,range_m,angle_deg
0,2,moving,-2.0,7.0,7.280109889280518,-15.945395900922854
0,101,static,-1.5,2.0,2.5,-36.86989764584402
1,2,moving,-1.99,7.0,7.277369030082232,-15.869693707036946
1,101,static,-1.5,2.0,2.5,-36.86989764584402
2,2,moving,-1.98,7.0,7.274640884607295,-15.79393460094054
2,101,static,-1.5,2.0,2.5,-36.86989764584402
3,2,moving,-1.97,7.0,7.271925467164801,-15.718118783632903
3,101,static,-1.5,2.0,2.5,-36.86989764584402
4,2,moving,-1.96,7.0,7.269222792018415,-15.642246457208728
4,101,static,-1.5,2.0,2.5,-36.86989764584402
5,2,moving,-1.95,7.0,7.2665328733860415,-15.566317824856815
5,101,static,-1.5,2.0,2.5,-36.86989764584402
6,2,moving,-1.94,7.0,7.263855725439486,-15.490333090858712
6,101,static,-1.5,2.0,2.5,-36.86989764584402
7,2,moving,-1.93,7.0,7.261191362304123,-15.414292460587298
7,101,static,-1.5,2.0,2.5,-36.86989764584402
8,2,moving,-1.92,7.0,7.2585397980585595,-15.338196140505355
8,101,static,-1.5,2.0,2.5,-36.86989764584402
9,2,moving,-1.91,7.0,7.255901046734306,-15.262044338164031
9,101,static,-1.5,2.0,2.5,-36.86989764584402
10,2,moving,-1.9,7.0,7.2532751223154355,-15.18583726220132
10,101,static,-1.5,2.0,2.5,-36.86989764584402
11,2,moving,-1.89,7.0,7.250662038738255,-15.109575122340463
11,101,static,-1.5,2.0,2.5,-36.86989764584402
12,2,moving,-1.88,7.0,7.248061809890973,-15.033258129388292
12,101,static,-1.5,2.0,2.5,-36.86989764584402
13,2,moving,-1.8699999999999999,7.0,7.245474449613359,-14.95688649523356
13,101,static,-1.5,2.0,2.5,-36.86989764584402
14,2,moving,-1.8599999999999999,7.0,7.24289997169642,-14.880460432845188
14,101,static,-1.5,2.0,2.5,-36.86989764584402
15,2,moving,-1.8499999999999999,7.0,7.240338389882064,-14.803980156270493
15,101,static,-1.5,2.0,2.5,-36.86989764584402
16,2,moving,-1.8399999999999999,7.0,7.237789717862768,-14.727445880633356
16,101,static,-1.5,2.0,2.5,-36.86989764584402
17,2,moving,-1.8299999999999998,7.0,7.235253969281244,-14.65085782213233
17,101,static,-1.5,2.0,2.5,-36.86989764584402
18,2,moving,-1.8199999999999998,7.0,7.2327311577301145,-14.574216198038735
