time_slot,n_visible,ids,x_m,y_m,range_m,angle_deg,blockage_xmin,blockage_xmax,n_blockage_cells,dt_s
0,2,"2,101","-4.000,0.500","7.500,3.000","8.500,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-28.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
1,2,"2,101","-3.980,0.500","7.500,3.000","8.491,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-27.95,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
2,2,"2,101","-3.960,0.500","7.500,3.000","8.481,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-27.83,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
3,2,"2,101","-3.940,0.500","7.500,3.000","8.472,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-27.71,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
4,2,"2,101","-3.920,0.500","7.500,3.000","8.463,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-27.59,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
5,2,"2,101","-3.900,0.500","7.500,3.000","8.453,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-27.47,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
6,2,"2,101","-3.880,0.500","7.500,3.000","8.444,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-27.35,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
7,2,"2,101","-3.860,0.500","7.500,3.000","8.435,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-27.23,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
8,2,"2,101","-3.840,0.500","7.500,3.000","8.426,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-27.11,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
9,2,"2,101","-3.820,0.500","7.500,3.000","8.417,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.99,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
10,2,"2,101","-3.800,0.500","7.500,3.000","8.408,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.87,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
11,2,"2,101","-3.780,0.500","7.500,3.000","8.399,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.75,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
12,2,"2,101","-3.760,0.500","7.500,3.000","8.390,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.63,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
13,2,"2,101","-3.740,0.500","7.500,3.000","8.381,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.50,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
14,2,"2,101","-3.720,0.500","7.500,3.000","8.372,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.38,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
15,2,"2,101","-3.700,0.500","7.500,3.000","8.363,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.26,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
16,2,"2,101","-3.680,0.500","7.500,3.000","8.354,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.14,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
17,2,"2,101","-3.660,0.500","7.500,3.000","8.345,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-26.01,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
18,2,"2,101","-3.640,0.500","7.500,3.000","8.337,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-25.89,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
19,2,"2,101","-3.620,0.500","7.500,3.000","8.328,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-25.77,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
20,2,"2,101","-3.600,0.500","7.500,3.000","8.319,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-25.64,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
21,2,"2,101","-3.580,0.500","7.500,3.000","8.311,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-25.52,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
22,2,"2,101","-3.560,0.500","7.500,3.000","8.302,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-25.39,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
23,2,"2,101","-3.540,0.500","7.500,3.000","8.293,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-25.27,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
24,2,"2,101","-3.520,0.500","7.500,3.000","8.285,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-25.14,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
25,2,"2,101","-3.500,0.500","7.500,3.000","8.276,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-25.02,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
26,2,"2,101","-3.480,0.500","7.500,3.000","8.268,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-24.89,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
27,2,"2,101","-3.460,0.500","7.500,3.000","8.260,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-24.77,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
28,2,"2,101","-3.440,0.500","7.500,3.000","8.251,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-24.64,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
29,2,"2,101","-3.420,0.500","7.500,3.000","8.243,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-24.51,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
30,2,"2,101","-3.400,0.500","7.500,3.000","8.235,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-24.39,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
31,2,"2,101","-3.380,0.500","7.500,3.000","8.226,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-24.26,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
32,2,"2,101","-3.360,0.500","7.500,3.000","8.218,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-24.13,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
33,2,"2,101","-3.340,0.500","7.500,3.000","8.210,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-24.01,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
34,2,"2,101","-3.320,0.500","7.500,3.000","8.202,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-23.88,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
35,2,"2,101","-3.300,0.500","7.500,3.000","8.194,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-23.75,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
36,2,"2,101","-3.280,0.500","7.500,3.000","8.186,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-23.62,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
37,2,"2,101","-3.260,0.500","7.500,3.000","8.178,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-23.49,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
38,2,"2,101","-3.240,0.500","7.500,3.000","8.170,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-23.36,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
39,2,"2,101","-3.220,0.500","7.500,3.000","8.162,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-23.24,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
40,2,"2,101","-3.200,0.500","7.500,3.000","8.154,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-23.11,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
41,2,"2,101","-3.180,0.500","7.500,3.000","8.146,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-22.98,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
42,2,"2,101","-3.160,0.500","7.500,3.000","8.139,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-22.85,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
43,2,"2,101","-3.140,0.500","7.500,3.000","8.131,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-22.72,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
44,2,"2,101","-3.120,0.500","7.500,3.000","8.123,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-22.59,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
45,2,"2,101","-3.100,0.500","7.500,3.000","8.115,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-22.46,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
46,2,"2,101","-3.080,0.500","7.500,3.000","8.108,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-22.33,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
