2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	21.5423, 	-60, 	26.1534, 	1, 	1.52
2, 	21.5423, 	-59, 	0, 	0, 	1.52
2, 	21.5423, 	-58, 	16.5998, 	0, 	-6.39488e-16
2, 	22.508, 	-57, 	16.4587, 	1, 	0.304
2, 	22.508, 	-56, 	15.6025, 	0, 	0.304
2, 	22.508, 	-55, 	14.144, 	1, 	0.608
2, 	22.508, 	-54, 	10.3782, 	0, 	0.608
2, 	20.5829, 	-53, 	12.9147, 	0, 	0.608
2, 	20.5829, 	-52, 	8.41247, 	0, 	0.608
2, 	21.5423, 	-51, 	9.56249, 	0, 	0.608
2, 	21.5423, 	-50, 	9.83118, 	0, 	0.608
2, 	20.5829, 	-49, 	5.97435, 	0, 	0.608
2, 	20.5829, 	-48, 	9.03472, 	0, 	0.608
2, 	32.6198, 	-47, 	7.28563, 	0, 	0.608
2, 	32.6198, 	-46, 	8.01457, 	0, 	0.304
2, 	44.0521, 	-45, 	8.97232, 	0, 	0.304
2, 	44.0521, 	-44, 	10.1621, 	0, 	-6.39488e-16
2, 	29.4845, 	-43, 	7.52683, 	0, 	-6.39488e-16
2, 	29.4845, 	-42, 	7.41976, 	0, 	-6.39488e-16
2, 	29.4845, 	-41, 	6.84721, 	0, 	-6.39488e-16
2, 	29.4845, 	-40, 	4.90777, 	0, 	-6.39488e-16
2, 	18.6818, 	-39, 	5.76765, 	0, 	-6.39488e-16
2, 	18.6818, 	-38, 	2.21372, 	0, 	-6.39488e-16
2, 	18.6818, 	-37, 	4.87692, 	0, 	-6.39488e-16
2, 	18.6818, 	-36, 	5.30636, 	0, 	-6.39488e-16
2, 	18.6818, 	-35, 	1.90869, 	0, 	-6.39488e-16
2, 	18.6818, 	-34, 	1.93409, 	0, 	-6.39488e-16
2, 	42.8192, 	-33, 	6.64278, 	0, 	-6.39488e-16
2, 	42.8192, 	-32, 	0.673083, 	0, 	-6.39488e-16
2, 	46.599, 	-31, 	4.87268, 	0, 	-6.39488e-16
2, 	46.599, 	-30, 	7.10042, 	0, 	-6.39488e-16
2, 	14.0157, 	-29, 	8.71282, 	0, 	-6.39488e-16
2, 	14.0157, 	-28, 	7.95968, 	0, 	-6.39488e-16
2, 	13.0948, 	-27, 	9.52453, 	0, 	-6.39488e-16
2, 	13.0948, 	-26, 	12.0154, 	1, 	0.304
2, 	11.263, 	-25, 	11.0715, 	0, 	0.304
2, 	11.263, 	-24, 	14.0059, 	1, 	0.608
2, 	10.3516, 	-23, 	14.5469, 	1, 	0.912
2, 	10.3516, 	-22, 	13.9502, 	1, 	1.216
2, 	10.3516, 	-21, 	16.577, 	1, 	1.52
2, 	10.3516, 	-20, 	16.8247, 	1, 	1.824
2, 	7.63215, 	-19, 	18.0416, 	1, 	2.128
2, 	7.63215, 	-18, 	17.0899, 	1, 	2.432
2, 	8.53639, 	-17, 	19.0059, 	1, 	2.736
2, 	8.53639, 	-16, 	13.7017, 	1, 	2.736
2, 	7.63215, 	-15, 	18.3616, 	1, 	3.04
2, 	7.63215, 	-14, 	16.3864, 	1, 	3.04
2, 	5.82915, 	-13, 	0, 	0, 	3.04
2, 	5.82915, 	-12, 	22.1476, 	1, 	3.04
2, 	5.82915, 	-11, 	17.9817, 	1, 	3.04
2, 	4.03194, 	-10, 	19.1395, 	1, 	3.04
2, 	4.03194, 	-9, 	22.9066, 	1, 	3.04
2, 	4.03194, 	-8, 	21.525, 	1, 	3.04
2, 	4.03194, 	-7, 	22.9341, 	0, 	3.04
2, 	2.23869, 	-6, 	23.8134, 	1, 	2.736
2, 	2.23869, 	-5, 	24.2861, 	1, 	2.736
2, 	0.447628, 	-4, 	25.1645, 	1, 	2.736
2, 	0.447628, 	-3, 	24.4032, 	1, 	2.736
2, 	0.447628, 	-2, 	23.0692, 	1, 	2.736
2, 	0.447628, 	-1, 	26.2056, 	1, 	2.736
2, 	0.447628, 	0, 	25.8036, 	1, 	2.736
2, 	0.447628, 	1, 	27.2835, 	1, 	2.736
2, 	-2.23869, 	2, 	25.6413, 	1, 	2.736
2, 	-2.23869, 	3, 	25.0617, 	1, 	3.04
2, 	-3.13493, 	4, 	25.4319, 	1, 	3.04
2, 	-3.13493, 	5, 	26.5784, 	1, 	3.04
2, 	-3.13493, 	6, 	25.8254, 	1, 	3.04
2, 	-3.13493, 	7, 	25.0901, 	1, 	3.04
2, 	-4.92994, 	8, 	26.258, 	1, 	3.04
2, 	-4.92994, 	9, 	0, 	0, 	3.04
2, 	-4.92994, 	10, 	25.8689, 	1, 	3.04
2, 	-7.63215, 	11, 	25.6934, 	1, 	3.04
2, 	-7.63215, 	12, 	23.6037, 	1, 	3.04
2, 	-4.92994, 	13, 	24.7083, 	1, 	3.04
2, 	-4.92994, 	14, 	25.2151, 	1, 	3.04
2, 	-4.03194, 	15, 	24.2658, 	1, 	3.04
2, 	-4.03194, 	16, 	22.7703, 	1, 	3.04
2, 	-5.82915, 	17, 	24.3939, 	1, 	3.04
2, 	-5.82915, 	18, 	23.2348, 	1, 	3.04
2, 	-7.63215, 	19, 	21.343, 	1, 	3.04
2, 	-7.63215, 	20, 	18.034, 	0, 	3.04
2, 	-7.63215, 	21, 	20.5796, 	0, 	2.736
2, 	-7.63215, 	22, 	17.5746, 	0, 	2.432
2, 	-12.1773, 	23, 	18.0447, 	0, 	2.128
2, 	-12.1773, 	24, 	18.9306, 	1, 	1.824
2, 	-13.0948, 	25, 	19.3922, 	1, 	1.824
2, 	-13.0948, 	26, 	19.0947, 	1, 	1.824
2, 	-12.1773, 	27, 	19.5828, 	1, 	1.824
2, 	-12.1773, 	28, 	20.8452, 	1, 	1.824
2, 	-4.03194, 	29, 	20.9958, 	1, 	1.824
2, 	-4.03194, 	30, 	20.833, 	1, 	2.128
2, 	-4.03194, 	31, 	20.4483, 	1, 	2.432
2, 	-4.03194, 	32, 	20.8858, 	1, 	2.736
2, 	-4.92994, 	33, 	19.446, 	1, 	3.04
2, 	-4.92994, 	34, 	24.6608, 	1, 	3.04
2, 	-4.92994, 	35, 	19.3324, 	1, 	3.04
2, 	-4.92994, 	36, 	18.8311, 	1, 	3.04
2, 	-3.13493, 	37, 	17.4731, 	1, 	3.04
2, 	-3.13493, 	38, 	16.5114, 	1, 	3.04
