2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	0, 	0, 	1.52
2, 	19.6296, 	19.6296, 	7.36034, 	0, 	0.0
2, 	19.6296, 	19.6296, 	16.6952, 	1, 	1.01333
2, 	15.8689, 	15.8689, 	18.7845, 	0, 	1.01333
1, 	15.8689, 	15.8689, 	13.1522, 	1, 	0.608
2, 	19.6296, 	19.6296, 	17.1835, 	0, 	0.608
2, 	19.6296, 	19.6296, 	17.6585, 	0, 	0.506667
1, 	19.6296, 	19.6296, 	10.8116, 	1, 	0.38
2, 	19.6296, 	19.6296, 	17.0947, 	1, 	0.675556
2, 	19.6296, 	19.6296, 	18.7889, 	1, 	0.912
1, 	19.6296, 	19.6296, 	9.32572, 	0, 	0.912
2, 	19.6296, 	19.6296, 	17.0577, 	1, 	1.216
2, 	19.6296, 	19.6296, 	19.2078, 	1, 	1.216
1, 	19.6296, 	19.6296, 	8.38157, 	1, 	1.216
2, 	19.6296, 	19.6296, 	18.8597, 	1, 	1.52
2, 	19.6296, 	19.6296, 	17.7553, 	0, 	1.52
1, 	19.6296, 	19.6296, 	9.47585, 	0, 	1.52
2, 	18.6818, 	18.6818, 	17.9591, 	0, 	1.52
1, 	18.6818, 	18.6818, 	9.47892, 	0, 	1.52
1, 	18.6818, 	18.6818, 	11.6805, 	1, 	0.912
2, 	17.7394, 	17.7394, 	18.0331, 	1, 	1.216
1, 	17.7394, 	17.7394, 	6.45304, 	1, 	0.912
1, 	17.7394, 	17.7394, 	7.4568, 	1, 	0.608
2, 	17.7394, 	17.7394, 	17.9991, 	0, 	0.608
1, 	17.7394, 	17.7394, 	8.72002, 	0, 	0.608
1, 	17.7394, 	17.7394, 	8.72002, 	0, 	0.304
1, 	17.7394, 	17.7394, 	8.90732, 	1, 	0.608
1, 	17.7394, 	17.7394, 	7.56324, 	1, 	0.608
1, 	18.6818, 	18.6818, 	9.99549, 	1, 	0.608
1, 	18.6818, 	18.6818, 	0, 	0, 	0.608
2, 	18.6818, 	18.6818, 	18.6755, 	1, 	0.912
1, 	18.6818, 	18.6818, 	9.85768, 	1, 	0.912
2, 	18.6818, 	18.6818, 	18.4737, 	0, 	0.912
2, 	18.6818, 	18.6818, 	19.4318, 	0, 	0.912
1, 	18.6818, 	18.6818, 	9.58846, 	1, 	0.912
2, 	18.6818, 	18.6818, 	18.7049, 	1, 	0.912
2, 	18.6818, 	18.6818, 	14.3701, 	0, 	0.912
1, 	18.6818, 	18.6818, 	7.33724, 	0, 	0.912
2, 	18.6818, 	18.6818, 	19.7483, 	1, 	0.912
2, 	18.6818, 	18.6818, 	19.8824, 	1, 	1.216
1, 	18.6818, 	18.6818, 	9.29379, 	1, 	0.912
2, 	50.6636, 	50.6636, 	19.6107, 	0, 	0.912
2, 	50.6636, 	50.6636, 	19.4363, 	1, 	1.216
1, 	50.6636, 	50.6636, 	9.62349, 	0, 	1.216
2, 	50.6636, 	50.6636, 	18.5774, 	1, 	1.52
1, 	50.6636, 	50.6636, 	5.44463, 	0, 	1.52
1, 	50.6636, 	50.6636, 	8.6807, 	1, 	1.216
2, 	50.6636, 	50.6636, 	24.9538, 	1, 	1.52
2, 	50.6636, 	50.6636, 	0, 	0, 	1.52
1, 	50.6636, 	50.6636, 	7.34383, 	0, 	1.52
2, 	49.2717, 	49.2717, 	23.5212, 	1, 	1.216
