(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:39:00.649, 	1, 	1, 	19.5979, 	12.7966, 	0, 	-1.38778e-15, 	1.52, 	(0.502456,0.0144241);(-0.28948,-0.812231);(-0.109124,1.70705);(-0.0386288,-1.56792);
14:39:39.765, 	1, 	2, 	19.2865, 	22.6922, 	1, 	-1.38778e-15, 	1.52, 	(0.0377777,-0.578608);
14:39:39.800, 	1, 	1, 	22.5822, 	13.2953, 	0, 	-1.38778e-15, 	1.52, 	(-0.693454,0.348142);(0.877756,0.750135);(-0.797698,-1.73853);(0.727215,1.71517);
14:39:39.825, 	1, 	2, 	18.4783, 	21.345, 	1, 	-1.38778e-15, 	1.52, 	(-0.655596,-0.00677505);
14:39:39.845, 	1, 	2, 	19.7973, 	23.7529, 	1, 	-1.38778e-15, 	1.52, 	(-0.496666,-0.510674);
14:39:39.859, 	1, 	1, 	25.5564, 	17.8322, 	0, 	-1.38778e-15, 	1.52, 	(-1.10494,-0.258554);(0.260585,1.44716);(0.354146,-1.7399);(-0.436713,1.65222);
14:39:39.885, 	1, 	2, 	22.6431, 	25.6678, 	1, 	-1.38778e-15, 	1.52, 	(-0.702424,-0.133441);
14:39:39.906, 	1, 	2, 	23.3979, 	24.7872, 	1, 	-1.38778e-15, 	1.824, 	(0.611573,-0.275153);
14:39:39.920, 	1, 	1, 	23.6291, 	15.7802, 	0, 	-1.38778e-15, 	1.824, 	(0.0659639,-1.03069);(-1.34204,0.385358);(1.89713,0.234609);(-1.77499,-0.31142);
14:39:39.947, 	1, 	2, 	23.4773, 	24.9648, 	1, 	-1.38778e-15, 	1.824, 	(0.566266,-0.253347);
14:39:39.969, 	1, 	2, 	22.9924, 	24.8101, 	1, 	-1.38778e-15, 	2.128, 	(0.129165,-0.597531);
14:39:39.980, 	1, 	1, 	21.6769, 	15.8195, 	0, 	-1.38778e-15, 	1.824, 	(0.507463,-0.861814);(-1.42315,0.116297);(1.23864,0.393116);(-1.13459,-0.541729);
14:39:40.010, 	1, 	2, 	22.266, 	24.5888, 	1, 	-1.38778e-15, 	2.128, 	(-0.32509,0.528785);
14:39:40.027, 	1, 	2, 	22.4969, 	25.4427, 	1, 	-1.38778e-15, 	2.128, 	(0.0612411,-0.53367);
14:39:40.040, 	1, 	1, 	22.0926, 	16.8249, 	0, 	-1.38778e-15, 	1.824, 	(0.321736,-0.772893);(-1.27035,0.185605);(1.90805,0.660353);(-1.77941,-0.846468);
14:39:40.067, 	1, 	2, 	19.7588, 	23.9261, 	1, 	-1.38778e-15, 	2.128, 	(-0.610307,0.439591);
14:39:40.081, 	1, 	1, 	23.8761, 	16.736, 	0, 	-1.38778e-15, 	1.824, 	(-0.159253,1.21288);(1.11853,-0.678505);(-0.888603,0.160602);(0.888115,0.0256015);
14:39:40.101, 	1, 	1, 	21.086, 	16.0038, 	0, 	-1.38778e-15, 	1.52, 	(0.0458047,0.750217);(1.01243,-0.517219);(-1.95604,-0.056279);(1.88007,0.316719);
14:39:40.128, 	1, 	2, 	24.1045, 	24.3736, 	1, 	-1.38778e-15, 	1.824, 	(0.518866,0.022922);
14:39:40.142, 	1, 	1, 	23.618, 	15.3957, 	0, 	-1.38778e-15, 	1.52, 	(0.43001,-1.14159);(-1.4772,0.100653);(1.766,0.715305);(-1.63494,-0.99479);
14:39:40.161, 	1, 	1, 	25.9304, 	15.6072, 	0, 	-1.38778e-15, 	1.216, 	(-1.29146,0.232126);(0.876804,1.30269);(-0.247291,-1.77245);(-0.0522258,1.81906);
14:39:40.188, 	1, 	2, 	24.3575, 	23.8869, 	1, 	-1.38778e-15, 	1.52, 	(0.16979,-0.239379);
14:39:40.202, 	1, 	1, 	25.0125, 	16.0506, 	0, 	-1.38778e-15, 	1.216, 	(1.29604,0.152626);(-0.423728,-1.46074);(-0.245141,1.32647);(0.477029,-1.18826);
14:39:40.221, 	1, 	1, 	26.6475, 	17.9529, 	0, 	-1.38778e-15, 	0.912, 	(-0.99296,-0.666598);(-0.292827,1.42171);(0.704688,-0.896629);(-0.869389,0.685198);
14:39:40.248, 	1, 	2, 	22.6843, 	23.076, 	1, 	-1.38778e-15, 	1.216, 	(-0.286617,-0.399848);
14:39:40.262, 	1, 	1, 	22.6535, 	17.8521, 	0, 	-1.38778e-15, 	0.912, 	(-0.431527,0.734832);(1.29201,0.374902);(-1.47117,-1.52617);(1.06434,1.71212);
