(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:47:53.542, 	1, 	1, 	18.7428, 	11.905, 	0, 	-1.249e-14, 	2.736, 	(-0.92467,-0.238234);(0.605488,0.933783);(-0.287437,-0.844011);(0.274707,0.850163);
14:48:09.697, 	1, 	2, 	21.145, 	21.6266, 	1, 	-1.249e-14, 	2.736, 	(0.302333,-0.31546);
14:48:09.732, 	1, 	2, 	19.7749, 	24.7328, 	1, 	-1.249e-14, 	2.736, 	(-0.0418451,0.638916);
14:48:09.752, 	1, 	2, 	20.3418, 	25.5209, 	1, 	-1.249e-14, 	2.736, 	(0.175531,0.636895);
14:48:09.772, 	1, 	2, 	16.0149, 	21.4296, 	1, 	-1.249e-14, 	2.736, 	(0.578945,0.038863);
14:48:09.792, 	1, 	2, 	19.3761, 	22.7805, 	1, 	-1.249e-14, 	2.736, 	(-0.00958932,-0.660025);
14:48:09.812, 	1, 	2, 	20.1471, 	24.9598, 	1, 	-1.249e-14, 	2.736, 	(-0.601426,-0.304681);
14:48:09.832, 	1, 	2, 	21.0259, 	25.5403, 	1, 	-1.249e-14, 	2.736, 	(-0.221811,0.644566);
14:48:09.852, 	1, 	2, 	18.1836, 	21.8605, 	1, 	-1.249e-14, 	2.736, 	(0.129609,0.639746);
14:48:09.872, 	1, 	2, 	22.6821, 	24.4607, 	1, 	-1.249e-14, 	2.736, 	(0.564408,-0.182357);
14:48:09.893, 	1, 	2, 	22.749, 	25.4745, 	1, 	-1.249e-14, 	3.04, 	(0.146956,-0.689634);
14:48:09.913, 	0, 	2, 	17.745, 	15.3381, 	1, 	-1.249e-14, 	3.04, 	(-0.0624305,0.0991085);
14:48:09.933, 	1, 	2, 	22.6102, 	24.4796, 	1, 	4, 	2.736, 	(0.403509,-0.465642);
14:48:09.946, 	1, 	1, 	22.3429, 	12.6089, 	0, 	4, 	2.432, 	(0.739776,0.478939);(0.00459715,-1.18408);(-0.294831,0.807127);(0.376074,-0.736375);
14:48:09.974, 	1, 	2, 	21.8551, 	24.7143, 	1, 	4, 	2.432, 	(-0.622532,-0.319418);
14:48:09.993, 	1, 	2, 	18.6214, 	23.9542, 	1, 	4, 	2.432, 	(0.130215,-0.675082);
14:48:10.014, 	1, 	2, 	20.3936, 	25.2265, 	1, 	4, 	2.432, 	(-0.674797,-0.241959);
14:48:10.034, 	1, 	2, 	21.2766, 	25.4504, 	1, 	4, 	2.432, 	(-0.64357,0.354298);
14:48:10.054, 	1, 	2, 	18.97, 	22.0278, 	1, 	4, 	2.432, 	(-0.677927,0.0337951);
14:48:10.074, 	1, 	2, 	19.9219, 	24.1887, 	1, 	4, 	2.432, 	(0.210765,-0.699306);
14:48:10.094, 	1, 	2, 	22.0202, 	24.8832, 	1, 	4, 	2.432, 	(-0.722839,0.232879);
14:48:10.115, 	1, 	2, 	24.1209, 	21.5796, 	1, 	4, 	2.736, 	(-0.361715,0.407297);
14:48:10.135, 	1, 	2, 	24.0919, 	24.986, 	1, 	4, 	2.736, 	(0.239399,-0.619248);
14:48:10.155, 	1, 	2, 	22.9725, 	25.6994, 	1, 	4, 	3.04, 	(0.24118,0.703197);
