(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:50:29.271, 	1, 	1, 	19.1413, 	15.3947, 	0, 	-1.249e-14, 	2.736, 	(0.825726,-0.37788);(-1.09212,-0.345271);(0.902715,0.55867);(-0.868373,-0.548555);
14:50:44.367, 	1, 	2, 	19.1774, 	23.1853, 	1, 	-1.249e-14, 	2.736, 	(-0.421846,-0.385071);
14:50:44.387, 	1, 	2, 	19.7073, 	23.9347, 	1, 	-1.249e-14, 	2.736, 	(-0.366002,0.348084);
14:50:44.408, 	1, 	2, 	20.0139, 	24.4491, 	1, 	-1.249e-14, 	2.736, 	(0.0114736,-0.616121);
14:50:44.428, 	1, 	2, 	17.448, 	22.6802, 	1, 	-1.249e-14, 	2.736, 	(-0.539188,0.214067);
14:50:44.448, 	1, 	2, 	19.7822, 	24.8777, 	1, 	-1.249e-14, 	2.736, 	(-0.474996,-0.267424);
14:50:44.468, 	1, 	2, 	19.903, 	25.459, 	1, 	-1.249e-14, 	2.736, 	(0.122592,0.457974);
14:50:44.488, 	1, 	2, 	18.3669, 	22.5246, 	1, 	-1.249e-14, 	2.736, 	(0.57889,-0.147346);
14:50:44.508, 	1, 	2, 	19.8964, 	24.3519, 	1, 	-1.249e-14, 	2.736, 	(0.0355452,-0.652783);
14:50:44.528, 	1, 	2, 	20.5196, 	24.9875, 	1, 	-1.249e-14, 	2.736, 	(-0.560829,-0.409789);
14:50:44.548, 	1, 	2, 	16.8807, 	20.6417, 	1, 	-1.249e-14, 	3.04, 	(-0.48824,-0.32572);
14:50:44.569, 	1, 	2, 	21.9706, 	25.6363, 	1, 	-1.249e-14, 	3.04, 	(-0.287235,-0.577577);
14:50:44.589, 	1, 	2, 	22.1934, 	25.737, 	1, 	-1.249e-14, 	3.04, 	(-0.347785,-0.452507);
14:50:44.609, 	1, 	2, 	21.5869, 	25.4733, 	1, 	-1.249e-14, 	3.04, 	(-0.682236,-0.195148);
14:50:44.629, 	1, 	2, 	17.6519, 	22.4225, 	1, 	-1.249e-14, 	3.04, 	(0.304113,-0.597399);
14:50:44.649, 	1, 	2, 	22.7633, 	24.9674, 	1, 	-1.249e-14, 	3.04, 	(-0.471421,-0.407532);
14:50:44.669, 	1, 	2, 	22.6649, 	24.6327, 	1, 	-1.249e-14, 	3.04, 	(-0.506309,-0.0930544);
14:50:44.690, 	1, 	2, 	23.2755, 	25.4404, 	1, 	-1.249e-14, 	3.04, 	(0.281923,-0.621091);
14:50:44.710, 	1, 	2, 	20.0728, 	23.566, 	1, 	-1.249e-14, 	3.04, 	(-0.688929,-0.161732);
14:50:44.730, 	1, 	2, 	22.8821, 	24.9166, 	1, 	-1.249e-14, 	3.04, 	(0.141934,-0.52828);
14:50:44.750, 	1, 	2, 	22.6369, 	24.8195, 	1, 	-1.249e-14, 	3.04, 	(0.400828,-0.604209);
14:50:44.770, 	1, 	2, 	19.788, 	22.5472, 	1, 	-1.249e-14, 	3.04, 	(0.68959,0.118935);
14:50:44.790, 	1, 	2, 	20.5294, 	24.8631, 	1, 	-1.249e-14, 	3.04, 	(-0.159486,0.737505);
14:50:44.811, 	1, 	2, 	22.9599, 	25.2586, 	1, 	-1.249e-14, 	3.04, 	(-0.712296,0.249907);
14:50:44.831, 	1, 	2, 	17.7044, 	22.4545, 	1, 	-1.249e-14, 	3.04, 	(-0.110719,-0.686705);
14:50:44.851, 	1, 	2, 	20.5942, 	24.3814, 	1, 	-1.249e-14, 	3.04, 	(-0.423038,0.622987);
14:50:44.871, 	1, 	2, 	24.3614, 	25.3794, 	1, 	-1.249e-14, 	3.04, 	(0.196582,-0.521873);
14:50:44.892, 	1, 	2, 	24.4594, 	25.0686, 	1, 	-1.249e-14, 	3.04, 	(0.29719,0.668299);
14:50:44.912, 	1, 	2, 	24.7796, 	25.0981, 	1, 	-1.249e-14, 	3.04, 	(0.254155,0.629518);
14:50:44.931, 	1, 	2, 	24.1783, 	24.7094, 	1, 	-1.249e-14, 	3.04, 	(-0.518066,0.258581);
14:50:44.952, 	1, 	2, 	23.0266, 	24.3621, 	1, 	-1.249e-14, 	3.04, 	(0.423144,0.175536);
14:50:44.972, 	1, 	2, 	23.0879, 	24.4193, 	1, 	-1.249e-14, 	3.04, 	(-0.629822,-0.232602);
