(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:51:39.493, 	1, 	1, 	14.4381, 	9.10124, 	0, 	-1.249e-14, 	2.736, 	(0.425784,-0.0665026);(-0.585593,-0.53547);(1.16603,0.210542);(-1.00305,0.456419);
14:51:54.102, 	1, 	2, 	15.1372, 	19.4075, 	1, 	-1.249e-14, 	2.736, 	(-0.467228,-0.0574543);
14:51:54.134, 	1, 	2, 	15.4991, 	23.7274, 	1, 	-1.249e-14, 	2.736, 	(-0.379596,0.416749);
14:51:54.154, 	1, 	2, 	11.9163, 	17.8561, 	1, 	-1.249e-14, 	2.736, 	(0.263696,0.309497);
14:51:54.174, 	1, 	2, 	14.8389, 	20.7329, 	1, 	-1.249e-14, 	2.736, 	(-0.207779,0.451661);
14:51:54.194, 	1, 	2, 	15.6179, 	21.222, 	1, 	-1.249e-14, 	2.736, 	(-0.582601,-0.102299);
14:51:54.214, 	1, 	2, 	16.5003, 	23.9465, 	1, 	-1.249e-14, 	2.736, 	(-0.109026,0.559312);
14:51:54.234, 	1, 	2, 	13.3611, 	19.0275, 	1, 	-1.249e-14, 	2.736, 	(-0.258953,0.430842);
14:51:54.255, 	1, 	2, 	14.5489, 	22.4279, 	1, 	-1.249e-14, 	2.736, 	(-0.583281,-0.0295508);
14:51:54.274, 	1, 	2, 	16.8295, 	23.8638, 	1, 	-1.249e-14, 	2.736, 	(0.56165,0.236572);
14:51:54.295, 	1, 	2, 	16.3423, 	25.4947, 	1, 	-1.249e-14, 	3.04, 	(-0.130889,-0.653335);
14:51:54.316, 	1, 	2, 	14.5858, 	20.7109, 	1, 	-1.249e-14, 	3.04, 	(0.215072,0.503663);
14:51:54.335, 	1, 	2, 	14.1456, 	25.0111, 	1, 	-1.249e-14, 	3.04, 	(0.58319,0.246579);
14:51:54.355, 	1, 	2, 	16.3861, 	24.4224, 	1, 	-1.249e-14, 	3.04, 	(-0.260663,0.614438);
14:51:54.375, 	1, 	2, 	13.6133, 	20.5691, 	1, 	-1.249e-14, 	3.04, 	(-0.168371,-0.495426);
14:51:54.395, 	1, 	2, 	14.0765, 	20.3009, 	1, 	-1.249e-14, 	3.04, 	(0.218099,-0.432438);
14:51:54.437, 	1, 	2, 	15.1275, 	19.4555, 	1, 	-1.249e-14, 	3.04, 	(0.415238,-0.313184);
14:51:54.456, 	1, 	2, 	15.3132, 	22.446, 	1, 	-1.249e-14, 	3.04, 	(0.206615,-0.569003);
14:51:54.516, 	1, 	2, 	14.8451, 	20.7534, 	1, 	-1.249e-14, 	3.04, 	(-0.304192,-0.505526);
14:51:54.537, 	1, 	2, 	14.3279, 	21.8329, 	1, 	-1.249e-14, 	3.04, 	(-0.666858,0.0499435);
14:51:54.557, 	1, 	2, 	15.3577, 	25.1235, 	1, 	-1.249e-14, 	3.04, 	(-0.110215,-0.694681);
14:51:54.577, 	0, 	2, 	2.67782, 	8.86638, 	1, 	-1.249e-14, 	3.04, 	(-0.127237,-0.0210713);
14:51:54.597, 	1, 	2, 	16.1487, 	25.8124, 	1, 	4, 	2.736, 	(-0.0287137,-0.697499);
14:51:54.698, 	1, 	2, 	16.63, 	25.2498, 	1, 	4, 	2.736, 	(-0.482644,-0.316088);
14:51:54.799, 	1, 	2, 	16.1336, 	25.2498, 	1, 	4, 	2.736, 	(-0.482644,-0.316088);
14:51:54.819, 	1, 	2, 	17.2085, 	25.3898, 	1, 	4, 	2.736, 	(0.253508,0.622214);
14:51:54.839, 	1, 	2, 	16.6048, 	25.1963, 	1, 	4, 	2.736, 	(-0.0769251,0.5811);
14:51:54.859, 	1, 	2, 	18.35, 	25.1079, 	1, 	4, 	2.736, 	(-0.117257,-0.460927);
14:51:54.920, 	1, 	2, 	18.4465, 	24.6252, 	1, 	4, 	2.736, 	(0.189104,-0.465289);
14:51:54.940, 	1, 	2, 	18.5396, 	26.2524, 	1, 	4, 	2.736, 	(0.011356,0.678707);
14:51:54.960, 	1, 	2, 	17.5758, 	25.7828, 	1, 	4, 	2.736, 	(-0.304505,-0.542489);
14:51:55.000, 	1, 	2, 	18.1888, 	25.5278, 	1, 	4, 	3.04, 	(-0.686103,0.27569);
14:51:55.022, 	0, 	1, 	-0.171935, 	0.667216, 	1, 	4, 	3.04, 	(-0.11622,0.054891);(-0.0388734,0.0410125);(-0.174742,0.112507);(-0.0926484,-0.0112223);
14:51:55.041, 	1, 	2, 	18.9193, 	25.7195, 	1, 	8, 	2.736, 	(0.552494,0.27425);
14:51:55.054, 	1, 	1, 	19.8126, 	12.3345, 	0, 	8, 	2.432, 	(0.205573,1.09858);(-0.887988,-0.963564);(0.344196,-0.143914);(-0.100084,0.379469);
14:51:55.070, 	1, 	2, 	19.1206, 	25.6686, 	1, 	8, 	2.432, 	(0.44356,-0.0428294);
14:51:55.091, 	1, 	2, 	20.7352, 	25.3306, 	1, 	8, 	2.432, 	(-0.644306,-0.300917);
14:51:55.111, 	1, 	2, 	19.2657, 	25.2023, 	1, 	8, 	2.432, 	(0.605179,-0.488301);
14:51:55.131, 	1, 	2, 	19.991, 	25.9419, 	1, 	8, 	2.432, 	(0.329134,0.695406);
14:51:55.172, 	1, 	2, 	19.5037, 	25.7231, 	1, 	8, 	2.432, 	(-0.0543895,-0.78795);
14:51:55.192, 	1, 	2, 	20.8936, 	25.2265, 	1, 	8, 	2.432, 	(0.57821,-0.533326);
14:51:55.212, 	1, 	2, 	13.1091, 	19.7344, 	1, 	8, 	2.432, 	(-0.267495,0.0176926);
14:51:55.232, 	1, 	2, 	18.5075, 	24.5076, 	1, 	8, 	2.736, 	(0.764564,0.0711257);
14:51:55.252, 	1, 	2, 	20.9023, 	24.9818, 	1, 	8, 	2.736, 	(0.0425128,-0.512488);
14:51:55.272, 	1, 	2, 	20.3779, 	25.7637, 	1, 	8, 	3.04, 	(0.424739,-0.0645065);
14:51:55.292, 	1, 	2, 	18.0219, 	24.5869, 	1, 	8, 	3.04, 	(-0.220774,0.721163);
14:51:55.313, 	1, 	2, 	21.74, 	25.8213, 	1, 	4, 	3.04, 	(0.490665,-0.327055);
14:51:55.332, 	1, 	2, 	22.5902, 	26.0876, 	1, 	4, 	3.04, 	(0.138125,-0.747983);
14:51:55.353, 	1, 	2, 	23.1085, 	24.7973, 	1, 	4, 	3.04, 	(-0.69075,-0.182341);
14:51:55.373, 	1, 	2, 	22.5289, 	24.6903, 	1, 	4, 	3.04, 	(0.138644,-0.597386);
14:51:55.393, 	1, 	2, 	23.5042, 	25.2946, 	1, 	4, 	3.04, 	(-0.149244,0.491792);
14:51:55.413, 	1, 	2, 	24.2322, 	26.2631, 	1, 	4, 	3.04, 	(0.264111,-0.696153);
14:51:55.433, 	1, 	2, 	20.3736, 	24.4666, 	1, 	4, 	3.04, 	(0.758845,0.152877);
14:51:55.454, 	1, 	2, 	22.5462, 	25.5016, 	1, 	4, 	3.04, 	(0.394152,0.384896);
14:51:55.474, 	1, 	2, 	23.4516, 	20.256, 	1, 	4, 	3.04, 	(0.425211,-0.234421);
14:51:55.494, 	1, 	2, 	23.5026, 	24.7566, 	1, 	4, 	3.04, 	(-0.405558,0.562539);
14:51:55.514, 	1, 	2, 	22.6722, 	25.6677, 	1, 	4, 	3.04, 	(-0.392959,0.705901);
