(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:52:41.490, 	1, 	1, 	19.3384, 	13.969, 	0, 	-1.249e-14, 	2.736, 	(-0.562905,0.707232);(1.06335,-0.22254);(-0.924685,-0.0411456);(0.929109,0.0699055);
14:52:56.152, 	0, 	2, 	22.4246, 	16.2939, 	0, 	-1.249e-14, 	2.736, 	(-0.0420451,0.0778417);
14:52:56.172, 	0, 	2, 	21.6739, 	14.3433, 	0, 	4, 	2.432, 	(-0.00892473,-0.0693672);
14:52:56.183, 	1, 	1, 	22.8664, 	17.368, 	0, 	8, 	1.824, 	(-0.488463,1.02033);(1.33632,-0.230284);(-1.47602,-0.305279);(1.41232,0.373765);
14:52:56.203, 	1, 	1, 	21.9055, 	15.3428, 	0, 	8, 	1.52, 	(0.533776,-0.72324);(-1.23765,-0.223175);(1.57012,1.03626);(-1.48303,-1.08518);
14:52:56.232, 	0, 	2, 	22.1637, 	15.2146, 	0, 	8, 	1.52, 	(0.081391,0.000611123);
14:52:56.253, 	0, 	2, 	22.9766, 	16.0037, 	0, 	12, 	1.216, 	(-0.090873,-0.0341508);
14:52:56.267, 	1, 	1, 	23.4828, 	14.9947, 	0, 	16, 	0.608, 	(-1.03204,-0.257132);(0.287102,1.266);(0.128169,-0.972335);(-0.204766,0.924638);
14:52:56.283, 	1, 	1, 	22.2919, 	15.1941, 	0, 	16, 	0.304, 	(0.418169,-0.597022);(-1.38243,-0.255552);(1.46778,1.15937);(-1.3768,-1.22741);
14:52:56.314, 	0, 	2, 	18.7074, 	13.112, 	0, 	16, 	0.304, 	(0.0454541,0.101593);
14:52:56.333, 	0, 	2, 	22.111, 	15.71, 	0, 	20, 	-7.10543e-17, 	(0.149591,-0.0629279);
14:52:56.343, 	1, 	1, 	22.5784, 	16.7555, 	0, 	24, 	-7.10543e-17, 	(0.302253,-1.03458);(-1.34383,0.454716);(1.30485,0.0274688);(-1.24795,-0.195391);
14:52:56.374, 	0, 	2, 	22.3902, 	15.8886, 	0, 	24, 	-7.10543e-17, 	(-0.140386,0.0952148);
14:52:56.394, 	1, 	2, 	22.612, 	25.2932, 	1, 	28, 	0.304, 	(-0.480751,-0.516894);
14:52:56.404, 	1, 	1, 	24.5629, 	15.5698, 	0, 	28, 	0.304, 	(0.262575,-1.23439);(-1.35355,0.604488);(1.40142,-0.0629007);(-1.40056,-0.159006);
14:52:56.436, 	1, 	2, 	23.1056, 	25.3148, 	1, 	28, 	0.608, 	(-0.31901,-0.45943);
14:52:56.448, 	1, 	2, 	24.3915, 	26.224, 	1, 	28, 	0.912, 	(-0.276742,-0.630338);
14:52:56.464, 	1, 	2, 	19.4242, 	23.3436, 	1, 	28, 	1.216, 	(-0.531445,0.508799);
14:52:56.484, 	1, 	2, 	25.5622, 	24.2803, 	1, 	28, 	1.52, 	(-0.611618,0.125381);
14:52:56.505, 	1, 	2, 	24.4165, 	25.6192, 	1, 	28, 	1.824, 	(0.173778,0.485154);
14:52:56.525, 	1, 	2, 	24.288, 	26.1039, 	1, 	28, 	2.128, 	(-0.0222722,0.709115);
14:52:56.545, 	1, 	2, 	21.6105, 	24.5753, 	1, 	28, 	2.432, 	(-0.052657,0.75642);
14:52:56.565, 	1, 	2, 	22.0459, 	26.3241, 	1, 	28, 	2.736, 	(0.74646,0.146172);
14:52:56.585, 	1, 	2, 	23.7329, 	25.261, 	1, 	28, 	2.736, 	(0.53093,0.515293);
14:52:56.605, 	1, 	2, 	20.3349, 	24.0167, 	1, 	28, 	3.04, 	(-0.102822,-0.762535);
14:52:56.626, 	1, 	2, 	23.532, 	25.0745, 	1, 	28, 	3.04, 	(0.0345765,0.80256);
14:52:56.646, 	1, 	2, 	24.9612, 	26.325, 	1, 	24, 	3.04, 	(0.794804,-0.0517155);
14:52:56.666, 	1, 	2, 	24.1455, 	25.9997, 	1, 	20, 	3.04, 	(-0.348873,-0.665545);
14:52:56.686, 	1, 	2, 	25.3784, 	24.5989, 	1, 	20, 	3.04, 	(-0.312797,0.60068);
14:52:56.706, 	1, 	2, 	25.7629, 	25.3179, 	1, 	20, 	3.04, 	(-0.133394,0.553701);
