(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:53:50.528, 	1, 	1, 	16.5694, 	10.7931, 	0, 	-1.249e-14, 	2.736, 	(0.681479,0.313088);(-0.79473,-0.729663);(1.35956,0.392029);(-1.26811,0.348122);
14:54:04.967, 	1, 	2, 	14.5804, 	24.753, 	1, 	-1.249e-14, 	2.736, 	(-0.622222,0.194375);
14:54:04.986, 	1, 	2, 	15.0772, 	25.4067, 	1, 	-1.249e-14, 	2.736, 	(0.629777,-0.17049);
14:54:05.007, 	1, 	2, 	15.4326, 	25.1087, 	1, 	-1.249e-14, 	2.736, 	(-0.529649,-0.343142);
14:54:05.027, 	1, 	2, 	14.9827, 	25.4316, 	1, 	-1.249e-14, 	2.736, 	(0.218653,0.637165);
14:54:05.047, 	1, 	2, 	14.7906, 	18.6186, 	1, 	-1.249e-14, 	2.736, 	(-0.476369,0.164013);
14:54:05.067, 	1, 	2, 	16.2667, 	25.8517, 	1, 	-1.249e-14, 	2.736, 	(-0.439221,-0.501086);
14:54:05.087, 	1, 	2, 	15.3705, 	24.4226, 	1, 	-1.249e-14, 	2.736, 	(0.610248,-0.0972461);
14:54:05.107, 	1, 	2, 	15.7246, 	25.4823, 	1, 	-1.249e-14, 	2.736, 	(-0.333911,-0.616966);
14:54:05.128, 	1, 	2, 	14.07, 	20.5522, 	1, 	-1.249e-14, 	2.736, 	(-0.063047,0.569534);
14:54:05.147, 	1, 	2, 	15.8495, 	22.7097, 	1, 	-1.249e-14, 	3.04, 	(0.554116,-0.314599);
14:54:05.188, 	1, 	2, 	15.9133, 	20.1052, 	1, 	-1.249e-14, 	3.04, 	(0.471921,0.265062);
14:54:05.208, 	1, 	2, 	15.0551, 	21.9997, 	1, 	-1.249e-14, 	3.04, 	(0.632621,0.0991258);
14:54:05.228, 	1, 	2, 	14.9012, 	24.2526, 	1, 	-1.249e-14, 	3.04, 	(0.692894,0.118116);
14:54:05.268, 	1, 	2, 	14.6968, 	22.3669, 	1, 	-1.249e-14, 	3.04, 	(-0.51657,-0.37605);
14:54:05.289, 	1, 	2, 	15.0545, 	23.5631, 	1, 	-1.249e-14, 	3.04, 	(0.492508,-0.490775);
14:54:05.309, 	1, 	2, 	15.646, 	24.9159, 	1, 	-1.249e-14, 	3.04, 	(-0.462931,0.566331);
14:54:05.329, 	0, 	2, 	15.8238, 	13.5491, 	1, 	-1.249e-14, 	3.04, 	(-0.415,-0.607677);
14:54:05.360, 	0, 	1, 	15.0604, 	10.1203, 	0, 	4, 	2.736, 	(-1.24908,-0.55945);(1.69496,0.482696);(-0.989314,0.739313);(0.0885099,-1.13548);
14:54:05.380, 	0, 	1, 	15.7652, 	9.65486, 	0, 	8, 	2.432, 	(1.20464,-0.410459);(-1.43744,0.82008);(0.0880449,-0.91773);(0.609912,0.664185);
14:54:05.400, 	0, 	1, 	14.8208, 	7.33854, 	0, 	12, 	2.128, 	(-1.43467,0.110905);(1.7416,-0.292642);(-0.710574,1.43146);(-0.626603,-1.31241);
14:54:05.420, 	0, 	1, 	16.8439, 	9.99108, 	0, 	16, 	1.824, 	(0.256337,1.37014);(-0.612868,-1.71446);(1.29788,0.360631);(-1.02829,0.789042);
14:54:05.440, 	0, 	1, 	17.2706, 	11.5078, 	0, 	20, 	1.52, 	(-0.335177,-1.39449);(0.714731,1.50071);(-1.11663,-0.143239);(0.700748,-0.724804);
14:54:05.461, 	0, 	1, 	16.7986, 	9.84297, 	0, 	24, 	1.216, 	(1.15637,-0.50633);(-1.25993,1.0033);(-0.0757067,-0.756355);(0.660704,0.375637);
