(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:54:54.829, 	1, 	1, 	19.1602, 	13.4095, 	0, 	-1.249e-14, 	2.736, 	(0.908009,-0.177203);(-0.96212,-0.580144);(0.62604,0.687749);(-0.664205,-0.713716);
14:55:10.170, 	1, 	2, 	20.4113, 	25.3672, 	1, 	-1.249e-14, 	2.736, 	(-0.450735,0.315602);
14:55:10.190, 	1, 	2, 	20.246, 	24.4315, 	1, 	-1.249e-14, 	2.736, 	(-0.44164,-0.439445);
14:55:10.211, 	1, 	2, 	20.8685, 	24.2909, 	1, 	-1.249e-14, 	2.736, 	(-0.295815,-0.534913);
14:55:10.231, 	1, 	2, 	18.3399, 	22.0854, 	1, 	-1.249e-14, 	2.736, 	(0.486523,-0.339322);
14:55:10.251, 	1, 	2, 	20.0865, 	24.6988, 	1, 	-1.249e-14, 	2.736, 	(-0.414551,0.347075);
14:55:10.271, 	1, 	2, 	21.9778, 	24.9983, 	1, 	-1.249e-14, 	2.736, 	(0.272966,0.58872);
14:55:10.291, 	1, 	2, 	18.3229, 	21.885, 	1, 	-1.249e-14, 	2.736, 	(0.0546401,0.606853);
14:55:10.311, 	1, 	2, 	20.0575, 	24.0163, 	1, 	-1.249e-14, 	2.736, 	(0.606715,-0.231077);
14:55:10.332, 	1, 	2, 	20.66, 	25.046, 	1, 	-1.249e-14, 	2.736, 	(-0.508653,-0.156489);
14:55:10.351, 	1, 	2, 	16.9375, 	21.2906, 	1, 	-1.249e-14, 	3.04, 	(-0.308647,-0.520789);
14:55:10.372, 	1, 	2, 	23.3234, 	25.2512, 	1, 	-1.249e-14, 	3.04, 	(-0.24679,0.593118);
14:55:10.392, 	1, 	2, 	22.1862, 	24.6522, 	1, 	-1.249e-14, 	3.04, 	(0.329537,-0.460082);
14:55:10.412, 	1, 	2, 	23.012, 	25.8489, 	1, 	-1.249e-14, 	3.04, 	(-0.420818,0.243221);
14:55:10.434, 	1, 	2, 	23.4124, 	25.5754, 	1, 	-1.249e-14, 	3.04, 	(-0.492783,0.463173);
14:55:10.452, 	1, 	2, 	24.1905, 	24.5362, 	1, 	-1.249e-14, 	3.04, 	(-0.595474,0.146686);
14:55:10.472, 	1, 	2, 	22.7924, 	24.5533, 	1, 	-1.249e-14, 	3.04, 	(0.522336,0.00968198);
