(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:56:07.279, 	1, 	1, 	15.404, 	10.5459, 	0, 	-1.249e-14, 	2.736, 	(-0.0430765,-0.710248);(-0.434247,1.0226);(-0.126331,-1.29555);(0.705242,0.987211);
14:56:21.536, 	0, 	2, 	13.5303, 	7.70473, 	0, 	-1.249e-14, 	2.736, 	(0.0393285,-0.00858331);
14:56:21.556, 	1, 	2, 	14.2321, 	15.9757, 	1, 	4, 	2.432, 	(-0.135794,-0.172225);
14:56:21.570, 	0, 	1, 	14.341, 	7.23732, 	1, 	4, 	2.432, 	(0.390214,0.198866);(-1.12778,0.901693);(0.796317,-0.418175);(0.0587547,0.682383);
14:56:21.590, 	1, 	1, 	14.0604, 	10.6431, 	0, 	8, 	1.824, 	(-0.435707,-0.700158);(0.36418,1.18299);(-1.0534,-0.949201);(1.3292,-0.00347949);
14:56:21.611, 	1, 	1, 	13.0226, 	8.30907, 	0, 	8, 	1.52, 	(-0.763507,0.73941);(0.909954,-0.841209);(-0.48275,1.33378);(-0.437521,-1.16498);
14:56:21.636, 	1, 	2, 	15.3131, 	24.3704, 	1, 	8, 	1.52, 	(-0.285891,0.507259);
14:56:21.656, 	1, 	2, 	13.1025, 	20.3913, 	1, 	8, 	1.52, 	(0.145378,0.472018);
14:56:21.676, 	1, 	2, 	14.2103, 	24.5775, 	1, 	8, 	1.52, 	(0.0103104,-0.578889);
14:56:21.697, 	1, 	2, 	14.167, 	18.7778, 	1, 	8, 	1.52, 	(-0.16886,-0.330823);
14:56:21.717, 	1, 	2, 	15.4441, 	24.7198, 	1, 	8, 	1.824, 	(-0.631179,0.129459);
14:56:21.737, 	1, 	2, 	14.6698, 	21.9155, 	1, 	8, 	2.128, 	(-0.561177,-0.210165);
14:56:21.758, 	1, 	2, 	16.175, 	24.542, 	1, 	8, 	2.128, 	(-0.57444,0.122357);
14:56:21.777, 	1, 	2, 	15.975, 	24.1971, 	1, 	8, 	2.432, 	(0.369969,-0.570148);
