(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:35:37.630, 	1, 	1, 	19.7422, 	14.0982, 	0, 	-1.249e-14, 	2.736, 	(0.091623,0.567624);(0.729417,-0.677865);(-1.54854,0.507141);(1.49582,-0.584283);
14:35:54.589, 	1, 	2, 	20.7978, 	20.6977, 	1, 	-1.249e-14, 	2.736, 	(-0.19042,-0.0152863);
14:35:54.608, 	1, 	2, 	21.713, 	19.2682, 	1, 	-1.249e-14, 	2.736, 	(0.237562,-0.0500287);
14:35:54.629, 	1, 	2, 	17.7715, 	22.1487, 	1, 	-1.249e-14, 	2.736, 	(-0.219369,0.510571);
14:35:54.650, 	1, 	2, 	21.2645, 	21.156, 	1, 	-1.249e-14, 	2.736, 	(0.0812727,0.21297);
14:35:54.669, 	1, 	2, 	20.8648, 	21.0723, 	1, 	-1.249e-14, 	2.736, 	(-0.0989759,-0.180843);
14:35:54.689, 	1, 	2, 	21.4596, 	20.2799, 	1, 	-1.249e-14, 	2.736, 	(0.0898209,-0.256116);
14:35:54.710, 	1, 	2, 	18.2405, 	23.3961, 	1, 	-1.249e-14, 	2.736, 	(-0.596749,0.026188);
14:35:54.730, 	1, 	2, 	20.078, 	24.464, 	1, 	-1.249e-14, 	2.736, 	(-0.320509,-0.421059);
14:35:54.750, 	1, 	2, 	20.5245, 	25.5564, 	1, 	-1.249e-14, 	2.736, 	(0.181413,0.604848);
14:35:54.771, 	1, 	2, 	17.1128, 	22.2924, 	1, 	-1.249e-14, 	3.04, 	(0.09867,-0.581278);
14:35:54.790, 	1, 	2, 	20.0428, 	24.3789, 	1, 	-1.249e-14, 	3.04, 	(-0.341636,0.447945);
14:35:54.810, 	1, 	2, 	19.8255, 	24.3757, 	1, 	-1.249e-14, 	3.04, 	(0.271379,0.423506);
14:35:54.832, 	1, 	2, 	20.4552, 	25.2606, 	1, 	-1.249e-14, 	3.04, 	(-0.136911,0.629451);
14:35:54.851, 	1, 	2, 	18.3948, 	23.2352, 	1, 	-1.249e-14, 	3.04, 	(-0.52127,-0.375474);
14:35:54.871, 	1, 	2, 	20.5, 	24.6033, 	1, 	-1.249e-14, 	3.04, 	(0.500556,0.197572);
14:35:54.892, 	1, 	2, 	17.4169, 	20.5258, 	1, 	-1.249e-14, 	3.04, 	(0.2487,0.524466);
14:35:54.911, 	1, 	2, 	17.679, 	22.6453, 	1, 	-1.249e-14, 	3.04, 	(0.0633273,-0.621623);
14:35:54.931, 	1, 	2, 	19.8271, 	23.7157, 	1, 	-1.249e-14, 	3.04, 	(0.201335,0.633777);
14:35:54.951, 	1, 	2, 	21.3165, 	23.7157, 	1, 	-1.249e-14, 	3.04, 	(0.201335,0.633777);
14:35:54.971, 	1, 	2, 	20.9497, 	24.833, 	1, 	-1.249e-14, 	3.04, 	(-0.65327,-0.135392);
14:35:54.991, 	1, 	2, 	19.38, 	24.0013, 	1, 	-1.249e-14, 	3.04, 	(0.251795,0.607237);
14:35:55.012, 	1, 	2, 	20.5291, 	24.8389, 	1, 	-1.249e-14, 	3.04, 	(-0.593811,0.337525);
14:35:55.032, 	1, 	2, 	21.6072, 	25.0602, 	1, 	-1.249e-14, 	3.04, 	(-0.00657485,0.672449);
14:35:55.052, 	1, 	2, 	22.9482, 	24.6399, 	1, 	-1.249e-14, 	3.04, 	(0.536602,0.351177);
14:35:55.072, 	1, 	2, 	22.9061, 	25.0235, 	1, 	-1.249e-14, 	3.04, 	(-0.462143,0.381742);
14:35:55.092, 	1, 	2, 	23.0857, 	24.6278, 	1, 	-1.249e-14, 	3.04, 	(-0.639084,-0.267274);
14:35:55.112, 	1, 	2, 	17.8422, 	22.4696, 	1, 	-1.249e-14, 	3.04, 	(-0.338942,0.510135);
14:35:55.133, 	1, 	2, 	23.3315, 	24.3425, 	1, 	-1.249e-14, 	3.04, 	(0.614406,0.10637);
14:35:55.153, 	1, 	2, 	23.015, 	25.3241, 	1, 	-1.249e-14, 	3.04, 	(-0.500939,0.227508);
14:35:55.173, 	1, 	2, 	21.8885, 	24.5264, 	1, 	-1.249e-14, 	3.04, 	(-0.691084,-0.13024);
14:35:55.193, 	1, 	2, 	22.8032, 	25.7256, 	1, 	-1.249e-14, 	3.04, 	(-0.472207,0.479171);
14:35:55.213, 	1, 	2, 	19.7373, 	25.2788, 	1, 	-1.249e-14, 	3.04, 	(0.634117,0.329034);
14:35:55.233, 	1, 	2, 	21.7597, 	25.1794, 	1, 	-1.249e-14, 	3.04, 	(-0.629581,-0.364855);
14:35:55.255, 	1, 	2, 	21.4137, 	25.4448, 	1, 	-1.249e-14, 	3.04, 	(0.15588,0.67266);
14:35:55.274, 	1, 	2, 	19.9102, 	23.8724, 	1, 	-1.249e-14, 	3.04, 	(-0.362142,0.647683);
14:35:55.294, 	1, 	2, 	22.0191, 	24.9924, 	1, 	-1.249e-14, 	3.04, 	(0.686701,0.329219);
14:35:55.314, 	1, 	2, 	22.8588, 	25.4892, 	1, 	-1.249e-14, 	3.04, 	(0.388523,-0.636511);
14:35:55.334, 	1, 	2, 	22.6931, 	18.3942, 	1, 	-1.249e-14, 	3.04, 	(0.15674,-0.338621);
14:35:55.354, 	1, 	2, 	23.5243, 	25.4923, 	1, 	-1.249e-14, 	3.04, 	(-0.442557,0.456407);
14:35:55.375, 	1, 	2, 	22.8588, 	25.5405, 	1, 	-1.249e-14, 	3.04, 	(0.753534,0.0856812);
14:35:55.395, 	1, 	2, 	17.9093, 	21.9103, 	1, 	-1.249e-14, 	3.04, 	(-0.0854025,-0.698838);
14:35:55.415, 	1, 	2, 	24.9191, 	18.2579, 	1, 	-1.249e-14, 	3.04, 	(0.245895,0.248815);
14:35:55.435, 	1, 	2, 	23.0878, 	25.3252, 	1, 	-1.249e-14, 	3.04, 	(-0.588771,-0.486093);
14:35:55.457, 	1, 	2, 	19.0634, 	24.0666, 	1, 	-1.249e-14, 	3.04, 	(-0.713114,-0.0755347);
14:35:55.475, 	1, 	2, 	24.7307, 	25.5313, 	1, 	-1.249e-14, 	3.04, 	(-0.658197,0.183823);
14:35:55.495, 	1, 	2, 	23.8687, 	24.9907, 	1, 	-1.249e-14, 	3.04, 	(-0.0279943,0.597215);
14:35:55.516, 	1, 	2, 	24.4188, 	24.7845, 	1, 	-1.249e-14, 	3.04, 	(-0.495866,0.0418458);
14:35:55.536, 	1, 	2, 	18.2662, 	22.0825, 	1, 	-1.249e-14, 	3.04, 	(-0.69728,0.189288);
14:35:55.556, 	1, 	2, 	22.0472, 	24.743, 	1, 	-1.249e-14, 	3.04, 	(0.325817,-0.688449);
14:35:55.576, 	1, 	2, 	22.2343, 	25.7182, 	1, 	-1.249e-14, 	3.04, 	(0.624981,0.463003);
14:35:55.596, 	1, 	2, 	24.8571, 	25.6704, 	1, 	-1.249e-14, 	3.04, 	(-0.642747,-0.395233);
14:35:55.617, 	1, 	2, 	23.1768, 	25.1679, 	1, 	-1.249e-14, 	3.04, 	(-0.0925594,-0.701528);
14:35:55.636, 	1, 	2, 	24.038, 	25.6104, 	1, 	-1.249e-14, 	3.04, 	(0.341786,0.534595);
