(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:57:19.568, 	1, 	1, 	19.2157, 	14.5344, 	0, 	-1.249e-14, 	2.736, 	(0.68703,-0.335536);(-0.982908,-0.422444);(1.137,1.02058);(-1.14644,-0.95577);
14:57:34.450, 	0, 	2, 	21.1669, 	15.1723, 	0, 	-1.249e-14, 	2.736, 	(0.0762161,-0.00277219);
14:57:34.470, 	1, 	2, 	21.03, 	24.4737, 	1, 	4, 	2.432, 	(0.44982,-0.0746011);
14:57:34.482, 	1, 	1, 	21.4016, 	17.1168, 	0, 	4, 	2.128, 	(-0.592159,-0.297098);(0.0461756,1.13131);(0.804248,-1.65905);(-0.986222,1.56712);
14:57:34.511, 	1, 	2, 	20.96, 	24.0648, 	1, 	4, 	2.128, 	(0.69448,-0.0629439);
14:57:34.532, 	1, 	2, 	23.2637, 	25.1244, 	1, 	4, 	2.128, 	(-0.726969,-0.198404);
14:57:34.551, 	1, 	2, 	17.8788, 	21.5577, 	1, 	4, 	2.128, 	(0.572586,0.374419);
14:57:34.571, 	1, 	2, 	25.0983, 	25.4186, 	1, 	4, 	2.128, 	(-0.585204,-0.361024);
14:57:34.591, 	1, 	2, 	24.3186, 	25.3287, 	1, 	4, 	2.128, 	(0.58657,-0.128692);
14:57:34.611, 	1, 	2, 	24.18, 	25.7495, 	1, 	4, 	2.128, 	(-0.159754,0.476738);
14:57:34.634, 	1, 	2, 	24.2825, 	25.0384, 	1, 	4, 	2.432, 	(-0.689666,-0.119564);
14:57:34.652, 	1, 	2, 	21.121, 	24.2869, 	1, 	4, 	2.736, 	(0.486102,0.560328);
14:57:34.672, 	1, 	2, 	22.2968, 	24.4132, 	1, 	4, 	2.736, 	(-0.2523,0.460987);
14:57:34.692, 	1, 	2, 	24.5432, 	25.5787, 	1, 	4, 	3.04, 	(-0.5829,-0.433085);
14:57:34.712, 	1, 	2, 	21.1706, 	23.4038, 	1, 	4, 	3.04, 	(0.388436,0.642313);
14:57:34.735, 	1, 	2, 	23.8338, 	24.1706, 	1, 	4, 	3.04, 	(0.407161,-0.451219);
14:57:34.753, 	1, 	2, 	24.7085, 	25.5242, 	1, 	4, 	3.04, 	(-0.483355,-0.175676);
14:57:34.773, 	1, 	2, 	23.7938, 	25.5257, 	1, 	4, 	3.04, 	(-0.732238,0.119802);
14:57:34.793, 	1, 	2, 	25.5585, 	24.7886, 	1, 	4, 	3.04, 	(0.559515,-0.304943);
14:57:34.813, 	1, 	2, 	25.3662, 	24.8828, 	1, 	4, 	3.04, 	(0.07792,0.534116);
14:57:34.833, 	1, 	2, 	26.0883, 	26.0233, 	1, 	4, 	3.04, 	(0.132019,0.703798);
14:57:34.853, 	1, 	2, 	25.1069, 	25.6318, 	1, 	4, 	3.04, 	(0.585169,0.291337);
14:57:34.873, 	1, 	2, 	24.3282, 	24.8655, 	1, 	4, 	3.04, 	(0.557275,0.486643);
14:57:34.893, 	1, 	2, 	18.2623, 	22.6408, 	1, 	4, 	3.04, 	(0.658356,0.165757);
14:57:34.914, 	1, 	2, 	24.9552, 	25.4894, 	1, 	4, 	3.04, 	(-0.545067,-0.412652);
