(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:36:59.094, 	1, 	1, 	13.3186, 	7.87343, 	0, 	-1.249e-14, 	2.736, 	(0.0745855,0.512643);(0.361745,-0.768726);(0.100583,1.22081);(-0.643652,-0.94168);
14:37:13.331, 	0, 	2, 	13.542, 	4.91539, 	0, 	-1.249e-14, 	2.736, 	(0.0458706,0.000656967);
14:37:13.351, 	1, 	2, 	15.445, 	23.816, 	1, 	4, 	2.432, 	(0.522427,-0.0306998);
14:37:13.366, 	1, 	1, 	14.924, 	9.84725, 	0, 	4, 	2.128, 	(0.402121,0.314295);(-0.248556,-0.894331);(1.01759,0.981412);(-1.24419,-0.170756);
14:37:13.391, 	1, 	2, 	14.8489, 	23.6688, 	1, 	4, 	2.128, 	(0.451565,-0.309716);
14:37:13.411, 	1, 	2, 	15.2369, 	23.3112, 	1, 	4, 	2.128, 	(0.484498,-0.245911);
14:37:13.452, 	0, 	1, 	-0.572281, 	1.42517, 	1, 	4, 	2.128, 	(-0.0268112,-0.0907747);(-0.00400162,0.0446556);(0.0176775,0.183861);(-0.0227086,0.0957754);
14:37:13.487, 	0, 	1, 	15.2138, 	8.1517, 	0, 	8, 	1.824, 	(-0.146323,0.370146);(0.53178,-0.487019);(-0.39474,1.32414);(-0.452027,-1.16933);
14:37:13.508, 	0, 	1, 	14.9801, 	10.0421, 	0, 	12, 	1.52, 	(0.238762,-0.639763);(-0.433754,0.788422);(0.0522116,-1.52631);(0.766497,1.11229);
14:37:13.528, 	0, 	1, 	14.7707, 	9.22553, 	0, 	16, 	1.216, 	(-1.08256,0.237579);(1.53803,-0.118377);(-0.955156,0.748697);(0.297129,-1.09564);
14:37:13.548, 	0, 	1, 	14.6849, 	8.40689, 	0, 	20, 	0.912, 	(0.378944,0.826733);(-0.215193,-1.35738);(1.00254,1.12417);(-1.37225,-0.262138);
14:37:13.568, 	0, 	1, 	15.3162, 	10.3404, 	0, 	24, 	0.912, 	(0.496776,0.0630621);(-0.658098,-0.535751);(1.38996,0.155393);(-1.07331,0.73205);
14:37:13.588, 	0, 	1, 	15.3035, 	8.39095, 	0, 	28, 	0.912, 	(0.563252,-0.943182);(-1.00045,1.17812);(0.186609,-1.26161);(0.671535,1.02865);
14:37:13.608, 	0, 	1, 	14.6643, 	8.27536, 	0, 	32, 	0.608, 	(-0.206607,0.809544);(0.622942,-1.08486);(-0.010936,1.53808);(-0.974825,-1.00773);
14:37:13.627, 	1, 	1, 	14.1652, 	7.05589, 	0, 	36, 	0.304, 	(0.331687,0.493426);(0.331687,0.493426);(-0.331687,-0.493426);(0.331687,0.493426);
14:37:13.648, 	1, 	1, 	14.9917, 	8.96578, 	0, 	36, 	-7.10543e-17, 	(-0.512898,0.255413);(0.951359,0.0368252);(-1.35753,0.747781);(0.37663,-1.24425);
14:37:13.673, 	1, 	2, 	13.813, 	24.5446, 	1, 	36, 	0.304, 	(-0.480965,0.436406);
14:37:13.694, 	1, 	2, 	15.5001, 	21.5006, 	1, 	36, 	0.608, 	(-0.1222,-0.568305);
14:37:13.714, 	1, 	2, 	15.9745, 	24.9641, 	1, 	36, 	0.912, 	(-0.303593,0.504725);
14:37:13.754, 	1, 	2, 	13.8292, 	19.8736, 	1, 	36, 	1.216, 	(-0.315583,-0.479055);
14:37:13.774, 	1, 	2, 	14.7404, 	22.4636, 	1, 	36, 	1.52, 	(-0.0879942,-0.619348);
14:37:13.794, 	1, 	2, 	16.2921, 	21.6993, 	1, 	36, 	1.824, 	(0.398238,-0.179422);
14:37:13.815, 	1, 	2, 	12.7342, 	20.4727, 	1, 	36, 	2.128, 	(0.211832,-0.479283);
14:37:13.837, 	1, 	2, 	14.385, 	25.0902, 	1, 	36, 	2.432, 	(0.654325,0.0853354);
14:37:13.855, 	1, 	2, 	15.23, 	24.3331, 	1, 	36, 	2.736, 	(-0.163229,-0.5982);
14:37:13.895, 	1, 	2, 	14.318, 	21.948, 	1, 	36, 	3.04, 	(0.562936,-0.101929);
14:37:13.915, 	1, 	2, 	16.0095, 	22.3547, 	1, 	32, 	3.04, 	(0.505821,-0.429369);
14:37:13.977, 	1, 	2, 	14.636, 	24.9446, 	1, 	32, 	3.04, 	(0.689537,-0.128492);
14:37:14.016, 	1, 	2, 	16.4377, 	24.1487, 	1, 	32, 	3.04, 	(-0.553045,0.1342);
14:37:14.137, 	1, 	2, 	16.0882, 	25.0672, 	1, 	32, 	3.04, 	(0.23109,-0.601758);
14:37:14.240, 	0, 	2, 	-0.350175, 	0.320406, 	1, 	32, 	3.04, 	(-0.0450873,0.0176695);
14:37:14.275, 	0, 	1, 	17.0164, 	0.320406, 	0, 	36, 	2.736, 	(-0.0450873,0.0176695);
14:37:14.291, 	1, 	1, 	17.0736, 	12.0153, 	0, 	32, 	2.128, 	(-0.264106,1.20537);(-0.266544,-1.40621);(0.614524,0.118553);(-0.498153,0.397165);
14:37:14.318, 	1, 	2, 	18.1302, 	24.2402, 	1, 	28, 	2.128, 	(-0.433584,0.0474304);
14:37:14.399, 	1, 	2, 	18.0964, 	25.653, 	1, 	24, 	2.128, 	(0.675405,-0.0967773);
14:37:14.439, 	1, 	2, 	19.0658, 	25.956, 	1, 	20, 	2.128, 	(0.129509,0.724555);
14:37:14.463, 	0, 	2, 	-0.386828, 	1.82112, 	1, 	20, 	2.128, 	(-0.0410238,-0.0624004);
14:37:14.480, 	1, 	2, 	20.702, 	24.8533, 	1, 	16, 	1.824, 	(-0.120462,0.633729);
14:37:14.494, 	1, 	1, 	20.9602, 	13.3027, 	0, 	12, 	1.52, 	(0.351721,-1.18137);(0.44214,1.42789);(-0.662381,0.00513076);(0.319195,-0.53082);
14:37:14.520, 	1, 	2, 	20.144, 	13.3027, 	1, 	12, 	1.52, 	(0.351721,-1.18137);(0.44214,1.42789);(-0.662381,0.00513076);(0.319195,-0.53082);
14:37:14.540, 	1, 	2, 	19.9603, 	25.7832, 	1, 	12, 	1.824, 	(0.347631,0.59563);
14:37:14.560, 	1, 	2, 	20.9176, 	25.3316, 	1, 	12, 	2.128, 	(0.21587,0.565455);
14:37:14.580, 	1, 	2, 	20.1538, 	24.6408, 	1, 	12, 	2.432, 	(0.105696,0.501368);
14:37:14.601, 	1, 	2, 	19.3698, 	25.9087, 	1, 	12, 	2.432, 	(-0.283557,0.288271);
14:37:14.621, 	1, 	2, 	18.2414, 	24.2137, 	1, 	12, 	2.432, 	(0.754015,-0.160838);
14:37:14.641, 	0, 	2, 	19.4988, 	16.3166, 	1, 	12, 	2.432, 	(0.207121,-0.17978);
14:37:14.661, 	1, 	2, 	21.8778, 	25.5755, 	1, 	16, 	2.432, 	(-0.733254,0.05569);
