(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:28:50.241, 	1, 	1, 	21.6841, 	14.069, 	0, 	-1.38778e-15, 	1.216, 	(0.879261,0.617138);(-0.255735,-1.27321);(-0.168801,1.03488);(0.268564,-0.982769);
14:29:33.584, 	1, 	2, 	19.1425, 	23.1121, 	1, 	-1.38778e-15, 	1.216, 	(0.593826,-0.142173);
14:29:33.602, 	1, 	1, 	20.8982, 	14.7256, 	0, 	-1.38778e-15, 	0.912, 	(0.663235,0.907614);(0.217767,-1.38261);(-0.675667,1.12544);(0.730169,-1.03608);
14:29:33.624, 	1, 	2, 	21.3931, 	24.5319, 	1, 	-1.38778e-15, 	1.216, 	(0.184363,-0.551568);
14:29:33.642, 	1, 	1, 	19.3074, 	14.9067, 	0, 	-1.38778e-15, 	0.912, 	(0.480558,0.207092);(-0.052937,-0.9362);(-0.740179,1.59681);(0.744058,-1.54854);
14:29:33.663, 	1, 	1, 	20.8656, 	14.5786, 	0, 	-1.38778e-15, 	0.912, 	(0.490108,0.458655);(0.234688,-1.0701);(-1.14199,1.43627);(1.14472,-1.38399);
14:29:33.685, 	1, 	2, 	21.1975, 	23.2983, 	1, 	-1.38778e-15, 	1.216, 	(-0.459414,0.402096);
14:29:33.702, 	1, 	1, 	21.6128, 	17.3645, 	0, 	-1.38778e-15, 	0.912, 	(-0.198911,0.919124);(1.21338,-0.583328);(-1.80184,0.0331782);(1.75204,0.0355341);
14:29:33.722, 	1, 	1, 	19.8605, 	17.0751, 	0, 	-1.38778e-15, 	0.912, 	(0.465242,-0.225039);(-0.736574,-0.566813);(0.686313,1.64075);(-0.632835,-1.62202);
14:29:33.745, 	1, 	2, 	19.4054, 	23.748, 	1, 	-1.38778e-15, 	1.216, 	(-0.308947,0.454781);
14:29:33.762, 	1, 	1, 	21.1391, 	14.9149, 	0, 	-1.38778e-15, 	1.216, 	(-0.782452,-0.601708);(-0.222857,1.15103);(1.0183,-1.58875);(-1.00332,1.47798);
14:29:33.783, 	1, 	1, 	23.0968, 	16.9757, 	0, 	-1.38778e-15, 	0.912, 	(-0.698091,0.807744);(1.30087,0.208016);(-1.57871,-0.943545);(1.44157,0.967036);
14:29:33.806, 	1, 	2, 	21.4887, 	24.7064, 	1, 	-1.38778e-15, 	1.216, 	(-0.488234,-0.113071);
14:29:33.823, 	1, 	1, 	22.2424, 	13.6818, 	0, 	-1.38778e-15, 	0.912, 	(-0.440793,1.13706);(1.32067,-0.242935);(-1.4876,-0.289187);(1.40659,0.364917);
14:29:33.843, 	1, 	1, 	23.0412, 	15.9525, 	0, 	-1.38778e-15, 	0.912, 	(-1.08049,0.31562);(1.10601,0.821671);(-0.659783,-1.12315);(0.535022,1.18687);
14:29:33.866, 	1, 	2, 	23.8457, 	24.5282, 	1, 	-1.38778e-15, 	1.216, 	(0.126863,-0.529546);
14:29:33.883, 	1, 	1, 	23.6076, 	18.9633, 	0, 	-1.38778e-15, 	0.912, 	(-0.719648,-0.834707);(-0.580126,1.32074);(1.25767,-1.21513);(-1.3021,1.09727);
14:29:33.906, 	1, 	2, 	20.7324, 	23.3146, 	1, 	-1.38778e-15, 	1.216, 	(-0.518564,-0.149783);
14:29:33.926, 	1, 	2, 	23.5239, 	24.52, 	1, 	-1.38778e-15, 	1.52, 	(-0.219349,-0.325539);
14:29:33.945, 	1, 	1, 	22.9102, 	16.554, 	0, 	-1.38778e-15, 	1.216, 	(0.0723692,0.999447);(1.28839,-0.725575);(-1.85379,0.14515);(1.81407,-0.00142308);
14:29:33.967, 	1, 	2, 	20.3277, 	22.6898, 	1, 	-1.38778e-15, 	1.52, 	(-0.484921,0.225863);
14:29:33.987, 	1, 	2, 	22.4015, 	23.6262, 	1, 	-1.38778e-15, 	1.824, 	(-0.511183,0.234124);
14:29:34.004, 	1, 	1, 	23.9537, 	16.8253, 	0, 	-1.38778e-15, 	1.52, 	(-0.990239,-0.111044);(0.640283,1.28985);(-0.0845032,-1.3328);(-0.0968868,1.28471);
