(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:39:42.857, 	1, 	1, 	15.4887, 	11.7765, 	0, 	12, 	2.128, 	(-0.342378,0.347812);(0.689381,-0.253627);(-0.911984,0.899382);(0.260003,-1.12721);
14:39:57.791, 	1, 	2, 	14.0165, 	20.9885, 	1, 	12, 	2.128, 	(-0.455743,-0.231926);
14:39:57.811, 	1, 	2, 	14.7948, 	24.37, 	1, 	12, 	2.128, 	(-0.401335,-0.430781);
14:39:57.831, 	1, 	2, 	14.1545, 	23.8801, 	1, 	12, 	2.128, 	(-0.118659,-0.593615);
14:39:57.851, 	1, 	2, 	15.4587, 	16.6542, 	1, 	12, 	2.128, 	(-0.109318,-0.232884);
14:39:57.871, 	1, 	2, 	14.0252, 	21.4031, 	1, 	12, 	2.128, 	(0.188625,-0.500816);
14:39:57.891, 	1, 	2, 	15.2401, 	23.04, 	1, 	12, 	2.128, 	(-0.606575,0.0829464);
14:39:57.911, 	1, 	2, 	14.1019, 	19.2151, 	1, 	12, 	2.128, 	(-0.422882,-0.184273);
14:39:57.931, 	1, 	2, 	15.4121, 	24.7267, 	1, 	12, 	2.432, 	(0.504227,-0.432081);
14:39:57.951, 	1, 	2, 	16.3655, 	22.2316, 	1, 	12, 	2.736, 	(-0.602377,-0.131896);
14:39:57.972, 	1, 	2, 	15.7707, 	23.3949, 	1, 	12, 	3.04, 	(0.38755,-0.552983);
14:39:57.992, 	1, 	2, 	16.4884, 	24.9262, 	1, 	12, 	3.04, 	(-0.578416,-0.354322);
14:39:58.011, 	1, 	2, 	14.0951, 	21.9116, 	1, 	12, 	3.04, 	(-0.107689,-0.596449);
14:39:58.032, 	1, 	2, 	13.4498, 	24.9312, 	1, 	8, 	3.04, 	(0.362356,0.521209);
14:39:58.052, 	1, 	2, 	14.5149, 	25.006, 	1, 	8, 	3.04, 	(0.204043,-0.665828);
14:39:58.072, 	1, 	2, 	14.8449, 	19.8483, 	1, 	8, 	3.04, 	(-0.500137,0.279493);
14:39:58.092, 	1, 	2, 	15.4702, 	24.6081, 	1, 	8, 	3.04, 	(-0.653826,0.124082);
14:39:58.113, 	1, 	2, 	15.7523, 	24.783, 	1, 	8, 	3.04, 	(0.571779,0.381605);
14:39:58.139, 	1, 	2, 	15.6491, 	24.9377, 	1, 	8, 	3.04, 	(0.229713,0.67103);
14:39:58.154, 	1, 	2, 	15.8963, 	24.6873, 	1, 	8, 	3.04, 	(0.589277,-0.360202);
14:39:58.213, 	1, 	2, 	14.2302, 	21.1629, 	1, 	8, 	3.04, 	(-0.588177,-0.206826);
14:39:58.294, 	1, 	2, 	15.7193, 	25.0587, 	1, 	8, 	3.04, 	(0.0303999,0.6725);
14:39:58.576, 	1, 	2, 	15.9144, 	25.6915, 	1, 	8, 	3.04, 	(-0.40086,0.57532);
