(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:41:53.704, 	1, 	1, 	15.714, 	9.0373, 	0, 	8, 	2.736, 	(-0.234111,0.862087);(0.534105,-1.03864);(-0.0309938,1.3819);(-0.541052,-1.14276);
14:42:08.295, 	1, 	2, 	12.8194, 	18.2834, 	1, 	4, 	2.736, 	(0.157366,0.390005);
14:42:08.315, 	1, 	2, 	13.6335, 	20.5855, 	1, 	4, 	2.736, 	(-0.321206,-0.380799);
14:42:08.336, 	1, 	2, 	14.539, 	22.5701, 	1, 	-1.249e-14, 	2.736, 	(0.540885,-0.139949);
14:42:08.356, 	1, 	2, 	12.8718, 	17.2708, 	1, 	-1.249e-14, 	2.736, 	(0.271043,-0.284077);
14:42:08.376, 	1, 	2, 	13.8408, 	20.0771, 	1, 	-1.249e-14, 	2.736, 	(-0.0891018,0.457858);
14:42:08.396, 	1, 	2, 	13.2963, 	20.8476, 	1, 	-1.249e-14, 	2.736, 	(0.215499,0.498669);
14:42:08.415, 	1, 	2, 	14.7983, 	24.9032, 	1, 	-1.249e-14, 	2.736, 	(-0.144192,-0.559313);
14:42:08.436, 	1, 	2, 	13.5581, 	19.3453, 	1, 	-1.249e-14, 	2.736, 	(0.334412,-0.269752);
14:42:08.456, 	1, 	2, 	15.4916, 	23.9677, 	1, 	-1.249e-14, 	2.736, 	(0.355686,0.458283);
14:42:08.476, 	1, 	2, 	15.2254, 	23.3911, 	1, 	-1.249e-14, 	3.04, 	(-0.373683,0.453165);
14:42:08.496, 	1, 	2, 	15.7497, 	24.8344, 	1, 	-1.249e-14, 	3.04, 	(-0.312252,0.42941);
14:42:08.516, 	1, 	2, 	15.0392, 	25.1006, 	1, 	-1.249e-14, 	3.04, 	(0.521483,-0.384758);
14:42:08.536, 	1, 	2, 	15.0518, 	22.0227, 	1, 	-1.249e-14, 	3.04, 	(-0.139847,-0.57515);
14:42:08.577, 	1, 	2, 	15.0686, 	25.0047, 	1, 	-1.249e-14, 	3.04, 	(-0.131154,-0.668877);
14:42:08.597, 	1, 	2, 	15.2498, 	25.0874, 	1, 	-1.249e-14, 	3.04, 	(0.579552,0.359294);
14:42:08.637, 	1, 	2, 	14.3038, 	19.756, 	1, 	-1.249e-14, 	3.04, 	(-0.297074,0.428559);
14:42:08.678, 	1, 	2, 	12.5966, 	22.1697, 	1, 	-1.249e-14, 	3.04, 	(0.457412,-0.502371);
14:42:08.718, 	1, 	2, 	15.678, 	25.3411, 	1, 	-1.249e-14, 	3.04, 	(0.206107,0.683278);
14:42:08.739, 	1, 	2, 	16.0777, 	25.6408, 	1, 	-1.249e-14, 	3.04, 	(0.0289965,0.703557);
14:42:08.859, 	1, 	2, 	16.0873, 	25.1942, 	1, 	-1.249e-14, 	3.04, 	(0.295971,0.404911);
14:42:08.980, 	1, 	2, 	17.3932, 	25.4812, 	1, 	-1.249e-14, 	3.04, 	(0.32404,-0.501273);
14:42:09.000, 	1, 	2, 	17.3924, 	25.2217, 	1, 	-1.249e-14, 	3.04, 	(0.387273,0.290347);
14:42:09.041, 	1, 	2, 	19.4179, 	25.2217, 	1, 	-1.249e-14, 	3.04, 	(0.387273,0.290347);
14:42:09.060, 	1, 	2, 	17.5989, 	24.3526, 	1, 	-1.249e-14, 	3.04, 	(0.50056,0.531318);
14:42:09.081, 	1, 	2, 	17.8008, 	24.5852, 	1, 	-1.249e-14, 	3.04, 	(-0.229473,-0.34101);
