(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:35:30.362, 	1, 	1, 	21.5071, 	14.6507, 	0, 	4, 	1.52, 	(0.0252265,-0.677538);(-1.59642,0.429305);(0.803768,0.133515);(-0.767427,-0.114718);
14:36:03.475, 	1, 	2, 	19.8181, 	21.0872, 	1, 	4, 	1.52, 	(-0.243761,0.248777);
14:36:03.510, 	1, 	1, 	20.2969, 	15.3365, 	0, 	4, 	1.216, 	(0.617311,0.586524);(1.47415,0.214494);(-1.47415,-0.214494);(0.617311,0.586524);
14:36:03.530, 	1, 	1, 	21.5501, 	13.859, 	0, 	4, 	1.216, 	(-0.369932,0.632629);(1.536,-0.00926441);(-0.619704,-0.298848);(0.546365,0.324517);
14:36:03.557, 	1, 	2, 	20.9054, 	22.1498, 	1, 	4, 	1.216, 	(-0.205079,0.10542);
14:36:03.570, 	1, 	1, 	20.7137, 	17.0222, 	0, 	4, 	0.912, 	(0.414681,0.838385);(0.435242,-1.31716);(-0.859585,1.09723);(0.872983,-0.987357);
14:36:03.591, 	1, 	1, 	20.5567, 	16.155, 	0, 	4, 	0.912, 	(-0.172413,0.693428);(1.15466,-0.662871);(-1.79191,0.154114);(1.7317,-0.0851943);
14:36:03.616, 	1, 	2, 	20.2005, 	22.0537, 	1, 	4, 	0.912, 	(-0.219397,0.322219);
14:36:03.631, 	1, 	1, 	21.004, 	17.5703, 	0, 	4, 	0.912, 	(1.03828,-0.0964875);(-1.01059,-0.977612);(0.651806,1.43114);(-0.556544,-1.37437);
14:36:03.651, 	1, 	1, 	21.1461, 	11.7981, 	0, 	4, 	0.912, 	(0.851299,0.565359);(-0.319819,-1.36669);(-0.205932,1.32616);(0.292785,-1.2704);
14:36:03.677, 	1, 	2, 	18.4265, 	21.3793, 	1, 	4, 	1.216, 	(0.448464,-0.0414346);
14:36:03.691, 	1, 	1, 	20.8564, 	14.134, 	0, 	4, 	0.912, 	(-0.8165,-0.611704);(0.0848988,1.39155);(0.61495,-1.5897);(-0.66742,1.50951);
14:36:03.712, 	1, 	1, 	21.659, 	15.7343, 	0, 	4, 	0.912, 	(0.952954,0.582725);(-0.219755,-1.38806);(-0.407711,1.48845);(0.468235,-1.40282);
