2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	55.1161, 	-60, 	26.1534, 	1, 	1.52
2, 	55.1161, 	-59, 	10.7449, 	0, 	0.304
2, 	55.1161, 	-58, 	0, 	0, 	0.304
2, 	50.6636, 	-57, 	21.9101, 	1, 	0.608
2, 	50.6636, 	-56, 	21.9155, 	1, 	0.912
2, 	52.098, 	-55, 	21.1139, 	0, 	0.912
2, 	52.098, 	-54, 	19.819, 	0, 	0.912
2, 	52.098, 	-53, 	21.1035, 	1, 	1.216
2, 	52.098, 	-52, 	19.2289, 	0, 	1.216
2, 	52.098, 	-51, 	19.7438, 	0, 	1.216
2, 	52.098, 	-50, 	19.3947, 	0, 	0.912
2, 	52.098, 	-49, 	17.8722, 	0, 	0.912
2, 	52.098, 	-48, 	18.1495, 	0, 	0.912
2, 	50.6636, 	-47, 	17.4276, 	0, 	0.912
2, 	50.6636, 	-46, 	19.0482, 	0, 	0.608
2, 	47.9181, 	-45, 	14.6121, 	0, 	0.304
2, 	47.9181, 	-44, 	16.6486, 	0, 	0.304
2, 	44.0521, 	-43, 	14.8418, 	0, 	0.304
2, 	44.0521, 	-42, 	15.9556, 	0, 	-7.10543e-17
2, 	47.9181, 	-41, 	0, 	0, 	-7.10543e-17
2, 	47.9181, 	-40, 	10.2667, 	0, 	-7.10543e-17
2, 	47.9181, 	-39, 	13.6866, 	0, 	-7.10543e-17
2, 	47.9181, 	-38, 	0, 	0, 	-7.10543e-17
2, 	46.599, 	-37, 	16.7874, 	1, 	0.304
2, 	46.599, 	-36, 	13.9924, 	0, 	0.304
2, 	46.599, 	-35, 	17.3659, 	1, 	0.608
2, 	46.599, 	-34, 	17.2407, 	0, 	0.608
2, 	47.9181, 	-33, 	15.3776, 	1, 	0.912
2, 	47.9181, 	-32, 	17.9866, 	0, 	0.912
2, 	45.3112, 	-31, 	18.6789, 	1, 	1.216
2, 	45.3112, 	-30, 	18.5475, 	1, 	1.52
2, 	44.0521, 	-29, 	17.4217, 	1, 	1.824
2, 	44.0521, 	-28, 	19.3331, 	1, 	2.128
2, 	44.0521, 	-27, 	17.9506, 	1, 	2.128
2, 	44.0521, 	-26, 	19.3415, 	1, 	2.432
2, 	41.6104, 	-25, 	19.3878, 	1, 	2.432
2, 	41.6104, 	-24, 	18.8493, 	1, 	2.736
2, 	41.6104, 	-23, 	16.4202, 	1, 	2.736
2, 	41.6104, 	-22, 	0, 	0, 	2.736
2, 	41.6104, 	-21, 	15.5685, 	0, 	2.736
2, 	40.4239, 	-20, 	12.5032, 	0, 	2.736
2, 	40.4239, 	-19, 	12.4936, 	1, 	2.432
2, 	41.6104, 	-18, 	11.7735, 	0, 	2.432
2, 	41.6104, 	-17, 	10.0307, 	0, 	2.128
2, 	40.4239, 	-16, 	7.66459, 	0, 	1.824
2, 	40.4239, 	-15, 	8.23378, 	0, 	1.52
