(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:29:03.043, 	1, 	1, 	20.5681, 	14.8993, 	0, 	-1.38778e-15, 	2.736, 	(0.683776,0.468614);(-0.290169,-1.16561);(-0.210559,1.32317);(0.241785,-1.24225);
18:29:23.104, 	1, 	2, 	19.5991, 	24.6528, 	1, 	-1.38778e-15, 	2.736, 	(-0.294077,0.524919);
18:29:23.144, 	1, 	2, 	17.8138, 	20.6552, 	1, 	-1.38778e-15, 	2.736, 	(0.0241425,0.437815);
18:29:23.164, 	1, 	2, 	18.4344, 	22.396, 	1, 	-1.38778e-15, 	2.736, 	(-0.0829675,-0.356538);
18:29:23.184, 	1, 	2, 	19.1405, 	22.4476, 	1, 	-1.38778e-15, 	2.736, 	(0.0396939,-0.423771);
18:29:23.204, 	1, 	2, 	19.198, 	22.4783, 	1, 	-1.38778e-15, 	2.736, 	(-0.347695,-0.231707);
18:29:23.225, 	1, 	2, 	17.1849, 	20.7053, 	1, 	-1.38778e-15, 	2.736, 	(0.273044,0.281078);
18:29:23.245, 	1, 	2, 	18.0888, 	21.9386, 	1, 	-1.38778e-15, 	2.736, 	(0.0346028,-0.38688);
18:29:23.265, 	0, 	2, 	18.4021, 	18.0439, 	1, 	-1.38778e-15, 	2.736, 	(-0.0706441,-0.273854);
18:29:23.288, 	1, 	2, 	18.2731, 	18.6981, 	1, 	4, 	2.432, 	(0.0852033,0.16663);
18:29:23.296, 	1, 	1, 	19.7279, 	14.3673, 	0, 	4, 	2.432, 	(0.0449486,-0.827949);(-0.858665,0.845762);(1.34563,-0.535771);(-1.28464,0.47407);
18:29:23.316, 	1, 	1, 	18.0588, 	14.3563, 	0, 	4, 	2.128, 	(-0.558838,-0.708863);(-0.105954,1.17865);(0.5697,-1.15118);(-0.566098,1.08064);
18:29:23.346, 	1, 	2, 	18.2899, 	21.7915, 	1, 	4, 	2.128, 	(0.339095,-0.235951);
18:29:23.366, 	1, 	2, 	19.4796, 	23.166, 	1, 	4, 	2.128, 	(-0.281023,0.0974723);
18:29:23.386, 	1, 	2, 	18.3978, 	23.166, 	1, 	4, 	2.128, 	(-0.281023,0.0974723);
18:29:23.406, 	1, 	2, 	16.6395, 	21.6019, 	1, 	4, 	2.128, 	(-0.483031,0.10261);
18:29:23.432, 	1, 	2, 	19.2068, 	23.8787, 	1, 	4, 	2.128, 	(0.289743,-0.328244);
18:29:23.446, 	1, 	2, 	19.6615, 	23.9038, 	1, 	4, 	2.128, 	(0.129689,-0.38727);
18:29:23.467, 	1, 	2, 	17.16, 	21.5438, 	1, 	4, 	2.432, 	(0.302543,0.387753);
18:29:23.488, 	1, 	2, 	18.9159, 	22.8118, 	1, 	4, 	2.432, 	(0.37839,-0.367346);
18:29:23.508, 	1, 	2, 	19.126, 	23.4557, 	1, 	4, 	2.736, 	(-0.0573248,-0.438784);
18:29:23.527, 	1, 	2, 	20.0449, 	24.1342, 	1, 	4, 	3.04, 	(-0.183614,-0.356638);
18:29:23.548, 	1, 	2, 	16.0156, 	21.0069, 	1, 	4, 	3.04, 	(0.0499069,0.496411);
18:29:23.568, 	1, 	2, 	20.2232, 	25.6391, 	1, 	4, 	3.04, 	(-0.524278,0.286871);
18:29:23.588, 	1, 	2, 	17.8704, 	23.5344, 	1, 	4, 	3.04, 	(-0.153568,0.612374);
18:29:23.608, 	1, 	2, 	20.8067, 	24.9664, 	1, 	4, 	3.04, 	(-0.350292,-0.358541);
18:29:23.628, 	1, 	2, 	21.1243, 	25.4259, 	1, 	4, 	3.04, 	(0.189261,-0.625368);
18:29:23.648, 	1, 	2, 	21.0708, 	24.6172, 	1, 	4, 	3.04, 	(-0.206188,0.600715);
18:29:23.669, 	1, 	2, 	20.3331, 	24.2747, 	1, 	4, 	3.04, 	(-0.642248,-0.111331);
18:29:23.683, 	1, 	2, 	22.2122, 	25.2353, 	1, 	4, 	3.04, 	(0.396468,-0.532631);
18:29:23.700, 	1, 	2, 	21.617, 	24.4961, 	1, 	4, 	3.04, 	(-0.160734,-0.438822);
18:29:23.719, 	1, 	2, 	22.4183, 	24.4134, 	1, 	4, 	3.04, 	(0.0200662,0.422568);
18:29:23.739, 	1, 	2, 	18.5531, 	23.3913, 	1, 	4, 	3.04, 	(-0.322544,0.54478);
18:29:23.759, 	1, 	2, 	19.6707, 	24.3844, 	1, 	-1.38778e-15, 	3.04, 	(0.404917,-0.457857);
18:29:23.779, 	1, 	2, 	22.2343, 	24.4536, 	1, 	-1.38778e-15, 	3.04, 	(-0.222457,-0.40002);
18:29:23.799, 	1, 	2, 	22.0384, 	25.0738, 	1, 	-1.38778e-15, 	3.04, 	(0.595394,0.0924401);
18:29:23.819, 	1, 	2, 	21.605, 	24.5384, 	1, 	-1.38778e-15, 	3.04, 	(-0.137274,0.577541);
18:29:23.839, 	1, 	2, 	20.9908, 	23.7842, 	1, 	-1.38778e-15, 	3.04, 	(-0.524797,0.140875);
18:29:23.859, 	1, 	2, 	21.2085, 	25.0176, 	1, 	-1.38778e-15, 	3.04, 	(0.0314407,-0.557631);
18:29:23.880, 	1, 	2, 	21.5007, 	25.2949, 	1, 	-1.38778e-15, 	3.04, 	(0.532091,-0.465473);
18:29:23.900, 	1, 	2, 	17.7859, 	22.802, 	1, 	-1.38778e-15, 	3.04, 	(0.489267,0.437104);
18:29:23.921, 	1, 	2, 	20.4905, 	24.3184, 	1, 	-1.38778e-15, 	3.04, 	(-0.514089,0.486781);
18:29:23.940, 	1, 	2, 	21.4662, 	25.1501, 	1, 	-1.38778e-15, 	3.04, 	(0.739306,-0.0726268);
18:29:23.960, 	1, 	2, 	23.8522, 	25.1821, 	1, 	-1.38778e-15, 	3.04, 	(0.476018,0.234961);
18:29:23.981, 	1, 	2, 	24.7688, 	25.3292, 	1, 	-1.38778e-15, 	3.04, 	(0.117897,0.70674);
18:29:24.001, 	1, 	2, 	19.7144, 	23.5627, 	1, 	-1.38778e-15, 	3.04, 	(-0.236794,0.680313);
18:29:24.021, 	1, 	2, 	21.6669, 	24.8891, 	1, 	-1.38778e-15, 	3.04, 	(-0.594075,-0.442771);
18:29:24.041, 	1, 	2, 	23.0942, 	25.6803, 	1, 	-1.38778e-15, 	3.04, 	(0.286047,-0.677492);
18:29:24.061, 	1, 	2, 	17.7609, 	21.7774, 	1, 	-1.38778e-15, 	3.04, 	(0.26805,0.614399);
18:29:24.082, 	1, 	2, 	19.9051, 	23.6937, 	1, 	-1.38778e-15, 	3.04, 	(-0.695178,-0.160844);
18:29:24.102, 	1, 	2, 	22.0355, 	24.7674, 	1, 	-1.38778e-15, 	3.04, 	(0.528829,0.298845);
18:29:24.122, 	1, 	2, 	22.2255, 	25.8897, 	1, 	-1.38778e-15, 	3.04, 	(-0.407549,-0.637757);
18:29:24.142, 	1, 	2, 	23.2033, 	26.3877, 	1, 	-1.38778e-15, 	3.04, 	(0.264624,-0.699994);
18:29:24.162, 	1, 	2, 	18.7924, 	17.4875, 	1, 	-1.38778e-15, 	3.04, 	(0.361256,0.0541786);
18:29:24.182, 	1, 	2, 	21.5241, 	24.1323, 	1, 	-1.38778e-15, 	3.04, 	(0.691959,0.0757691);
18:29:24.204, 	1, 	2, 	23.5671, 	24.5125, 	1, 	-1.38778e-15, 	3.04, 	(-0.425288,-0.350577);
18:29:24.222, 	1, 	2, 	24.4895, 	25.7022, 	1, 	-1.38778e-15, 	3.04, 	(-0.582172,-0.43801);
18:29:24.243, 	1, 	2, 	25.0095, 	24.9454, 	1, 	-1.38778e-15, 	3.04, 	(0.590291,0.328046);
18:29:24.263, 	1, 	2, 	21.2461, 	23.9055, 	1, 	-1.38778e-15, 	3.04, 	(-0.224538,-0.703543);
18:29:24.283, 	1, 	2, 	23.6049, 	25.3005, 	1, 	-1.38778e-15, 	3.04, 	(-0.381941,-0.664239);
18:29:24.303, 	1, 	2, 	25.6356, 	26.1076, 	1, 	-1.38778e-15, 	3.04, 	(0.736548,0.0936658);
18:29:24.323, 	1, 	2, 	24.5112, 	26.0418, 	1, 	-1.38778e-15, 	3.04, 	(0.469189,-0.516193);
18:29:24.343, 	1, 	2, 	24.5529, 	25.3136, 	1, 	-1.38778e-15, 	3.04, 	(0.649608,0.0055618);
18:29:24.364, 	1, 	2, 	23.615, 	25.3471, 	1, 	-1.38778e-15, 	3.04, 	(0.23536,-0.510628);
18:29:24.384, 	1, 	2, 	24.8649, 	20.9777, 	1, 	-1.38778e-15, 	3.04, 	(0.398507,-0.404264);
18:29:24.404, 	1, 	2, 	19.9952, 	22.2281, 	1, 	-1.38778e-15, 	3.04, 	(-0.6831,-0.277063);
18:29:24.424, 	1, 	2, 	25.1641, 	25.4269, 	1, 	-1.38778e-15, 	3.04, 	(-0.413692,-0.58682);
18:29:24.445, 	1, 	2, 	24.3064, 	24.8875, 	1, 	-1.38778e-15, 	3.04, 	(-0.804587,-0.116798);
18:29:24.467, 	1, 	2, 	26.4403, 	26.1266, 	1, 	-1.38778e-15, 	3.04, 	(0.0275931,0.789375);
18:29:24.484, 	1, 	2, 	18.8589, 	21.8211, 	1, 	-1.38778e-15, 	3.04, 	(-0.70257,-0.0266511);
18:29:24.505, 	1, 	2, 	26.2655, 	25.7292, 	1, 	-1.38778e-15, 	3.04, 	(-0.671799,0.141288);
18:29:24.525, 	1, 	2, 	24.4139, 	25.1339, 	1, 	-1.38778e-15, 	3.04, 	(-0.591343,0.161065);
18:29:24.545, 	1, 	2, 	25.0932, 	26.3093, 	1, 	-1.38778e-15, 	3.04, 	(-0.710249,0.375066);
18:29:24.565, 	0, 	2, 	19.2587, 	13.0504, 	1, 	-1.38778e-15, 	3.04, 	(-0.0584098,-0.0357223);
18:29:24.586, 	0, 	2, 	25.202, 	13.9757, 	0, 	4, 	2.736, 	(0.0475146,0.0733057);
18:29:24.603, 	1, 	1, 	23.5658, 	17.371, 	0, 	8, 	2.128, 	(0.28569,0.807712);(1.30163,-0.561139);(-1.9025,-0.909773);(1.0592,1.81698);
18:29:24.623, 	1, 	1, 	25.1777, 	17.0333, 	0, 	8, 	1.824, 	(1.38952,0.0421338);(-0.536095,-1.51822);(-0.609172,1.23674);(1.2983,-0.626737);
18:29:24.646, 	0, 	2, 	18.2968, 	11.7645, 	0, 	8, 	1.824, 	(0.0381959,0.0256661);
18:29:24.666, 	0, 	2, 	19.8131, 	12.3953, 	0, 	12, 	1.52, 	(-0.054674,0.0481464);
18:29:24.683, 	1, 	1, 	24.422, 	16.4387, 	0, 	16, 	0.912, 	(0.851982,-0.643467);(-0.6764,-1.42535);(-1.01857,1.85002);(1.91293,-0.919127);
18:29:24.707, 	1, 	2, 	24.9218, 	25.6403, 	1, 	16, 	0.912, 	(0.764295,0.0630047);
18:29:24.727, 	1, 	2, 	18.4555, 	23.2656, 	1, 	16, 	0.912, 	(0.0177804,0.726036);
18:29:24.747, 	0, 	2, 	20.8532, 	11.8879, 	1, 	16, 	0.912, 	(0.0702317,0.0417814);
18:29:24.767, 	1, 	2, 	25.9457, 	25.872, 	1, 	20, 	0.912, 	(-0.538651,0.0632163);
18:29:24.784, 	1, 	1, 	24.4543, 	17.1957, 	0, 	20, 	0.912, 	(-1.34958,1.19695);(0.472586,1.47214);(-0.269805,-1.78191);(-1.1468,0.887179);
18:29:24.807, 	1, 	2, 	25.1457, 	25.3072, 	1, 	20, 	1.216, 	(0.333678,0.387512);
18:29:24.827, 	1, 	2, 	19.6062, 	23.4146, 	1, 	20, 	1.52, 	(-0.275125,0.783192);
18:29:24.847, 	1, 	2, 	27.5269, 	25.9159, 	1, 	20, 	1.824, 	(-0.560709,0.537125);
18:29:24.867, 	1, 	2, 	26.838, 	25.1282, 	1, 	20, 	2.128, 	(-0.0138185,0.710117);
