(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:37:54.238, 	1, 	1, 	19.754, 	14.3445, 	0, 	-1.249e-14, 	2.736, 	(0.983397,-0.0570438);(-0.800059,-0.882494);(0.52701,1.21854);(-0.607055,-1.18505);
17:38:07.492, 	1, 	2, 	20.191, 	15.3557, 	1, 	-1.249e-14, 	2.736, 	(-0.105916,0.147747);
17:38:07.512, 	0, 	2, 	16.9094, 	12.3024, 	1, 	-1.249e-14, 	2.736, 	(0.100743,-0.00414796);
17:38:07.533, 	0, 	2, 	21.5225, 	14.956, 	0, 	4, 	2.432, 	(-0.0908341,-0.110235);
17:38:07.552, 	1, 	1, 	20.714, 	13.5988, 	0, 	8, 	1.824, 	(0.715537,0.670925);(0.061948,-1.12348);(-0.322136,0.883997);(0.303289,-0.924231);
17:38:07.572, 	1, 	1, 	19.9733, 	18.4965, 	0, 	8, 	1.52, 	(0.109684,0.94858);(0.895641,-0.835289);(-1.32111,0.603975);(1.30588,-0.660856);
17:38:07.593, 	0, 	2, 	20.4749, 	15.1362, 	0, 	8, 	1.52, 	(-0.0121574,-0.119148);
17:38:07.613, 	0, 	2, 	21.0376, 	14.0871, 	0, 	12, 	1.216, 	(-0.0374201,0.0771184);
17:38:07.633, 	1, 	1, 	22.0094, 	14.2993, 	0, 	16, 	0.608, 	(-0.848257,0.310469);(0.866041,0.546722);(-0.471819,-0.528232);(0.493055,0.54899);
17:38:07.653, 	1, 	2, 	18.4368, 	18.9354, 	1, 	16, 	0.608, 	(0.180697,-0.174976);
17:38:07.673, 	1, 	2, 	20.664, 	19.9932, 	1, 	16, 	0.912, 	(0.191872,-0.0472251);
17:38:07.694, 	0, 	2, 	21.0789, 	13.9708, 	1, 	16, 	0.912, 	(-0.069009,-0.0684797);
17:38:07.712, 	1, 	1, 	19.867, 	17.6234, 	0, 	20, 	0.608, 	(-0.338283,-0.76231);(-0.901517,-0.880401);(0.901517,0.880401);(-0.338283,-0.76231);
17:38:07.732, 	1, 	1, 	23.1077, 	14.8857, 	0, 	20, 	0.608, 	(-0.67551,-0.630144);(-0.296827,1.18297);(0.604417,-0.990245);(-0.524982,1.00772);
17:38:07.755, 	1, 	2, 	21.2166, 	16.5649, 	1, 	20, 	0.912, 	(-0.0129083,0.133053);
17:38:07.774, 	1, 	2, 	18.0081, 	23.3839, 	1, 	20, 	1.216, 	(-0.335804,-0.458962);
