2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-22.21278725922066, 	-60, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-11, 	15.3557, 	1, 	2.736
2, 	-22.21278725922066, 	-15, 	12.3024, 	0, 	2.736
2, 	-22.21278725922066, 	-10, 	14.956, 	0, 	2.432
1, 	-22.21278725922066, 	-18, 	13.5988, 	1, 	1.824
1, 	-22.21278725922066, 	-18, 	18.4965, 	1, 	1.52
2, 	-22.21278725922066, 	-18, 	15.1362, 	0, 	1.52
2, 	-22.21278725922066, 	-30, 	14.0871, 	0, 	1.216
1, 	-22.21278725922066, 	-31, 	14.2993, 	1, 	0.608
2, 	-22.21278725922066, 	-31, 	18.9354, 	1, 	0.608
2, 	-22.21278725922066, 	-17, 	19.9932, 	1, 	0.912
2, 	-22.21278725922066, 	-14, 	13.9708, 	0, 	0.912
1, 	-22.21278725922066, 	-7, 	17.6234, 	1, 	0.608
1, 	-22.21278725922066, 	-7, 	14.8857, 	1, 	0.608
2, 	-61.9835, 	-7, 	16.5649, 	1, 	0.912
2, 	-61.9835, 	-51, 	23.3839, 	1, 	1.216
2, 	-61.9835, 	-55, 	23.9837, 	1, 	1.52
2, 	-61.9835, 	-60, 	24.2689, 	1, 	1.824
2, 	-61.9835, 	-53, 	24.7253, 	1, 	2.128
2, 	-61.9835, 	-55, 	24.0209, 	1, 	2.128
2, 	-61.9835, 	-60, 	22.2477, 	1, 	2.128
2, 	-61.9835, 	-53, 	12.5294, 	1, 	2.432
2, 	-61.9835, 	-52, 	24.3107, 	1, 	2.736
2, 	-61.9835, 	-51, 	23.7395, 	1, 	3.04
2, 	-61.9835, 	-55, 	24.6731, 	1, 	3.04
2, 	-61.9835, 	-58, 	24.8897, 	1, 	3.04
2, 	-61.9835, 	-52, 	24.2824, 	1, 	3.04
2, 	-61.9835, 	-55, 	21.4151, 	1, 	3.04
2, 	-60.1334, 	-58, 	24.9742, 	1, 	3.04
2, 	-60.1334, 	-57, 	25.2892, 	1, 	3.04
2, 	-61.9835, 	-57, 	25.7696, 	1, 	3.04
2, 	-61.9835, 	-51, 	24.9247, 	1, 	3.04
2, 	-58.382, 	-52, 	24.9247, 	1, 	3.04
2, 	-58.382, 	-60, 	25.5629, 	1, 	3.04
2, 	-58.382, 	-60, 	23.345, 	1, 	3.04
2, 	-58.382, 	-60, 	25.7704, 	1, 	3.04
2, 	-58.382, 	-60, 	22.0458, 	1, 	3.04
2, 	-58.382, 	-59, 	25.4433, 	1, 	3.04
2, 	-58.382, 	-59, 	25.8215, 	1, 	3.04
2, 	-58.382, 	-59, 	25.2665, 	1, 	3.04
2, 	-58.382, 	-59, 	24.1914, 	1, 	3.04
2, 	-58.382, 	-59, 	21.4874, 	1, 	3.04
2, 	-56.7136, 	-59, 	25.5797, 	1, 	3.04
2, 	-56.7136, 	-60, 	23.1909, 	1, 	3.04
2, 	-58.382, 	-49, 	25.1077, 	1, 	3.04
2, 	-58.382, 	-59, 	25.1071, 	1, 	3.04
2, 	-58.382, 	-59, 	23.5144, 	1, 	3.04
2, 	-58.382, 	-59, 	24.9596, 	1, 	3.04
2, 	-56.7136, 	-59, 	24.87, 	1, 	3.04
2, 	-56.7136, 	-47, 	23.0533, 	1, 	3.04
2, 	-56.7136, 	-50, 	25.3957, 	1, 	3.04
2, 	-56.7136, 	-49, 	24.0353, 	1, 	3.04
2, 	-53.5801, 	-51, 	22.3985, 	1, 	3.04
2, 	-53.5801, 	-49, 	24.3031, 	1, 	3.04
2, 	-53.5801, 	-59, 	25.1097, 	1, 	3.04
2, 	-53.5801, 	-59, 	21.9092, 	1, 	3.04
2, 	-53.5801, 	-49, 	26.6023, 	1, 	3.04
2, 	-53.5801, 	-56, 	26.1698, 	1, 	3.04
2, 	-53.5801, 	-49, 	25.6559, 	1, 	3.04
2, 	-53.5801, 	-56, 	24.7729, 	1, 	3.04
2, 	-53.5801, 	-49, 	25.73, 	1, 	3.04
2, 	-53.5801, 	-49, 	22.2025, 	1, 	3.04
2, 	-55.1161, 	-56, 	14.4973, 	1, 	3.04
2, 	-55.1161, 	-57, 	25.5202, 	1, 	3.04
2, 	-55.1161, 	-57, 	26.1711, 	1, 	3.04
2, 	-55.1161, 	-45, 	24.0036, 	1, 	3.04
2, 	-55.1161, 	-57, 	25.1729, 	1, 	3.04
