(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:43:43.957, 	0, 	1, 	17.4499, 	14.2618, 	0, 	8, 	2.128, 	(0.345256,0.00115638);(-0.407514,-0.501789);(0.344949,1.37304);(-0.403821,-1.29325);
18:43:58.453, 	1, 	2, 	15.8143, 	22.0116, 	1, 	12, 	1.824, 	(0.254834,-0.451416);
18:43:58.493, 	1, 	2, 	18.9694, 	23.489, 	1, 	12, 	1.824, 	(-0.575833,-0.0450398);
18:43:58.513, 	1, 	2, 	19.0484, 	23.9269, 	1, 	12, 	1.824, 	(-0.52082,-0.236693);
18:43:58.534, 	1, 	2, 	18.2701, 	24.1777, 	1, 	12, 	1.824, 	(0.212447,-0.506296);
18:43:58.554, 	1, 	2, 	18.5179, 	24.3025, 	1, 	12, 	1.824, 	(0.513423,-0.00464356);
18:43:58.574, 	1, 	2, 	19.0211, 	23.9105, 	1, 	12, 	1.824, 	(-0.375778,0.270811);
18:43:58.594, 	1, 	2, 	18.929, 	24.9044, 	1, 	12, 	2.128, 	(-0.41156,0.417858);
18:43:58.614, 	1, 	2, 	16.8819, 	20.3225, 	1, 	12, 	2.432, 	(0.286496,-0.304317);
18:43:58.634, 	1, 	2, 	20.2752, 	23.6209, 	1, 	12, 	2.736, 	(-0.403219,0.079619);
18:43:58.655, 	1, 	2, 	20.5735, 	24.1266, 	1, 	12, 	3.04, 	(-0.456811,0.0601702);
18:43:58.675, 	1, 	2, 	20.4317, 	23.7785, 	1, 	12, 	3.04, 	(-0.373296,0.00503962);
18:43:58.695, 	1, 	2, 	16.8072, 	21.0541, 	1, 	12, 	3.04, 	(-0.442135,0.21566);
18:43:58.715, 	1, 	2, 	17.8545, 	22.735, 	1, 	12, 	3.04, 	(0.539959,-0.112279);
18:43:58.735, 	1, 	2, 	18.4, 	22.1192, 	1, 	12, 	3.04, 	(-0.283488,0.383216);
18:43:58.755, 	1, 	2, 	19.5599, 	24.5575, 	1, 	12, 	3.04, 	(0.214067,0.341452);
18:43:58.776, 	1, 	2, 	15.9316, 	21.1677, 	1, 	12, 	3.04, 	(0.438055,-0.190402);
18:43:58.796, 	1, 	2, 	19.806, 	24.6089, 	1, 	12, 	3.04, 	(-0.103807,0.499525);
18:43:58.816, 	1, 	2, 	19.193, 	23.3461, 	1, 	12, 	3.04, 	(0.371391,0.503841);
18:43:58.836, 	1, 	2, 	18.5898, 	24.8081, 	1, 	12, 	3.04, 	(0.372296,0.330679);
