(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:45:05.162, 	0, 	1, 	14.383, 	9.11679, 	1, 	-1.38778e-15, 	3.04, 	(0.347865,-0.040072);(-0.526894,-0.0248136);(1.10753,-0.349429);(-0.679621,0.756917);
18:45:31.078, 	0, 	2, 	14.5383, 	8.20072, 	0, 	4, 	2.736, 	(-0.00701019,0.0528386);
18:45:31.098, 	1, 	2, 	13.7241, 	24.384, 	1, 	8, 	2.432, 	(-0.105092,-0.551218);
18:45:31.112, 	0, 	1, 	15.2123, 	9.56421, 	1, 	8, 	2.432, 	(-0.904857,-0.170853);(1.28664,0.512032);(-1.38896,0.221302);(0.920273,-0.862117);
18:45:31.132, 	1, 	1, 	16.3112, 	8.93767, 	0, 	12, 	1.824, 	(-0.974639,-0.139044);(1.40548,0.310904);(-1.23992,0.426511);(0.751331,-0.95594);
18:45:31.152, 	0, 	1, 	15.5778, 	7.52665, 	0, 	12, 	1.824, 	(0.606954,0.303526);(-0.887725,-0.881677);(1.44252,0.321098);(-1.21724,0.619528);
18:45:31.185, 	1, 	2, 	14.6585, 	7.52665, 	1, 	16, 	1.52, 	(0.606954,0.303526);(-0.887725,-0.881677);(1.44252,0.321098);(-1.21724,0.619528);
18:45:31.192, 	1, 	1, 	15.4762, 	8.2823, 	0, 	16, 	1.216, 	(0.87113,-0.427993);(-1.25112,0.548033);(0.858343,-1.14652);(0.00739327,1.26632);
18:45:31.219, 	1, 	2, 	14.3461, 	24.394, 	1, 	16, 	1.216, 	(0.458898,0.400825);
18:45:31.239, 	1, 	2, 	14.361, 	19.7179, 	1, 	16, 	1.216, 	(-0.511593,-0.0368384);
18:45:31.259, 	1, 	2, 	14.89, 	21.8866, 	1, 	16, 	1.52, 	(0.318536,-0.453071);
18:45:31.279, 	1, 	2, 	15.6091, 	23.1399, 	1, 	16, 	1.824, 	(0.401235,-0.434538);
18:45:31.300, 	1, 	2, 	16.6781, 	23.7003, 	1, 	16, 	1.824, 	(-0.404037,0.43274);
18:45:31.320, 	1, 	2, 	15.1117, 	21.9237, 	1, 	16, 	2.128, 	(0.0718558,0.488056);
18:45:31.340, 	1, 	2, 	15.9708, 	24.8012, 	1, 	16, 	2.432, 	(-0.270219,-0.555962);
