(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:46:57.217, 	1, 	1, 	19.0476, 	13.6545, 	0, 	4, 	2.128, 	(-0.216214,0.926417);(0.923597,-0.642761);(-1.24818,0.301738);(1.23946,-0.341147);
18:47:11.773, 	1, 	2, 	20.1821, 	21.5179, 	1, 	4, 	2.432, 	(-0.217931,0.344519);
18:47:11.793, 	1, 	2, 	22.3655, 	23.4248, 	1, 	4, 	2.736, 	(-0.0501241,-0.341103);
18:47:11.814, 	1, 	2, 	18.4116, 	22.475, 	1, 	4, 	2.736, 	(0.658646,-0.00705574);
18:47:11.833, 	1, 	2, 	19.5948, 	23.3641, 	1, 	4, 	2.736, 	(-0.469769,0.506053);
18:47:11.853, 	1, 	2, 	21.4616, 	26.1124, 	1, 	4, 	2.736, 	(-0.424914,-0.56312);
18:47:11.873, 	1, 	2, 	21.9788, 	25.2004, 	1, 	4, 	2.736, 	(0.485443,-0.0765923);
18:47:11.895, 	1, 	2, 	17.7537, 	22.0962, 	1, 	4, 	2.736, 	(0.22165,0.605495);
18:47:11.914, 	1, 	2, 	20.2279, 	24.1595, 	1, 	4, 	2.736, 	(0.0894335,-0.70956);
18:47:11.934, 	1, 	2, 	20.3141, 	24.7354, 	1, 	4, 	2.736, 	(-0.406638,-0.592388);
18:47:11.954, 	1, 	2, 	21.5516, 	24.7595, 	1, 	4, 	3.04, 	(-0.168063,0.509462);
18:47:11.978, 	1, 	2, 	21.9017, 	24.6063, 	1, 	4, 	3.04, 	(0.61968,-0.175378);
18:47:11.995, 	1, 	2, 	24.554, 	25.7141, 	1, 	4, 	3.04, 	(-0.24859,-0.652875);
18:47:12.015, 	1, 	2, 	24.3155, 	24.7607, 	1, 	4, 	3.04, 	(-0.586776,0.243537);
18:47:12.035, 	1, 	2, 	23.7032, 	25.6462, 	1, 	4, 	3.04, 	(-0.533493,-0.154496);
18:47:12.055, 	1, 	2, 	23.8142, 	24.8808, 	1, 	4, 	3.04, 	(-0.180095,0.43982);
18:47:12.075, 	1, 	2, 	24.6963, 	25.1183, 	1, 	-1.38778e-15, 	3.04, 	(0.295671,-0.61286);
