(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:50:54.920, 	1, 	1, 	14.7039, 	6.70742, 	0, 	-1.38778e-15, 	2.736, 	(-0.383672,0.4706);(0.659931,-0.59137);(-0.60884,1.21951);(-0.0380278,-1.19013);
18:51:08.434, 	1, 	2, 	13.7273, 	18.8139, 	1, 	-1.38778e-15, 	2.736, 	(-0.17885,0.384369);
18:51:08.454, 	1, 	2, 	15.263, 	24.43, 	1, 	-1.38778e-15, 	2.736, 	(0.62677,-0.109277);
18:51:08.474, 	1, 	2, 	16.206, 	24.4642, 	1, 	-1.38778e-15, 	2.736, 	(0.456517,0.4019);
18:51:08.494, 	1, 	2, 	16.5042, 	24.0068, 	1, 	-1.38778e-15, 	2.736, 	(0.326673,-0.569514);
18:51:08.515, 	1, 	2, 	16.2285, 	24.87, 	1, 	-1.38778e-15, 	2.736, 	(0.077589,0.480333);
18:51:08.535, 	1, 	2, 	14.4983, 	21.5965, 	1, 	-1.38778e-15, 	2.736, 	(-0.290385,0.465135);
18:51:08.555, 	1, 	2, 	15.5845, 	22.2725, 	1, 	-1.38778e-15, 	2.736, 	(0.572737,-0.15693);
18:51:08.575, 	1, 	2, 	15.9215, 	23.1396, 	1, 	-1.38778e-15, 	2.736, 	(-0.504335,-0.389903);
18:51:08.615, 	1, 	2, 	16.1598, 	25.5745, 	1, 	-1.38778e-15, 	2.736, 	(0.226945,-0.633913);
18:51:08.636, 	1, 	2, 	15.8678, 	25.1422, 	1, 	-1.38778e-15, 	3.04, 	(-0.620475,0.0748095);
18:51:08.656, 	1, 	2, 	15.1516, 	24.8152, 	1, 	-1.38778e-15, 	3.04, 	(-0.197828,-0.52067);
18:51:08.676, 	1, 	2, 	15.0372, 	15.4324, 	1, 	-1.38778e-15, 	3.04, 	(0.145496,-0.157444);
18:51:08.716, 	1, 	2, 	17.1972, 	25.708, 	1, 	-1.38778e-15, 	3.04, 	(-0.0527952,-0.671254);
18:51:08.736, 	1, 	2, 	17.5988, 	24.5039, 	1, 	-1.38778e-15, 	3.04, 	(0.580425,0.308585);
