(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:52:20.088, 	1, 	1, 	18.6475, 	11.3311, 	0, 	8, 	2.736, 	(0.165009,-0.927102);(-0.865847,0.662984);(1.10129,-0.429103);(-1.03751,0.425373);
18:52:33.456, 	1, 	2, 	20.7202, 	19.3434, 	1, 	8, 	2.736, 	(-0.125107,0.119345);
18:52:33.476, 	1, 	2, 	20.5818, 	15.7666, 	1, 	8, 	2.736, 	(-0.126646,-0.0612291);
18:52:33.496, 	1, 	2, 	20.8334, 	24.5394, 	1, 	8, 	2.736, 	(-0.222357,0.54304);
18:52:33.516, 	1, 	2, 	18.4054, 	22.5872, 	1, 	8, 	2.736, 	(-0.332499,0.489546);
18:52:33.536, 	1, 	2, 	19.5899, 	24.5224, 	1, 	8, 	2.736, 	(-0.0728525,0.601271);
18:52:33.556, 	1, 	2, 	19.0971, 	25.0272, 	1, 	8, 	2.736, 	(0.253332,0.553287);
18:52:33.576, 	1, 	2, 	20.2828, 	24.6964, 	1, 	4, 	2.736, 	(-0.590915,0.0753418);
18:52:33.599, 	1, 	2, 	17.3892, 	23.511, 	1, 	4, 	2.736, 	(0.273124,0.537335);
18:52:33.617, 	1, 	2, 	20.7559, 	24.4654, 	1, 	4, 	2.736, 	(-0.326278,0.403161);
18:52:33.638, 	1, 	2, 	19.1373, 	24.9852, 	1, 	-1.38778e-15, 	3.04, 	(-0.0577055,-0.629419);
18:52:33.657, 	1, 	2, 	16.8355, 	21.7867, 	1, 	-1.38778e-15, 	3.04, 	(0.383181,-0.402827);
18:52:33.677, 	1, 	2, 	18.1033, 	23.3089, 	1, 	-1.38778e-15, 	3.04, 	(0.103619,0.606799);
18:52:33.697, 	1, 	2, 	20.3473, 	23.614, 	1, 	-1.38778e-15, 	3.04, 	(0.600422,-0.252732);
18:52:33.717, 	1, 	2, 	19.1347, 	25.0104, 	1, 	-1.38778e-15, 	3.04, 	(-0.480055,-0.465015);
18:52:33.737, 	1, 	2, 	20.4534, 	25.122, 	1, 	-1.38778e-15, 	3.04, 	(-0.519139,-0.430655);
18:52:33.758, 	1, 	2, 	18.1541, 	22.4299, 	1, 	-1.38778e-15, 	3.04, 	(0.356673,-0.507872);
18:52:33.778, 	1, 	2, 	18.2853, 	23.9675, 	1, 	-1.38778e-15, 	3.04, 	(-0.657466,-0.0444356);
18:52:33.798, 	1, 	2, 	18.8252, 	25.6627, 	1, 	-1.38778e-15, 	3.04, 	(0.310781,0.580598);
18:52:33.818, 	1, 	2, 	20.2582, 	22.8954, 	1, 	-1.38778e-15, 	3.04, 	(-0.145667,-0.106388);
18:52:33.838, 	1, 	2, 	17.076, 	20.259, 	1, 	-1.38778e-15, 	3.04, 	(-0.137444,-0.272351);
18:52:33.858, 	1, 	2, 	21.0515, 	20.8421, 	1, 	-1.38778e-15, 	3.04, 	(0.223908,-0.038717);
18:52:33.879, 	1, 	2, 	22.0617, 	22.8649, 	1, 	-1.38778e-15, 	3.04, 	(0.0816693,-0.311763);
18:52:33.899, 	1, 	2, 	22.8425, 	22.2976, 	1, 	-1.38778e-15, 	3.04, 	(-0.0499064,-0.278485);
18:52:33.919, 	1, 	2, 	21.3139, 	24.45, 	1, 	-1.38778e-15, 	3.04, 	(0.087725,0.574589);
