(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:53:49.923, 	1, 	1, 	12.7972, 	6.47176, 	0, 	-1.38778e-15, 	2.736, 	(0.0132036,-0.165661);(0.60078,-0.632072);(-0.571606,0.358802);(0.0423773,-0.438932);
18:54:03.640, 	1, 	2, 	14.1123, 	20.8647, 	1, 	-1.38778e-15, 	2.736, 	(-0.427304,0.254998);
18:54:03.660, 	1, 	2, 	13.7593, 	22.1625, 	1, 	-1.38778e-15, 	2.736, 	(0.384174,0.356121);
18:54:03.681, 	1, 	2, 	14.074, 	22.1625, 	1, 	-1.38778e-15, 	2.736, 	(0.384174,0.356121);
18:54:03.701, 	1, 	2, 	15.4608, 	24.2074, 	1, 	-1.38778e-15, 	2.736, 	(0.479085,0.163744);
18:54:03.721, 	1, 	2, 	15.1851, 	18.9624, 	1, 	-1.38778e-15, 	2.736, 	(-0.195429,0.379086);
18:54:03.741, 	1, 	2, 	15.8468, 	21.1619, 	1, 	-1.38778e-15, 	2.736, 	(-0.426472,0.216922);
18:54:03.761, 	1, 	2, 	15.1758, 	24.619, 	1, 	-1.38778e-15, 	2.736, 	(0.305647,0.403191);
18:54:03.802, 	1, 	2, 	15.2815, 	24.7156, 	1, 	-1.38778e-15, 	2.736, 	(-0.567595,-0.101439);
18:54:03.822, 	1, 	2, 	14.6108, 	24.4681, 	1, 	-1.38778e-15, 	2.736, 	(-0.545943,-0.0244009);
18:54:03.842, 	1, 	2, 	15.3932, 	20.2465, 	1, 	-1.38778e-15, 	3.04, 	(-0.138282,-0.443802);
18:54:03.862, 	1, 	2, 	16.2297, 	24.4341, 	1, 	-1.38778e-15, 	3.04, 	(0.11385,-0.506563);
