(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:30:51.751, 	1, 	1, 	13.5763, 	8.42472, 	0, 	24, 	0.608, 	(0.678245,0.476483);(-0.860753,-0.705088);(1.14661,0.325285);(-1.05421,0.239737);
18:31:05.566, 	1, 	2, 	12.9461, 	23.6159, 	1, 	24, 	0.608, 	(0.409208,-0.167219);
18:31:05.586, 	1, 	2, 	14.4446, 	22.2675, 	1, 	24, 	0.912, 	(-0.391031,0.246747);
18:31:05.607, 	1, 	2, 	12.1931, 	19.6318, 	1, 	24, 	0.912, 	(0.202992,-0.297177);
18:31:05.626, 	1, 	2, 	13.6851, 	20.6358, 	1, 	24, 	1.216, 	(-0.16203,-0.382867);
18:31:05.646, 	1, 	2, 	13.3653, 	23.4562, 	1, 	24, 	1.52, 	(0.132414,0.427014);
18:31:05.667, 	1, 	2, 	13.4656, 	23.2409, 	1, 	24, 	1.824, 	(-0.376731,-0.296459);
18:31:05.687, 	1, 	2, 	13.8633, 	24.423, 	1, 	24, 	2.128, 	(0.297617,0.386699);
18:31:05.707, 	1, 	2, 	14.2006, 	20.3639, 	1, 	24, 	2.432, 	(0.423987,0.0999705);
18:31:05.727, 	1, 	2, 	13.937, 	21.9981, 	1, 	24, 	2.736, 	(-0.243969,0.402132);
18:31:05.747, 	1, 	2, 	14.5019, 	20.9749, 	1, 	24, 	3.04, 	(0.367194,-0.139153);
18:31:05.767, 	1, 	2, 	14.1488, 	23.8184, 	1, 	24, 	3.04, 	(0.288038,-0.394263);
18:31:05.792, 	1, 	2, 	11.8494, 	22.8975, 	1, 	24, 	3.04, 	(-0.00555989,0.437993);
18:31:05.808, 	1, 	2, 	12.9747, 	21.6154, 	1, 	24, 	3.04, 	(-0.326522,-0.298329);
18:31:05.828, 	1, 	2, 	13.406, 	22.7979, 	1, 	24, 	3.04, 	(0.288107,0.347135);
18:31:05.848, 	1, 	2, 	13.1702, 	20.3408, 	1, 	20, 	3.04, 	(0.135267,-0.346243);
18:31:05.868, 	1, 	2, 	13.7086, 	20.5825, 	1, 	20, 	3.04, 	(-0.0975968,0.425251);
18:31:05.888, 	1, 	2, 	13.8262, 	24.3601, 	1, 	16, 	3.04, 	(-0.209849,-0.446156);
18:31:05.909, 	1, 	2, 	14.738, 	24.2615, 	1, 	16, 	3.04, 	(-0.394194,0.162181);
18:31:05.949, 	1, 	2, 	13.1366, 	24.231, 	1, 	12, 	3.04, 	(-0.495767,-0.0419717);
18:31:05.969, 	1, 	2, 	14.796, 	23.4898, 	1, 	8, 	3.04, 	(-0.267505,0.449363);
18:31:05.989, 	1, 	2, 	16.7573, 	24.1702, 	1, 	4, 	3.04, 	(0.49404,0.0486416);
