(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:28:36.318, 	1, 	1, 	20.8631, 	14.4886, 	0, 	-1.249e-14, 	2.736, 	(0.659447,-0.474172);(-1.01933,-0.162291);(0.720396,0.273659);(-0.66575,-0.221833);
17:28:52.465, 	0, 	2, 	20.9288, 	13.0013, 	0, 	-1.249e-14, 	2.736, 	(0.0591839,-0.0774087);
17:28:52.484, 	1, 	2, 	17.5808, 	22.0942, 	1, 	4, 	2.432, 	(-0.534746,-0.227293);
17:28:52.495, 	1, 	1, 	21.0871, 	12.3045, 	0, 	4, 	2.128, 	(-0.458352,-0.802599);(-0.436065,1.21315);(0.858667,-1.02822);(-0.788272,0.944712);
17:28:52.525, 	1, 	2, 	19.9727, 	24.8531, 	1, 	4, 	2.128, 	(0.1647,-0.635571);
17:28:52.544, 	1, 	2, 	17.2497, 	22.0454, 	1, 	4, 	2.128, 	(-0.492009,-0.300275);
17:28:52.564, 	1, 	2, 	21.6896, 	24.6558, 	1, 	4, 	2.128, 	(0.00620327,-0.617674);
17:28:52.585, 	1, 	2, 	20.8633, 	24.3546, 	1, 	4, 	2.128, 	(-0.670411,0.110271);
17:28:52.605, 	1, 	2, 	20.8841, 	25.2121, 	1, 	4, 	2.128, 	(-0.385475,0.547281);
17:28:52.625, 	1, 	2, 	18.2333, 	23.1447, 	1, 	4, 	2.128, 	(-0.585307,-0.218863);
17:28:52.645, 	1, 	2, 	20.0688, 	24.0477, 	1, 	4, 	2.432, 	(-0.146868,0.666606);
17:28:52.665, 	1, 	2, 	22.5054, 	25.5511, 	1, 	4, 	2.736, 	(0.356422,-0.347033);
17:28:52.686, 	1, 	2, 	21.9914, 	25.044, 	1, 	4, 	2.736, 	(0.631754,0.0200319);
17:28:52.706, 	1, 	2, 	22.7152, 	23.9023, 	1, 	4, 	3.04, 	(-0.242709,0.52857);
17:28:52.726, 	1, 	2, 	23.7885, 	24.4795, 	1, 	4, 	3.04, 	(0.256664,-0.456172);
17:28:52.746, 	1, 	2, 	23.7551, 	24.7176, 	1, 	4, 	3.04, 	(-0.215362,0.660716);
17:28:52.766, 	1, 	2, 	21.1693, 	23.899, 	1, 	4, 	3.04, 	(0.0360273,-0.702686);
17:28:52.786, 	1, 	2, 	23.4587, 	24.4063, 	1, 	4, 	3.04, 	(-0.496157,0.181644);
17:28:52.807, 	1, 	2, 	17.3815, 	20.7175, 	1, 	4, 	3.04, 	(0.140746,0.618207);
17:28:52.827, 	1, 	2, 	23.4988, 	25.3396, 	1, 	4, 	3.04, 	(0.621138,0.167185);
17:28:52.847, 	1, 	2, 	22.0801, 	24.8062, 	1, 	4, 	3.04, 	(0.341619,0.451433);
17:28:52.867, 	1, 	2, 	17.1717, 	20.8687, 	1, 	4, 	3.04, 	(-0.380563,-0.493329);
17:28:52.887, 	1, 	2, 	22.9409, 	25.3281, 	1, 	4, 	3.04, 	(0.483022,0.470895);
17:28:52.908, 	1, 	2, 	20.7514, 	24.3879, 	1, 	4, 	3.04, 	(0.136028,-0.590943);
17:28:52.927, 	1, 	2, 	22.5979, 	24.4961, 	1, 	4, 	3.04, 	(-0.451887,0.211625);
17:28:52.947, 	1, 	2, 	18.5367, 	21.9759, 	1, 	4, 	3.04, 	(0.50998,-0.491594);
17:28:52.968, 	1, 	2, 	24.4395, 	26.2771, 	1, 	-1.249e-14, 	3.04, 	(0.655584,-0.00861716);
17:28:52.988, 	1, 	2, 	24.1589, 	24.7207, 	1, 	-1.249e-14, 	3.04, 	(-0.0119988,0.559447);
17:28:53.008, 	1, 	2, 	17.9196, 	22.2408, 	1, 	-1.249e-14, 	3.04, 	(-0.0126753,0.682608);
17:28:53.028, 	1, 	2, 	21.0934, 	24.1812, 	1, 	-1.249e-14, 	3.04, 	(-0.0240073,0.736364);
17:28:53.039, 	1, 	2, 	23.5026, 	25.2453, 	1, 	-1.249e-14, 	3.04, 	(0.620382,-0.0872355);
17:28:53.058, 	1, 	2, 	23.0305, 	25.0103, 	1, 	-1.249e-14, 	3.04, 	(0.593308,0.47607);
17:28:53.078, 	1, 	2, 	25.3801, 	25.4232, 	1, 	-1.249e-14, 	3.04, 	(-0.613402,-0.351369);
17:28:53.099, 	1, 	2, 	22.835, 	24.7013, 	1, 	-1.249e-14, 	3.04, 	(-0.61131,-0.435814);
17:28:53.119, 	1, 	2, 	23.7332, 	25.3629, 	1, 	-1.249e-14, 	3.04, 	(0.45785,-0.267381);
17:28:53.139, 	1, 	2, 	17.8988, 	22.0934, 	1, 	-1.249e-14, 	3.04, 	(0.511122,0.46757);
17:28:53.159, 	1, 	2, 	23.228, 	24.8082, 	1, 	-1.249e-14, 	3.04, 	(-0.580582,0.316388);
17:28:53.179, 	1, 	2, 	23.7731, 	25.1597, 	1, 	-1.249e-14, 	3.04, 	(-0.611414,0.468904);
17:28:53.199, 	1, 	2, 	18.0768, 	22.1165, 	1, 	-1.249e-14, 	3.04, 	(-0.703437,-0.115225);
17:28:53.219, 	1, 	2, 	20.8168, 	23.5658, 	1, 	-1.249e-14, 	3.04, 	(0.721784,0.270771);
17:28:53.240, 	1, 	2, 	22.8182, 	25.1802, 	1, 	-1.249e-14, 	3.04, 	(0.725618,0.18349);
17:28:53.260, 	1, 	2, 	23.7917, 	25.5317, 	1, 	-1.249e-14, 	3.04, 	(0.204753,-0.716654);
17:28:53.281, 	1, 	2, 	25.4856, 	25.9238, 	1, 	-1.249e-14, 	3.04, 	(0.132599,0.716768);
17:28:53.300, 	1, 	2, 	25.1885, 	25.6113, 	1, 	-1.249e-14, 	3.04, 	(-0.603696,-0.2365);
17:28:53.322, 	1, 	2, 	25.3326, 	26.8139, 	1, 	-1.249e-14, 	3.04, 	(-0.755097,-0.193324);
17:28:53.341, 	1, 	2, 	19.1476, 	23.3579, 	1, 	-1.249e-14, 	3.04, 	(-0.715123,0.198307);
17:28:53.361, 	1, 	2, 	24.7884, 	23.9118, 	1, 	-1.249e-14, 	3.04, 	(0.564742,-0.17331);
17:28:53.381, 	1, 	2, 	25.0563, 	26.078, 	1, 	-1.249e-14, 	3.04, 	(-0.469186,0.528636);
17:28:53.401, 	1, 	2, 	25.3052, 	25.3876, 	1, 	-1.249e-14, 	3.04, 	(0.733774,0.0326324);
17:28:53.421, 	1, 	2, 	21.1839, 	24.8388, 	1, 	-1.249e-14, 	3.04, 	(0.78607,-0.115173);
17:28:53.442, 	1, 	2, 	25.0118, 	24.8896, 	1, 	-1.249e-14, 	3.04, 	(0.375117,0.434892);
17:28:53.462, 	1, 	2, 	24.5664, 	26.042, 	1, 	-1.249e-14, 	3.04, 	(-0.717744,0.219533);
17:28:53.482, 	1, 	2, 	24.8075, 	24.4414, 	1, 	-1.249e-14, 	3.04, 	(-0.149595,-0.559028);
17:28:53.502, 	1, 	2, 	23.7831, 	25.3802, 	1, 	-1.249e-14, 	3.04, 	(0.0151945,-0.827581);
17:28:53.522, 	1, 	2, 	27.1179, 	25.0497, 	1, 	-1.249e-14, 	3.04, 	(-0.51073,0.621152);
17:28:53.542, 	1, 	2, 	21.059, 	23.9541, 	1, 	-1.249e-14, 	3.04, 	(-0.509749,0.614304);
17:28:53.562, 	1, 	2, 	25.3138, 	24.7723, 	1, 	-1.249e-14, 	3.04, 	(0.636928,-0.0796356);
17:28:53.583, 	1, 	2, 	25.9105, 	25.1244, 	1, 	-1.249e-14, 	3.04, 	(0.479431,-0.195523);
17:28:53.603, 	0, 	2, 	27.024, 	13.7794, 	1, 	-1.249e-14, 	3.04, 	(-0.0944058,-0.112626);
17:28:53.621, 	1, 	1, 	24.8397, 	17.5938, 	0, 	4, 	2.432, 	(0.645589,-0.717804);(-1.12263,-0.981356);(0.186355,2.11907);(0.91781,-1.9066);
17:28:53.641, 	1, 	1, 	26.7, 	17.5743, 	0, 	4, 	2.128, 	(1.05929,-0.440194);(-1.04278,-1.25711);(-0.0185578,1.21403);(0.709171,-0.973167);
17:28:53.663, 	1, 	2, 	26.3394, 	26.1328, 	1, 	4, 	2.128, 	(-0.724366,0.221803);
17:28:53.683, 	1, 	2, 	24.3577, 	25.1315, 	1, 	4, 	2.128, 	(0.689743,-0.00447636);
17:28:53.703, 	1, 	2, 	26.3408, 	26.1964, 	1, 	4, 	2.128, 	(-0.167019,0.818577);
17:28:53.723, 	0, 	2, 	19.382, 	14.1952, 	1, 	4, 	2.128, 	(0.00350451,-0.143806);
17:28:53.744, 	1, 	2, 	27.2669, 	20.9627, 	1, 	8, 	1.824, 	(0.458062,-0.309761);
17:28:53.764, 	1, 	2, 	26.1891, 	24.3528, 	1, 	8, 	1.824, 	(0.152186,-0.530267);
17:28:53.784, 	1, 	2, 	26.1708, 	25.8782, 	1, 	8, 	1.824, 	(0.630381,-0.359343);
17:28:53.804, 	1, 	2, 	27.1451, 	25.4276, 	1, 	8, 	2.128, 	(0.227544,-0.608332);
17:28:53.825, 	1, 	2, 	27.2242, 	25.2573, 	1, 	8, 	2.432, 	(0.486452,0.428901);
17:28:53.844, 	1, 	2, 	28.0015, 	16.6122, 	1, 	8, 	2.736, 	(-0.338648,-0.0818069);
17:28:53.865, 	1, 	2, 	27.6803, 	25.762, 	1, 	8, 	2.736, 	(0.427566,0.637631);
17:28:53.885, 	1, 	2, 	27.0579, 	25.7897, 	1, 	8, 	2.736, 	(-0.134689,0.636268);
17:28:53.905, 	1, 	2, 	25.4817, 	26.0914, 	1, 	8, 	2.736, 	(-0.692436,-0.45135);
17:28:53.925, 	1, 	2, 	20.2854, 	24.1333, 	1, 	8, 	3.04, 	(0.713444,0.413108);
17:28:53.945, 	1, 	2, 	24.0991, 	25.8297, 	1, 	8, 	3.04, 	(-0.857229,0.203736);
17:28:53.965, 	1, 	2, 	26.4333, 	26.7635, 	1, 	8, 	3.04, 	(0.763401,0.438288);
17:28:53.986, 	1, 	2, 	19.2635, 	19.3449, 	1, 	8, 	3.04, 	(0.340225,-0.364846);
17:28:54.006, 	1, 	2, 	27.4699, 	25.0889, 	1, 	8, 	3.04, 	(-0.57056,0.338982);
17:28:54.032, 	1, 	2, 	25.3925, 	26.67, 	1, 	8, 	3.04, 	(0.866254,-0.236159);
17:28:54.047, 	1, 	2, 	18.672, 	23.4525, 	1, 	8, 	3.04, 	(-0.462126,0.672893);
17:28:54.067, 	1, 	2, 	28.3202, 	26.2408, 	1, 	8, 	3.04, 	(0.429938,-0.60534);
17:28:54.086, 	1, 	2, 	24.6701, 	27.227, 	1, 	8, 	3.04, 	(-0.890188,-0.211697);
17:28:54.107, 	1, 	2, 	26.9442, 	26.14, 	1, 	4, 	3.04, 	(0.50727,-0.183124);
17:28:54.127, 	1, 	2, 	20.9376, 	24.3631, 	1, 	4, 	3.04, 	(0.856829,0.157493);
17:28:54.147, 	1, 	2, 	25.0793, 	25.8629, 	1, 	4, 	3.04, 	(-0.497701,-0.712454);
17:28:54.167, 	1, 	2, 	27.7176, 	25.9235, 	1, 	4, 	3.04, 	(-0.572268,0.617585);
17:28:54.187, 	1, 	2, 	28.0786, 	25.8508, 	1, 	4, 	3.04, 	(0.418271,0.67896);
17:28:54.207, 	1, 	2, 	27.2846, 	25.7346, 	1, 	4, 	3.04, 	(0.250428,0.559228);
17:28:54.228, 	1, 	2, 	26.4642, 	26.127, 	1, 	-1.249e-14, 	3.04, 	(0.760046,0.0207624);
17:28:54.248, 	1, 	2, 	27.0787, 	26.0707, 	1, 	-1.249e-14, 	3.04, 	(-0.592042,-0.535837);
17:28:54.268, 	1, 	2, 	22.0786, 	24.6475, 	1, 	-1.249e-14, 	3.04, 	(-0.554686,-0.417693);
