(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:32:01.677, 	1, 	1, 	19.7273, 	11.3128, 	0, 	20, 	1.216, 	(-0.888277,0.076505);(0.923467,0.733546);(-0.553471,-1.02189);(0.515532,0.916937);
18:32:15.335, 	0, 	2, 	21.7251, 	17.0694, 	0, 	20, 	1.216, 	(0.0244178,-0.0873036);
18:32:15.374, 	1, 	2, 	18.7173, 	22.23, 	1, 	24, 	1.52, 	(0.452323,0.11771);
18:32:15.388, 	1, 	1, 	22.7514, 	16.7321, 	0, 	24, 	1.52, 	(0.380853,0.864338);(0.742141,-0.992152);(-1.51293,0.812553);(1.48701,-0.706829);
18:32:15.415, 	1, 	2, 	20.5078, 	25.2964, 	1, 	24, 	1.52, 	(-0.011663,-0.665972);
18:32:15.435, 	1, 	2, 	23.1308, 	25.5927, 	1, 	24, 	1.52, 	(-0.511232,0.455177);
18:32:15.455, 	1, 	2, 	22.3378, 	25.2527, 	1, 	24, 	1.824, 	(0.631641,-0.178171);
18:32:15.475, 	1, 	2, 	22.8542, 	25.2427, 	1, 	24, 	2.128, 	(0.50586,-0.348555);
18:32:15.495, 	1, 	2, 	22.0638, 	24.806, 	1, 	24, 	2.128, 	(-0.329458,-0.401468);
18:32:15.515, 	1, 	2, 	21.4299, 	24.1761, 	1, 	20, 	2.128, 	(0.252864,-0.356043);
18:32:15.536, 	1, 	2, 	21.9841, 	24.8784, 	1, 	16, 	2.432, 	(-0.526017,-0.303851);
18:32:15.556, 	1, 	2, 	21.6197, 	24.86, 	1, 	16, 	2.736, 	(-0.389933,0.466452);
18:32:15.576, 	1, 	2, 	20.7648, 	24.8091, 	1, 	16, 	2.736, 	(-0.688327,0.099277);
18:32:15.596, 	1, 	2, 	22.2783, 	24.7691, 	1, 	16, 	3.04, 	(0.479531,-0.0754138);
18:32:15.616, 	1, 	2, 	21.1473, 	14.5201, 	1, 	16, 	3.04, 	(-0.0772848,0.110984);
18:32:15.636, 	1, 	2, 	20.1123, 	24.5179, 	1, 	16, 	3.04, 	(-0.46134,-0.208189);
18:32:15.656, 	1, 	2, 	20.2649, 	23.9616, 	1, 	12, 	3.04, 	(0.225891,-0.530245);
18:32:15.677, 	1, 	2, 	22.515, 	24.5854, 	1, 	8, 	3.04, 	(0.119831,-0.383748);
18:32:15.697, 	1, 	2, 	17.6329, 	22.4264, 	1, 	8, 	3.04, 	(0.565497,0.149111);
18:32:15.717, 	1, 	2, 	23.2179, 	24.8917, 	1, 	8, 	3.04, 	(0.492992,-0.344595);
18:32:15.737, 	1, 	2, 	21.7399, 	14.8736, 	1, 	8, 	3.04, 	(-0.0629197,-0.113673);
18:32:15.757, 	1, 	2, 	23.4941, 	25.1367, 	1, 	4, 	3.04, 	(0.419983,-0.308217);
18:32:15.778, 	1, 	2, 	22.1735, 	25.3274, 	1, 	4, 	3.04, 	(0.435887,0.0642996);
18:32:15.798, 	1, 	2, 	18.293, 	22.6799, 	1, 	4, 	3.04, 	(0.272318,0.614243);
18:32:15.808, 	1, 	2, 	20.6606, 	23.2862, 	1, 	4, 	3.04, 	(0.16832,-0.6687);
18:32:15.828, 	1, 	2, 	23.8657, 	24.4703, 	1, 	4, 	3.04, 	(-0.0904115,-0.554817);
18:32:15.848, 	1, 	2, 	23.7824, 	24.7332, 	1, 	-1.38778e-15, 	3.04, 	(-0.550187,0.376444);
18:32:15.868, 	1, 	2, 	18.4671, 	22.2062, 	1, 	-1.38778e-15, 	3.04, 	(-0.161978,-0.600141);
18:32:15.889, 	1, 	2, 	23.0925, 	24.5135, 	1, 	-1.38778e-15, 	3.04, 	(-0.122783,-0.578728);
18:32:15.909, 	1, 	2, 	20.5832, 	24.9997, 	1, 	-1.38778e-15, 	3.04, 	(0.582137,0.330192);
18:32:15.929, 	1, 	2, 	22.4089, 	24.9231, 	1, 	-1.38778e-15, 	3.04, 	(-0.289629,0.619478);
18:32:15.949, 	1, 	2, 	22.138, 	25.0823, 	1, 	-1.38778e-15, 	3.04, 	(0.584287,-0.310437);
18:32:15.969, 	1, 	2, 	20.2641, 	23.7332, 	1, 	-1.38778e-15, 	3.04, 	(0.602202,0.292081);
18:32:15.989, 	1, 	2, 	21.6036, 	25.0445, 	1, 	-1.38778e-15, 	3.04, 	(-0.405686,-0.605931);
18:32:16.009, 	1, 	2, 	22.2771, 	25.2117, 	1, 	-1.38778e-15, 	3.04, 	(-0.535791,0.0256604);
18:32:16.030, 	1, 	2, 	16.8566, 	21.3012, 	1, 	-1.38778e-15, 	3.04, 	(-0.452182,-0.47984);
18:32:16.050, 	1, 	2, 	24.0816, 	25.7741, 	1, 	-1.38778e-15, 	3.04, 	(0.66041,0.242937);
18:32:16.070, 	1, 	2, 	24.6721, 	25.1994, 	1, 	-1.38778e-15, 	3.04, 	(0.0363336,-0.64628);
18:32:16.090, 	1, 	2, 	23.2603, 	24.2302, 	1, 	-1.38778e-15, 	3.04, 	(0.557711,-0.0877814);
18:32:16.110, 	1, 	2, 	25.3554, 	24.608, 	1, 	-1.38778e-15, 	3.04, 	(0.48164,0.0215435);
18:32:16.130, 	1, 	2, 	19.364, 	23.7916, 	1, 	-1.38778e-15, 	3.04, 	(-0.446941,-0.57638);
18:32:16.151, 	1, 	2, 	24.7358, 	25.4539, 	1, 	-1.38778e-15, 	3.04, 	(-0.0842553,0.630895);
18:32:16.175, 	1, 	2, 	19.7788, 	23.2016, 	1, 	-1.38778e-15, 	3.04, 	(0.54709,0.403337);
18:32:16.191, 	1, 	2, 	24.3914, 	26.0646, 	1, 	-1.38778e-15, 	3.04, 	(-0.0890189,-0.440756);
18:32:16.211, 	1, 	2, 	19.4556, 	23.1795, 	1, 	-1.38778e-15, 	3.04, 	(-0.43371,-0.486916);
18:32:16.231, 	1, 	2, 	22.9666, 	23.6107, 	1, 	-1.38778e-15, 	3.04, 	(0.0540997,0.724603);
18:32:16.251, 	1, 	2, 	23.8384, 	25.661, 	1, 	-1.38778e-15, 	3.04, 	(-0.688378,-0.331857);
18:32:16.271, 	1, 	2, 	23.2605, 	26.5394, 	1, 	-1.38778e-15, 	3.04, 	(0.619925,0.418831);
