(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:31:07.746, 	1, 	1, 	19.2619, 	15.5391, 	0, 	4, 	2.432, 	(-0.616172,-0.263791);(0.0969937,0.943417);(0.405574,-1.53263);(-0.259912,1.55488);
17:31:20.921, 	1, 	2, 	22.9339, 	25.3203, 	1, 	4, 	2.432, 	(-0.58339,-0.285597);
17:31:20.941, 	1, 	2, 	22.3749, 	24.3414, 	1, 	4, 	2.736, 	(-0.24646,-0.499777);
17:31:20.961, 	1, 	2, 	22.4018, 	25.3157, 	1, 	4, 	2.736, 	(-0.71238,-0.0359164);
17:31:20.981, 	1, 	2, 	18.8092, 	22.2894, 	1, 	4, 	2.736, 	(0.425409,-0.506975);
17:31:21.001, 	1, 	2, 	23.9681, 	25.0398, 	1, 	4, 	2.736, 	(-0.178272,0.585939);
17:31:21.021, 	1, 	2, 	23.0842, 	25.3619, 	1, 	4, 	2.736, 	(-0.277313,0.443442);
17:31:21.041, 	1, 	2, 	19.1635, 	23.2701, 	1, 	4, 	2.736, 	(0.316382,0.602174);
17:31:21.061, 	1, 	2, 	20.4837, 	25.3929, 	1, 	4, 	2.736, 	(0.636874,0.330856);
17:31:21.082, 	1, 	2, 	22.5921, 	25.2422, 	1, 	4, 	2.736, 	(-0.411679,0.588374);
17:31:21.102, 	1, 	2, 	18.8842, 	21.6066, 	1, 	4, 	3.04, 	(-0.0652194,-0.639828);
17:31:21.122, 	1, 	2, 	18.8123, 	24.5429, 	1, 	4, 	3.04, 	(0.563727,0.431891);
17:31:21.142, 	1, 	2, 	22.1426, 	24.9205, 	1, 	4, 	3.04, 	(-0.757108,-0.0988409);
17:31:21.162, 	1, 	2, 	23.1576, 	24.8632, 	1, 	4, 	3.04, 	(0.472933,-0.540814);
17:31:21.182, 	1, 	2, 	22.0905, 	25.3011, 	1, 	4, 	3.04, 	(0.306605,0.582629);
17:31:21.202, 	1, 	2, 	21.7883, 	25.0829, 	1, 	-1.249e-14, 	3.04, 	(-0.0120859,-0.733055);
17:31:21.222, 	1, 	2, 	17.7733, 	21.5851, 	1, 	-1.249e-14, 	3.04, 	(0.654882,0.00709325);
17:31:21.243, 	1, 	2, 	19.1905, 	22.9734, 	1, 	-1.249e-14, 	3.04, 	(-0.586448,0.433443);
17:31:21.263, 	1, 	2, 	20.4232, 	24.3448, 	1, 	-1.249e-14, 	3.04, 	(0.567659,0.505367);
17:31:21.283, 	1, 	2, 	23.6595, 	25.4568, 	1, 	-1.249e-14, 	3.04, 	(0.777591,0.0561331);
17:31:21.303, 	1, 	2, 	25.0363, 	25.1986, 	1, 	-1.249e-14, 	3.04, 	(0.594637,-0.448019);
