(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:35:01.227, 	1, 	1, 	19.6461, 	16.4262, 	0, 	4, 	2.128, 	(0.615175,0.319395);(0.0465696,-0.958725);(-0.626276,1.47065);(0.466627,-1.4549);
18:35:14.981, 	0, 	2, 	18.716, 	13.6938, 	0, 	4, 	2.128, 	(0.023756,-0.0290502);
18:35:15.002, 	0, 	2, 	19.1089, 	13.8696, 	0, 	8, 	1.824, 	(0.0143177,0.0431596);
18:35:15.016, 	1, 	1, 	20.1873, 	12.4001, 	0, 	12, 	1.216, 	(0.76378,0.493625);(-0.235157,-1.22405);(-0.310449,1.47488);(0.260175,-1.3564);
18:35:15.042, 	1, 	2, 	20.1327, 	24.6367, 	1, 	12, 	1.216, 	(0.0190229,0.534135);
18:35:15.062, 	1, 	2, 	17.6355, 	22.2009, 	1, 	12, 	1.216, 	(-0.323759,0.412382);
18:35:15.082, 	1, 	2, 	18.8687, 	21.6031, 	1, 	12, 	1.216, 	(0.24751,0.369066);
18:35:15.102, 	1, 	2, 	19.29, 	22.4454, 	1, 	12, 	1.216, 	(0.28662,-0.26222);
18:35:15.122, 	1, 	2, 	16.532, 	21.2375, 	1, 	12, 	1.52, 	(-0.304847,0.209047);
18:35:15.142, 	1, 	2, 	19.6225, 	22.2202, 	1, 	12, 	1.824, 	(0.327756,0.0899465);
18:35:15.162, 	1, 	2, 	19.4659, 	21.9685, 	1, 	12, 	2.128, 	(-0.30412,-0.349147);
18:35:15.183, 	1, 	2, 	19.334, 	24.3452, 	1, 	12, 	2.432, 	(0.53531,-0.273846);
18:35:15.203, 	1, 	2, 	16.0211, 	20.1556, 	1, 	12, 	2.736, 	(0.360727,0.328301);
18:35:15.223, 	1, 	2, 	20.3306, 	24.5585, 	1, 	12, 	3.04, 	(-0.545401,-0.0544353);
18:35:15.243, 	1, 	2, 	19.6547, 	24.4339, 	1, 	12, 	3.04, 	(0.393492,0.329904);
18:35:15.263, 	1, 	2, 	20.888, 	24.4672, 	1, 	12, 	3.04, 	(-0.370012,-0.179093);
18:35:15.287, 	1, 	2, 	19.9713, 	24.2975, 	1, 	12, 	3.04, 	(0.404594,0.0902518);
18:35:15.303, 	1, 	2, 	22.0165, 	25.0202, 	1, 	12, 	3.04, 	(0.54585,-0.214641);
18:35:15.323, 	1, 	2, 	18.2872, 	22.0974, 	1, 	12, 	3.04, 	(-0.314463,0.425887);
18:35:15.344, 	1, 	2, 	22.38, 	23.9431, 	1, 	12, 	3.04, 	(-0.463785,-0.177944);
18:35:15.364, 	1, 	2, 	20.8877, 	24.8793, 	1, 	12, 	3.04, 	(-0.282505,-0.544564);
18:35:15.384, 	1, 	2, 	22.6564, 	25.2267, 	1, 	12, 	3.04, 	(0.242943,0.629827);
18:35:15.404, 	1, 	2, 	23.0225, 	23.7344, 	1, 	12, 	3.04, 	(0.13467,-0.483342);
18:35:15.424, 	1, 	2, 	19.8075, 	24.7878, 	1, 	8, 	3.04, 	(0.566592,0.39371);
18:35:15.446, 	1, 	2, 	21.8633, 	24.4774, 	1, 	8, 	3.04, 	(-0.346318,-0.275313);
18:35:15.465, 	1, 	2, 	16.9168, 	21.7608, 	1, 	8, 	3.04, 	(0.539115,-0.304045);
18:35:15.485, 	1, 	2, 	21.7367, 	25.5587, 	1, 	4, 	3.04, 	(-0.421246,-0.36248);
18:35:15.505, 	1, 	2, 	20.4856, 	24.0521, 	1, 	-1.38778e-15, 	3.04, 	(-0.21278,0.598658);
18:35:15.525, 	1, 	2, 	22.6237, 	24.9002, 	1, 	-1.38778e-15, 	3.04, 	(-0.628916,-0.0263815);
18:35:15.545, 	1, 	2, 	21.3395, 	24.1526, 	1, 	-1.38778e-15, 	3.04, 	(-0.233651,0.500094);
18:35:15.565, 	1, 	2, 	18.9222, 	23.4315, 	1, 	-1.38778e-15, 	3.04, 	(0.546728,-0.157723);
18:35:15.585, 	1, 	2, 	22.2818, 	24.8676, 	1, 	-1.38778e-15, 	3.04, 	(0.130033,-0.569025);
18:35:15.606, 	1, 	2, 	22.804, 	25.0033, 	1, 	-1.38778e-15, 	3.04, 	(-0.384146,-0.235946);
18:35:15.626, 	1, 	2, 	22.3922, 	24.0701, 	1, 	-1.38778e-15, 	3.04, 	(0.129614,0.367319);
18:35:15.646, 	1, 	2, 	18.4372, 	21.8742, 	1, 	-1.38778e-15, 	3.04, 	(-0.148031,0.668054);
18:35:15.666, 	1, 	2, 	20.5636, 	24.1737, 	1, 	-1.38778e-15, 	3.04, 	(-0.691584,0.234349);
18:35:15.686, 	1, 	2, 	23.2162, 	25.2713, 	1, 	-1.38778e-15, 	3.04, 	(0.484641,-0.199178);
18:35:15.707, 	1, 	2, 	23.8247, 	25.4579, 	1, 	-1.38778e-15, 	3.04, 	(-0.167441,0.659937);
18:35:15.727, 	1, 	2, 	19.2932, 	23.0666, 	1, 	-1.38778e-15, 	3.04, 	(-0.433173,0.489466);
18:35:15.747, 	1, 	2, 	20.6831, 	21.0926, 	1, 	-1.38778e-15, 	3.04, 	(0.332477,0.0955917);
18:35:15.767, 	1, 	2, 	21.7336, 	20.8766, 	1, 	-1.38778e-15, 	3.04, 	(-0.304663,0.088006);
18:35:15.787, 	0, 	2, 	20.6708, 	11.6019, 	1, 	-1.38778e-15, 	3.04, 	(-0.0329615,-0.034693);
18:35:15.807, 	1, 	2, 	22.9998, 	24.7926, 	1, 	4, 	2.736, 	(0.596468,-0.26368);
18:35:15.820, 	1, 	1, 	21.5373, 	13.6349, 	0, 	4, 	2.432, 	(0.888365,-0.483043);(-1.24447,-0.5054);(0.757486,0.990148);(-0.409941,-1.10473);
18:35:15.847, 	1, 	2, 	22.289, 	25.4287, 	1, 	4, 	2.432, 	(0.140693,0.548976);
18:35:15.868, 	1, 	2, 	22.1158, 	25.0622, 	1, 	4, 	2.432, 	(0.0923743,0.457007);
18:35:15.888, 	1, 	2, 	17.9111, 	22.1286, 	1, 	4, 	2.432, 	(-0.164753,-0.638474);
18:35:15.908, 	1, 	2, 	24.6875, 	25.184, 	1, 	4, 	2.432, 	(0.639322,0.0637614);
18:35:15.928, 	1, 	2, 	22.8679, 	24.6757, 	1, 	4, 	2.432, 	(0.16255,-0.758482);
18:35:15.949, 	1, 	2, 	23.7851, 	25.1092, 	1, 	4, 	2.432, 	(0.0437289,-0.514613);
18:35:15.969, 	1, 	2, 	24.6822, 	25.9627, 	1, 	4, 	2.432, 	(0.65159,0.341555);
18:35:15.995, 	1, 	2, 	20.5665, 	24.1739, 	1, 	4, 	2.736, 	(-0.769658,-0.0257549);
18:35:16.009, 	1, 	2, 	25.3108, 	25.0651, 	1, 	4, 	2.736, 	(-0.171581,0.586755);
18:35:16.029, 	1, 	2, 	25.0237, 	25.2568, 	1, 	4, 	3.04, 	(0.402404,0.319869);
18:35:16.049, 	1, 	2, 	25.1826, 	24.8793, 	1, 	4, 	3.04, 	(-0.5686,0.398156);
18:35:16.069, 	1, 	2, 	24.4005, 	25.1399, 	1, 	4, 	3.04, 	(0.488957,-0.472975);
18:35:16.089, 	1, 	2, 	22.9184, 	25.9392, 	1, 	4, 	3.04, 	(-0.722367,-0.310555);
18:35:16.109, 	1, 	2, 	24.5941, 	25.4347, 	1, 	4, 	3.04, 	(-0.509551,0.166145);
18:35:16.130, 	1, 	2, 	18.3023, 	22.4213, 	1, 	4, 	3.04, 	(-0.54904,0.466833);
18:35:16.150, 	1, 	2, 	21.3283, 	23.7898, 	1, 	4, 	3.04, 	(0.588044,-0.501788);
18:35:16.170, 	1, 	2, 	21.9122, 	24.3118, 	1, 	4, 	3.04, 	(-0.635722,-0.307953);
18:35:16.190, 	1, 	2, 	25.0437, 	25.4741, 	1, 	4, 	3.04, 	(-0.0492888,-0.46571);
18:35:16.210, 	1, 	2, 	25.9043, 	24.7483, 	1, 	4, 	3.04, 	(0.388753,0.132132);
18:35:16.231, 	1, 	2, 	20.3053, 	23.2021, 	1, 	4, 	3.04, 	(0.407701,-0.678798);
18:35:16.251, 	1, 	2, 	22.9269, 	20.1156, 	1, 	4, 	3.04, 	(-0.0337056,-0.285324);
18:35:16.271, 	1, 	2, 	23.7697, 	21.6442, 	1, 	4, 	3.04, 	(-0.389778,-0.0122698);
18:35:16.292, 	0, 	2, 	18.1915, 	19.8392, 	1, 	4, 	3.04, 	(-0.149841,-0.321119);
18:35:16.311, 	1, 	2, 	20.1581, 	23.3282, 	1, 	4, 	2.736, 	(0.39696,0.47704);
18:35:16.323, 	1, 	1, 	24.1956, 	18.5712, 	0, 	4, 	2.432, 	(-0.520729,-0.847021);(-1.10723,0.932774);(1.99716,0.133637);(-1.61211,-1.19186);
18:35:16.351, 	1, 	2, 	24.4538, 	24.8082, 	1, 	4, 	2.432, 	(-0.557802,0.371349);
18:35:16.371, 	1, 	2, 	25.4126, 	25.0304, 	1, 	4, 	2.432, 	(-0.439017,-0.474665);
18:35:16.392, 	1, 	2, 	20.9812, 	24.0702, 	1, 	4, 	2.432, 	(-0.0607048,-0.64219);
18:35:16.412, 	1, 	2, 	24.6085, 	24.4874, 	1, 	4, 	2.432, 	(-0.198313,-0.514909);
18:35:16.432, 	0, 	2, 	24.0109, 	7.85625, 	1, 	4, 	2.432, 	(0.0110527,0.0619101);
18:35:16.453, 	0, 	2, 	26.3123, 	8.57449, 	0, 	8, 	2.128, 	(0.0456321,0.0186074);
18:35:16.463, 	1, 	1, 	23.5544, 	18.761, 	0, 	12, 	1.52, 	(-0.722578,-0.704444);(-1.02923,1.03403);(1.96958,0.296305);(-1.55898,-1.46678);
18:35:16.494, 	0, 	2, 	21.9762, 	9.13163, 	0, 	12, 	1.52, 	(0.0589947,-0.000792541);
18:35:16.512, 	1, 	2, 	24.0763, 	25.5052, 	1, 	16, 	1.52, 	(-0.30578,-0.779999);
18:35:16.523, 	1, 	1, 	27.9444, 	20.7374, 	0, 	16, 	1.52, 	(0.95899,0.831101);(0.775986,-1.2716);(-0.930194,0.105069);(0.814906,0.574534);
18:35:16.553, 	1, 	2, 	19.7891, 	24.176, 	1, 	16, 	1.52, 	(0.230595,0.73786);
18:35:16.573, 	1, 	2, 	22.2083, 	25.5201, 	1, 	16, 	1.52, 	(0.373021,0.715471);
18:35:16.595, 	1, 	2, 	23.6476, 	26.1386, 	1, 	16, 	1.52, 	(0.728253,-0.47019);
18:35:16.613, 	1, 	2, 	26.0754, 	25.1047, 	1, 	16, 	1.52, 	(0.547588,-0.0976861);
18:35:16.634, 	0, 	2, 	25.957, 	25.1047, 	1, 	16, 	1.52, 	(0.547588,-0.0976861);
18:35:16.654, 	0, 	2, 	21.1264, 	5.26845, 	0, 	20, 	1.52, 	(0.0300139,-0.0396422);
18:35:16.664, 	1, 	1, 	26.0478, 	18.6119, 	0, 	24, 	1.52, 	(0.885329,0.787485);(1.1595,-1.226);(-2.1941,-0.322533);(1.21242,1.76215);
18:35:16.694, 	0, 	2, 	26.9374, 	6.98086, 	0, 	24, 	1.52, 	(-0.00250459,0.0329488);
18:35:16.714, 	1, 	2, 	26.7078, 	25.9122, 	1, 	28, 	1.52, 	(-0.323538,0.773908);
18:35:16.724, 	1, 	1, 	23.3126, 	20.163, 	0, 	28, 	1.52, 	(-0.850366,-0.601207);(-1.02098,1.11572);(2.17795,0.473797);(-1.06715,-1.91549);
18:35:16.755, 	1, 	2, 	23.7136, 	25.3063, 	1, 	28, 	1.52, 	(0.254958,0.831387);
18:35:16.774, 	1, 	2, 	26.0692, 	26.5531, 	1, 	28, 	1.52, 	(-0.529708,0.644044);
18:35:16.795, 	1, 	2, 	19.3151, 	22.1068, 	1, 	24, 	1.52, 	(-0.337624,-0.669789);
18:35:16.815, 	1, 	2, 	20.3922, 	24.1853, 	1, 	24, 	1.52, 	(0.327271,-0.682741);
18:35:16.835, 	1, 	2, 	23.5635, 	24.6, 	1, 	24, 	1.824, 	(-0.698385,0.113476);
18:35:16.855, 	1, 	2, 	26.8512, 	26.1028, 	1, 	24, 	2.128, 	(0.0594537,-0.601702);
18:35:16.869, 	1, 	2, 	28.0794, 	26.4001, 	1, 	24, 	2.432, 	(-0.761889,-0.116489);
18:35:16.885, 	1, 	2, 	19.5816, 	24.1093, 	1, 	24, 	2.736, 	(-0.612341,0.524609);
18:35:16.906, 	1, 	2, 	21.8548, 	22.8417, 	1, 	24, 	2.736, 	(-0.459501,0.31222);
18:35:16.926, 	1, 	2, 	27.3832, 	24.9235, 	1, 	20, 	3.04, 	(-0.476689,0.261848);
18:35:16.950, 	1, 	2, 	21.9944, 	25.5902, 	1, 	16, 	3.04, 	(0.780088,0.459367);
18:35:16.966, 	1, 	2, 	19.6013, 	23.544, 	1, 	16, 	3.04, 	(-0.627619,0.579301);
18:35:16.986, 	1, 	2, 	28.5489, 	26.5671, 	1, 	12, 	3.04, 	(0.624078,-0.290641);
18:35:17.006, 	1, 	2, 	24.5819, 	25.2831, 	1, 	12, 	3.04, 	(0.227199,0.778722);
18:35:17.026, 	1, 	2, 	26.9602, 	25.4674, 	1, 	12, 	3.04, 	(0.180927,0.531768);
18:35:17.047, 	1, 	2, 	18.7647, 	22.9325, 	1, 	12, 	3.04, 	(0.775868,0.0388285);
18:35:17.067, 	1, 	2, 	20.975, 	22.107, 	1, 	12, 	3.04, 	(-0.546672,-0.117087);
18:35:17.087, 	1, 	2, 	28.0465, 	25.0446, 	1, 	12, 	3.04, 	(0.344712,-0.543617);
