(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:36:22.551, 	1, 	1, 	13.8436, 	8.17817, 	0, 	-1.38778e-15, 	2.736, 	(-0.604596,0.702616);(0.842775,-0.860008);(-0.255383,0.81174);(-0.109815,-0.780786);
18:36:36.826, 	1, 	2, 	10.7466, 	18.2162, 	1, 	-1.38778e-15, 	2.736, 	(0.136684,-0.280875);
18:36:36.846, 	1, 	2, 	13.0183, 	23.1236, 	1, 	-1.38778e-15, 	2.736, 	(0.43645,0.217568);
18:36:36.866, 	1, 	2, 	14.3473, 	23.405, 	1, 	-1.38778e-15, 	2.736, 	(0.476169,-0.182037);
18:36:36.907, 	1, 	2, 	14.9684, 	23.9247, 	1, 	-1.38778e-15, 	2.736, 	(-0.448831,0.0101578);
18:36:36.927, 	1, 	2, 	15.279, 	24.2312, 	1, 	-1.38778e-15, 	2.736, 	(0.392848,-0.377954);
18:36:36.947, 	1, 	2, 	15.7073, 	24.0541, 	1, 	-1.38778e-15, 	2.736, 	(0.267043,-0.472224);
18:36:36.967, 	1, 	2, 	13.3756, 	23.4673, 	1, 	-1.38778e-15, 	2.736, 	(-0.509287,-0.108823);
18:36:36.987, 	1, 	2, 	13.6216, 	23.9562, 	1, 	-1.38778e-15, 	2.736, 	(0.481945,0.00317011);
18:36:37.007, 	1, 	2, 	13.858, 	24.1197, 	1, 	-1.38778e-15, 	2.736, 	(-0.512667,0.174984);
18:36:37.027, 	1, 	2, 	16.0657, 	24.7606, 	1, 	-1.38778e-15, 	3.04, 	(-0.16266,-0.518328);
18:36:37.048, 	1, 	2, 	14.9273, 	22.8412, 	1, 	-1.38778e-15, 	3.04, 	(0.323848,0.416666);
18:36:37.068, 	1, 	2, 	16.0792, 	24.1572, 	1, 	-1.38778e-15, 	3.04, 	(-0.0527873,0.503007);
18:36:37.088, 	1, 	2, 	14.4803, 	18.8023, 	1, 	-1.38778e-15, 	3.04, 	(0.256104,0.350389);
18:36:37.109, 	1, 	2, 	15.7819, 	24.0417, 	1, 	-1.38778e-15, 	3.04, 	(0.494113,-0.262713);
18:36:37.129, 	1, 	2, 	15.3697, 	23.9126, 	1, 	-1.38778e-15, 	3.04, 	(0.502618,-0.175519);
18:36:37.149, 	1, 	2, 	14.2012, 	23.3666, 	1, 	-1.38778e-15, 	3.04, 	(0.445044,-0.359506);
18:36:37.169, 	1, 	2, 	14.4158, 	24.472, 	1, 	-1.38778e-15, 	3.04, 	(-0.14247,0.552119);
18:36:37.189, 	1, 	2, 	14.2274, 	25.09, 	1, 	-1.38778e-15, 	3.04, 	(0.437913,0.411093);
18:36:37.209, 	1, 	2, 	14.8248, 	24.5854, 	1, 	-1.38778e-15, 	3.04, 	(0.39897,0.407692);
18:36:37.230, 	1, 	2, 	15.424, 	25.1446, 	1, 	-1.38778e-15, 	3.04, 	(0.210154,-0.485636);
18:36:37.250, 	1, 	2, 	14.7988, 	24.7761, 	1, 	-1.38778e-15, 	3.04, 	(-0.344991,-0.513264);
18:36:37.270, 	1, 	2, 	13.682, 	21.5209, 	1, 	-1.38778e-15, 	3.04, 	(0.297882,-0.457246);
18:36:37.296, 	1, 	2, 	15.7239, 	23.5858, 	1, 	-1.38778e-15, 	3.04, 	(0.218142,0.55456);
18:36:37.310, 	1, 	2, 	16.0972, 	24.2221, 	1, 	-1.38778e-15, 	3.04, 	(0.0859458,0.547082);
18:36:37.331, 	1, 	2, 	15.3259, 	24.5118, 	1, 	-1.38778e-15, 	3.04, 	(-0.483405,0.431826);
18:36:37.351, 	1, 	2, 	14.8342, 	20.4115, 	1, 	-1.38778e-15, 	3.04, 	(0.536765,0.110489);
18:36:37.371, 	1, 	2, 	16.561, 	21.628, 	1, 	-1.38778e-15, 	3.04, 	(-0.386885,0.459536);
18:36:37.391, 	1, 	2, 	16.6367, 	24.2813, 	1, 	-1.38778e-15, 	3.04, 	(-0.573848,0.274814);
18:36:37.411, 	1, 	2, 	15.9724, 	24.1358, 	1, 	-1.38778e-15, 	3.04, 	(0.198123,-0.489434);
18:36:37.451, 	1, 	2, 	15.1754, 	21.2662, 	1, 	-1.38778e-15, 	3.04, 	(-0.399967,-0.214966);
