(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:34:39.111, 	1, 	1, 	13.8413, 	12.8937, 	0, 	40, 	0.304, 	(0.317588,-0.804713);(-0.593727,0.927289);(0.157989,-1.28836);(0.403365,1.12987);
17:34:53.188, 	0, 	2, 	14.7759, 	2.38077, 	0, 	40, 	0.304, 	(0.00908,-0.0257789);
17:34:53.208, 	1, 	2, 	14.3698, 	20.3358, 	1, 	44, 	0.304, 	(0.238483,-0.277315);
17:34:53.221, 	0, 	1, 	14.7579, 	10.576, 	1, 	44, 	0.304, 	(-0.267274,-0.100392);(0.419319,0.221488);(-1.0506,-0.26607);(0.917268,-0.315697);
17:34:53.248, 	1, 	2, 	14.5599, 	23.6363, 	1, 	48, 	0.608, 	(-0.0366852,-0.515614);
17:34:53.262, 	0, 	1, 	13.8286, 	10.3517, 	1, 	48, 	0.608, 	(-0.546573,0.317915);(0.922378,-0.186082);(-1.09973,0.778226);(0.413585,-1.15005);
17:34:53.288, 	1, 	2, 	14.6674, 	21.6319, 	1, 	48, 	0.912, 	(0.475761,-0.057484);
17:34:53.302, 	1, 	1, 	14.2391, 	10.6378, 	0, 	44, 	0.912, 	(-0.161359,0.409985);(0.628976,-0.423364);(-0.567358,1.13324);(-0.211481,-1.08917);
17:34:53.329, 	1, 	2, 	14.8332, 	24.0949, 	1, 	44, 	1.216, 	(-0.296577,0.473683);
17:34:53.349, 	1, 	2, 	16.0022, 	23.8693, 	1, 	44, 	1.52, 	(-0.0023805,-0.546936);
17:34:53.369, 	1, 	2, 	14.992, 	21.6815, 	1, 	44, 	1.824, 	(-0.168294,-0.398106);
17:34:53.389, 	1, 	2, 	15.9629, 	23.9134, 	1, 	44, 	2.128, 	(-0.0856608,0.482977);
17:34:53.409, 	1, 	2, 	15.9989, 	24.9935, 	1, 	44, 	2.128, 	(-0.220481,-0.548748);
17:34:53.431, 	1, 	2, 	11.733, 	18.4067, 	1, 	44, 	2.432, 	(0.259119,-0.29302);
17:34:53.450, 	1, 	2, 	14.651, 	24.7732, 	1, 	44, 	2.432, 	(-0.470238,0.379722);
17:34:53.470, 	1, 	2, 	16.2679, 	24.3206, 	1, 	44, 	2.736, 	(-0.0238532,0.606779);
17:34:53.490, 	1, 	2, 	16.3013, 	23.6686, 	1, 	44, 	2.736, 	(-0.409532,-0.38216);
17:34:53.510, 	1, 	2, 	14.2737, 	18.9045, 	1, 	40, 	3.04, 	(0.321942,0.298092);
17:34:53.530, 	1, 	2, 	14.6279, 	24.6421, 	1, 	36, 	3.04, 	(0.56453,-0.277541);
17:34:53.551, 	1, 	2, 	15.6044, 	22.9228, 	1, 	32, 	3.04, 	(0.413593,-0.437129);
17:34:53.571, 	1, 	2, 	14.7994, 	24.6885, 	1, 	28, 	3.04, 	(0.512598,0.365867);
17:34:53.591, 	1, 	2, 	15.5282, 	24.6332, 	1, 	24, 	3.04, 	(0.176658,0.606245);
17:34:53.611, 	1, 	2, 	16.2566, 	24.478, 	1, 	20, 	3.04, 	(-0.549116,-0.213717);
17:34:53.631, 	1, 	2, 	15.0122, 	24.2183, 	1, 	16, 	3.04, 	(-0.180759,-0.595781);
17:34:53.652, 	1, 	2, 	13.8125, 	19.7305, 	1, 	12, 	3.04, 	(0.254349,0.434473);
17:34:53.672, 	1, 	2, 	13.7297, 	22.3501, 	1, 	12, 	3.04, 	(-0.293397,0.496928);
17:34:53.692, 	1, 	2, 	14.191, 	19.1768, 	1, 	8, 	3.04, 	(0.367887,0.186527);
17:34:53.712, 	1, 	2, 	14.5905, 	17.1674, 	1, 	8, 	3.04, 	(0.261819,0.0111963);
17:34:53.732, 	1, 	2, 	14.2968, 	24.1595, 	1, 	4, 	3.04, 	(0.574388,-0.000401601);
17:34:53.752, 	1, 	2, 	13.191, 	17.3739, 	1, 	4, 	3.04, 	(0.119663,-0.362917);
17:34:53.772, 	1, 	2, 	13.8209, 	19.0677, 	1, 	-1.249e-14, 	3.04, 	(-0.411696,0.122933);
17:34:53.792, 	1, 	2, 	14.6588, 	21.7527, 	1, 	-1.249e-14, 	3.04, 	(0.17628,-0.504428);
17:34:53.812, 	1, 	2, 	15.4742, 	24.7043, 	1, 	-1.249e-14, 	3.04, 	(0.644854,0.089453);
17:34:53.833, 	1, 	2, 	16.4636, 	24.7613, 	1, 	-1.249e-14, 	3.04, 	(-0.673312,-0.0790836);
17:34:53.853, 	1, 	2, 	15.3301, 	21.7448, 	1, 	-1.249e-14, 	3.04, 	(0.569417,-0.109649);
17:34:53.873, 	1, 	2, 	15.6552, 	21.7448, 	1, 	-1.249e-14, 	3.04, 	(0.569417,-0.109649);
17:34:53.913, 	1, 	2, 	14.5859, 	25.9003, 	1, 	-1.249e-14, 	3.04, 	(-0.519153,-0.454849);
17:34:53.933, 	1, 	2, 	16.0616, 	23.626, 	1, 	-1.249e-14, 	3.04, 	(-0.206563,0.625684);
17:34:54.015, 	1, 	2, 	14.8853, 	19.0542, 	1, 	-1.249e-14, 	3.04, 	(0.128783,0.49711);
17:34:54.036, 	1, 	2, 	15.127, 	25.8345, 	1, 	-1.249e-14, 	3.04, 	(-0.353358,-0.62447);
17:34:54.074, 	1, 	2, 	15.1109, 	24.9208, 	1, 	-1.249e-14, 	3.04, 	(-0.527291,0.483722);
17:34:54.095, 	1, 	2, 	15.458, 	19.9676, 	1, 	-1.249e-14, 	3.04, 	(0.539432,0.192572);
17:34:54.115, 	1, 	2, 	16.231, 	25.0859, 	1, 	-1.249e-14, 	3.04, 	(-0.137203,-0.665754);
17:34:54.420, 	0, 	2, 	-0.550341, 	0.884355, 	1, 	-1.249e-14, 	3.04, 	(-0.0221326,-0.00747642);
17:34:54.468, 	1, 	1, 	16.9727, 	13.1866, 	0, 	4, 	2.432, 	(-1.16609,-0.518941);(1.56567,0.101959);(-0.399069,0.732958);(-0.362834,-0.802152);
17:34:54.487, 	0, 	1, 	16.9805, 	10.7297, 	0, 	4, 	2.432, 	(-0.605855,-0.997933);(1.11545,0.808422);(-0.465022,0.278761);(0.0571686,-0.594166);
17:34:54.508, 	1, 	2, 	17.03, 	25.4522, 	1, 	8, 	2.128, 	(0.27255,-0.587382);
17:34:54.528, 	1, 	2, 	18.3369, 	25.006, 	1, 	8, 	2.128, 	(0.0619014,-0.549606);
17:34:54.548, 	1, 	2, 	18.2204, 	24.7845, 	1, 	8, 	2.128, 	(-0.367952,-0.247588);
17:34:54.568, 	0, 	2, 	19.0462, 	17.8764, 	1, 	8, 	2.128, 	(0.0159768,-0.0859915);
17:34:54.588, 	1, 	1, 	17.3925, 	13.1135, 	0, 	12, 	1.52, 	(-0.634188,1.05249);(0.401536,-1.62472);(1.27014,1.16641);(-1.39311,0.587955);
17:34:54.608, 	1, 	1, 	18.6812, 	11.3623, 	0, 	12, 	1.216, 	(-1.16221,-0.517602);(1.43458,-0.0274268);(-0.269434,0.711221);(-0.41896,-0.497347);
17:34:54.629, 	1, 	2, 	18.1156, 	25.2781, 	1, 	12, 	1.216, 	(-0.58648,0.343617);
17:34:54.670, 	1, 	2, 	17.9919, 	24.8316, 	1, 	12, 	1.52, 	(-0.502592,0.423088);
17:34:54.690, 	1, 	2, 	19.4573, 	25.3525, 	1, 	12, 	1.824, 	(0.667655,-0.256001);
17:34:54.711, 	1, 	2, 	18.2103, 	26.2658, 	1, 	12, 	2.128, 	(-0.322994,-0.72267);
17:34:54.731, 	1, 	2, 	21.3904, 	25.0335, 	1, 	12, 	2.128, 	(0.127602,0.495474);
17:34:54.750, 	1, 	2, 	20.2193, 	24.9559, 	1, 	12, 	2.128, 	(0.500529,0.528889);
17:34:54.771, 	1, 	2, 	18.0664, 	15.9432, 	1, 	12, 	2.128, 	(0.0939373,0.0779252);
17:34:54.790, 	1, 	2, 	20.4705, 	14.7351, 	1, 	12, 	2.432, 	(-0.00538278,0.120889);
17:34:54.810, 	1, 	2, 	21.6479, 	16.0463, 	1, 	12, 	2.736, 	(-0.063288,-0.0198217);
17:34:54.831, 	1, 	2, 	17.9153, 	25.3374, 	1, 	12, 	3.04, 	(0.095504,-0.810404);
17:34:54.851, 	1, 	2, 	21.2157, 	17.5958, 	1, 	12, 	3.04, 	(0.0870227,-0.0146275);
17:34:54.871, 	1, 	2, 	20.1839, 	16.7803, 	1, 	12, 	3.04, 	(-0.0578651,-0.0270535);
17:34:54.891, 	1, 	2, 	18.3417, 	17.2493, 	1, 	12, 	3.04, 	(-0.119789,0.0774538);
17:34:54.911, 	1, 	2, 	21.6283, 	25.5996, 	1, 	12, 	3.04, 	(0.437689,0.314739);
17:34:54.931, 	1, 	2, 	21.0229, 	25.6151, 	1, 	12, 	3.04, 	(-0.038446,0.437941);
17:34:54.952, 	1, 	2, 	21.3965, 	25.3676, 	1, 	12, 	3.04, 	(0.518491,0.316223);
17:34:54.971, 	1, 	2, 	21.7925, 	25.8895, 	1, 	8, 	3.04, 	(-0.419679,-0.449058);
17:34:54.992, 	1, 	2, 	21.9551, 	19.9331, 	1, 	8, 	3.04, 	(0.160254,-0.308472);
17:34:55.016, 	1, 	2, 	21.1137, 	25.591, 	1, 	4, 	3.04, 	(0.2674,-0.653164);
17:34:55.032, 	1, 	2, 	20.5015, 	24.7836, 	1, 	4, 	3.04, 	(-0.312332,0.680788);
17:34:55.052, 	1, 	2, 	22.0563, 	25.1974, 	1, 	4, 	3.04, 	(-0.719859,-0.208981);
17:34:55.072, 	1, 	2, 	23.8573, 	25.7534, 	1, 	4, 	3.04, 	(-0.300465,0.152354);
