(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:18:58.171, 	1, 	1, 	20.2359, 	15.5637, 	0, 	-1.38778e-15, 	2.736, 	(0.207056,-0.604217);(-0.986253,0.32834);(1.61105,0.190494);(-1.60945,-0.107574);
14:19:16.246, 	0, 	2, 	20.8136, 	12.55, 	0, 	-1.38778e-15, 	2.736, 	(0.0720319,0.0693012);
14:19:16.265, 	1, 	2, 	19.9041, 	24.9875, 	1, 	4, 	2.432, 	(-0.299203,-0.331843);
14:19:16.282, 	1, 	1, 	22.3023, 	13.6888, 	0, 	4, 	2.128, 	(0.896519,-0.218183);(-0.9763,-0.649408);(0.571965,0.76787);(-0.543837,-0.684506);
14:19:16.306, 	1, 	2, 	20.9005, 	24.9717, 	1, 	4, 	2.128, 	(0.190657,-0.540466);
14:19:16.326, 	1, 	2, 	20.3067, 	24.3606, 	1, 	4, 	2.128, 	(0.303594,-0.579495);
14:19:16.346, 	1, 	2, 	20.4843, 	25.4756, 	1, 	4, 	2.128, 	(0.615352,-0.172985);
14:19:16.366, 	1, 	2, 	18.897, 	23.5159, 	1, 	4, 	2.128, 	(0.444365,0.437646);
14:19:16.387, 	1, 	2, 	20.0572, 	24.3812, 	1, 	4, 	2.128, 	(0.651825,-0.0705545);
14:19:16.406, 	1, 	2, 	21.1566, 	24.9115, 	1, 	4, 	2.128, 	(-0.118637,-0.651474);
14:19:16.426, 	1, 	2, 	18.1947, 	22.2831, 	1, 	4, 	2.432, 	(0.317866,0.526284);
14:19:16.447, 	1, 	2, 	19.0002, 	24.1164, 	1, 	4, 	2.736, 	(-0.0999313,-0.6637);
14:19:16.467, 	1, 	2, 	20.8663, 	25.3447, 	1, 	4, 	2.736, 	(0.48548,-0.490752);
14:19:16.488, 	1, 	2, 	21.0262, 	25.2785, 	1, 	4, 	3.04, 	(0.558335,0.393414);
14:19:16.508, 	1, 	2, 	22.2424, 	25.1876, 	1, 	4, 	3.04, 	(0.445344,0.448871);
14:19:16.528, 	1, 	2, 	20.016, 	25.0486, 	1, 	4, 	3.04, 	(-0.0703612,0.687798);
14:19:16.548, 	1, 	2, 	21.1746, 	25.321, 	1, 	4, 	3.04, 	(0.486892,-0.0875044);
14:19:16.569, 	1, 	2, 	18.0623, 	22.2888, 	1, 	4, 	3.04, 	(0.625052,-0.11869);
14:19:16.588, 	1, 	2, 	22.8779, 	25.6296, 	1, 	4, 	3.04, 	(0.249763,-0.589714);
14:19:16.608, 	1, 	2, 	21.8654, 	25.5223, 	1, 	4, 	3.04, 	(-0.0761121,0.705731);
14:19:16.628, 	1, 	2, 	23.304, 	25.3939, 	1, 	4, 	3.04, 	(0.677792,0.185325);
14:19:16.648, 	1, 	2, 	23.8764, 	24.8127, 	1, 	4, 	3.04, 	(0.410428,-0.52637);
14:19:16.672, 	1, 	2, 	23.0027, 	25.5923, 	1, 	4, 	3.04, 	(0.160152,0.689062);
14:19:16.689, 	1, 	2, 	22.502, 	25.8002, 	1, 	4, 	3.04, 	(0.166379,0.697803);
14:19:16.709, 	1, 	2, 	17.5001, 	22.6947, 	1, 	4, 	3.04, 	(-0.0187762,0.645595);
14:19:16.729, 	1, 	2, 	19.793, 	23.6246, 	1, 	4, 	3.04, 	(0.444154,0.526252);
14:19:16.749, 	1, 	2, 	23.3613, 	24.1101, 	1, 	-1.38778e-15, 	3.04, 	(0.530092,0.197213);
14:19:16.770, 	1, 	2, 	22.4061, 	25.0116, 	1, 	-1.38778e-15, 	3.04, 	(0.235116,-0.410363);
14:19:16.790, 	1, 	2, 	23.1951, 	24.7164, 	1, 	-1.38778e-15, 	3.04, 	(0.646614,-0.124502);
14:19:16.810, 	1, 	2, 	20.3102, 	24.2542, 	1, 	-1.38778e-15, 	3.04, 	(0.615232,-0.313395);
14:19:16.830, 	1, 	2, 	21.8474, 	25.1892, 	1, 	-1.38778e-15, 	3.04, 	(-0.444594,0.53539);
14:19:16.850, 	1, 	2, 	17.6998, 	21.1424, 	1, 	-1.38778e-15, 	3.04, 	(0.0281092,-0.617082);
14:19:16.870, 	1, 	2, 	19.3639, 	23.0647, 	1, 	-1.38778e-15, 	3.04, 	(-0.630555,0.255471);
14:19:16.890, 	1, 	2, 	21.1356, 	24.2644, 	1, 	-1.38778e-15, 	3.04, 	(0.512727,-0.47442);
14:19:16.911, 	1, 	2, 	22.6671, 	24.1936, 	1, 	-1.38778e-15, 	3.04, 	(0.26178,-0.427855);
14:19:16.931, 	1, 	2, 	17.6182, 	22.5184, 	1, 	-1.38778e-15, 	3.04, 	(0.200872,-0.645528);
14:19:16.951, 	1, 	2, 	20.1866, 	24.4517, 	1, 	-1.38778e-15, 	3.04, 	(0.201459,0.689255);
14:19:16.971, 	1, 	2, 	22.278, 	25.8141, 	1, 	-1.38778e-15, 	3.04, 	(0.454642,-0.367758);
14:19:16.993, 	1, 	2, 	22.8827, 	25.0996, 	1, 	-1.38778e-15, 	3.04, 	(-0.0888905,-0.727998);
14:19:17.012, 	1, 	2, 	23.3993, 	25.907, 	1, 	-1.38778e-15, 	3.04, 	(-0.512411,0.469441);
14:19:17.031, 	1, 	2, 	22.4007, 	25.3724, 	1, 	-1.38778e-15, 	3.04, 	(-0.00406631,-0.64309);
14:19:17.052, 	1, 	2, 	22.0393, 	24.9021, 	1, 	-1.38778e-15, 	3.04, 	(-0.718529,-0.219209);
14:19:17.072, 	1, 	2, 	18.2243, 	22.3108, 	1, 	-1.38778e-15, 	3.04, 	(-0.349313,-0.580537);
14:19:17.092, 	1, 	2, 	22.7338, 	25.5228, 	1, 	-1.38778e-15, 	3.04, 	(0.503241,0.469511);
14:19:17.112, 	1, 	2, 	21.7496, 	25.6017, 	1, 	-1.38778e-15, 	3.04, 	(-0.021781,0.761984);
14:19:17.133, 	1, 	2, 	23.4997, 	25.5533, 	1, 	-1.38778e-15, 	3.04, 	(0.582632,0.491393);
14:19:17.153, 	1, 	2, 	19.0933, 	22.5719, 	1, 	-1.38778e-15, 	3.04, 	(-0.425206,0.579332);
14:19:17.173, 	1, 	2, 	24.9518, 	26.1365, 	1, 	-1.38778e-15, 	3.04, 	(-0.461752,-0.484743);
14:19:17.193, 	1, 	2, 	23.3494, 	24.688, 	1, 	-1.38778e-15, 	3.04, 	(0.233625,-0.739576);
14:19:17.214, 	1, 	2, 	25.1477, 	24.7759, 	1, 	-1.38778e-15, 	3.04, 	(-0.474249,-0.0768745);
14:19:17.233, 	1, 	2, 	19.9598, 	23.8707, 	1, 	-1.38778e-15, 	3.04, 	(0.493385,-0.573547);
14:19:17.253, 	1, 	2, 	24.5651, 	25.1584, 	1, 	-1.38778e-15, 	3.04, 	(0.425741,-0.451005);
14:19:17.274, 	1, 	2, 	22.8564, 	25.5083, 	1, 	-1.38778e-15, 	3.04, 	(0.340812,-0.671459);
14:19:17.294, 	1, 	2, 	24.499, 	25.7719, 	1, 	-1.38778e-15, 	3.04, 	(0.523288,0.490099);
14:19:17.314, 	1, 	2, 	20.3543, 	18.3889, 	1, 	-1.38778e-15, 	3.04, 	(0.38104,0.118442);
