(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:20:13.799, 	1, 	1, 	14.6422, 	9.78947, 	0, 	52, 	2.432, 	(0.564994,0.884203);(-0.562537,-1.20315);(0.811493,0.617874);(-0.963344,-0.156154);
14:20:39.805, 	1, 	2, 	14.2691, 	23.0072, 	1, 	48, 	2.432, 	(-0.22848,0.55631);
14:20:39.845, 	1, 	2, 	15.5448, 	25.5432, 	1, 	44, 	2.736, 	(0.619374,0.0232358);
14:20:39.865, 	1, 	2, 	14.3428, 	22.7377, 	1, 	40, 	2.736, 	(-0.296838,-0.481474);
14:20:39.885, 	1, 	2, 	12.9952, 	19.1699, 	1, 	36, 	2.736, 	(-0.299202,0.200421);
14:20:39.905, 	1, 	2, 	13.8436, 	20.404, 	1, 	32, 	2.736, 	(-0.0606817,0.437815);
14:20:39.925, 	1, 	2, 	14.7184, 	24.7732, 	1, 	28, 	2.736, 	(0.0858414,-0.608627);
14:20:39.945, 	1, 	2, 	14.3615, 	20.4173, 	1, 	24, 	2.736, 	(-0.460829,-0.0991707);
14:20:39.966, 	1, 	2, 	11.9978, 	24.7423, 	1, 	20, 	2.736, 	(-0.602617,0.104348);
14:20:39.985, 	1, 	2, 	13.3679, 	18.9736, 	1, 	16, 	2.736, 	(0.257751,-0.414842);
14:20:40.006, 	1, 	2, 	15.5477, 	23.384, 	1, 	12, 	3.04, 	(0.0158449,-0.596014);
14:20:40.026, 	1, 	2, 	15.0238, 	23.384, 	1, 	8, 	3.04, 	(0.0158449,-0.596014);
14:20:40.046, 	1, 	2, 	14.2152, 	23.636, 	1, 	8, 	3.04, 	(-0.627646,-0.097393);
14:20:40.066, 	1, 	2, 	14.2265, 	21.3824, 	1, 	4, 	3.04, 	(-0.196733,-0.50319);
14:20:40.086, 	1, 	2, 	16.0373, 	22.3837, 	1, 	4, 	3.04, 	(-0.540759,-0.292683);
14:20:40.108, 	1, 	2, 	15.1678, 	23.9026, 	1, 	-1.38778e-15, 	3.04, 	(-0.571458,0.321913);
14:20:40.127, 	1, 	2, 	14.9198, 	25.1961, 	1, 	-1.38778e-15, 	3.04, 	(-0.564008,0.35314);
14:20:40.148, 	1, 	2, 	15.7049, 	24.8207, 	1, 	-1.38778e-15, 	3.04, 	(0.400826,-0.499849);
14:20:40.167, 	1, 	2, 	15.866, 	25.1396, 	1, 	-1.38778e-15, 	3.04, 	(0.287974,-0.530621);
14:20:40.187, 	1, 	2, 	13.0836, 	17.9956, 	1, 	-1.38778e-15, 	3.04, 	(-0.178985,-0.448218);
14:20:40.207, 	1, 	2, 	14.4902, 	19.0222, 	1, 	-1.38778e-15, 	3.04, 	(0.34857,0.319425);
14:20:40.227, 	1, 	2, 	15.8505, 	23.092, 	1, 	-1.38778e-15, 	3.04, 	(0.492125,-0.41935);
14:20:40.249, 	1, 	2, 	16.6541, 	25.1684, 	1, 	-1.38778e-15, 	3.04, 	(-0.451118,0.534845);
14:20:40.268, 	1, 	2, 	15.2703, 	20.685, 	1, 	-1.38778e-15, 	3.04, 	(0.430928,-0.343598);
14:20:40.289, 	1, 	2, 	14.9974, 	22.6032, 	1, 	-1.38778e-15, 	3.04, 	(0.281221,0.589283);
14:20:40.329, 	1, 	2, 	13.5834, 	20.6207, 	1, 	-1.38778e-15, 	3.04, 	(-0.348842,0.415921);
14:20:40.349, 	1, 	2, 	15.4764, 	21.2697, 	1, 	-1.38778e-15, 	3.04, 	(-0.610867,-0.0134845);
14:20:40.370, 	1, 	2, 	15.0637, 	22.684, 	1, 	-1.38778e-15, 	3.04, 	(-0.415321,-0.509116);
14:20:40.389, 	1, 	2, 	14.1971, 	24.436, 	1, 	-1.38778e-15, 	3.04, 	(0.482736,-0.465368);
14:20:40.409, 	1, 	2, 	13.6862, 	19.1197, 	1, 	-1.38778e-15, 	3.04, 	(0.197936,-0.500603);
14:20:40.470, 	1, 	2, 	16.1884, 	25.111, 	1, 	-1.38778e-15, 	3.04, 	(0.661542,-0.196475);
14:20:40.489, 	1, 	2, 	15.5315, 	25.111, 	1, 	-1.38778e-15, 	3.04, 	(0.661542,-0.196475);
14:20:40.510, 	1, 	2, 	14.484, 	22.0004, 	1, 	-1.38778e-15, 	3.04, 	(0.611243,0.166617);
14:20:40.530, 	1, 	2, 	14.7529, 	24.9208, 	1, 	-1.38778e-15, 	3.04, 	(0.648427,0.271837);
14:20:40.631, 	1, 	2, 	15.5759, 	20.0954, 	1, 	-1.38778e-15, 	3.04, 	(-0.366428,-0.476436);
14:20:40.652, 	1, 	2, 	15.4725, 	24.7572, 	1, 	-1.38778e-15, 	3.04, 	(-0.204755,-0.597951);
14:20:40.671, 	0, 	2, 	15.3258, 	13.353, 	1, 	-1.38778e-15, 	3.04, 	(0.326269,0.452278);
14:20:40.726, 	0, 	1, 	14.8434, 	7.9318, 	0, 	4, 	2.736, 	(0.141931,-1.0267);(-0.227835,1.65348);(-1.01737,-1.18657);(1.46718,-0.0660411);
14:20:40.745, 	0, 	1, 	14.7718, 	8.89098, 	0, 	8, 	2.432, 	(-0.736742,0.339326);(0.944976,-0.399832);(-0.648296,1.52397);(-0.745943,-1.25445);
14:20:40.766, 	0, 	1, 	15.8685, 	8.71384, 	0, 	12, 	2.128, 	(-1.34612,0.0211453);(1.56317,-0.268931);(-0.641569,1.14466);(-0.423307,-1.11932);
14:20:40.785, 	0, 	1, 	15.5226, 	10.3282, 	0, 	16, 	1.824, 	(-1.13402,-0.126023);(1.446,0.0830543);(-1.17765,1.19412);(-0.202667,-1.51102);
14:20:40.805, 	0, 	1, 	15.8508, 	7.74301, 	0, 	20, 	1.52, 	(0.349468,-1.13787);(-0.138039,1.45587);(-0.605511,-0.511124);(0.772593,-0.0960181);
14:20:40.826, 	0, 	1, 	14.1151, 	7.8364, 	0, 	24, 	1.216, 	(0.0984077,-1.21275);(0.0341895,1.71925);(-1.09041,-0.824479);(1.27314,-0.359737);
14:20:40.846, 	0, 	1, 	15.6991, 	11.3316, 	0, 	28, 	0.912, 	(0.832075,1.07478);(-1.14746,-1.07685);(1.19069,-0.237971);(-0.510515,0.970133);
14:20:40.866, 	0, 	1, 	15.0578, 	9.10072, 	0, 	32, 	0.608, 	(0.674688,0.946303);(-0.984646,-1.17788);(1.6214,-0.0429666);(-0.833837,1.26163);
14:20:40.886, 	0, 	1, 	15.2608, 	9.58352, 	0, 	36, 	0.304, 	(0.216376,1.18947);(-0.500667,-1.59118);(1.39193,0.491035);(-1.14038,0.827538);
14:20:40.906, 	0, 	1, 	17.2562, 	9.04983, 	0, 	40, 	-7.10543e-17, 	(0.606677,-1.2391);(-0.435181,1.51534);(-0.852122,-1.06879);(1.21495,-0.0660606);
14:20:40.928, 	1, 	1, 	15.9033, 	11.3196, 	0, 	44, 	-7.10543e-17, 	(-0.317183,-1.27497);(0.710355,1.42665);(-1.10259,-0.138412);(0.675288,-0.762135);
14:20:40.953, 	1, 	2, 	15.2132, 	25.2091, 	1, 	44, 	0.304, 	(-0.5523,0.163773);
14:20:41.034, 	1, 	2, 	16.5456, 	1.27463, 	1, 	44, 	0.608, 	(-0.135118,0.0696488);(0.0168068,0.0961497);(-0.298629,0.0516971);(-0.147935,0.135227);
14:20:41.056, 	0, 	1, 	-0.198672, 	-0.266203, 	1, 	44, 	0.608, 	(0.017337,0.030923);(-0.081799,-0.157987);(0.0886666,0.052971);(-0.0111866,0.273854);
14:20:41.074, 	1, 	2, 	16.657, 	25.1354, 	1, 	48, 	0.912, 	(-0.291253,-0.592638);
14:20:41.088, 	0, 	1, 	17.416, 	11.6981, 	1, 	48, 	0.912, 	(-1.12107,0.464048);(1.12835,-1.02974);(0.206491,0.715563);(-0.698449,-0.313394);
14:20:41.115, 	1, 	2, 	16.4674, 	24.2649, 	1, 	52, 	1.216, 	(-0.358923,0.381888);
14:20:41.129, 	1, 	1, 	18.0209, 	8.40116, 	0, 	52, 	1.216, 	(0.781983,0.516455);(-1.03929,-0.13335);(0.0866432,-0.194952);(0.079013,0.253871);
14:20:41.195, 	1, 	2, 	17.0888, 	25.6422, 	1, 	52, 	1.52, 	(-0.71174,-0.0549411);
14:20:41.215, 	1, 	2, 	17.7325, 	25.411, 	1, 	52, 	1.824, 	(0.0494638,0.363718);
14:20:41.236, 	1, 	2, 	19.0793, 	24.2435, 	1, 	52, 	2.128, 	(-0.0362133,-0.599562);
14:20:41.256, 	1, 	2, 	18.7686, 	24.2786, 	1, 	52, 	2.128, 	(0.0715796,-0.496507);
14:20:41.277, 	1, 	2, 	18.1155, 	25.2026, 	1, 	52, 	2.128, 	(-0.303711,0.249439);
14:20:41.316, 	1, 	2, 	19.3724, 	24.6947, 	1, 	52, 	2.432, 	(-0.50636,0.218207);
14:20:41.336, 	1, 	2, 	18.7603, 	25.5082, 	1, 	48, 	2.432, 	(-0.410814,0.56043);
14:20:41.357, 	1, 	2, 	18.7711, 	25.9788, 	1, 	44, 	2.736, 	(0.631958,-0.233352);
14:20:41.380, 	0, 	1, 	-0.202311, 	0.153738, 	1, 	44, 	2.736, 	(0.0058074,0.0976778);(-0.03188,-0.0844092);(-0.052922,-0.0387705);(0.220513,-0.0535112);
14:20:41.397, 	1, 	2, 	19.6929, 	24.244, 	1, 	40, 	2.736, 	(0.483015,0.13783);
14:20:41.410, 	1, 	1, 	18.8076, 	13.5423, 	0, 	36, 	2.432, 	(0.925257,-0.645073);(-0.492942,1.11726);(-0.380229,-0.271975);(0.405818,-0.143072);
14:20:41.438, 	1, 	2, 	19.4755, 	25.0227, 	1, 	32, 	2.432, 	(0.32371,-0.531398);
14:20:41.458, 	1, 	2, 	20.6648, 	25.4342, 	1, 	28, 	2.432, 	(0.570498,0.0335127);
14:20:41.478, 	1, 	2, 	19.8474, 	25.9885, 	1, 	24, 	2.432, 	(0.11416,-0.699447);
14:20:41.498, 	1, 	2, 	21.6166, 	25.3534, 	1, 	20, 	2.432, 	(-0.408328,-0.534546);
14:20:41.518, 	1, 	2, 	18.7465, 	25.4223, 	1, 	16, 	2.432, 	(0.486125,-0.588114);
14:20:41.538, 	1, 	2, 	21.0512, 	25.0904, 	1, 	12, 	2.432, 	(0.510143,-0.222473);
14:20:41.559, 	1, 	2, 	19.7545, 	20.4656, 	1, 	12, 	2.432, 	(0.323904,0.0828918);
14:20:41.579, 	1, 	2, 	21.4199, 	25.6641, 	1, 	12, 	2.736, 	(0.457654,0.476938);
14:20:41.599, 	1, 	2, 	19.7878, 	24.938, 	1, 	12, 	2.736, 	(0.757552,-0.115242);
14:20:41.619, 	1, 	2, 	21.3828, 	25.3837, 	1, 	8, 	3.04, 	(0.496288,-0.0817179);
14:20:41.640, 	1, 	2, 	20.9045, 	25.7285, 	1, 	8, 	3.04, 	(0.591394,0.401093);
14:20:41.660, 	1, 	2, 	18.8373, 	25.3206, 	1, 	4, 	3.04, 	(-0.364706,-0.673138);
14:20:41.680, 	1, 	2, 	20.6541, 	26.2429, 	1, 	4, 	3.04, 	(-0.427291,-0.646476);
14:20:41.701, 	1, 	2, 	20.7371, 	25.6751, 	1, 	4, 	3.04, 	(-0.610303,-0.341217);
14:20:41.721, 	1, 	2, 	19.0895, 	25.3174, 	1, 	4, 	3.04, 	(0.769728,0.0540231);
14:20:41.740, 	1, 	2, 	19.945, 	25.935, 	1, 	4, 	3.04, 	(0.418284,-0.669267);
14:20:41.760, 	1, 	2, 	21.8569, 	26.8099, 	1, 	4, 	3.04, 	(-0.3091,-0.409215);
14:20:41.780, 	1, 	2, 	22.6259, 	26.4482, 	1, 	4, 	3.04, 	(0.0286886,-0.750112);
14:20:41.800, 	1, 	2, 	23.8695, 	19.9216, 	1, 	4, 	3.04, 	(-0.388969,-0.182779);
14:20:41.820, 	1, 	2, 	22.8381, 	24.9216, 	1, 	4, 	3.04, 	(-0.317699,0.456172);
14:20:41.841, 	1, 	2, 	22.1511, 	25.9888, 	1, 	4, 	3.04, 	(0.00334798,0.77214);
14:20:41.861, 	1, 	2, 	22.7982, 	24.996, 	1, 	4, 	3.04, 	(-0.605132,-0.377148);
14:20:41.881, 	1, 	2, 	19.9466, 	25.1908, 	1, 	-1.38778e-15, 	3.04, 	(0.351523,-0.692492);
14:20:41.901, 	1, 	2, 	21.5833, 	25.5946, 	1, 	-1.38778e-15, 	3.04, 	(-0.21803,-0.454042);
14:20:41.921, 	1, 	2, 	23.9426, 	25.7165, 	1, 	-1.38778e-15, 	3.04, 	(0.660215,0.334418);
14:20:41.941, 	1, 	2, 	20.3124, 	25.3508, 	1, 	-1.38778e-15, 	3.04, 	(0.128607,0.78302);
14:20:41.962, 	1, 	2, 	22.3685, 	25.5119, 	1, 	-1.38778e-15, 	3.04, 	(-0.712173,-0.391861);
14:20:41.982, 	1, 	2, 	23.5965, 	25.8237, 	1, 	-1.38778e-15, 	3.04, 	(0.70839,0.342627);
14:20:42.002, 	1, 	2, 	18.633, 	24.5121, 	1, 	-1.38778e-15, 	3.04, 	(0.186043,-0.761277);
14:20:42.023, 	1, 	2, 	21.6106, 	25.4015, 	1, 	-1.38778e-15, 	3.04, 	(0.328997,-0.738326);
14:20:42.043, 	1, 	2, 	22.6545, 	25.2387, 	1, 	-1.38778e-15, 	3.04, 	(-0.0866834,0.495303);
14:20:42.062, 	1, 	2, 	24.4705, 	25.2299, 	1, 	-1.38778e-15, 	3.04, 	(-0.757367,0.00817605);
14:20:42.083, 	1, 	2, 	20.4544, 	25.2023, 	1, 	-1.38778e-15, 	3.04, 	(0.60471,0.543894);
14:20:42.104, 	1, 	2, 	24.1084, 	25.3272, 	1, 	-1.38778e-15, 	3.04, 	(-0.391063,-0.46748);
14:20:42.123, 	1, 	2, 	24.8813, 	25.8177, 	1, 	-1.38778e-15, 	3.04, 	(0.624188,-0.511164);
14:20:42.143, 	1, 	2, 	24.7264, 	25.7172, 	1, 	-1.38778e-15, 	3.04, 	(0.7027,-0.222662);
14:20:42.163, 	0, 	2, 	23.7702, 	23.1495, 	1, 	-1.38778e-15, 	3.04, 	(0.292769,0.153522);
14:20:42.184, 	1, 	2, 	23.8387, 	22.6244, 	1, 	4, 	2.736, 	(-0.0654304,-0.2869);
14:20:42.197, 	1, 	1, 	25.7783, 	19.2109, 	0, 	4, 	2.432, 	(-1.54081,-0.0643855);(1.16913,-1.50722);(0.99115,0.79096);(-0.736943,0.862676);
14:20:42.224, 	0, 	2, 	24.9557, 	14.4973, 	0, 	4, 	2.432, 	(-0.0395761,-0.0209378);
14:20:42.244, 	1, 	2, 	23.4386, 	25.0035, 	1, 	8, 	2.128, 	(-0.559524,-0.184078);
14:20:42.255, 	1, 	1, 	26.8864, 	20.8437, 	0, 	8, 	1.824, 	(-1.34538,-0.436431);(1.11893,-1.03616);(0.476053,0.432991);(-0.446737,0.430974);
14:20:42.284, 	1, 	2, 	19.2346, 	23.4946, 	1, 	8, 	1.824, 	(-0.811502,-0.0504865);
14:20:42.304, 	1, 	2, 	20.8344, 	25.7464, 	1, 	8, 	1.824, 	(0.448544,-0.712078);
14:20:42.325, 	1, 	2, 	23.75, 	26.2125, 	1, 	8, 	1.824, 	(0.220465,0.816092);
14:20:42.347, 	1, 	2, 	25.2056, 	26.618, 	1, 	8, 	1.824, 	(-0.222326,0.377531);
14:20:42.365, 	1, 	2, 	23.9918, 	25.3156, 	1, 	8, 	2.128, 	(-0.556576,-0.400705);
14:20:42.385, 	1, 	2, 	25.8289, 	25.6432, 	1, 	8, 	2.128, 	(0.584696,0.270258);
14:20:42.405, 	1, 	2, 	25.3153, 	25.4206, 	1, 	8, 	2.432, 	(-0.465116,0.197367);
14:20:42.430, 	1, 	2, 	19.8146, 	24.7018, 	1, 	8, 	2.736, 	(-0.66851,0.507951);
14:20:42.446, 	1, 	2, 	22.1985, 	25.7211, 	1, 	8, 	2.736, 	(0.0670205,0.830276);
14:20:42.467, 	1, 	2, 	26.0929, 	25.2373, 	1, 	8, 	3.04, 	(-0.0585234,0.55909);
14:20:42.486, 	1, 	2, 	27.2041, 	24.156, 	1, 	8, 	3.04, 	(0.28553,-0.348282);
14:20:42.506, 	1, 	2, 	21.105, 	22.9513, 	1, 	8, 	3.04, 	(-0.502715,0.0453892);
14:20:42.531, 	0, 	2, 	23.7719, 	23.9858, 	1, 	8, 	3.04, 	(0.132006,0.458875);
14:20:42.547, 	1, 	2, 	24.951, 	26.1173, 	1, 	12, 	2.736, 	(0.108259,0.476119);
14:20:42.567, 	1, 	2, 	20.1929, 	25.0284, 	1, 	12, 	2.736, 	(-0.557795,-0.689895);
14:20:42.587, 	1, 	2, 	26.3123, 	25.6183, 	1, 	12, 	2.736, 	(-0.416747,-0.549499);
14:20:42.607, 	1, 	2, 	25.7308, 	24.9624, 	1, 	12, 	2.736, 	(0.542866,0.0733338);
14:20:42.632, 	1, 	2, 	19.3486, 	24.2862, 	1, 	12, 	2.736, 	(-0.831648,-0.155226);
14:20:42.648, 	1, 	2, 	21.8057, 	25.1855, 	1, 	12, 	2.736, 	(0.347223,-0.810039);
14:20:42.667, 	1, 	2, 	25.271, 	25.5857, 	1, 	8, 	2.736, 	(-0.0868803,0.614092);
14:20:42.688, 	1, 	2, 	26.5431, 	26.8366, 	1, 	8, 	2.736, 	(0.185455,0.807036);
14:20:42.708, 	1, 	2, 	27.0196, 	26.3858, 	1, 	8, 	2.736, 	(-0.0725097,-0.739038);
14:20:42.729, 	1, 	2, 	26.6449, 	25.5487, 	1, 	4, 	3.04, 	(-0.271226,-0.604224);
14:20:42.748, 	1, 	2, 	27.1281, 	26.2537, 	1, 	4, 	3.04, 	(0.417166,-0.736417);
14:20:42.768, 	1, 	2, 	27.2753, 	25.4045, 	1, 	4, 	3.04, 	(-0.292222,-0.742733);
14:20:42.788, 	1, 	2, 	26.0228, 	26.2362, 	1, 	4, 	3.04, 	(-0.334857,0.635226);
14:20:42.809, 	1, 	2, 	24.2335, 	25.866, 	1, 	4, 	3.04, 	(0.169896,-0.844322);
14:20:42.829, 	1, 	2, 	26.1834, 	25.8407, 	1, 	4, 	3.04, 	(-0.474818,-0.155184);
14:20:42.849, 	1, 	2, 	20.2592, 	24.4331, 	1, 	4, 	3.04, 	(-0.606327,-0.598446);
14:20:42.869, 	1, 	2, 	23.2796, 	25.3689, 	1, 	4, 	3.04, 	(0.137912,-0.851028);
14:20:42.889, 	1, 	2, 	26.6685, 	26.4121, 	1, 	4, 	3.04, 	(0.809579,0.274307);
14:20:42.910, 	1, 	2, 	28.0294, 	26.3125, 	1, 	4, 	3.04, 	(-0.663677,0.464334);
