(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:21:53.636, 	1, 	1, 	21.8322, 	14.282, 	0, 	-1.38778e-15, 	2.736, 	(-0.663671,-0.319059);(0.0680925,1.02718);(0.490858,-1.5451);(-0.386131,1.53975);
14:22:13.309, 	0, 	2, 	18.1103, 	12.7248, 	0, 	-1.38778e-15, 	2.736, 	(0.0253014,-0.093273);
14:22:13.328, 	0, 	2, 	20.629, 	15.6291, 	0, 	4, 	2.432, 	(0.00482765,0.0782661);
14:22:13.347, 	1, 	1, 	18.3521, 	15.295, 	0, 	8, 	1.824, 	(0.0690432,-0.426815);(-0.763417,0.2711);(1.6405,0.157703);(-1.51269,-0.135435);
14:22:13.367, 	1, 	1, 	18.6421, 	13.8611, 	0, 	8, 	1.52, 	(-0.509442,-0.612395);(-1.23593,-0.479964);(1.23593,0.479964);(-0.509442,-0.612395);
14:22:13.389, 	0, 	2, 	19.8087, 	14.7138, 	0, 	8, 	1.52, 	(-0.0615121,-0.0429436);
14:22:13.414, 	0, 	2, 	19.1777, 	12.9868, 	0, 	12, 	1.216, 	(0.0642443,0.031965);
14:22:13.428, 	1, 	1, 	19.2639, 	16.4169, 	0, 	16, 	0.608, 	(-0.547811,-0.105095);(0.238093,0.86974);(0.205691,-1.67256);(-0.19797,1.5828);
14:22:13.450, 	0, 	2, 	19.4959, 	15.3178, 	0, 	16, 	0.608, 	(0.0363111,-0.0477994);
14:22:13.470, 	0, 	2, 	16.3162, 	14.0769, 	0, 	20, 	0.304, 	(0.0152016,-0.0588645);
14:22:13.488, 	1, 	1, 	20.4461, 	14.5989, 	0, 	24, 	-7.10543e-17, 	(-0.784472,-0.435121);(0.273941,1.24971);(0.29623,-1.54684);(-0.344399,1.45671);
14:22:13.510, 	0, 	2, 	20.7016, 	15.1385, 	0, 	24, 	-7.10543e-17, 	(-0.0635281,-0.00428224);
14:22:13.530, 	0, 	2, 	21.1317, 	15.8282, 	0, 	28, 	-7.10543e-17, 	(0.0212641,-0.0780778);
14:22:13.548, 	1, 	1, 	19.7451, 	13.6289, 	0, 	32, 	-7.10543e-17, 	(-0.122342,-0.984601);(-0.694776,0.927993);(0.778863,-0.469761);(-0.83667,0.375668);
14:22:13.571, 	0, 	2, 	21.3402, 	16.3744, 	0, 	32, 	-7.10543e-17, 	(0.0652196,-0.0354045);
14:22:13.591, 	0, 	2, 	19.8508, 	14.5741, 	0, 	36, 	-7.10543e-17, 	(-0.0527836,-0.0488);
14:22:13.609, 	1, 	1, 	21.2151, 	17.0478, 	0, 	40, 	-7.10543e-17, 	(-0.0807887,0.921384);(0.818245,1.13377);(-0.818245,-1.13377);(-0.0807887,0.921384);
14:22:13.630, 	1, 	1, 	21.1825, 	11.4495, 	0, 	40, 	-7.10543e-17, 	(-0.461989,0.960197);(1.10049,-0.100407);(-0.786293,-0.227923);(0.736606,0.269275);
14:22:13.651, 	0, 	2, 	20.1587, 	14.6805, 	0, 	40, 	-7.10543e-17, 	(-0.00918166,-0.0720117);
14:22:13.671, 	0, 	2, 	20.5674, 	15.336, 	0, 	44, 	-7.10543e-17, 	(-0.0535209,-0.0574619);
14:22:13.689, 	1, 	1, 	23.3178, 	14.1274, 	0, 	48, 	-7.10543e-17, 	(0.986469,-0.0703492);(-0.689395,-0.992605);(0.216171,0.970041);(-0.11683,-0.972357);
14:22:13.712, 	1, 	2, 	22.7997, 	25.9636, 	1, 	48, 	0.304, 	(0.0510165,-0.61229);
14:22:13.732, 	1, 	2, 	20.1383, 	24.9805, 	1, 	48, 	0.608, 	(0.147701,0.656748);
14:22:13.753, 	1, 	2, 	22.2128, 	24.8696, 	1, 	48, 	0.912, 	(-0.27671,-0.334127);
14:22:13.772, 	1, 	2, 	21.6789, 	25.1924, 	1, 	48, 	1.216, 	(0.233397,0.584317);
14:22:13.792, 	1, 	2, 	18.576, 	23.077, 	1, 	48, 	1.52, 	(-0.524136,-0.394372);
14:22:13.813, 	1, 	2, 	21.5043, 	24.7172, 	1, 	44, 	1.824, 	(-0.413131,0.528057);
14:22:13.833, 	1, 	2, 	17.4175, 	20.7799, 	1, 	40, 	2.128, 	(-0.589138,0.0595564);
14:22:13.853, 	1, 	2, 	21.1261, 	25.485, 	1, 	40, 	2.432, 	(0.516421,0.334321);
14:22:13.873, 	1, 	2, 	19.3206, 	24.2653, 	1, 	40, 	2.736, 	(-0.553149,-0.36666);
14:22:13.893, 	1, 	2, 	21.3317, 	25.1993, 	1, 	36, 	3.04, 	(-0.088834,0.671374);
14:22:13.913, 	1, 	2, 	17.9354, 	22.1549, 	1, 	32, 	3.04, 	(-0.512659,0.355389);
14:22:13.934, 	1, 	2, 	19.8349, 	24.4075, 	1, 	32, 	3.04, 	(-0.39809,-0.536758);
14:22:13.953, 	1, 	2, 	21.5249, 	25.0779, 	1, 	28, 	3.04, 	(-0.230821,0.6484);
