(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:23:13.098, 	0, 	1, 	14.5133, 	13.4347, 	1, 	-1.38778e-15, 	3.04, 	(-0.172807,-0.616734);(-0.0380114,0.925495);(-0.508711,-1.20781);(0.935669,0.740624);
14:23:26.930, 	1, 	2, 	14.7899, 	23.3725, 	1, 	4, 	2.736, 	(-0.501382,0.250145);
14:23:26.970, 	1, 	2, 	14.6594, 	24.8129, 	1, 	4, 	2.736, 	(-0.555308,-0.0627824);
14:23:26.990, 	1, 	2, 	15.4692, 	21.0348, 	1, 	4, 	2.736, 	(-0.214575,-0.388029);
14:23:27.010, 	1, 	2, 	14.1812, 	23.2156, 	1, 	4, 	2.736, 	(0.422341,-0.381476);
14:23:27.031, 	1, 	2, 	14.1495, 	19.8255, 	1, 	4, 	2.736, 	(-0.441169,0.195374);
14:23:27.050, 	1, 	2, 	15.6769, 	23.9266, 	1, 	4, 	2.736, 	(0.234583,0.499124);
14:23:27.070, 	1, 	2, 	14.2172, 	23.8166, 	1, 	4, 	2.736, 	(0.376802,0.333437);
14:23:27.091, 	1, 	2, 	13.0041, 	23.9399, 	1, 	4, 	2.736, 	(-0.447515,-0.354659);
14:23:27.111, 	1, 	2, 	14.2178, 	25.4376, 	1, 	4, 	2.736, 	(-0.32581,0.465347);
14:23:27.133, 	1, 	2, 	13.6928, 	22.5334, 	1, 	4, 	3.04, 	(0.513921,-0.161298);
14:23:27.151, 	1, 	2, 	13.1246, 	19.0133, 	1, 	4, 	3.04, 	(0.203812,0.318434);
14:23:27.171, 	1, 	2, 	14.6436, 	22.0496, 	1, 	4, 	3.04, 	(0.104704,0.447468);
14:23:27.192, 	1, 	2, 	14.6886, 	21.931, 	1, 	4, 	3.04, 	(-0.340643,-0.395741);
14:23:27.212, 	1, 	2, 	13.2234, 	17.4254, 	1, 	4, 	3.04, 	(0.257135,-0.230457);
14:23:27.232, 	1, 	2, 	15.0468, 	23.3348, 	1, 	4, 	3.04, 	(-0.387711,-0.441969);
14:23:27.254, 	1, 	2, 	13.04, 	24.3565, 	1, 	4, 	3.04, 	(-0.378332,0.410445);
14:23:27.272, 	1, 	2, 	13.104, 	23.409, 	1, 	4, 	3.04, 	(-0.505021,0.223908);
14:23:27.292, 	1, 	2, 	12.7342, 	18.1143, 	1, 	4, 	3.04, 	(0.260434,0.308814);
14:23:27.313, 	1, 	2, 	11.9882, 	20.8293, 	1, 	4, 	3.04, 	(0.0368409,0.477509);
14:23:27.333, 	1, 	2, 	14.393, 	22.3914, 	1, 	4, 	3.04, 	(-0.465758,0.273917);
14:23:27.353, 	1, 	2, 	15.2376, 	23.5836, 	1, 	4, 	3.04, 	(-0.308683,-0.4842);
14:23:27.373, 	1, 	2, 	14.2673, 	24.4356, 	1, 	4, 	3.04, 	(-0.600262,-0.110086);
14:23:27.394, 	1, 	2, 	14.2947, 	25.3564, 	1, 	4, 	3.04, 	(0.511987,0.309846);
14:23:27.414, 	1, 	2, 	14.7509, 	23.9517, 	1, 	4, 	3.04, 	(0.553939,-0.0268325);
14:23:27.434, 	1, 	2, 	15.9377, 	24.4219, 	1, 	-1.38778e-15, 	3.04, 	(0.0865103,-0.621723);
14:23:27.454, 	1, 	2, 	16.5099, 	25.2102, 	1, 	-1.38778e-15, 	3.04, 	(-0.510572,-0.356525);
14:23:27.475, 	1, 	2, 	14.5933, 	23.0149, 	1, 	-1.38778e-15, 	3.04, 	(0.361677,-0.474299);
14:23:27.494, 	1, 	2, 	14.6831, 	23.4315, 	1, 	-1.38778e-15, 	3.04, 	(0.580614,0.248042);
14:23:27.514, 	1, 	2, 	12.7858, 	19.5058, 	1, 	-1.38778e-15, 	3.04, 	(-0.464602,-0.174752);
14:23:27.534, 	1, 	2, 	15.1483, 	25.4252, 	1, 	-1.38778e-15, 	3.04, 	(0.639729,-0.0612779);
14:23:27.554, 	1, 	2, 	15.5952, 	24.2975, 	1, 	-1.38778e-15, 	3.04, 	(0.513987,-0.328);
14:23:27.575, 	1, 	2, 	16.1597, 	24.642, 	1, 	-1.38778e-15, 	3.04, 	(0.641764,0.170655);
14:23:27.595, 	1, 	2, 	16.191, 	24.9368, 	1, 	-1.38778e-15, 	3.04, 	(-0.428078,0.508302);
14:23:27.615, 	1, 	2, 	15.5594, 	21.5369, 	1, 	-1.38778e-15, 	3.04, 	(-0.395694,0.456245);
14:23:27.635, 	1, 	2, 	15.2838, 	23.4296, 	1, 	-1.38778e-15, 	3.04, 	(-0.17244,0.567384);
14:23:27.655, 	1, 	2, 	14.8028, 	24.9292, 	1, 	-1.38778e-15, 	3.04, 	(-0.477681,-0.45712);
14:23:27.675, 	1, 	2, 	14.5464, 	21.0461, 	1, 	-1.38778e-15, 	3.04, 	(0.565612,0.205938);
14:23:27.696, 	1, 	2, 	15.8116, 	22.8818, 	1, 	-1.38778e-15, 	3.04, 	(-0.189802,-0.63118);
14:23:27.716, 	1, 	2, 	15.6496, 	24.3865, 	1, 	-1.38778e-15, 	3.04, 	(-0.598839,0.33912);
14:23:27.736, 	1, 	2, 	15.6552, 	25.1599, 	1, 	-1.38778e-15, 	3.04, 	(-0.341996,0.602384);
14:23:27.756, 	1, 	2, 	14.3949, 	22.0287, 	1, 	-1.38778e-15, 	3.04, 	(0.214852,-0.597652);
14:23:27.837, 	1, 	2, 	16.458, 	24.0217, 	1, 	-1.38778e-15, 	3.04, 	(-0.0567117,-0.652485);
14:23:27.857, 	1, 	2, 	15.0671, 	24.5212, 	1, 	-1.38778e-15, 	3.04, 	(0.663186,-0.1016);
14:23:27.957, 	1, 	2, 	14.7311, 	21.9983, 	1, 	-1.38778e-15, 	3.04, 	(-0.352512,0.502952);
14:23:27.978, 	1, 	2, 	15.1481, 	25.6526, 	1, 	-1.38778e-15, 	3.04, 	(0.142437,0.645076);
14:23:28.000, 	0, 	2, 	-0.59611, 	1.06626, 	1, 	-1.38778e-15, 	3.04, 	(0.00461671,0.0124226);
14:23:28.034, 	0, 	1, 	16.1154, 	10.1171, 	0, 	4, 	2.736, 	(-1.00433,-0.706499);(1.48339,0.82716);(-0.969297,0.367662);(0.355613,-0.876562);
14:23:28.074, 	0, 	1, 	16.0254, 	10.1171, 	0, 	8, 	2.432, 	(-1.00433,-0.706499);(1.48339,0.82716);(-0.969297,0.367662);(0.355613,-0.876562);
14:23:28.094, 	0, 	1, 	15.932, 	10.0009, 	0, 	12, 	2.128, 	(1.11751,0.54669);(-1.62622,-0.638628);(1.02734,-0.581779);(-0.235265,1.072);
14:23:28.114, 	0, 	1, 	16.2378, 	10.1782, 	0, 	16, 	1.824, 	(-1.10695,-0.517479);(1.53096,0.652592);(-1.55094,0.722034);(0.387462,-1.47958);
14:23:28.138, 	0, 	1, 	16.3671, 	10.5229, 	0, 	20, 	1.52, 	(1.15014,0.565901);(-1.65973,-0.56358);(1.04152,-0.66968);(-0.168875,1.14077);
14:23:28.155, 	0, 	1, 	15.2354, 	8.12701, 	0, 	24, 	1.216, 	(-0.942327,-0.571935);(1.1761,0.671897);(-1.76513,0.551582);(0.545632,-1.51589);
14:23:28.175, 	0, 	1, 	15.8639, 	9.66044, 	0, 	28, 	0.912, 	(-0.00651376,-1.3025);(0.305911,1.66749);(-0.958962,-0.500646);(0.950771,-0.368903);
14:23:28.194, 	0, 	1, 	15.733, 	12.0835, 	0, 	32, 	0.608, 	(-1.24966,-0.289009);(1.71791,0.215447);(-1.24422,1.14676);(-0.120954,-1.54348);
14:23:28.217, 	0, 	2, 	0.548053, 	-0.477582, 	0, 	36, 	0.304, 	(-0.0098439,0.00326043);
14:23:28.235, 	0, 	1, 	15.6675, 	10.6868, 	0, 	40, 	-7.10543e-17, 	(-0.928288,-1.12055);(1.27678,1.11274);(-1.23828,0.291386);(0.518141,-1.02322);
14:23:28.255, 	0, 	1, 	16.4327, 	8.89792, 	0, 	44, 	-7.10543e-17, 	(1.13201,0.104504);(-1.88416,-0.110135);(1.11229,-1.26827);(0.384806,1.5959);
14:23:28.276, 	0, 	1, 	17.0178, 	7.22886, 	0, 	48, 	-7.10543e-17, 	(-0.363154,-0.622038);(0.550521,1.34865);(-1.68615,-0.512153);(1.26083,-1.08668);
14:23:28.296, 	0, 	1, 	16.828, 	10.6679, 	0, 	52, 	-7.10543e-17, 	(-0.566652,1.35103);(0.353477,-1.68973);(0.885866,0.933203);(-1.1722,0.132545);
14:23:28.316, 	0, 	1, 	16.744, 	9.09705, 	0, 	56, 	-7.10543e-17, 	(1.40667,0.291106);(-1.64025,0.00964961);(0.612128,-0.934395);(0.346986,0.937212);
14:23:28.336, 	0, 	1, 	16.252, 	7.99262, 	0, 	60, 	-7.10543e-17, 	(0.793404,0.995491);(-1.23738,-0.922841);(0.723717,-0.257411);(-0.223628,0.716852);
14:23:28.356, 	0, 	1, 	17.316, 	9.48767, 	0, 	64, 	-7.10543e-17, 	(1.11431,-0.869886);(-1.21145,1.41152);(-0.36483,-1.40987);(1.29607,0.44331);
14:23:28.376, 	0, 	1, 	17.1951, 	8.86442, 	0, 	68, 	-7.10543e-17, 	(1.21108,-0.78237);(-1.25942,1.25399);(-0.26818,-1.22022);(1.04412,0.426409);
14:23:28.396, 	0, 	1, 	15.791, 	10.6737, 	0, 	72, 	-7.10543e-17, 	(-0.413211,-1.28617);(0.878299,1.42646);(-0.957963,0.00927851);(0.48971,-0.711777);
