(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:24:26.414, 	1, 	1, 	19.8695, 	15.2138, 	0, 	-1.249e-14, 	2.736, 	(-0.940747,0.106974);(0.941016,0.747262);(-0.722966,-1.10407);(0.748129,1.09415);
14:24:41.218, 	0, 	2, 	18.1026, 	13.5112, 	0, 	-1.249e-14, 	2.736, 	(0.0171882,-0.0536402);
14:24:41.246, 	0, 	2, 	19.093, 	15.247, 	0, 	4, 	2.432, 	(-0.0425764,0.0668239);
14:24:41.260, 	1, 	1, 	20.6856, 	15.0779, 	0, 	8, 	1.824, 	(0.746625,0.462757);(-0.278488,-1.24726);(-0.179609,1.26382);(0.17969,-1.18435);
14:24:41.280, 	1, 	1, 	21.1903, 	14.1618, 	0, 	8, 	1.52, 	(-0.844997,-0.0339739);(0.62829,1.02242);(-0.352317,-1.68724);(0.343607,1.5517);
14:24:41.307, 	0, 	2, 	20.0906, 	14.4448, 	0, 	8, 	1.52, 	(-0.0607261,-0.103319);
14:24:41.326, 	1, 	2, 	21.0554, 	14.038, 	1, 	12, 	1.216, 	(-0.110574,-0.0564899);
14:24:41.340, 	1, 	1, 	19.8011, 	14.7363, 	0, 	12, 	0.912, 	(0.557958,0.0650153);(-0.768732,-0.969007);(0.310665,1.72286);(-0.226402,-1.67534);
14:24:41.367, 	0, 	2, 	20.428, 	13.8671, 	0, 	12, 	0.912, 	(0.0282988,0.131059);
14:24:41.387, 	1, 	2, 	20.1878, 	24.9549, 	1, 	16, 	0.608, 	(0.0367089,-0.464308);
14:24:41.400, 	1, 	1, 	20.8218, 	14.1999, 	0, 	16, 	0.608, 	(-0.0850102,-0.657357);(-1.19202,-0.5646);(1.19202,0.5646);(-0.0850102,-0.657357);
14:24:41.427, 	1, 	2, 	19.4705, 	24.411, 	1, 	16, 	0.912, 	(-0.418345,0.493953);
14:24:41.447, 	1, 	2, 	21.0087, 	25.3945, 	1, 	16, 	1.216, 	(-0.670037,0.0600674);
14:24:41.468, 	1, 	2, 	21.9714, 	25.2793, 	1, 	16, 	1.52, 	(0.0516698,0.664668);
14:24:41.488, 	1, 	2, 	20.689, 	25.2436, 	1, 	16, 	1.824, 	(0.00561689,0.633689);
14:24:41.508, 	1, 	2, 	21.2608, 	24.5104, 	1, 	16, 	2.128, 	(-0.404003,-0.40918);
14:24:41.528, 	1, 	2, 	21.933, 	24.5121, 	1, 	16, 	2.128, 	(-0.0139751,-0.497911);
14:24:41.548, 	1, 	2, 	22.9845, 	25.5227, 	1, 	16, 	2.432, 	(0.129279,0.657393);
14:24:41.568, 	1, 	2, 	22.8042, 	25.2843, 	1, 	16, 	2.736, 	(0.00316025,-0.608607);
14:24:41.589, 	1, 	2, 	22.1819, 	25.1413, 	1, 	16, 	2.736, 	(-0.231538,0.482732);
14:24:41.609, 	1, 	2, 	22.33, 	24.6945, 	1, 	16, 	3.04, 	(-0.434015,-0.105773);
14:24:41.630, 	1, 	2, 	23.9525, 	24.9539, 	1, 	16, 	3.04, 	(-0.316506,0.552401);
14:24:41.650, 	1, 	2, 	24.0469, 	25.4999, 	1, 	16, 	3.04, 	(0.220003,0.556857);
14:24:41.670, 	1, 	2, 	23.3136, 	15.6841, 	1, 	16, 	3.04, 	(0.105467,0.182862);
14:24:41.690, 	1, 	2, 	18.2985, 	22.4282, 	1, 	16, 	3.04, 	(-0.48947,0.454882);
14:24:41.710, 	1, 	2, 	22.3727, 	25.2411, 	1, 	16, 	3.04, 	(0.598494,0.223876);
14:24:41.730, 	1, 	2, 	22.2274, 	25.4127, 	1, 	12, 	3.04, 	(-0.196166,-0.699364);
14:24:41.750, 	1, 	2, 	23.5352, 	25.4099, 	1, 	8, 	3.04, 	(0.701649,-0.166223);
14:24:41.770, 	1, 	2, 	23.3356, 	25.9095, 	1, 	8, 	3.04, 	(-0.112319,-0.66592);
14:24:41.790, 	1, 	2, 	21.6863, 	24.5118, 	1, 	8, 	3.04, 	(0.323071,0.522715);
14:24:41.810, 	1, 	2, 	22.0001, 	25.3858, 	1, 	4, 	3.04, 	(0.27692,0.44999);
14:24:41.831, 	1, 	2, 	22.7289, 	25.8195, 	1, 	4, 	3.04, 	(-0.589733,-0.397509);
14:24:41.855, 	1, 	2, 	22.3839, 	25.9592, 	1, 	4, 	3.04, 	(-0.742417,-0.0121658);
14:24:41.871, 	1, 	2, 	20.4805, 	25.729, 	1, 	-1.249e-14, 	3.04, 	(0.724745,0.233854);
14:24:41.891, 	1, 	2, 	22.1979, 	25.4773, 	1, 	-1.249e-14, 	3.04, 	(0.749639,0.0418187);
14:24:41.911, 	1, 	2, 	19.4473, 	22.7207, 	1, 	-1.249e-14, 	3.04, 	(0.405441,0.586166);
14:24:41.931, 	1, 	2, 	22.0609, 	24.6031, 	1, 	-1.249e-14, 	3.04, 	(0.635265,0.0854302);
14:24:41.952, 	1, 	2, 	21.9851, 	25.2827, 	1, 	-1.249e-14, 	3.04, 	(0.448802,-0.331842);
14:24:41.972, 	1, 	2, 	17.0105, 	20.9992, 	1, 	-1.249e-14, 	3.04, 	(-0.604716,0.341024);
14:24:41.992, 	1, 	2, 	22.8596, 	25.7907, 	1, 	-1.249e-14, 	3.04, 	(-0.546574,0.407519);
14:24:42.012, 	1, 	2, 	21.6016, 	25.1568, 	1, 	-1.249e-14, 	3.04, 	(-0.244585,0.709018);
14:24:42.032, 	1, 	2, 	24.9156, 	21.3796, 	1, 	-1.249e-14, 	3.04, 	(-0.093554,0.352797);
14:24:42.052, 	1, 	2, 	24.1335, 	25.9529, 	1, 	-1.249e-14, 	3.04, 	(0.708249,0.16389);
14:24:42.073, 	1, 	2, 	24.2392, 	25.367, 	1, 	-1.249e-14, 	3.04, 	(-0.533448,0.380599);
14:24:42.093, 	1, 	2, 	22.6122, 	24.9679, 	1, 	-1.249e-14, 	3.04, 	(0.767806,0.00162254);
14:24:42.113, 	1, 	2, 	17.2769, 	21.5603, 	1, 	-1.249e-14, 	3.04, 	(0.644709,0.242627);
14:24:42.133, 	1, 	2, 	25.3118, 	15.157, 	1, 	-1.249e-14, 	3.04, 	(0.141441,-0.0640892);
14:24:42.153, 	1, 	2, 	24.6593, 	25.4415, 	1, 	-1.249e-14, 	3.04, 	(-0.325107,-0.492516);
14:24:42.173, 	1, 	2, 	23.9793, 	25.7664, 	1, 	-1.249e-14, 	3.04, 	(0.27995,-0.676328);
14:24:42.194, 	1, 	2, 	18.7548, 	23.0738, 	1, 	-1.249e-14, 	3.04, 	(-0.685563,-0.190139);
14:24:42.214, 	1, 	2, 	21.2002, 	25.0417, 	1, 	-1.249e-14, 	3.04, 	(0.346394,0.623862);
14:24:42.234, 	1, 	2, 	21.5457, 	25.1015, 	1, 	-1.249e-14, 	3.04, 	(-0.496622,0.521912);
14:24:42.255, 	1, 	2, 	19.1039, 	23.7148, 	1, 	-1.249e-14, 	3.04, 	(0.525184,-0.507204);
14:24:42.274, 	1, 	2, 	19.7748, 	24.2945, 	1, 	-1.249e-14, 	3.04, 	(-0.0381154,-0.722807);
14:24:42.294, 	1, 	2, 	22.2409, 	24.6853, 	1, 	-1.249e-14, 	3.04, 	(-0.578338,-0.121018);
14:24:42.314, 	1, 	2, 	22.0595, 	25.2932, 	1, 	-1.249e-14, 	3.04, 	(0.699507,-0.279301);
14:24:42.335, 	1, 	2, 	23.8441, 	26.3236, 	1, 	-1.249e-14, 	3.04, 	(-0.641942,0.321818);
14:24:42.355, 	1, 	2, 	22.4109, 	25.9194, 	1, 	-1.249e-14, 	3.04, 	(0.65946,0.048254);
14:24:42.375, 	1, 	2, 	23.6322, 	25.3527, 	1, 	-1.249e-14, 	3.04, 	(0.0407631,0.581045);
14:24:42.395, 	1, 	2, 	18.8182, 	20.8261, 	1, 	-1.249e-14, 	3.04, 	(0.0105352,-0.68432);
14:24:42.415, 	1, 	2, 	20.2818, 	20.8261, 	1, 	-1.249e-14, 	3.04, 	(0.0105352,-0.68432);
14:24:42.436, 	1, 	2, 	21.8341, 	25.7001, 	1, 	-1.249e-14, 	3.04, 	(0.156021,-0.766337);
14:24:42.456, 	1, 	2, 	23.5432, 	25.9193, 	1, 	-1.249e-14, 	3.04, 	(-0.274839,-0.468743);
14:24:42.476, 	1, 	2, 	17.979, 	23.3615, 	1, 	-1.249e-14, 	3.04, 	(-0.279726,-0.667991);
14:24:42.496, 	1, 	2, 	21.0675, 	24.1352, 	1, 	-1.249e-14, 	3.04, 	(-0.769929,0.0560056);
14:24:42.516, 	1, 	2, 	23.5531, 	25.5747, 	1, 	-1.249e-14, 	3.04, 	(-0.784984,0.0766336);
14:24:42.536, 	1, 	2, 	25.2413, 	21.0299, 	1, 	-1.249e-14, 	3.04, 	(0.239576,-0.494733);
14:24:42.557, 	1, 	2, 	25.7895, 	25.0367, 	1, 	-1.249e-14, 	3.04, 	(0.0638088,0.709175);
14:24:42.576, 	1, 	2, 	22.3877, 	24.9404, 	1, 	-1.249e-14, 	3.04, 	(-0.115969,-0.76425);
