(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:28:34.694, 	1, 	1, 	14.6479, 	25.1319, 	0, 	8, 	2.736, 	(0.153735,-0.678369);
14:28:49.593, 	1, 	2, 	13.6185, 	23.9272, 	1, 	8, 	2.736, 	(-0.0770559,0.572281);
14:28:49.613, 	1, 	2, 	14.4061, 	24.7497, 	1, 	8, 	2.736, 	(0.443757,0.390286);
14:28:49.633, 	1, 	2, 	14.0554, 	20.9177, 	1, 	8, 	2.736, 	(-0.0718138,0.499932);
14:28:49.654, 	1, 	2, 	14.9455, 	23.4637, 	1, 	8, 	2.736, 	(-0.438418,0.349062);
14:28:49.674, 	1, 	2, 	13.4845, 	18.9947, 	1, 	4, 	2.736, 	(-0.352371,-0.281026);
14:28:49.694, 	1, 	2, 	16.671, 	24.7891, 	1, 	4, 	2.736, 	(0.288968,0.550239);
14:28:49.714, 	1, 	2, 	15.1368, 	25.33, 	1, 	4, 	2.736, 	(0.516903,0.281107);
14:28:49.755, 	0, 	2, 	14.0479, 	8.68451, 	1, 	4, 	2.736, 	(0.040007,-0.0180851);
14:28:49.775, 	1, 	2, 	13.5811, 	24.2531, 	1, 	8, 	2.432, 	(-0.427922,-0.419304);
14:28:49.788, 	0, 	1, 	15.0634, 	11.9791, 	1, 	8, 	2.432, 	(-0.898196,-0.132297);(1.31106,0.651473);(-1.42195,0.156047);(0.946548,-0.974503);
14:28:49.815, 	1, 	2, 	16.3069, 	24.6081, 	1, 	12, 	2.432, 	(0.0480043,-0.614867);
14:28:49.829, 	1, 	1, 	13.9817, 	9.11612, 	0, 	12, 	2.128, 	(0.188617,-0.842746);(-0.406605,1.06074);(-0.202939,-1.4953);(0.967823,0.983963);
14:28:49.855, 	1, 	2, 	14.4604, 	21.9828, 	1, 	12, 	2.128, 	(0.564762,-0.165288);
14:28:49.875, 	1, 	2, 	13.3873, 	17.6579, 	1, 	12, 	2.128, 	(-0.111601,-0.408166);
14:28:49.895, 	1, 	2, 	13.359, 	19.7312, 	1, 	8, 	2.128, 	(0.181946,-0.453435);
14:28:49.915, 	1, 	2, 	13.668, 	21.6946, 	1, 	8, 	2.128, 	(0.0776249,0.564606);
14:28:49.936, 	1, 	2, 	12.3381, 	16.7687, 	1, 	8, 	2.128, 	(0.315063,0.165331);
14:28:49.956, 	1, 	2, 	14.2059, 	19.7884, 	1, 	8, 	2.432, 	(-0.417194,0.141192);
14:28:49.976, 	1, 	2, 	15.9749, 	24.8541, 	1, 	8, 	2.432, 	(-0.268724,0.5477);
14:28:49.997, 	1, 	2, 	14.487, 	23.8594, 	1, 	8, 	2.736, 	(0.247515,-0.517941);
14:28:50.017, 	1, 	2, 	14.1981, 	19.3106, 	1, 	8, 	2.736, 	(-0.118653,0.414058);
14:28:50.037, 	1, 	2, 	14.4366, 	25.063, 	1, 	8, 	3.04, 	(0.641298,0.083258);
14:28:50.057, 	1, 	2, 	15.5575, 	24.5621, 	1, 	8, 	3.04, 	(-0.162441,0.604945);
14:28:50.077, 	1, 	2, 	15.1279, 	23.0924, 	1, 	8, 	3.04, 	(-0.583353,-0.025152);
14:28:50.097, 	1, 	2, 	15.0827, 	25.0868, 	1, 	8, 	3.04, 	(-0.0728117,-0.611925);
14:28:50.117, 	1, 	2, 	15.4089, 	24.901, 	1, 	8, 	3.04, 	(-0.503509,0.342308);
14:28:50.137, 	1, 	2, 	14.5024, 	23.8901, 	1, 	8, 	3.04, 	(-0.186944,-0.585704);
14:28:50.157, 	1, 	2, 	15.2361, 	24.5973, 	1, 	8, 	3.04, 	(0.653441,-0.116623);
14:28:50.178, 	1, 	2, 	14.8514, 	20.9047, 	1, 	8, 	3.04, 	(-0.520155,-0.133179);
14:28:50.198, 	1, 	2, 	15.3483, 	25.2724, 	1, 	8, 	3.04, 	(-0.219582,0.604882);
14:28:50.218, 	1, 	2, 	15.9657, 	23.894, 	1, 	8, 	3.04, 	(0.584301,-0.258188);
14:28:50.239, 	1, 	2, 	15.24, 	23.7778, 	1, 	8, 	3.04, 	(-0.659508,-0.140781);
14:28:50.258, 	1, 	2, 	15.5373, 	24.6349, 	1, 	4, 	3.04, 	(-0.430086,0.50105);
14:28:50.279, 	1, 	2, 	14.9351, 	23.4054, 	1, 	4, 	3.04, 	(0.408074,0.493605);
