(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:29:58.729, 	1, 	1, 	19.1681, 	13.7795, 	0, 	-1.249e-14, 	2.736, 	(0.287061,-0.831553);(-0.902589,0.477434);(0.772763,-0.136335);(-0.807275,0.13646);
14:30:14.787, 	0, 	2, 	21.3466, 	14.3567, 	0, 	-1.249e-14, 	2.736, 	(0.0629519,-0.0380485);
14:30:14.807, 	0, 	2, 	19.6259, 	13.2352, 	0, 	4, 	2.432, 	(-0.0219909,-0.0405352);
14:30:14.825, 	1, 	1, 	21.5611, 	14.0955, 	0, 	8, 	1.824, 	(0.821877,0.192578);(-0.439616,-1.06217);(0.0764846,0.987035);(-0.122923,-0.954059);
14:30:14.847, 	0, 	2, 	18.2356, 	12.4515, 	0, 	8, 	1.824, 	(-0.0626543,0.00122396);
14:30:14.868, 	0, 	2, 	18.1065, 	12.8119, 	0, 	12, 	1.52, 	(-0.0485947,0.0315862);
14:30:14.885, 	1, 	1, 	21.7715, 	14.73, 	0, 	16, 	0.912, 	(0.0763446,-0.66806);(-0.991912,0.435295);(1.65033,-0.0729859);(-1.5601,0.167858);
14:30:14.908, 	1, 	2, 	16.9512, 	21.2459, 	1, 	16, 	0.912, 	(-0.0529379,0.550949);
14:30:14.928, 	1, 	2, 	20.6286, 	24.5961, 	1, 	16, 	0.912, 	(-0.141453,0.546917);
14:30:14.948, 	1, 	2, 	19.5375, 	23.9827, 	1, 	16, 	0.912, 	(-0.278463,-0.565091);
14:30:14.968, 	1, 	2, 	20.059, 	24.34, 	1, 	16, 	1.216, 	(0.425811,-0.0361006);
14:30:14.988, 	1, 	2, 	16.7884, 	22.232, 	1, 	16, 	1.52, 	(0.574716,-0.14561);
14:30:15.012, 	1, 	2, 	20.9021, 	23.7461, 	1, 	16, 	1.824, 	(0.547126,0.0723421);
14:30:15.028, 	1, 	2, 	20.3963, 	23.9625, 	1, 	16, 	2.128, 	(0.596048,0.273353);
14:30:15.048, 	1, 	2, 	16.9376, 	21.3851, 	1, 	16, 	2.432, 	(-0.23117,0.547168);
14:30:15.069, 	1, 	2, 	19.3489, 	23.4711, 	1, 	16, 	2.736, 	(0.34766,-0.539113);
14:30:15.089, 	1, 	2, 	20.0388, 	24.9086, 	1, 	16, 	3.04, 	(-0.652986,-0.169504);
14:30:15.113, 	1, 	2, 	19.9446, 	25.3189, 	1, 	16, 	3.04, 	(0.0789354,-0.608996);
14:30:15.129, 	1, 	2, 	20.705, 	25.6485, 	1, 	16, 	3.04, 	(-0.322329,-0.554482);
14:30:15.149, 	1, 	2, 	20.8728, 	23.7876, 	1, 	16, 	3.04, 	(0.595212,-0.312802);
14:30:15.170, 	1, 	2, 	21.2554, 	24.4904, 	1, 	16, 	3.04, 	(0.102508,-0.497922);
14:30:15.189, 	1, 	2, 	21.4152, 	25.1867, 	1, 	16, 	3.04, 	(-0.370641,-0.561435);
14:30:15.210, 	1, 	2, 	19.4198, 	23.2642, 	1, 	16, 	3.04, 	(-0.535627,0.396049);
14:30:15.230, 	1, 	2, 	20.4404, 	25.1069, 	1, 	16, 	3.04, 	(0.479264,0.488759);
14:30:15.250, 	1, 	2, 	21.8297, 	25.3949, 	1, 	16, 	3.04, 	(0.471478,-0.494505);
14:30:15.270, 	1, 	2, 	21.9091, 	24.9554, 	1, 	16, 	3.04, 	(-0.070023,0.638878);
14:30:15.290, 	1, 	2, 	21.859, 	24.9584, 	1, 	12, 	3.04, 	(0.586947,0.0573194);
14:30:15.311, 	1, 	2, 	22.0511, 	25.8969, 	1, 	8, 	3.04, 	(-0.452249,0.23566);
14:30:15.331, 	1, 	2, 	17.0661, 	21.2706, 	1, 	8, 	3.04, 	(-0.0739028,-0.634695);
14:30:15.351, 	1, 	2, 	19.4125, 	23.6636, 	1, 	4, 	3.04, 	(0.258717,0.637187);
14:30:15.371, 	1, 	2, 	21.5702, 	25.4423, 	1, 	-1.249e-14, 	3.04, 	(-0.333627,-0.609717);
14:30:15.391, 	1, 	2, 	22.7568, 	16.3087, 	1, 	-1.249e-14, 	3.04, 	(-0.0969918,-0.101178);
14:30:15.411, 	1, 	2, 	18.5074, 	22.9692, 	1, 	-1.249e-14, 	3.04, 	(-0.665513,0.0383254);
14:30:15.431, 	1, 	2, 	23.272, 	25.5267, 	1, 	-1.249e-14, 	3.04, 	(-0.134259,-0.5658);
14:30:15.452, 	1, 	2, 	22.7558, 	24.6992, 	1, 	-1.249e-14, 	3.04, 	(-0.472257,0.52122);
14:30:15.472, 	1, 	2, 	19.0772, 	22.0393, 	1, 	-1.249e-14, 	3.04, 	(-0.130176,0.632398);
14:30:15.492, 	1, 	2, 	23.2688, 	26.1792, 	1, 	-1.249e-14, 	3.04, 	(-0.433169,-0.414743);
14:30:15.512, 	1, 	2, 	21.6492, 	24.7851, 	1, 	-1.249e-14, 	3.04, 	(-0.503775,-0.13963);
14:30:15.533, 	1, 	2, 	17.4651, 	21.8759, 	1, 	-1.249e-14, 	3.04, 	(-0.354126,-0.52687);
14:30:15.552, 	1, 	2, 	22.0224, 	24.4147, 	1, 	-1.249e-14, 	3.04, 	(0.108381,-0.624588);
14:30:15.573, 	1, 	2, 	21.7639, 	24.7965, 	1, 	-1.249e-14, 	3.04, 	(0.1776,0.557343);
14:30:15.593, 	1, 	2, 	22.111, 	25.7572, 	1, 	-1.249e-14, 	3.04, 	(-0.381519,-0.610183);
14:30:15.613, 	1, 	2, 	22.7644, 	25.4938, 	1, 	-1.249e-14, 	3.04, 	(-0.612846,-0.324191);
14:30:15.633, 	1, 	2, 	19.512, 	14.8849, 	1, 	-1.249e-14, 	3.04, 	(-0.0706064,0.187715);
14:30:15.653, 	1, 	2, 	23.7127, 	24.5094, 	1, 	-1.249e-14, 	3.04, 	(-0.554324,0.124165);
