2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	14.3567, 	0, 	2.736
2, 	-22.21278725922066, 	-22.21278725922066, 	13.2352, 	0, 	2.432
1, 	-22.21278725922066, 	-22.21278725922066, 	14.0955, 	1, 	1.824
2, 	-60.1334, 	-60.1334, 	12.4515, 	0, 	1.824
2, 	-60.1334, 	-60.1334, 	12.8119, 	0, 	1.52
1, 	-60.1334, 	-60.1334, 	14.73, 	1, 	0.912
2, 	-60.1334, 	-60.1334, 	21.2459, 	1, 	0.912
2, 	-60.1334, 	-60.1334, 	24.5961, 	1, 	0.912
2, 	-61.9835, 	-61.9835, 	23.9827, 	1, 	0.912
2, 	-61.9835, 	-61.9835, 	24.34, 	1, 	1.216
2, 	-61.9835, 	-61.9835, 	22.232, 	1, 	1.52
2, 	-61.9835, 	-61.9835, 	23.7461, 	1, 	1.824
2, 	-60.1334, 	-60.1334, 	23.9625, 	1, 	2.128
2, 	-60.1334, 	-60.1334, 	21.3851, 	1, 	2.432
2, 	-60.1334, 	-60.1334, 	23.4711, 	1, 	2.736
2, 	-60.1334, 	-60.1334, 	24.9086, 	1, 	3.04
2, 	-60.1334, 	-60.1334, 	25.3189, 	1, 	3.04
2, 	-60.1334, 	-60.1334, 	25.6485, 	1, 	3.04
2, 	-60.1334, 	-60.1334, 	23.7876, 	1, 	3.04
2, 	-58.382, 	-58.382, 	24.4904, 	1, 	3.04
2, 	-58.382, 	-58.382, 	25.1867, 	1, 	3.04
2, 	-58.382, 	-58.382, 	23.2642, 	1, 	3.04
2, 	-58.382, 	-58.382, 	25.1069, 	1, 	3.04
2, 	-61.9835, 	-61.9835, 	25.3949, 	1, 	3.04
2, 	-61.9835, 	-61.9835, 	24.9554, 	1, 	3.04
2, 	-58.382, 	-58.382, 	24.9584, 	1, 	3.04
2, 	-58.382, 	-58.382, 	25.8969, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	21.2706, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	23.6636, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	25.4423, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	16.3087, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	22.9692, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	25.5267, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	24.6992, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	22.0393, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	26.1792, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	24.7851, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	21.8759, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	24.4147, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	24.7965, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	25.7572, 	1, 	3.04
2, 	-56.7136, 	-56.7136, 	25.4938, 	1, 	3.04
2, 	-56.7136, 	-56.7136, 	14.8849, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	24.5094, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	21.3679, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	23.4161, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	24.8273, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	25.5076, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	22.5135, 	1, 	3.04
2, 	-61.9835, 	-61.9835, 	24.5436, 	1, 	3.04
2, 	-61.9835, 	-61.9835, 	24.9184, 	1, 	3.04
2, 	-61.9835, 	-61.9835, 	26.1683, 	1, 	3.04
2, 	-61.9835, 	-61.9835, 	23.2499, 	1, 	3.04
2, 	-61.9835, 	-61.9835, 	25.6346, 	1, 	3.04
2, 	-61.9835, 	-61.9835, 	25.1856, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	23.0651, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	21.0372, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	25.3473, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	25.6366, 	1, 	3.04
2, 	-52.098, 	-52.098, 	24.5241, 	1, 	3.04
2, 	-52.098, 	-52.098, 	25.1435, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	25.693, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	25.1519, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	25.1858, 	1, 	3.04
2, 	-55.1161, 	-55.1161, 	25.269, 	1, 	3.04
2, 	-56.7136, 	-56.7136, 	22.8739, 	1, 	3.04
2, 	-56.7136, 	-56.7136, 	25.1797, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	25.3261, 	1, 	3.04
2, 	-53.5801, 	-53.5801, 	25.8896, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	25.6481, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	25.142, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	25.467, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	25.0539, 	1, 	3.04
2, 	-52.098, 	-52.098, 	24.2801, 	1, 	3.04
2, 	-52.098, 	-52.098, 	25.6555, 	1, 	3.04
2, 	-58.382, 	-58.382, 	25.8723, 	1, 	3.04
2, 	-58.382, 	-58.382, 	25.6405, 	1, 	3.04
2, 	-58.382, 	-58.382, 	25.6818, 	1, 	3.04
2, 	-58.382, 	-58.382, 	25.9828, 	1, 	3.04
2, 	-52.098, 	-52.098, 	26.0758, 	1, 	3.04
2, 	-52.098, 	-52.098, 	25.6777, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	25.3299, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	21.3228, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	23.2838, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	26.0066, 	1, 	3.04
2, 	-52.098, 	-52.098, 	25.1762, 	1, 	3.04
2, 	-52.098, 	-52.098, 	21.1574, 	1, 	3.04
2, 	-49.2717, 	-49.2717, 	14.6108, 	0, 	3.04
2, 	-49.2717, 	-49.2717, 	25.4574, 	1, 	2.736
1, 	-49.2717, 	-49.2717, 	21.4778, 	1, 	2.432
2, 	-40.4239, 	-40.4239, 	25.66, 	1, 	2.432
2, 	-40.4239, 	-40.4239, 	14.0157, 	0, 	2.432
2, 	-40.4239, 	-40.4239, 	24.9306, 	1, 	2.128
1, 	-40.4239, 	-40.4239, 	18.2394, 	1, 	1.824
2, 	-55.1161, 	-55.1161, 	26.0943, 	1, 	1.824
2, 	-55.1161, 	-55.1161, 	26.0199, 	1, 	1.824
2, 	-49.2717, 	-49.2717, 	25.1237, 	1, 	1.824
2, 	-49.2717, 	-49.2717, 	26.0306, 	1, 	2.128
2, 	-50.6636, 	-50.6636, 	25.1678, 	1, 	2.128
2, 	-50.6636, 	-50.6636, 	26.115, 	1, 	2.432
2, 	-52.098, 	-52.098, 	22.204, 	1, 	2.432
2, 	-52.098, 	-52.098, 	24.7845, 	1, 	2.736
2, 	-50.6636, 	-50.6636, 	25.0698, 	1, 	2.736
2, 	-50.6636, 	-50.6636, 	25.4695, 	1, 	3.04
2, 	-49.2717, 	-49.2717, 	23.3558, 	1, 	3.04
2, 	-49.2717, 	-49.2717, 	24.6832, 	1, 	3.04
2, 	-47.9181, 	-47.9181, 	26.2232, 	1, 	3.04
2, 	-47.9181, 	-47.9181, 	25.9154, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	25.5879, 	1, 	3.04
2, 	-50.6636, 	-50.6636, 	26.2495, 	1, 	3.04
2, 	-49.2717, 	-49.2717, 	25.4382, 	1, 	3.04
2, 	-49.2717, 	-49.2717, 	22.8738, 	1, 	3.04
2, 	-49.2717, 	-49.2717, 	24.8983, 	1, 	3.04
2, 	-49.2717, 	-49.2717, 	25.5572, 	1, 	3.04
2, 	-47.9181, 	-47.9181, 	26.9462, 	1, 	3.04
2, 	-47.9181, 	-47.9181, 	24.8045, 	1, 	3.04
2, 	-45.3112, 	-45.3112, 	23.6969, 	1, 	3.04
2, 	-45.3112, 	-45.3112, 	25.8768, 	1, 	3.04
2, 	-34.772, 	-34.772, 	24.427, 	1, 	3.04
2, 	-34.772, 	-34.772, 	25.5391, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	26.0565, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	25.6727, 	1, 	3.04
2, 	-46.599, 	-46.599, 	26.1166, 	1, 	3.04
2, 	-46.599, 	-46.599, 	24.9262, 	1, 	3.04
2, 	-45.3112, 	-45.3112, 	26.1022, 	1, 	3.04
2, 	-45.3112, 	-45.3112, 	20.1541, 	1, 	3.04
2, 	-45.3112, 	-45.3112, 	26.0547, 	1, 	3.04
2, 	-45.3112, 	-45.3112, 	26.1934, 	1, 	3.04
2, 	-44.0521, 	-44.0521, 	23.0735, 	1, 	3.04
2, 	-44.0521, 	-44.0521, 	25.4667, 	1, 	3.04
2, 	-44.0521, 	-44.0521, 	25.9437, 	1, 	3.04
2, 	-44.0521, 	-44.0521, 	25.2906, 	1, 	3.04
2, 	-45.3112, 	-45.3112, 	19.4045, 	1, 	3.04
2, 	-45.3112, 	-45.3112, 	25.5715, 	1, 	3.04
2, 	-44.0521, 	-44.0521, 	26.4876, 	1, 	3.04
2, 	-44.0521, 	-44.0521, 	24.5121, 	1, 	3.04
2, 	-42.8192, 	-42.8192, 	25.5304, 	1, 	3.04
2, 	-42.8192, 	-42.8192, 	25.8341, 	1, 	3.04
2, 	-42.8192, 	-42.8192, 	25.2451, 	1, 	3.04
2, 	-39.2579, 	-39.2579, 	24.9378, 	1, 	3.04
2, 	-39.2579, 	-39.2579, 	25.6395, 	1, 	3.04
2, 	-38.111, 	-38.111, 	26.6805, 	1, 	3.04
2, 	-38.111, 	-38.111, 	25.7945, 	1, 	3.04
2, 	-40.4239, 	-40.4239, 	26.0255, 	1, 	3.04
2, 	-40.4239, 	-40.4239, 	25.7411, 	1, 	3.04
2, 	-42.8192, 	-42.8192, 	25.4212, 	1, 	3.04
2, 	-42.8192, 	-42.8192, 	25.9527, 	1, 	3.04
2, 	-41.6104, 	-41.6104, 	25.9193, 	1, 	3.04
2, 	-41.6104, 	-41.6104, 	24.7712, 	1, 	3.04
2, 	-40.4239, 	-40.4239, 	26.1046, 	1, 	3.04
2, 	-40.4239, 	-40.4239, 	26.0347, 	1, 	3.04
2, 	-38.111, 	-38.111, 	25.2128, 	1, 	3.04
2, 	-38.111, 	-38.111, 	25.3232, 	1, 	3.04
2, 	-38.111, 	-38.111, 	23.869, 	1, 	3.04
2, 	-38.111, 	-38.111, 	26.162, 	1, 	3.04
2, 	-38.111, 	-38.111, 	25.7836, 	1, 	3.04
2, 	-38.111, 	-38.111, 	22.7737, 	1, 	3.04
2, 	-36.9819, 	-36.9819, 	25.8219, 	1, 	3.04
2, 	-36.9819, 	-36.9819, 	26.0216, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	26.344, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	23.6391, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	25.3451, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	26.3101, 	1, 	3.04
2, 	-38.111, 	-38.111, 	26.5931, 	1, 	3.04
2, 	-38.111, 	-38.111, 	27.7611, 	1, 	3.04
2, 	-31.5631, 	-31.5631, 	25.7181, 	1, 	3.04
2, 	-31.5631, 	-31.5631, 	25.9078, 	1, 	3.04
2, 	-31.5631, 	-31.5631, 	24.6682, 	1, 	3.04
2, 	-31.5631, 	-31.5631, 	25.5177, 	1, 	3.04
2, 	-28.4611, 	-28.4611, 	25.3477, 	1, 	3.04
2, 	-28.4611, 	-28.4611, 	26.1381, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	24.9484, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	25.5738, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	25.4223, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	24.1324, 	1, 	3.04
2, 	-23.4805, 	-23.4805, 	25.7946, 	1, 	3.04
2, 	-23.4805, 	-23.4805, 	26.4338, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	23.1354, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	25.4067, 	1, 	3.04
2, 	-28.4611, 	-28.4611, 	26.334, 	1, 	3.04
2, 	-28.4611, 	-28.4611, 	26.5721, 	1, 	3.04
2, 	-22.508, 	-22.508, 	23.8225, 	1, 	3.04
2, 	-22.508, 	-22.508, 	25.3972, 	1, 	3.04
2, 	-38.111, 	-38.111, 	25.6145, 	1, 	3.04
2, 	-38.111, 	-38.111, 	23.615, 	1, 	3.04
2, 	-34.772, 	-34.772, 	25.1954, 	1, 	3.04
2, 	-34.772, 	-34.772, 	26.6358, 	1, 	3.04
2, 	-18.6818, 	-18.6818, 	26.7556, 	1, 	3.04
2, 	-18.6818, 	-18.6818, 	25.5696, 	1, 	3.04
2, 	-27.4476, 	-27.4476, 	25.1379, 	1, 	3.04
2, 	-27.4476, 	-27.4476, 	25.7567, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	23.4376, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	26.197, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	26.5385, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	25.8349, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	25.8349, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	25.9331, 	1, 	3.04
2, 	-31.5631, 	-31.5631, 	26.0667, 	1, 	3.04
2, 	-31.5631, 	-31.5631, 	26.8176, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	25.9592, 	1, 	3.04
