(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:31:15.498, 	0, 	1, 	15.2138, 	14.5122, 	1, 	-1.249e-14, 	3.04, 	(-0.465348,0.232635);(0.713567,-0.158273);(-1.04905,0.703546);(0.469599,-1.06345);
14:31:31.844, 	0, 	2, 	15.3717, 	9.17749, 	0, 	4, 	2.736, 	(0.0395085,-0.0422206);
14:31:31.868, 	1, 	2, 	14.4997, 	16.3239, 	1, 	8, 	2.432, 	(0.000754595,-0.146099);
14:31:31.904, 	1, 	2, 	15.6722, 	22.9434, 	1, 	8, 	2.432, 	(-0.274952,0.511442);
14:31:31.945, 	1, 	2, 	13.8873, 	21.0736, 	1, 	8, 	2.432, 	(0.296232,-0.411035);
14:31:31.965, 	1, 	2, 	13.8851, 	22.0998, 	1, 	8, 	2.432, 	(-0.00843363,-0.432386);
14:31:31.985, 	1, 	2, 	12.9084, 	18.5065, 	1, 	8, 	2.432, 	(0.105414,0.389083);
14:31:32.005, 	1, 	2, 	14.4591, 	24.7185, 	1, 	8, 	2.432, 	(0.554401,-0.198371);
14:31:32.025, 	1, 	2, 	15.2553, 	23.7901, 	1, 	8, 	2.432, 	(-0.451382,0.391932);
14:31:32.045, 	1, 	2, 	14.7052, 	24.1295, 	1, 	8, 	2.432, 	(-0.574481,-0.244519);
14:31:32.066, 	1, 	2, 	14.7654, 	24.6246, 	1, 	8, 	2.736, 	(0.332752,-0.545663);
14:31:32.085, 	1, 	2, 	15.544, 	25.0807, 	1, 	8, 	3.04, 	(0.518168,-0.345324);
14:31:32.107, 	1, 	2, 	16.254, 	24.9387, 	1, 	8, 	3.04, 	(0.0193882,0.579105);
14:31:32.129, 	1, 	2, 	13.8771, 	19.4934, 	1, 	8, 	3.04, 	(0.185898,0.429269);
14:31:32.147, 	1, 	2, 	14.5757, 	24.0227, 	1, 	8, 	3.04, 	(-0.208314,-0.60134);
14:31:32.167, 	1, 	2, 	15.4136, 	24.4213, 	1, 	8, 	3.04, 	(-0.256913,-0.547195);
14:31:32.187, 	1, 	2, 	14.4639, 	18.1149, 	1, 	8, 	3.04, 	(-0.117694,0.438525);
14:31:32.207, 	1, 	2, 	14.3369, 	18.8397, 	1, 	8, 	3.04, 	(-0.352651,0.122666);
14:31:32.229, 	1, 	2, 	16.2493, 	24.0668, 	1, 	8, 	3.04, 	(-0.436035,-0.477034);
14:31:32.247, 	1, 	2, 	15.8168, 	22.908, 	1, 	8, 	3.04, 	(0.25631,-0.568988);
14:31:32.267, 	1, 	2, 	14.5028, 	24.034, 	1, 	8, 	3.04, 	(0.617546,-0.152918);
14:31:32.287, 	1, 	2, 	13.3489, 	20.8168, 	1, 	8, 	3.04, 	(-0.0724417,-0.542251);
14:31:32.307, 	1, 	2, 	13.5968, 	22.6684, 	1, 	8, 	3.04, 	(0.236513,0.588058);
14:31:32.329, 	1, 	2, 	15.4724, 	24.5267, 	1, 	8, 	3.04, 	(0.395367,-0.558253);
14:31:32.348, 	1, 	2, 	15.534, 	20.3014, 	1, 	8, 	3.04, 	(0.53909,-0.0347463);
14:31:32.368, 	1, 	2, 	13.879, 	22.6, 	1, 	4, 	3.04, 	(-0.0752892,-0.606178);
14:31:32.428, 	1, 	2, 	15.9309, 	21.0839, 	1, 	-1.249e-14, 	3.04, 	(0.353433,-0.487598);
