(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:03:03.093, 	1, 	1, 	20.9839, 	12.1164, 	0, 	-1.38778e-15, 	2.736, 	(0.675751,0.908682);(0.353774,-1.29148);(-0.75005,1.19898);(0.738898,-1.22478);
14:03:44.935, 	0, 	2, 	18.7692, 	13.1232, 	0, 	-1.38778e-15, 	2.736, 	(-0.0202912,0.045983);
14:03:44.976, 	1, 	2, 	20.8914, 	24.7905, 	1, 	4, 	2.432, 	(0.212189,0.640391);
14:03:44.989, 	1, 	1, 	22.0532, 	13.8234, 	0, 	4, 	2.128, 	(-0.906173,-0.0264192);(0.676055,1.15587);(-0.324841,-1.2328);(0.338641,1.24776);
14:03:45.016, 	1, 	2, 	21.9209, 	24.2585, 	1, 	4, 	2.128, 	(-0.0966201,-0.458283);
14:03:45.036, 	1, 	2, 	21.925, 	16.2545, 	1, 	4, 	2.128, 	(0.033941,-0.0283612);
14:03:45.057, 	1, 	2, 	18.7462, 	15.5041, 	1, 	4, 	2.128, 	(-0.139265,0.135634);
14:03:45.076, 	0, 	2, 	20.7378, 	15.9289, 	1, 	4, 	2.128, 	(-0.154463,0.114437);
14:03:45.096, 	0, 	2, 	20.8334, 	15.4487, 	0, 	8, 	1.824, 	(0.0991668,0.113489);
14:03:45.110, 	1, 	1, 	20.9823, 	19.2081, 	0, 	12, 	1.216, 	(-0.288436,-0.877253);(-0.76598,1.16389);(1.00841,-0.806421);(-0.968963,0.786569);
14:03:45.137, 	0, 	2, 	21.019, 	15.6967, 	0, 	12, 	1.216, 	(-0.0978195,-0.135642);
14:03:45.157, 	0, 	2, 	21.3546, 	15.3326, 	0, 	16, 	1.216, 	(-0.012457,-0.0712571);
14:03:45.169, 	1, 	1, 	20.7172, 	15.5068, 	0, 	20, 	0.912, 	(-0.225299,-0.928135);(-0.829601,1.14995);(1.17367,-0.878723);(-1.12437,0.812725);
14:03:45.197, 	0, 	2, 	20.3928, 	16.7574, 	0, 	20, 	0.912, 	(0.181872,0.0741864);
14:03:45.217, 	1, 	2, 	17.1918, 	16.7436, 	1, 	24, 	0.912, 	(0.104675,0.207373);
14:03:45.230, 	1, 	1, 	21.3644, 	15.2127, 	0, 	24, 	0.608, 	(-0.4973,-0.466209);(-0.151142,1.22918);(0.942842,-1.71397);(-0.962851,1.59057);
14:03:45.258, 	0, 	2, 	21.7495, 	17.7918, 	0, 	24, 	0.608, 	(-0.113708,-0.0032595);
14:03:45.278, 	1, 	2, 	21.6767, 	17.0221, 	1, 	28, 	0.608, 	(0.166263,0.00484578);
14:03:45.290, 	1, 	1, 	20.1041, 	15.0991, 	0, 	28, 	0.608, 	(0.109189,0.648763);(0.878132,-0.935101);(-1.80546,0.752053);(1.81125,-0.643102);
14:03:45.319, 	1, 	2, 	22.3997, 	17.6246, 	1, 	28, 	0.912, 	(-0.0674814,0.100743);
14:03:45.338, 	1, 	2, 	21.285, 	16.5876, 	1, 	28, 	1.216, 	(0.100675,0.145654);
14:03:45.360, 	0, 	2, 	20.7762, 	17.2013, 	1, 	28, 	1.216, 	(0.15125,0.173772);
14:03:45.379, 	1, 	2, 	22.4878, 	17.4008, 	1, 	32, 	1.52, 	(0.198387,0.0591667);
14:03:45.391, 	1, 	1, 	20.7621, 	12.989, 	0, 	32, 	1.52, 	(-0.519626,-0.475693);(-0.30829,1.07041);(1.26939,-1.50939);(-1.32712,1.42712);
14:03:45.419, 	1, 	2, 	18.6699, 	16.7291, 	1, 	32, 	1.52, 	(-0.186225,-0.125259);
14:03:45.439, 	0, 	2, 	22.7708, 	15.7839, 	1, 	32, 	1.52, 	(-0.0431907,0.101502);
14:03:45.459, 	0, 	2, 	23.3469, 	16.3101, 	0, 	36, 	1.52, 	(0.0774317,-0.00922433);
14:03:45.474, 	1, 	1, 	22.3294, 	17.1287, 	0, 	36, 	1.216, 	(0.523986,0.921444);(0.870259,-1.14511);(-1.72767,1.02829);(1.85387,-0.884347);
14:03:45.491, 	1, 	1, 	24.0985, 	17.5659, 	0, 	36, 	1.216, 	(-0.826987,-0.880146);(-0.48684,1.37337);(0.730906,-0.941425);(-0.86908,0.851115);
14:03:45.525, 	0, 	2, 	23.5163, 	16.2161, 	0, 	36, 	1.216, 	(0.0859496,0.0235849);
14:03:45.540, 	0, 	2, 	20.3069, 	15.6764, 	0, 	40, 	0.912, 	(-0.166729,-0.0939808);
14:03:45.551, 	1, 	1, 	24.0256, 	18.8674, 	0, 	44, 	0.608, 	(1.04575,-0.0317736);(-0.629098,-1.44366);(0.0237237,2.08219);(0.185657,-2.07441);
14:03:45.572, 	1, 	1, 	21.9627, 	17.6868, 	0, 	40, 	0.304, 	(-0.584124,-0.0293652);(0.239398,1.25565);(0.632635,-2.02818);(-0.812792,1.95631);
14:03:45.601, 	1, 	2, 	24.1993, 	16.1702, 	1, 	36, 	0.608, 	(-0.0371411,-0.103016);
14:03:45.622, 	0, 	2, 	22.6972, 	15.7669, 	1, 	36, 	0.608, 	(0.162923,-0.0458558);
14:03:45.642, 	0, 	2, 	23.0573, 	16.1032, 	0, 	40, 	0.304, 	(-0.126669,0.0738616);
14:03:45.652, 	1, 	1, 	23.9318, 	19.1974, 	0, 	36, 	0.304, 	(-0.127626,-0.718962);(-1.16105,0.842451);(2.15116,-0.360087);(-2.19869,0.0353797);
14:03:45.672, 	1, 	1, 	24.1057, 	16.3409, 	0, 	36, 	0.304, 	(0.883775,0.507105);(0.047012,-1.57673);(-0.835519,1.93183);(1.13568,-1.78531);
14:03:45.708, 	0, 	2, 	19.6167, 	15.9239, 	0, 	36, 	0.304, 	(0.11343,0.167157);
14:03:45.722, 	0, 	2, 	20.0351, 	16.2305, 	0, 	36, 	0.304, 	(0.178808,0.0200526);
14:03:45.736, 	1, 	1, 	21.479, 	14.9161, 	0, 	40, 	0.304, 	(0.775988,0.139234);(-0.261062,-1.16535);(-0.407413,2.09828);(0.706747,-2.04007);
14:03:45.752, 	1, 	1, 	21.1454, 	17.0513, 	0, 	36, 	0.304, 	(0.575708,0.394261);(0.266006,-1.15634);(-1.31939,1.64001);(1.55397,-1.46363);
14:03:45.782, 	0, 	2, 	23.4758, 	15.4245, 	0, 	36, 	0.304, 	(0.129659,0.0311799);
14:03:45.802, 	0, 	2, 	23.7021, 	15.8596, 	0, 	40, 	0.304, 	(-0.0865111,-0.042725);
14:03:45.813, 	1, 	1, 	23.8594, 	16.8332, 	0, 	44, 	-6.39488e-16, 	(-0.923658,-0.969433);(-0.274733,1.29609);(0.409035,-0.698884);(-0.597123,0.58241);
