(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:32:35.614, 	1, 	1, 	17.4094, 	15.411, 	0, 	-1.249e-14, 	2.736, 	(0.50195,0.131144);(-0.371903,-0.801861);(0.0796847,1.50628);(-0.177091,-1.49181);
14:32:51.358, 	0, 	2, 	21.1117, 	15.2553, 	0, 	-1.249e-14, 	2.736, 	(-0.0242281,-0.070461);
14:32:51.396, 	1, 	1, 	21.1867, 	14.8006, 	0, 	4, 	2.128, 	(-0.829026,0.173955);(0.932449,0.694016);(-0.556539,-0.819815);(0.591377,0.827286);
14:32:51.417, 	1, 	1, 	21.8286, 	15.3616, 	0, 	4, 	1.824, 	(-0.344342,-0.77361);(-0.478776,0.903591);(0.53249,-0.498278);(-0.491044,0.520305);
14:32:51.439, 	0, 	2, 	21.1106, 	14.6438, 	0, 	4, 	1.824, 	(0.0444321,-0.0712506);
14:32:51.457, 	1, 	1, 	20.4939, 	15.9145, 	0, 	8, 	1.216, 	(0.29678,-0.82643);(-1.13558,0.328819);(1.09772,0.0571972);(-1.09224,-0.00244358);
14:32:51.482, 	1, 	1, 	20.6089, 	13.1838, 	0, 	8, 	0.912, 	(0.839067,-0.0605848);(-0.732404,-0.862715);(0.356322,0.848354);(-0.387176,-0.80301);
14:32:51.498, 	0, 	2, 	17.6798, 	12.9506, 	0, 	8, 	0.912, 	(-0.0544588,0.038311);
14:32:51.517, 	1, 	1, 	20.9117, 	16.2246, 	0, 	12, 	0.304, 	(0.16641,0.81165);(0.840567,-0.935292);(-1.12635,0.61244);(1.06237,-0.65009);
14:32:51.537, 	1, 	1, 	21.2525, 	16.5205, 	0, 	12, 	-7.10543e-17, 	(-0.680047,-0.474364);(0.0620337,1.2017);(0.287749,-1.01152);(-0.225444,0.979262);
14:32:51.559, 	0, 	2, 	17.4235, 	13.6393, 	0, 	12, 	-7.10543e-17, 	(-0.020408,0.0671953);
14:32:51.579, 	0, 	2, 	18.5693, 	14.7614, 	0, 	16, 	-7.10543e-17, 	(0.0278387,0.0432146);
14:32:51.597, 	1, 	1, 	20.8352, 	13.7471, 	0, 	20, 	-7.10543e-17, 	(-0.513948,-0.314341);(0.0607659,1.1155);(0.619448,-1.576);(-0.504713,1.51683);
14:32:51.617, 	1, 	1, 	20.0627, 	16.6808, 	0, 	20, 	-7.10543e-17, 	(0.279078,0.657375);(0.58783,-1.06869);(-1.28671,0.990052);(1.1772,-0.98845);
14:32:51.643, 	0, 	2, 	19.3375, 	14.2278, 	0, 	20, 	-7.10543e-17, 	(-0.0525339,0.0218861);
14:32:51.659, 	0, 	2, 	18.9548, 	13.8323, 	0, 	24, 	-7.10543e-17, 	(0.0280298,0.0487864);
14:32:51.678, 	1, 	1, 	21.1471, 	15.6896, 	0, 	28, 	-7.10543e-17, 	(-0.666171,-0.543104);(0.147832,1.2093);(0.221533,-1.04109);(-0.205488,0.958116);
14:32:51.698, 	1, 	1, 	19.7581, 	14.9177, 	0, 	28, 	-7.10543e-17, 	(-0.586882,-0.593275);(0.0632749,1.10994);(0.20389,-0.761171);(-0.196612,0.703738);
14:32:51.721, 	0, 	2, 	20.8361, 	15.2979, 	0, 	28, 	-7.10543e-17, 	(0.0231406,-0.0590255);
14:32:51.740, 	0, 	2, 	21.5824, 	14.9581, 	0, 	32, 	-7.10543e-17, 	(-0.0613947,-0.0544174);
14:32:51.758, 	1, 	1, 	20.8172, 	15.8493, 	0, 	36, 	-7.10543e-17, 	(-0.580842,-0.662394);(0.0620268,1.22269);(0.264475,-0.889997);(-0.328743,0.832784);
14:32:51.780, 	0, 	2, 	20.7152, 	15.5152, 	0, 	36, 	-7.10543e-17, 	(0.0556641,0.0228653);
14:32:51.802, 	0, 	2, 	20.6222, 	13.7938, 	0, 	40, 	-7.10543e-17, 	(0.0150829,0.0626132);
14:32:51.818, 	1, 	1, 	20.5777, 	16.4358, 	0, 	44, 	-7.10543e-17, 	(1.0044,-0.205766);(-1.07932,-0.685685);(0.650226,0.868043);(-0.56484,-0.860487);
14:32:51.841, 	1, 	2, 	18.6462, 	22.6667, 	1, 	44, 	0.304, 	(0.00717381,-0.638702);
