(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);19:03:01.750, 	1, 	1, 	20.9384, 	14.1149, 	0, 	-1.249e-14, 	1.52, 	(-0.553779,0.286501);(1.031,0.533264);(-1.03647,-1.31369);(1.06235,1.18123);
19:03:55.542, 	0, 	2, 	14.5927, 	18.2991, 	0, 	-1.249e-14, 	1.52, 	(-0.213581,-0.0710228);
19:03:55.582, 	0, 	2, 	14.8598, 	18.1371, 	0, 	4, 	1.216, 	(-0.293809,0.131759);
19:03:55.598, 	1, 	1, 	14.1915, 	11.9077, 	0, 	8, 	0.912, 	(0.598304,0.137584);(-0.827713,-0.530601);(1.44169,0.169417);(-1.12882,0.643486);
19:03:55.621, 	0, 	2, 	12.751, 	17.0597, 	0, 	8, 	0.912, 	(-0.197798,0.0950256);
19:03:55.641, 	0, 	2, 	13.457, 	17.699, 	0, 	12, 	0.608, 	(-0.166386,0.154645);
19:03:55.658, 	1, 	1, 	14.595, 	8.88769, 	0, 	16, 	0.304, 	(-0.771,-0.636537);(0.892112,0.984927);(-1.39482,-0.448351);(1.24258,-0.339761);
19:03:55.682, 	0, 	2, 	15.0229, 	19.224, 	0, 	16, 	0.304, 	(0.235475,-0.158481);
19:03:55.702, 	0, 	2, 	14.9963, 	18.1461, 	0, 	20, 	0.304, 	(-0.0754477,0.206801);
19:03:55.719, 	1, 	1, 	14.1576, 	8.86411, 	0, 	24, 	-7.10543e-17, 	(-0.0529412,0.872587);(0.458246,-1.2391);(0.324735,1.49628);(-1.01517,-0.974398);
19:03:55.742, 	0, 	2, 	15.9338, 	20.5516, 	0, 	24, 	-7.10543e-17, 	(-0.124333,-0.20488);
19:03:55.766, 	0, 	2, 	-0.380559, 	-0.0635812, 	0, 	28, 	-7.10543e-17, 	(-0.00785301,-0.0531122);
19:03:55.779, 	0, 	1, 	15.2584, 	6.58498, 	0, 	32, 	-7.10543e-17, 	(-0.800552,-0.0539219);(1.15174,0.36167);(-1.48433,0.394793);(0.879541,-1.12162);
19:03:55.804, 	0, 	2, 	14.1893, 	16.9937, 	0, 	36, 	-7.10543e-17, 	(0.0414785,0.202404);
19:03:55.819, 	1, 	1, 	15.1859, 	10.8529, 	0, 	40, 	-7.10543e-17, 	(-0.455954,-0.0759332);(0.605887,0.726284);(-1.34529,-0.347493);(1.14175,-0.548105);
19:03:55.838, 	1, 	1, 	14.2907, 	11.7216, 	0, 	40, 	-7.10543e-17, 	(0.201032,-0.959984);(-0.759671,1.40942);(-0.11108,-1.24332);(0.860628,0.869601);
19:03:55.879, 	1, 	1, 	14.3703, 	8.19253, 	0, 	40, 	-7.10543e-17, 	(-0.321011,0.262322);(0.507579,-0.281122);(-0.750581,1.05793);(-0.0515639,-1.11846);
19:03:55.901, 	0, 	1, 	14.655, 	8.68149, 	0, 	40, 	-7.10543e-17, 	(0.145946,-0.557308);(-0.420401,0.720936);(0.0019536,-1.41081);(0.766158,0.992639);
19:03:55.924, 	1, 	2, 	15.2589, 	24.3595, 	1, 	44, 	0.304, 	(0.228335,0.574754);
19:03:55.960, 	0, 	1, 	14.1625, 	8.28711, 	1, 	44, 	0.304, 	(0.934618,-0.063801);(-1.35216,-0.219274);(1.3588,-0.553057);(-0.657351,1.22962);
19:03:55.984, 	1, 	2, 	14.2018, 	23.1376, 	1, 	48, 	0.608, 	(0.372166,0.451391);
19:03:56.000, 	1, 	1, 	13.8327, 	8.36073, 	0, 	48, 	0.608, 	(-0.167811,-1.07639);(0.0211697,1.51301);(-0.656641,-1.04225);(1.16353,0.324559);
19:03:56.045, 	1, 	2, 	13.5136, 	21.7553, 	1, 	48, 	0.912, 	(-0.32162,0.457968);
19:03:56.059, 	0, 	1, 	13.0661, 	6.88099, 	1, 	48, 	0.912, 	(-0.484346,0.0711432);(0.797552,0.626591);(-1.4043,-0.094487);(0.897129,-0.890085);
19:03:56.085, 	1, 	2, 	13.6941, 	23.9556, 	1, 	52, 	1.216, 	(-0.290172,0.538676);
19:03:56.105, 	1, 	2, 	13.8181, 	21.3449, 	1, 	52, 	1.52, 	(0.483722,-0.191109);
19:03:56.120, 	0, 	1, 	15.4748, 	10.4277, 	1, 	52, 	1.52, 	(0.250998,0.44365);(-0.160237,-0.660491);(0.885216,1.11685);(-1.1683,-0.176143);
19:03:56.166, 	1, 	2, 	13.5219, 	19.55, 	1, 	48, 	1.824, 	(0.383631,-0.295374);
19:03:56.206, 	1, 	2, 	14.8078, 	24.708, 	1, 	48, 	1.824, 	(-0.532931,0.299644);
19:03:56.226, 	1, 	2, 	15.5302, 	24.5047, 	1, 	44, 	2.128, 	(-0.578615,-0.302335);
19:03:56.240, 	1, 	1, 	15.6866, 	7.27011, 	0, 	40, 	1.824, 	(-0.662434,0.897775);(1.0301,-1.14722);(-0.130968,1.41121);(-0.611774,-0.946564);
19:03:56.266, 	1, 	2, 	16.3443, 	24.7576, 	1, 	40, 	2.128, 	(-0.157185,0.619378);
19:03:56.301, 	1, 	1, 	15.6261, 	7.85896, 	0, 	36, 	1.824, 	(1.03906,-0.102627);(-1.56424,-0.0646316);(1.22769,-0.899987);(-0.362348,1.22046);
19:03:56.327, 	1, 	2, 	15.8315, 	24.8494, 	1, 	32, 	2.128, 	(-0.167054,-0.643233);
19:03:56.348, 	1, 	2, 	14.863, 	24.9412, 	1, 	32, 	2.128, 	(0.012014,-0.648253);
19:03:56.361, 	1, 	1, 	15.9201, 	10.5745, 	0, 	28, 	1.824, 	(0.227321,1.0364);(-0.215764,-1.47436);(1.21343,1.13179);(-1.41764,-0.124585);
19:03:56.388, 	1, 	2, 	15.4819, 	24.6412, 	1, 	24, 	2.128, 	(0.567705,0.349268);
19:03:56.403, 	0, 	1, 	16.7197, 	7.16742, 	1, 	24, 	2.128, 	(0.131897,-1.11708);(-0.391777,1.66484);(-0.629104,-1.18157);(1.10378,0.463209);
19:03:56.422, 	1, 	1, 	17.3215, 	11.4867, 	0, 	20, 	1.52, 	(0.484319,0.804835);(-0.524738,-1.37243);(1.46694,0.86986);(-1.43417,0.292676);
19:03:56.448, 	1, 	2, 	16.3424, 	24.1287, 	1, 	20, 	1.52, 	(0.507676,0.4116);
19:03:56.462, 	0, 	1, 	16.7343, 	10.2253, 	1, 	20, 	1.52, 	(1.06693,-0.502427);(-1.45919,0.694779);(0.668758,-1.41084);(0.314123,1.26128);
19:03:56.482, 	0, 	1, 	16.7372, 	9.13727, 	0, 	24, 	1.52, 	(-0.403258,0.697238);(0.807414,-1.02257);(-0.0227407,1.69275);(-0.987085,-1.09035);
19:03:56.508, 	1, 	2, 	17.5588, 	25.3325, 	1, 	24, 	1.52, 	(-0.0983699,-0.635255);
19:03:56.522, 	0, 	1, 	15.9196, 	9.01417, 	1, 	24, 	1.52, 	(-0.074397,0.582697);(0.176322,-0.800919);(0.551936,1.46717);(-1.17144,-0.563326);
19:03:56.542, 	0, 	1, 	16.1192, 	9.63479, 	0, 	28, 	1.216, 	(0.521784,1.04943);(-0.743647,-1.50751);(1.36421,0.617822);(-1.2217,0.387092);
19:03:56.602, 	0, 	1, 	15.3927, 	10.8978, 	0, 	28, 	0.912, 	(1.00661,-0.471995);(-1.53327,0.564364);(0.778533,-1.41136);(0.336952,1.34616);
19:03:56.629, 	1, 	2, 	15.0852, 	25.2149, 	1, 	32, 	0.912, 	(-0.529683,-0.414371);
19:03:56.643, 	1, 	1, 	15.5485, 	9.37866, 	0, 	32, 	0.912, 	(0.140272,-1.01635);(-0.241474,1.29478);(-0.795245,-1.5527);(1.33723,0.514615);
19:03:56.670, 	1, 	2, 	14.9656, 	22.3199, 	1, 	28, 	1.216, 	(-0.0443951,-0.649135);
19:03:56.703, 	0, 	1, 	15.6008, 	5.99545, 	1, 	28, 	1.216, 	(-0.347069,-0.734906);(0.393794,1.05865);(-1.43044,-0.934175);(1.41081,-0.245218);
19:03:56.763, 	0, 	1, 	15.0167, 	5.73381, 	0, 	32, 	0.912, 	(0.478365,0.176169);(-0.726443,-0.794762);(1.57875,0.142717);(-1.02163,0.915345);
19:03:56.884, 	0, 	1, 	16.6949, 	6.33475, 	0, 	36, 	0.912, 	(0.179317,-0.979761);(-0.526342,1.37206);(-0.61596,-1.65859);(1.44841,0.672938);
19:03:56.926, 	0, 	1, 	16.4895, 	9.76135, 	0, 	36, 	0.912, 	(-1.06925,0.725181);(1.40003,-0.962229);(-0.37684,1.52652);(-0.710485,-1.24517);
19:03:56.944, 	1, 	1, 	16.3763, 	10.1662, 	0, 	40, 	0.608, 	(-1.12171,0.397305);(1.73467,-0.536147);(-0.735862,1.25853);(-0.385617,-1.35081);
19:03:56.986, 	0, 	1, 	15.7099, 	6.95012, 	0, 	40, 	0.608, 	(0.335171,0.264643);(-0.416018,-1.06586);(1.4878,0.672108);(-1.32102,0.68057);
19:03:57.005, 	0, 	1, 	15.9829, 	7.56754, 	0, 	44, 	0.608, 	(0.00748358,-1.21768);(-0.0288345,1.70695);(-1.11334,-1.243);(1.52217,0.0195035);
19:03:57.108, 	0, 	1, 	16.0909, 	9.91398, 	0, 	48, 	0.608, 	(0.785805,-0.881797);(-1.02108,1.01443);(0.0174547,-1.84838);(1.18255,1.08152);
19:03:57.125, 	0, 	1, 	16.2676, 	8.21184, 	0, 	52, 	0.304, 	(1.26504,-0.354864);(-1.66248,0.503721);(0.529534,-1.17391);(0.438756,1.05321);
19:03:57.154, 	1, 	2, 	15.4516, 	24.3769, 	1, 	56, 	0.304, 	(0.0757997,0.701022);
19:03:57.167, 	0, 	1, 	15.9965, 	9.75286, 	1, 	56, 	0.304, 	(-0.772379,0.465704);(1.16773,-0.546747);(-0.651933,1.69541);(-0.783723,-1.39509);
19:03:57.226, 	0, 	1, 	17.3041, 	9.87052, 	0, 	60, 	0.304, 	(1.24492,0.418225);(-1.50293,-0.382173);(1.55016,-0.92532);(-0.294706,1.49898);
19:03:57.287, 	0, 	1, 	17.2381, 	10.4691, 	0, 	64, 	0.304, 	(1.15694,0.729246);(-1.50777,-0.71673);(1.13006,-0.513963);(-0.36436,1.00617);
19:03:57.346, 	0, 	1, 	16.5486, 	10.9934, 	0, 	68, 	0.304, 	(-0.984755,0.152715);(1.26895,-0.168855);(-1.10955,1.44863);(-0.372594,-1.5622);
19:03:57.376, 	1, 	2, 	16.1009, 	23.4928, 	1, 	68, 	0.608, 	(-0.650031,-0.247604);
19:03:57.407, 	0, 	1, 	16.7468, 	13.1709, 	1, 	68, 	0.608, 	(-0.602352,0.979522);(0.493783,-1.43203);(0.380356,0.583614);(-0.684373,-0.13209);
19:03:57.467, 	0, 	1, 	16.4714, 	11.3117, 	0, 	72, 	0.608, 	(0.141837,-1.28482);(0.166658,1.60529);(-0.828965,-0.492395);(0.877596,-0.269915);
19:03:57.510, 	0, 	1, 	14.9854, 	9.98006, 	0, 	72, 	0.608, 	(-0.479636,-1.18576);(0.660064,1.41208);(-1.74978,-0.404737);(1.24669,-1.00144);
19:03:57.527, 	0, 	1, 	15.3689, 	9.67104, 	0, 	72, 	0.608, 	(-0.65268,-1.23383);(1.01847,1.32944);(-1.1912,0.0617536);(0.668571,-0.886129);
19:03:57.571, 	0, 	1, 	17.3239, 	6.10723, 	0, 	76, 	0.608, 	(0.626551,1.23268);(-1.0414,-1.39772);(1.30134,-0.00110183);(-0.733705,0.97073);
19:03:57.588, 	0, 	1, 	16.9809, 	7.66543, 	0, 	76, 	0.304, 	(-0.804245,-0.412334);(1.30023,0.709171);(-1.63604,0.682336);(0.310879,-1.63046);
19:03:57.632, 	0, 	1, 	16.5038, 	11.9522, 	0, 	76, 	0.304, 	(0.386123,-1.153);(-0.301047,1.88453);(-0.966935,-1.00768);(1.36696,-0.265112);
19:03:57.648, 	0, 	1, 	14.8559, 	7.3641, 	0, 	76, 	0.304, 	(0.484496,-0.74809);(-0.618027,0.949694);(-0.512244,-1.74081);(1.54229,0.424471);
19:03:57.692, 	0, 	1, 	16.9286, 	9.53601, 	0, 	80, 	0.304, 	(-1.22004,-0.0956165);(1.50197,-0.29153);(-0.274611,0.677235);(-0.398617,-0.606344);
19:03:57.752, 	0, 	1, 	16.486, 	7.4755, 	0, 	84, 	0.304, 	(1.07243,0.817598);(-1.46729,-0.841536);(1.64203,-0.761574);(-0.19057,1.54702);
19:03:57.809, 	0, 	1, 	15.1079, 	8.70665, 	0, 	88, 	-7.10543e-17, 	(1.01243,-1.05763);(-0.984641,1.46085);(-0.697999,-1.48824);(1.38209,0.233163);
19:03:57.869, 	1, 	1, 	17.3239, 	10.8046, 	0, 	84, 	-7.10543e-17, 	(-1.01834,-0.855701);(1.48284,0.642735);(-0.688777,0.572551);(-0.0157641,-0.808233);
19:03:57.929, 	0, 	1, 	17.3634, 	11.8728, 	0, 	84, 	-7.10543e-17, 	(-0.614966,-1.33419);(0.852076,1.23103);(-1.89409,0.0613595);(0.864717,-1.36445);
19:03:57.990, 	1, 	1, 	16.8795, 	13.8781, 	0, 	80, 	-7.10543e-17, 	(0.920814,0.53164);(-1.19872,-0.119813);(0.133478,-0.30853);(0.12541,0.36268);
19:03:58.050, 	0, 	1, 	17.0255, 	11.1781, 	0, 	80, 	-7.10543e-17, 	(1.07147,0.617051);(-1.43267,-0.148946);(0.26817,-0.473568);(0.268732,0.552068);
19:03:58.091, 	1, 	1, 	18.3331, 	12.4367, 	0, 	80, 	-7.10543e-17, 	(1.07908,-0.996144);(-0.819488,1.57006);(-0.604106,-0.863219);(1.05074,-0.137564);
19:03:58.110, 	1, 	1, 	18.243, 	13.8321, 	0, 	76, 	-7.10543e-17, 	(1.17165,0.771066);(-1.51166,-0.33336);(0.510178,-0.670739);(0.339662,0.727059);
19:03:58.151, 	1, 	1, 	18.3214, 	10.9666, 	0, 	72, 	-7.10543e-17, 	(1.032,-0.373003);(-0.781033,0.817548);(-0.180007,-0.297474);(0.319901,-0.021507);
19:03:58.171, 	1, 	1, 	19.4261, 	11.1036, 	0, 	68, 	-7.10543e-17, 	(1.37661,0.3403);(-1.72628,0.328613);(0.327696,-1.00961);(0.719803,0.712841);
19:03:58.192, 	1, 	2, 	18.8279, 	25.1819, 	1, 	68, 	0.304, 	(-0.0168814,-0.700405);
19:03:58.211, 	1, 	1, 	18.4887, 	10.4702, 	0, 	64, 	0.304, 	(1.01643,0.776312);(-1.33563,-0.250241);(0.339085,-0.505004);(0.25394,0.451626);
19:03:58.231, 	1, 	1, 	17.5192, 	11.8736, 	0, 	60, 	0.304, 	(1.01442,0.50834);(-1.1103,0.0143569);(0.175794,-0.27859);(0.0799192,0.244107);
19:03:58.253, 	1, 	2, 	18.2994, 	24.6684, 	1, 	56, 	0.608, 	(-0.067124,0.532912);
19:03:58.271, 	1, 	1, 	18.9138, 	12.3733, 	0, 	52, 	0.608, 	(0.624331,1.22757);(-1.27938,-0.983124);(0.756543,-0.408917);(-0.006665,0.769642);
19:03:58.291, 	1, 	1, 	20.2454, 	13.5122, 	0, 	52, 	0.608, 	(0.674401,1.01954);(-1.27167,-0.654991);(0.445488,-0.357708);(0.0584659,0.508334);
19:03:58.317, 	1, 	2, 	19.5513, 	25.3305, 	1, 	48, 	0.912, 	(-0.637395,-0.426279);
19:03:58.331, 	1, 	1, 	19.6908, 	12.0505, 	0, 	44, 	0.912, 	(1.08538,1.02794);(-1.70629,-0.45354);(0.732367,-0.902004);(0.386718,0.965609);
19:03:58.354, 	1, 	2, 	19.7717, 	25.9636, 	1, 	40, 	1.216, 	(0.615063,0.414556);
19:03:58.374, 	1, 	2, 	19.6559, 	25.3235, 	1, 	36, 	1.52, 	(-0.446075,-0.528436);
19:03:58.392, 	1, 	1, 	19.4145, 	13.4799, 	0, 	32, 	1.216, 	(0.0657412,1.11183);(-0.699676,-1.00289);(0.311625,-0.118298);(-0.107145,0.305926);
19:03:58.415, 	1, 	2, 	19.0443, 	25.003, 	1, 	28, 	1.52, 	(0.578467,0.580806);
19:03:58.434, 	1, 	2, 	18.5591, 	25.1052, 	1, 	24, 	1.824, 	(-0.440462,-0.11789);
19:03:58.452, 	1, 	1, 	21.1153, 	13.5998, 	0, 	20, 	1.52, 	(0.928758,0.797935);(-1.47262,-0.225218);(0.264958,-0.539633);(0.295684,0.483322);
19:03:58.475, 	1, 	2, 	21.8651, 	25.1786, 	1, 	16, 	1.824, 	(-0.627313,0.100057);
19:03:58.495, 	1, 	2, 	20.5607, 	26.0491, 	1, 	12, 	2.128, 	(0.512741,0.264961);
19:03:58.512, 	1, 	1, 	21.9636, 	13.8593, 	0, 	8, 	1.824, 	(-0.576247,-1.41151);(1.41618,1.21433);(-1.69128,0.924311);(-0.0889031,-1.70038);
19:03:58.537, 	1, 	2, 	18.4167, 	24.7021, 	1, 	8, 	2.128, 	(0.546835,-0.659125);
19:03:58.555, 	1, 	2, 	21.754, 	25.1397, 	1, 	4, 	2.128, 	(-0.40922,0.525412);
19:03:58.572, 	1, 	1, 	22.216, 	16.8143, 	0, 	4, 	1.824, 	(-0.528739,1.46289);(-0.423246,-1.81394);(1.16002,0.0993239);(-0.538199,0.895638);
19:03:58.595, 	1, 	2, 	22.1708, 	25.8154, 	1, 	-1.249e-14, 	2.128, 	(-0.669948,-0.460583);
19:03:58.613, 	1, 	1, 	21.8238, 	15.7714, 	0, 	-1.249e-14, 	1.824, 	(1.43679,0.592454);(-2.04566,0.255818);(0.376529,-1.61596);(1.18691,0.896665);
19:03:58.633, 	1, 	1, 	20.0552, 	14.8284, 	0, 	-1.249e-14, 	1.52, 	(-0.173696,1.15127);(-0.577388,-1.80791);(2.05441,0.194713);(-0.811728,1.61455);
19:03:58.656, 	1, 	2, 	20.7801, 	25.8757, 	1, 	-1.249e-14, 	1.824, 	(-0.735499,-0.347254);
19:03:58.673, 	1, 	1, 	20.7261, 	14.6678, 	0, 	-1.249e-14, 	1.52, 	(-1.067,-1.01793);(1.93924,0.463205);(-1.05257,1.54778);(-0.932157,-1.38151);
19:03:58.693, 	1, 	1, 	21.791, 	15.1525, 	0, 	-1.249e-14, 	1.216, 	(0.535328,1.10656);(-1.28236,-0.631334);(0.335418,-0.402434);(0.176681,0.453988);
19:03:58.717, 	1, 	2, 	20.5673, 	26.2455, 	1, 	-1.249e-14, 	1.52, 	(-0.640704,0.578623);
19:03:58.734, 	1, 	1, 	21.5493, 	15.835, 	0, 	-1.249e-14, 	1.216, 	(1.29148,0.764334);(-1.87831,0.246829);(0.231019,-1.02646);(0.786721,0.58039);
19:03:58.754, 	1, 	1, 	21.9645, 	15.5375, 	0, 	-1.249e-14, 	0.912, 	(1.47638,0.648605);(-1.93149,0.173703);(0.54275,-1.86493);(1.34223,0.980501);
19:03:58.777, 	1, 	2, 	22.4698, 	26.1642, 	1, 	-1.249e-14, 	1.216, 	(-0.720051,-0.0631296);
19:03:58.794, 	1, 	1, 	22.0859, 	16.8867, 	0, 	-1.249e-14, 	0.912, 	(0.866133,-1.33457);(0.00606981,1.8985);(-1.39473,-0.46731);(0.806826,-0.967245);
19:03:58.814, 	1, 	1, 	21.9883, 	13.4442, 	0, 	-1.249e-14, 	0.912, 	(-1.14838,0.96184);(0.688008,-1.76279);(1.60526,1.41903);(-1.57214,0.88471);
19:03:58.838, 	1, 	2, 	17.7593, 	24.1364, 	1, 	-1.249e-14, 	1.216, 	(-0.0990074,-0.874289);
19:03:58.854, 	1, 	1, 	21.9141, 	14.5738, 	0, 	-1.249e-14, 	0.912, 	(1.21454,0.114242);(-1.1496,0.804806);(-0.226468,-0.470786);(0.466173,0.0373633);
19:03:58.878, 	1, 	2, 	21.0591, 	25.3275, 	1, 	-1.249e-14, 	1.216, 	(0.609382,-0.0161252);
19:03:58.898, 	1, 	2, 	21.9239, 	25.3784, 	1, 	-1.249e-14, 	1.52, 	(0.479038,0.00392977);
19:03:58.914, 	1, 	1, 	22.2149, 	15.5843, 	0, 	-1.249e-14, 	1.216, 	(1.20264,0.947557);(-1.92926,-0.257634);(0.795116,-1.83595);(1.27598,1.14933);
19:03:58.938, 	1, 	2, 	19.7169, 	26.0183, 	1, 	-1.249e-14, 	1.52, 	(-0.893395,0.120544);
19:03:58.959, 	1, 	2, 	22.3423, 	26.1018, 	1, 	-1.249e-14, 	1.824, 	(0.0868206,0.880823);
19:03:58.975, 	1, 	1, 	23.1765, 	18.674, 	0, 	-1.249e-14, 	1.52, 	(1.35284,0.478151);(-1.7015,0.668062);(-0.231051,-1.06325);(0.993063,0.172883);
19:03:58.999, 	1, 	2, 	19.8919, 	25.0248, 	1, 	-1.249e-14, 	1.824, 	(-0.888523,-0.016803);
19:03:59.019, 	1, 	2, 	23.6202, 	25.3594, 	1, 	-1.249e-14, 	2.128, 	(0.668897,-0.0751484);
19:03:59.035, 	1, 	1, 	23.3575, 	16.23, 	0, 	-1.249e-14, 	1.824, 	(-1.28468,0.351717);(1.24575,-1.38821);(1.25881,1.79854);(-1.78779,0.639124);
19:03:59.059, 	1, 	2, 	22.0655, 	26.3527, 	1, 	-1.249e-14, 	2.128, 	(0.0812003,0.4325);
19:03:59.079, 	1, 	2, 	19.0536, 	25.5445, 	1, 	-1.249e-14, 	2.128, 	(0.327818,-0.81624);
19:03:59.096, 	1, 	1, 	24.3655, 	17.3314, 	0, 	-1.249e-14, 	1.824, 	(1.56478,-0.302114);(-1.24656,1.67282);(-1.06676,-1.12585);(1.25167,-0.686368);
19:03:59.121, 	1, 	2, 	22.4852, 	26.1145, 	1, 	-1.249e-14, 	2.128, 	(-0.238617,0.478584);
19:03:59.136, 	1, 	1, 	23.7652, 	17.3147, 	0, 	-1.249e-14, 	1.824, 	(0.581974,1.32004);(-1.78625,-0.653527);(0.454729,-0.869833);(0.64386,0.63629);
19:03:59.155, 	1, 	1, 	24.5547, 	19.6333, 	0, 	-1.249e-14, 	1.52, 	(0.796814,-1.01827);(0.274057,1.60563);(-0.70853,0.0928583);(0.150875,-0.647852);
19:03:59.181, 	1, 	2, 	23.6133, 	25.5151, 	1, 	-1.249e-14, 	1.824, 	(0.412317,-0.484437);
19:03:59.196, 	1, 	1, 	24.6239, 	20.797, 	0, 	-1.249e-14, 	1.52, 	(1.49154,0.351336);(-1.63567,1.22002);(-0.597377,-1.12824);(1.12884,-0.274084);
19:03:59.216, 	1, 	1, 	24.9729, 	16.0344, 	0, 	-1.249e-14, 	1.216, 	(1.43828,-0.438721);(-0.660725,1.72634);(-0.823419,-0.439223);(0.604088,-0.676622);
19:03:59.241, 	1, 	2, 	24.3751, 	25.5524, 	1, 	-1.249e-14, 	1.52, 	(0.370316,0.632307);
19:03:59.256, 	1, 	1, 	23.0377, 	16.3529, 	0, 	-1.249e-14, 	1.216, 	(0.710097,0.991577);(-1.39435,-0.0513406);(-0.0033567,-0.403378);(0.383245,0.135702);
19:03:59.276, 	1, 	1, 	23.8083, 	20.0169, 	0, 	-1.249e-14, 	0.912, 	(-0.634245,1.48372);(-0.859524,-1.85296);(1.19717,-0.369934);(0.143461,1.18111);
19:03:59.301, 	1, 	2, 	26.1553, 	25.7604, 	1, 	-1.249e-14, 	1.216, 	(-0.800894,0.0170039);
