(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:09:18.979, 	1, 	1, 	23.178, 	15.3508, 	0, 	-1.38778e-15, 	2.736, 	(0.26591,-0.699697);(-1.23171,0.229345);(1.6251,0.286032);(-1.62318,-0.222594);
14:09:35.608, 	1, 	2, 	17.8454, 	20.6406, 	1, 	-1.38778e-15, 	2.736, 	(-0.658064,-0.0549979);
14:09:35.648, 	1, 	2, 	21.6861, 	25.4163, 	1, 	-1.38778e-15, 	2.736, 	(0.656398,0.369724);
14:09:35.669, 	1, 	2, 	18.1955, 	22.5822, 	1, 	-1.38778e-15, 	2.736, 	(0.331738,0.595523);
14:09:35.689, 	1, 	2, 	20.3025, 	24.0802, 	1, 	-1.38778e-15, 	2.736, 	(0.0824708,-0.737684);
14:09:35.710, 	1, 	2, 	23.0366, 	25.8633, 	1, 	-1.38778e-15, 	2.736, 	(0.410145,0.421098);
14:09:35.729, 	1, 	2, 	17.9117, 	21.8067, 	1, 	-1.38778e-15, 	2.736, 	(-0.0526522,-0.661402);
14:09:35.749, 	1, 	2, 	20.0513, 	24.0835, 	1, 	-1.38778e-15, 	2.736, 	(0.640038,-0.410246);
14:09:35.770, 	1, 	2, 	21.8614, 	24.2923, 	1, 	-1.38778e-15, 	2.736, 	(-0.571741,-0.213742);
14:09:35.789, 	1, 	2, 	22.8857, 	25.7814, 	1, 	-1.38778e-15, 	2.736, 	(-0.745169,-0.155527);
14:09:35.810, 	1, 	2, 	22.6069, 	25.6047, 	1, 	-1.38778e-15, 	3.04, 	(0.686075,-0.132244);
14:09:35.830, 	1, 	2, 	21.252, 	25.3754, 	1, 	-1.38778e-15, 	3.04, 	(-0.580557,-0.515912);
14:09:35.850, 	1, 	2, 	23.7132, 	24.9807, 	1, 	-1.38778e-15, 	3.04, 	(0.439518,0.257061);
14:09:35.870, 	1, 	2, 	19.266, 	23.4084, 	1, 	-1.38778e-15, 	3.04, 	(0.286573,0.711753);
14:09:35.890, 	1, 	2, 	22.5181, 	25.1249, 	1, 	-1.38778e-15, 	3.04, 	(0.293772,0.728159);
14:09:35.911, 	1, 	2, 	23.9819, 	25.1716, 	1, 	-1.38778e-15, 	3.04, 	(0.559459,0.543816);
14:09:35.931, 	1, 	2, 	23.9046, 	26.2967, 	1, 	-1.38778e-15, 	3.04, 	(-0.425965,-0.577401);
14:09:35.951, 	1, 	2, 	21.1895, 	26.1853, 	1, 	-1.38778e-15, 	3.04, 	(0.274626,0.741666);
14:09:35.971, 	1, 	2, 	23.5297, 	24.8018, 	1, 	-1.38778e-15, 	3.04, 	(-0.022581,0.500288);
14:09:35.991, 	1, 	2, 	24.786, 	24.743, 	1, 	-1.38778e-15, 	3.04, 	(0.346177,-0.629512);
14:09:36.011, 	1, 	2, 	25.9761, 	24.8429, 	1, 	-1.38778e-15, 	3.04, 	(-0.473934,0.397237);
14:09:36.032, 	1, 	2, 	25.3525, 	25.0817, 	1, 	-1.38778e-15, 	3.04, 	(0.12562,-0.755312);
14:09:36.052, 	1, 	2, 	23.7536, 	24.7452, 	1, 	-1.38778e-15, 	3.04, 	(-0.649913,-0.256407);
14:09:36.072, 	1, 	2, 	23.3344, 	25.4824, 	1, 	-1.38778e-15, 	3.04, 	(0.324303,-0.501732);
14:09:36.093, 	1, 	2, 	23.7062, 	26.5974, 	1, 	-1.38778e-15, 	3.04, 	(-0.0246056,0.779276);
14:09:36.113, 	1, 	2, 	20.5713, 	24.8516, 	1, 	-1.38778e-15, 	3.04, 	(-0.784377,0.0559379);
14:09:36.133, 	1, 	2, 	22.4597, 	25.5406, 	1, 	-1.38778e-15, 	3.04, 	(-0.281106,0.51114);
14:09:36.153, 	1, 	2, 	23.2905, 	21.9953, 	1, 	-1.38778e-15, 	3.04, 	(0.501002,0.33206);
14:09:36.174, 	1, 	2, 	21.464, 	24.7597, 	1, 	-1.38778e-15, 	3.04, 	(-0.751696,0.311478);
14:09:36.194, 	1, 	2, 	24.0614, 	24.9401, 	1, 	-1.38778e-15, 	3.04, 	(0.604021,0.115496);
14:09:36.218, 	1, 	2, 	18.9621, 	21.52, 	1, 	-1.38778e-15, 	3.04, 	(0.466128,0.592647);
14:09:36.235, 	1, 	2, 	23.7804, 	25.2072, 	1, 	-1.38778e-15, 	3.04, 	(0.664435,0.26337);
14:09:36.254, 	1, 	2, 	24.0612, 	26.0343, 	1, 	-1.38778e-15, 	3.04, 	(0.115982,0.839272);
14:09:36.275, 	1, 	2, 	18.5303, 	21.1616, 	1, 	-1.38778e-15, 	3.04, 	(-0.611036,0.48375);
14:09:36.295, 	1, 	2, 	24.6955, 	24.9644, 	1, 	-1.38778e-15, 	3.04, 	(0.733809,0.123013);
14:09:36.315, 	1, 	2, 	24.1532, 	25.7398, 	1, 	-1.38778e-15, 	3.04, 	(0.765147,-0.381959);
