(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:14:23.581, 	1, 	1, 	20.5084, 	13.8849, 	0, 	-1.249e-14, 	2.736, 	(-0.405156,-0.898887);(-0.443868,1.06356);(0.660202,-0.759218);(-0.667075,0.782671);
14:14:47.132, 	0, 	2, 	19.3347, 	14.4625, 	0, 	-1.249e-14, 	2.736, 	(0.0523846,0.0644121);
14:14:47.172, 	1, 	2, 	18.3922, 	21.322, 	1, 	4, 	2.432, 	(0.580877,-0.220068);
14:14:47.189, 	1, 	1, 	20.3648, 	14.9221, 	0, 	4, 	2.128, 	(-0.867461,0.333867);(1.23498,0.645481);(-1.09966,-1.23794);(0.980796,1.21317);
14:14:47.212, 	1, 	2, 	20.2338, 	24.2274, 	1, 	4, 	2.128, 	(0.493959,-0.492766);
14:14:47.232, 	1, 	2, 	19.8416, 	25.2005, 	1, 	4, 	2.128, 	(0.0855651,0.487576);
14:14:47.252, 	1, 	2, 	17.6715, 	21.8646, 	1, 	4, 	2.128, 	(-0.600391,-0.240325);
14:14:47.272, 	1, 	2, 	20.0162, 	25.0783, 	1, 	4, 	2.128, 	(0.562869,0.289969);
14:14:47.292, 	1, 	2, 	20.7944, 	25.6305, 	1, 	4, 	2.128, 	(0.304508,0.479493);
14:14:47.313, 	1, 	2, 	22.0147, 	25.6035, 	1, 	4, 	2.128, 	(0.655225,0.26529);
14:14:47.337, 	1, 	2, 	21.6105, 	25.436, 	1, 	4, 	2.432, 	(0.426512,-0.523722);
14:14:47.353, 	1, 	2, 	22.902, 	25.1294, 	1, 	4, 	2.736, 	(-0.534214,-0.287703);
14:14:47.373, 	1, 	2, 	23.7784, 	24.7801, 	1, 	4, 	2.736, 	(-0.51298,-0.115376);
14:14:47.393, 	1, 	2, 	23.2865, 	24.7175, 	1, 	4, 	3.04, 	(-0.30628,0.634933);
