(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 09-21-2023 14:17:58time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
14:17:58.373, 	1, 	2, 	14.3943, 	14.874, 	1, 	0, 	3.04, 	(0.045064,0.106068);
14:17:58.392, 	1, 	2, 	16.3952, 	17.0968, 	1, 	0, 	3.04, 	(0.159227,-0.0957228);
14:17:58.413, 	1, 	2, 	14.2882, 	24.9359, 	1, 	0, 	3.04, 	(0.511932,-0.26426);
14:17:58.432, 	1, 	2, 	15.6995, 	24.5501, 	1, 	0, 	3.04, 	(0.5348,0.354641);
14:17:58.453, 	1, 	2, 	15.9304, 	24.3531, 	1, 	0, 	3.04, 	(-0.0538141,-0.64018);
14:17:58.479, 	1, 	2, 	13.5266, 	22.5594, 	1, 	0, 	3.04, 	(-0.442763,-0.406399);
14:17:58.493, 	1, 	2, 	15.3126, 	24.6005, 	1, 	0, 	3.04, 	(0.338221,0.528057);
14:17:58.513, 	1, 	2, 	14.1772, 	24.3597, 	1, 	0, 	3.04, 	(0.0980696,-0.634414);
14:17:58.534, 	1, 	2, 	14.3996, 	21.6017, 	1, 	0, 	3.04, 	(0.0901404,-0.551008);
14:17:58.554, 	1, 	2, 	15.1694, 	22.8934, 	1, 	0, 	3.04, 	(-0.546952,-0.265102);
14:17:58.574, 	1, 	2, 	14.672, 	23.9529, 	1, 	0, 	3.04, 	(0.0549757,0.629495);
14:17:58.594, 	1, 	2, 	13.5883, 	24.8437, 	1, 	0, 	3.04, 	(0.380941,-0.513436);
14:17:58.614, 	1, 	2, 	14.6142, 	24.8401, 	1, 	0, 	3.04, 	(0.415259,-0.462213);
14:17:58.634, 	1, 	2, 	14.7022, 	23.8199, 	1, 	0, 	3.04, 	(0.287216,-0.554617);
14:17:58.655, 	1, 	2, 	14.0748, 	18.3036, 	1, 	0, 	3.04, 	(-0.455125,0.173772);
14:17:58.675, 	1, 	2, 	14.9392, 	18.3036, 	1, 	0, 	3.04, 	(-0.455125,0.173772);
14:17:58.695, 	1, 	2, 	14.6013, 	24.0817, 	1, 	0, 	3.04, 	(0.235963,-0.54497);
14:17:58.715, 	1, 	2, 	14.3352, 	24.5503, 	1, 	0, 	3.04, 	(0.148592,0.624944);
14:17:58.736, 	1, 	2, 	14.6082, 	20.0424, 	1, 	0, 	3.04, 	(0.508054,-0.118106);
14:17:58.756, 	1, 	2, 	14.572, 	21.5962, 	1, 	0, 	3.04, 	(0.588584,0.00226217);
14:17:58.776, 	1, 	2, 	14.8098, 	24.0419, 	1, 	0, 	3.04, 	(0.579481,0.0953545);
14:17:58.796, 	1, 	2, 	15.1376, 	24.0419, 	1, 	0, 	3.04, 	(0.579481,0.0953545);
14:17:58.816, 	1, 	2, 	15.5376, 	24.9388, 	1, 	0, 	3.04, 	(0.491932,-0.435456);
14:17:58.836, 	1, 	2, 	14.2006, 	24.4676, 	1, 	0, 	3.04, 	(0.548033,0.313926);
14:17:58.856, 	1, 	2, 	14.5918, 	24.3473, 	1, 	0, 	3.04, 	(0.504656,-0.442509);
14:17:58.877, 	1, 	2, 	13.9015, 	20.444, 	1, 	0, 	3.04, 	(-0.479255,-0.0249032);
14:17:58.901, 	1, 	2, 	16.1716, 	24.0854, 	1, 	0, 	3.04, 	(0.655762,0.0204847);
14:17:58.917, 	1, 	2, 	15.9594, 	24.2151, 	1, 	0, 	3.04, 	(-0.334067,0.513109);
14:17:58.938, 	1, 	2, 	15.3325, 	25.1634, 	1, 	0, 	3.04, 	(-0.187686,0.524305);
14:17:58.957, 	1, 	2, 	15.078, 	24.8246, 	1, 	0, 	3.04, 	(0.131749,0.653895);
14:17:58.978, 	1, 	2, 	14.7324, 	21.5426, 	1, 	0, 	3.04, 	(0.276905,0.535189);
14:17:58.998, 	0, 	2, 	4.42753, 	10.6616, 	1, 	0, 	3.04, 	(0.126176,0.244623);
14:17:59.018, 	1, 	2, 	15.6058, 	19.7207, 	1, 	4, 	2.736, 	(-0.188233,-0.454568);
14:17:59.033, 	0, 	1, 	14.5277, 	8.87112, 	1, 	4, 	2.736, 	(-1.28549,0.136306);(1.5018,-0.313798);(-0.691827,0.910957);(0.00197724,-0.98708);
14:17:59.059, 	1, 	2, 	15.9272, 	22.7141, 	1, 	8, 	2.432, 	(0.406267,0.511966);
14:17:59.199, 	1, 	2, 	13.5067, 	21.9005, 	1, 	8, 	2.432, 	(0.576993,0.272889);
14:17:59.220, 	1, 	2, 	14.7048, 	24.7704, 	1, 	8, 	2.432, 	(-0.610359,-0.00331574);
