2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-22.21278725922066, 	-60, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-59, 	14.1678, 	1, 	2.432
2, 	-22.21278725922066, 	-58, 	0, 	0, 	2.432
2, 	-22.21278725922066, 	-57, 	23.8771, 	1, 	2.432
2, 	-22.21278725922066, 	-56, 	25.3419, 	1, 	2.432
2, 	-22.21278725922066, 	-55, 	21.6234, 	1, 	2.432
2, 	-22.21278725922066, 	-54, 	24.0189, 	1, 	2.432
2, 	-22.21278725922066, 	-53, 	23.871, 	1, 	2.432
2, 	-22.21278725922066, 	-52, 	23.9694, 	1, 	2.432
2, 	-61.9835, 	-51, 	23.9242, 	1, 	2.736
2, 	-61.9835, 	-50, 	23.9046, 	1, 	2.736
2, 	-63.9534, 	-49, 	24.1208, 	1, 	3.04
2, 	-63.9534, 	-48, 	24.5366, 	1, 	3.04
2, 	-61.9835, 	-47, 	22.0425, 	1, 	3.04
2, 	-61.9835, 	-46, 	24.2222, 	1, 	3.04
2, 	-61.9835, 	-45, 	23.5671, 	1, 	3.04
2, 	-61.9835, 	-44, 	18.6779, 	1, 	3.04
2, 	-61.9835, 	-43, 	23.6353, 	1, 	3.04
2, 	-61.9835, 	-42, 	23.478, 	1, 	3.04
2, 	-61.9835, 	-41, 	23.5472, 	1, 	3.04
2, 	-61.9835, 	-40, 	23.7335, 	1, 	3.04
2, 	-61.9835, 	-39, 	23.1037, 	1, 	3.04
2, 	-61.9835, 	-38, 	22.6665, 	1, 	3.04
2, 	-60.1334, 	-37, 	23.1868, 	1, 	3.04
2, 	-60.1334, 	-36, 	22.3711, 	1, 	3.04
2, 	-60.1334, 	-35, 	22.1916, 	1, 	3.04
2, 	-60.1334, 	-34, 	17.9989, 	0, 	3.04
2, 	-58.382, 	-33, 	22.3025, 	1, 	2.736
2, 	-58.382, 	-32, 	20.1958, 	1, 	2.736
2, 	-58.382, 	-31, 	20.7235, 	1, 	2.736
2, 	-58.382, 	-30, 	20.3452, 	1, 	2.736
2, 	-58.382, 	-29, 	19.1997, 	1, 	2.736
2, 	-58.382, 	-28, 	21.0822, 	1, 	2.736
2, 	-56.7136, 	-27, 	20.2094, 	1, 	2.736
2, 	-56.7136, 	-26, 	18.984, 	1, 	2.736
2, 	-58.382, 	-25, 	0, 	0, 	2.736
2, 	-58.382, 	-24, 	15.1398, 	0, 	2.736
2, 	-58.382, 	-23, 	12.1915, 	0, 	2.432
2, 	-58.382, 	-22, 	17.2731, 	0, 	2.432
2, 	-58.382, 	-21, 	15.4299, 	0, 	2.128
2, 	-60.1334, 	-20, 	15.5067, 	0, 	1.824
2, 	-60.1334, 	-19, 	14.6054, 	0, 	1.52
2, 	-58.382, 	-18, 	13.8111, 	0, 	1.216
2, 	-58.382, 	-17, 	12.3431, 	0, 	0.912
2, 	-60.1334, 	-16, 	14.9503, 	0, 	0.608
2, 	-60.1334, 	-15, 	13.8104, 	0, 	0.304
2, 	-60.1334, 	-14, 	12.5639, 	0, 	-6.39488e-16
2, 	-60.1334, 	-13, 	12.5639, 	0, 	-6.39488e-16
2, 	-60.1334, 	-12, 	15.6393, 	0, 	-6.39488e-16
2, 	-60.1334, 	-11, 	16.3146, 	0, 	-6.39488e-16
2, 	-56.7136, 	-10, 	16.6003, 	1, 	0.304
2, 	-56.7136, 	-9, 	16.5462, 	1, 	0.608
2, 	-58.382, 	-8, 	17.2294, 	1, 	0.912
2, 	-58.382, 	-7, 	16.1313, 	0, 	0.912
2, 	-56.7136, 	-6, 	17.7068, 	1, 	1.216
2, 	-56.7136, 	-5, 	18.8447, 	1, 	1.52
2, 	-56.7136, 	-4, 	18.4444, 	1, 	1.824
2, 	-56.7136, 	-3, 	0, 	0, 	1.824
2, 	-56.7136, 	-2, 	17.8267, 	1, 	2.128
2, 	-60.1334, 	-1, 	18.4466, 	1, 	2.432
2, 	-60.1334, 	0, 	13.7281, 	0, 	2.432
2, 	-56.7136, 	1, 	17.6436, 	1, 	2.432
2, 	-56.7136, 	2, 	17.5183, 	1, 	2.432
2, 	-58.382, 	3, 	17.7549, 	0, 	2.432
2, 	-58.382, 	4, 	16.9247, 	0, 	2.128
2, 	-58.382, 	5, 	13.7226, 	1, 	2.128
2, 	-58.382, 	6, 	14.6966, 	0, 	2.128
2, 	-53.5801, 	7, 	13.1532, 	0, 	1.824
2, 	-53.5801, 	8, 	12.8244, 	0, 	1.52
2, 	-55.1161, 	9, 	8.31654, 	0, 	1.216
2, 	-55.1161, 	10, 	11.985, 	0, 	0.912
2, 	-55.1161, 	11, 	10.4118, 	0, 	0.912
2, 	-55.1161, 	12, 	9.35794, 	0, 	0.608
2, 	-56.7136, 	13, 	6.20138, 	0, 	0.304
2, 	-56.7136, 	14, 	6.40876, 	0, 	0.304
2, 	-53.5801, 	15, 	6.94858, 	0, 	0.304
2, 	-53.5801, 	16, 	6.94858, 	0, 	-6.39488e-16
2, 	-55.1161, 	17, 	7.458, 	0, 	-6.39488e-16
2, 	-55.1161, 	18, 	8.30653, 	0, 	-6.39488e-16
2, 	-56.7136, 	19, 	9.72912, 	0, 	-6.39488e-16
2, 	-56.7136, 	20, 	11.2865, 	0, 	-6.39488e-16
