(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);19:20:12.737, 	1, 	1, 	19.4662, 	16.0112, 	0, 	-1.249e-14, 	1.216, 	(-0.525918,0.330803);(0.976672,0.348617);(-1.22463,-1.19419);(1.29047,1.08251);
19:21:09.676, 	1, 	2, 	15.5764, 	23.3954, 	1, 	-1.249e-14, 	1.52, 	(-0.360813,-0.171075);
19:21:09.693, 	1, 	1, 	14.9387, 	11.2477, 	0, 	-1.249e-14, 	1.52, 	(0.748532,-0.589967);(-1.18464,0.566231);(0.567713,-0.857177);(-0.038437,0.941736);
19:21:09.716, 	1, 	2, 	12.9396, 	19.4802, 	1, 	-1.249e-14, 	1.52, 	(0.425872,-0.0391654);
19:21:09.736, 	1, 	2, 	14.3491, 	21.3382, 	1, 	-1.249e-14, 	1.824, 	(0.494625,-0.0808022);
19:21:09.752, 	1, 	1, 	14.8062, 	12.6126, 	0, 	-1.249e-14, 	1.52, 	(-0.524766,0.216437);(0.948346,0.161588);(-1.24668,0.492121);(0.666241,-1.01601);
19:21:09.778, 	1, 	2, 	13.7951, 	18.3976, 	1, 	-1.249e-14, 	1.52, 	(0.391681,-0.0236596);
19:21:09.813, 	1, 	1, 	14.7962, 	18.3976, 	0, 	-1.249e-14, 	1.52, 	(0.391681,-0.0236596);
19:21:09.836, 	1, 	2, 	15.1364, 	23.6011, 	1, 	-1.249e-14, 	1.52, 	(-0.261638,-0.390157);
19:21:09.853, 	0, 	1, 	14.7228, 	7.84385, 	1, 	-1.249e-14, 	1.52, 	(-0.200231,-0.871426);(-0.0658392,1.36157);(-0.472234,-0.879997);(0.895268,0.435537);
19:21:09.873, 	1, 	1, 	14.813, 	9.72155, 	0, 	4, 	1.52, 	(0.799173,0.0546626);(-1.16213,-0.437421);(1.34127,-0.197713);(-0.917919,0.864631);
19:21:09.897, 	1, 	2, 	14.9127, 	22.4623, 	1, 	4, 	1.52, 	(0.439764,-0.267897);
19:21:09.913, 	1, 	1, 	14.5039, 	6.52537, 	0, 	4, 	1.52, 	(-0.398476,-0.394088);(0.355704,0.944667);(-1.02702,-0.90659);(1.25309,0.116653);
19:21:09.934, 	1, 	1, 	14.7659, 	10.0044, 	0, 	4, 	1.216, 	(0.423339,-0.583355);(-0.851398,0.703888);(0.579264,-1.27461);(0.256626,1.26179);
19:21:09.957, 	1, 	2, 	13.808, 	24.0511, 	1, 	4, 	1.216, 	(-0.201644,0.515501);
19:21:09.974, 	1, 	1, 	13.2576, 	7.80264, 	0, 	4, 	1.216, 	(-0.308129,0.821748);(0.734112,-1.09758);(-0.0819886,1.28543);(-0.645383,-1.01588);
19:21:09.994, 	0, 	1, 	13.1012, 	9.55581, 	0, 	4, 	1.216, 	(0.295927,-0.539585);(-0.678126,0.690173);(0.40733,-1.33445);(0.438135,1.19214);
19:21:10.018, 	1, 	2, 	13.2898, 	24.4264, 	1, 	8, 	1.216, 	(-0.316083,-0.482465);
19:21:10.034, 	1, 	1, 	12.44, 	5.15089, 	0, 	8, 	0.912, 	(0.157912,0.379054);(-0.0593064,-0.615502);(0.593086,1.064);(-1.00784,-0.428304);
19:21:10.058, 	1, 	2, 	12.7458, 	22.9004, 	1, 	8, 	1.216, 	(0.246334,0.487288);
19:21:10.078, 	1, 	2, 	13.3065, 	22.9298, 	1, 	8, 	1.52, 	(0.497041,0.257649);
19:21:10.118, 	1, 	2, 	13.501, 	24.4338, 	1, 	8, 	1.52, 	(0.275344,-0.426927);
19:21:10.139, 	1, 	2, 	12.7602, 	22.4169, 	1, 	8, 	1.824, 	(0.401249,0.317908);
19:21:10.155, 	1, 	1, 	14.7992, 	9.59147, 	0, 	8, 	1.824, 	(-0.395458,-0.924067);(0.304988,1.32201);(-0.857803,-0.805095);(1.04356,0.210241);
19:21:10.179, 	1, 	2, 	13.4869, 	18.8214, 	1, 	8, 	1.824, 	(-0.448988,-0.0154141);
19:21:10.199, 	1, 	2, 	13.6366, 	23.791, 	1, 	8, 	2.128, 	(0.261529,-0.482659);
19:21:10.215, 	1, 	1, 	14.4896, 	11.4092, 	0, 	8, 	2.128, 	(-0.292894,0.963217);(0.590765,-1.19035);(0.148531,1.31154);(-0.738136,-0.946041);
19:21:10.239, 	1, 	2, 	14.5956, 	24.194, 	1, 	8, 	2.128, 	(-0.586111,0.0391747);
19:21:10.259, 	1, 	2, 	15.8202, 	24.2113, 	1, 	8, 	2.432, 	(-0.384439,0.441091);
19:21:10.276, 	1, 	1, 	14.7021, 	8.28759, 	0, 	8, 	2.128, 	(0.935022,-0.0430858);(-1.29117,-0.175456);(1.23113,-0.605048);(-0.662673,1.11497);
19:21:10.300, 	1, 	2, 	14.7646, 	23.7342, 	1, 	8, 	2.128, 	(0.0856527,0.519869);
