2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-40.4239, 	-40.4239, 	26.1534, 	1, 	1.52
2, 	-40.4239, 	-40.4239, 	0, 	0, 	1.52
2, 	-40.4239, 	-40.4239, 	14.5114, 	0, 	1.52
2, 	-40.4239, 	-40.4239, 	15.2801, 	0, 	1.52
1, 	-40.4239, 	-40.4239, 	11.6139, 	0, 	1.216
2, 	-40.4239, 	-40.4239, 	15.5014, 	0, 	0.912
2, 	-40.4239, 	-40.4239, 	15.2618, 	0, 	0.912
1, 	-40.4239, 	-40.4239, 	-0.277243, 	0, 	0.608
2, 	-40.4239, 	-40.4239, 	15.4321, 	0, 	0.304
2, 	-40.4239, 	-40.4239, 	15.9496, 	0, 	0.304
1, 	-40.4239, 	-40.4239, 	9.2426, 	0, 	-7.10543e-17
1, 	60.1334, 	60.1334, 	0, 	0, 	-7.10543e-17
2, 	60.1334, 	60.1334, 	14.9766, 	0, 	-7.10543e-17
1, 	60.1334, 	60.1334, 	7.91516, 	1, 	-7.10543e-17
2, 	63.9534, 	63.9534, 	22.3078, 	1, 	0.304
1, 	63.9534, 	63.9534, 	12.7594, 	0, 	0.304
1, 	63.9534, 	63.9534, 	8.75417, 	0, 	0.304
2, 	63.9534, 	63.9534, 	24.6993, 	1, 	0.608
1, 	63.9534, 	63.9534, 	6.1405, 	1, 	0.608
1, 	63.9534, 	63.9534, 	7.32493, 	1, 	0.608
2, 	63.9534, 	63.9534, 	25.2849, 	1, 	0.912
1, 	63.9534, 	63.9534, 	7.12312, 	0, 	0.912
1, 	66.0729, 	66.0729, 	7.78638, 	1, 	1.216
1, 	66.0729, 	66.0729, 	7.59537, 	1, 	0.912
2, 	63.9534, 	63.9534, 	23.1787, 	1, 	1.216
1, 	63.9534, 	63.9534, 	8.05078, 	0, 	1.216
2, 	63.9534, 	63.9534, 	24.2888, 	1, 	1.216
2, 	63.9534, 	63.9534, 	21.8613, 	1, 	1.52
2, 	63.9534, 	63.9534, 	0, 	0, 	1.52
2, 	63.9534, 	63.9534, 	20.2063, 	1, 	1.824
1, 	63.9534, 	63.9534, 	7.4355, 	0, 	1.824
1, 	63.9534, 	63.9534, 	0, 	0, 	1.824
2, 	63.9534, 	63.9534, 	24.6298, 	1, 	1.824
1, 	63.9534, 	63.9534, 	8.45756, 	0, 	1.824
2, 	63.9534, 	63.9534, 	23.4361, 	1, 	1.824
2, 	63.9534, 	63.9534, 	23.8272, 	1, 	2.128
1, 	63.9534, 	63.9534, 	9.54698, 	1, 	1.824
2, 	66.0729, 	66.0729, 	24.4419, 	1, 	2.128
2, 	66.0729, 	66.0729, 	24.4419, 	1, 	2.128
1, 	63.9534, 	63.9534, 	9.19716, 	1, 	1.824
2, 	63.9534, 	63.9534, 	24.6385, 	1, 	1.824
1, 	63.9534, 	63.9534, 	8.46335, 	1, 	1.824
1, 	63.9534, 	63.9534, 	8.42034, 	0, 	1.824
2, 	60.1334, 	60.1334, 	23.1614, 	1, 	1.824
1, 	60.1334, 	60.1334, 	10.2604, 	1, 	1.52
1, 	60.1334, 	60.1334, 	8.60376, 	0, 	1.52
2, 	61.9835, 	61.9835, 	25.146, 	1, 	1.52
1, 	61.9835, 	61.9835, 	9.5153, 	0, 	1.52
1, 	61.9835, 	61.9835, 	9.15915, 	0, 	1.216
1, 	60.1334, 	60.1334, 	7.39911, 	0, 	0.912
1, 	60.1334, 	60.1334, 	7.10114, 	0, 	0.912
2, 	61.9835, 	61.9835, 	25.2161, 	1, 	0.912
1, 	61.9835, 	61.9835, 	6.20698, 	0, 	0.912
1, 	61.9835, 	61.9835, 	8.1202, 	0, 	0.912
2, 	60.1334, 	60.1334, 	24.2227, 	1, 	0.912
2, 	60.1334, 	60.1334, 	0, 	0, 	0.912
2, 	58.382, 	58.382, 	19.5813, 	1, 	1.216
1, 	58.382, 	58.382, 	7.05294, 	0, 	1.216
1, 	56.7136, 	56.7136, 	0, 	0, 	1.216
1, 	56.7136, 	56.7136, 	0, 	0, 	1.216
2, 	55.1161, 	55.1161, 	24.3505, 	1, 	1.216
2, 	55.1161, 	55.1161, 	0, 	0, 	1.216
1, 	55.1161, 	55.1161, 	8.26828, 	0, 	1.216
2, 	56.7136, 	56.7136, 	23.6121, 	1, 	1.52
2, 	56.7136, 	56.7136, 	24.5014, 	1, 	1.824
1, 	56.7136, 	56.7136, 	10.9784, 	0, 	1.824
1, 	55.1161, 	55.1161, 	9.50869, 	0, 	1.52
1, 	55.1161, 	55.1161, 	9.55024, 	0, 	1.52
1, 	55.1161, 	55.1161, 	7.94417, 	0, 	1.52
1, 	55.1161, 	55.1161, 	10.2853, 	0, 	1.216
1, 	53.5801, 	53.5801, 	10.196, 	0, 	0.912
1, 	53.5801, 	53.5801, 	8.71938, 	0, 	0.912
1, 	55.1161, 	55.1161, 	11.3905, 	0, 	0.608
1, 	55.1161, 	55.1161, 	13.5463, 	0, 	0.608
1, 	53.5801, 	53.5801, 	7.36506, 	0, 	0.304
1, 	52.098, 	52.098, 	0, 	0, 	0.304
1, 	52.098, 	52.098, 	11.1179, 	0, 	-7.10543e-17
1, 	52.098, 	52.098, 	0, 	0, 	-7.10543e-17
1, 	52.098, 	52.098, 	8.51017, 	0, 	-7.10543e-17
1, 	50.6636, 	50.6636, 	0, 	0, 	-7.10543e-17
1, 	50.6636, 	50.6636, 	8.81602, 	0, 	-7.10543e-17
1, 	52.098, 	52.098, 	0, 	0, 	-7.10543e-17
1, 	52.098, 	52.098, 	10.5908, 	0, 	-7.10543e-17
2, 	50.6636, 	50.6636, 	25.6838, 	1, 	0.304
1, 	50.6636, 	50.6636, 	11.0997, 	1, 	0.304
1, 	50.6636, 	50.6636, 	9.61152, 	0, 	0.304
2, 	50.6636, 	50.6636, 	24.7219, 	1, 	0.608
1, 	50.6636, 	50.6636, 	10.5246, 	0, 	0.608
1, 	50.6636, 	50.6636, 	13.6404, 	0, 	0.608
1, 	49.2717, 	49.2717, 	11.5925, 	1, 	0.608
1, 	49.2717, 	49.2717, 	11.1671, 	1, 	0.608
2, 	49.2717, 	49.2717, 	24.9356, 	1, 	0.912
1, 	49.2717, 	49.2717, 	11.7539, 	0, 	0.912
1, 	49.2717, 	49.2717, 	12.694, 	0, 	0.912
2, 	47.9181, 	47.9181, 	24.6203, 	1, 	0.912
1, 	47.9181, 	47.9181, 	12.2597, 	1, 	0.912
2, 	47.9181, 	47.9181, 	24.7259, 	1, 	0.912
2, 	47.9181, 	47.9181, 	24.614, 	1, 	1.216
1, 	47.9181, 	47.9181, 	10.1035, 	1, 	1.216
2, 	49.2717, 	49.2717, 	24.8675, 	1, 	1.52
2, 	49.2717, 	49.2717, 	24.7781, 	1, 	1.824
