(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:53:57.868, 	0, 	1, 	14.1468, 	9.45457, 	1, 	32, 	2.128, 	(0.0573579,-0.98428);(0.0515212,1.19291);(-0.436248,-0.856054);(0.603476,0.582467);
17:54:24.333, 	1, 	2, 	15.8113, 	24.2181, 	1, 	32, 	2.128, 	(-0.41398,-0.270646);
17:54:24.360, 	1, 	2, 	14.4883, 	22.6893, 	1, 	28, 	2.432, 	(-0.197482,-0.313978);
17:54:24.363, 	1, 	2, 	14.0253, 	22.1802, 	1, 	28, 	2.736, 	(0.00487255,-0.368533);
17:54:24.383, 	1, 	2, 	13.9149, 	18.8747, 	1, 	28, 	2.736, 	(0.265395,0.14441);
17:54:24.403, 	1, 	2, 	14.2089, 	22.0496, 	1, 	28, 	2.736, 	(-0.26062,-0.286615);
17:54:24.423, 	1, 	2, 	14.3496, 	20.7455, 	1, 	24, 	2.736, 	(-0.190071,0.356405);
17:54:24.443, 	1, 	2, 	13.9829, 	22.215, 	1, 	24, 	2.736, 	(-0.490627,0.127708);
17:54:24.466, 	1, 	2, 	12.8688, 	18.9203, 	1, 	20, 	2.736, 	(0.106481,0.354004);
17:54:24.484, 	1, 	2, 	12.7628, 	19.7567, 	1, 	16, 	2.736, 	(-0.362479,0.203132);
17:54:24.504, 	1, 	2, 	14.8313, 	24.1383, 	1, 	12, 	3.04, 	(-0.307133,0.406904);
17:54:24.524, 	1, 	2, 	14.1626, 	22.3433, 	1, 	12, 	3.04, 	(0.498115,-0.0967191);
17:54:24.544, 	1, 	2, 	12.1561, 	18.0791, 	1, 	12, 	3.04, 	(-0.211506,-0.273579);
17:54:24.564, 	1, 	2, 	12.257, 	19.4469, 	1, 	12, 	3.04, 	(0.232472,-0.347822);
17:54:24.584, 	1, 	2, 	14.4679, 	23.8651, 	1, 	8, 	3.04, 	(-0.114155,0.497421);
17:54:24.604, 	1, 	2, 	13.9401, 	23.8361, 	1, 	8, 	3.04, 	(0.000801653,-0.481733);
17:54:24.625, 	1, 	2, 	15.2529, 	19.7752, 	1, 	4, 	3.04, 	(0.310962,-0.0197491);
17:54:24.645, 	1, 	2, 	13.0476, 	18.8739, 	1, 	4, 	3.04, 	(-0.271965,-0.202095);
17:54:24.665, 	1, 	2, 	14.3493, 	23.6574, 	1, 	4, 	3.04, 	(0.0940606,0.452495);
17:54:24.686, 	1, 	2, 	14.461, 	23.1517, 	1, 	4, 	3.04, 	(-0.219897,-0.419486);
17:54:24.706, 	1, 	2, 	13.9445, 	23.6234, 	1, 	4, 	3.04, 	(-0.495709,-0.0908292);
17:54:24.727, 	1, 	2, 	13.0828, 	23.1837, 	1, 	4, 	3.04, 	(0.520053,0.0344214);
17:54:24.746, 	1, 	2, 	14.0043, 	19.8327, 	1, 	4, 	3.04, 	(-0.358396,0.232897);
17:54:24.766, 	1, 	2, 	14.2013, 	21.8584, 	1, 	4, 	3.04, 	(-0.444795,-0.261606);
17:54:24.792, 	1, 	2, 	15.1241, 	23.3759, 	1, 	4, 	3.04, 	(0.510142,-0.143342);
17:54:24.806, 	1, 	2, 	14.1359, 	24.8076, 	1, 	-1.38778e-15, 	3.04, 	(-0.151152,-0.526869);
17:54:24.826, 	1, 	2, 	14.5215, 	21.0063, 	1, 	-1.38778e-15, 	3.04, 	(0.332238,-0.321055);
17:54:24.846, 	1, 	2, 	13.579, 	22.2322, 	1, 	-1.38778e-15, 	3.04, 	(-0.401259,0.301199);
17:54:24.867, 	1, 	2, 	14.7867, 	23.465, 	1, 	-1.38778e-15, 	3.04, 	(-0.442888,-0.309);
17:54:24.887, 	1, 	2, 	13.3538, 	23.7753, 	1, 	-1.38778e-15, 	3.04, 	(-0.195342,-0.51259);
17:54:24.907, 	1, 	2, 	12.8618, 	20.7408, 	1, 	-1.38778e-15, 	3.04, 	(-0.43519,-0.0925005);
17:54:24.927, 	1, 	2, 	14.1624, 	23.1117, 	1, 	-1.38778e-15, 	3.04, 	(0.0683236,0.518612);
17:54:24.947, 	1, 	2, 	14.7309, 	23.4731, 	1, 	-1.38778e-15, 	3.04, 	(-0.377354,-0.302601);
17:54:24.968, 	1, 	2, 	12.5359, 	19.2919, 	1, 	-1.38778e-15, 	3.04, 	(-0.362391,0.0609207);
17:54:24.988, 	1, 	2, 	13.4551, 	18.7117, 	1, 	-1.38778e-15, 	3.04, 	(0.402199,-0.141798);
17:54:25.007, 	1, 	2, 	15.3112, 	24.5876, 	1, 	-1.38778e-15, 	3.04, 	(0.310342,-0.469512);
17:54:25.028, 	1, 	2, 	15.9463, 	23.1046, 	1, 	-1.38778e-15, 	3.04, 	(-0.254849,0.495228);
17:54:25.048, 	1, 	2, 	15.4006, 	23.9304, 	1, 	-1.38778e-15, 	3.04, 	(-0.257864,-0.515012);
17:54:25.068, 	1, 	2, 	14.8816, 	18.7729, 	1, 	-1.38778e-15, 	3.04, 	(-0.344165,-0.180047);
17:54:25.094, 	1, 	2, 	16.0174, 	23.7983, 	1, 	-1.38778e-15, 	3.04, 	(0.352484,-0.347257);
17:54:25.108, 	1, 	2, 	14.4413, 	22.6337, 	1, 	-1.38778e-15, 	3.04, 	(0.470814,0.1086);
17:54:25.129, 	1, 	2, 	15.0215, 	22.9656, 	1, 	-1.38778e-15, 	3.04, 	(-0.275015,0.344167);
17:54:25.149, 	1, 	2, 	14.6892, 	24.0696, 	1, 	-1.38778e-15, 	3.04, 	(-0.345974,-0.401075);
17:54:25.170, 	1, 	2, 	14.3299, 	24.7326, 	1, 	-1.38778e-15, 	3.04, 	(-0.24894,-0.531554);
17:54:25.189, 	1, 	2, 	14.3382, 	24.8818, 	1, 	-1.38778e-15, 	3.04, 	(-0.365134,-0.429787);
17:54:25.209, 	1, 	2, 	14.8636, 	24.1887, 	1, 	-1.38778e-15, 	3.04, 	(-0.585698,0.091653);
17:54:25.229, 	1, 	2, 	15.1355, 	24.5398, 	1, 	-1.38778e-15, 	3.04, 	(0.498266,0.359416);
17:54:25.249, 	1, 	2, 	16.4307, 	24.2191, 	1, 	-1.38778e-15, 	3.04, 	(0.0192952,0.60672);
17:54:25.270, 	1, 	2, 	15.8189, 	21.2385, 	1, 	-1.38778e-15, 	3.04, 	(0.429466,0.274702);
17:54:25.290, 	1, 	2, 	14.795, 	24.1795, 	1, 	-1.38778e-15, 	3.04, 	(0.0242135,-0.528261);
17:54:25.310, 	1, 	2, 	15.7394, 	23.8201, 	1, 	-1.38778e-15, 	3.04, 	(0.490253,-0.32924);
17:54:25.330, 	1, 	2, 	15.6236, 	24.6981, 	1, 	-1.38778e-15, 	3.04, 	(0.535546,0.208141);
17:54:25.351, 	1, 	2, 	15.7731, 	21.4537, 	1, 	-1.38778e-15, 	3.04, 	(0.48916,0.0804904);
17:54:25.371, 	1, 	2, 	14.9637, 	22.9085, 	1, 	-1.38778e-15, 	3.04, 	(-0.426551,0.334882);
17:54:25.411, 	0, 	2, 	16.6398, 	9.89655, 	1, 	-1.38778e-15, 	3.04, 	(-0.0138623,-0.0520818);
17:54:25.429, 	0, 	1, 	15.4773, 	10.62, 	0, 	4, 	2.736, 	(-0.846856,-0.139931);(1.38587,0.607857);(-1.30323,0.160816);(0.818817,-0.96348);
17:54:25.448, 	1, 	1, 	14.997, 	8.20363, 	0, 	8, 	2.128, 	(0.865483,-0.422004);(-1.41474,0.490166);(0.861003,-0.969933);(0.00616551,1.21727);
17:54:25.468, 	0, 	1, 	15.0267, 	6.94419, 	0, 	8, 	2.128, 	(-0.065418,-0.846478);(0.113574,1.06762);(-0.758637,-1.31228);(1.2277,0.422199);
17:54:25.492, 	1, 	2, 	12.1106, 	19.7953, 	1, 	12, 	1.824, 	(0.101101,0.453042);
17:54:25.508, 	1, 	1, 	15.8048, 	6.81905, 	0, 	12, 	1.52, 	(-0.369054,0.237795);(0.612274,-0.231098);(-0.99175,0.974492);(0.011971,-1.13744);
17:54:25.532, 	1, 	2, 	15.5895, 	24.1145, 	1, 	12, 	1.52, 	(0.565698,0.0877905);
17:54:25.552, 	1, 	2, 	15.6248, 	23.9123, 	1, 	12, 	1.52, 	(-0.314715,0.34205);
17:54:25.572, 	1, 	2, 	15.4619, 	23.5735, 	1, 	12, 	1.52, 	(0.295716,-0.419694);
17:54:25.592, 	1, 	2, 	15.2789, 	24.3079, 	1, 	12, 	1.52, 	(0.286917,-0.467474);
17:54:25.613, 	1, 	2, 	15.0678, 	24.9238, 	1, 	12, 	1.824, 	(0.463354,0.352413);
17:54:25.632, 	1, 	2, 	15.5902, 	23.7048, 	1, 	12, 	2.128, 	(0.0126775,-0.607756);
17:54:25.673, 	1, 	2, 	14.8742, 	20.6304, 	1, 	12, 	2.432, 	(-0.520111,-0.0565476);
17:54:25.693, 	1, 	2, 	14.9194, 	21.9743, 	1, 	12, 	2.736, 	(0.511692,-0.299747);
17:54:25.713, 	1, 	2, 	16.1155, 	23.482, 	1, 	12, 	2.736, 	(-0.514385,-0.355372);
17:54:25.733, 	1, 	2, 	14.6376, 	24.1837, 	1, 	12, 	3.04, 	(0.0978726,0.505449);
17:54:25.753, 	1, 	2, 	16.4186, 	24.8928, 	1, 	12, 	3.04, 	(-0.213145,-0.592711);
17:54:25.773, 	1, 	2, 	17.1722, 	24.8928, 	1, 	12, 	3.04, 	(-0.213145,-0.592711);
17:54:25.794, 	1, 	2, 	15.2049, 	25.2311, 	1, 	12, 	3.04, 	(-0.00988999,0.573256);
17:54:25.815, 	1, 	2, 	16.5716, 	23.7934, 	1, 	12, 	3.04, 	(0.333208,-0.303135);
17:54:25.860, 	1, 	2, 	17.8713, 	22.5644, 	1, 	12, 	3.04, 	(-0.25713,-0.182615);
17:54:25.875, 	1, 	2, 	15.5246, 	21.4791, 	1, 	12, 	3.04, 	(0.102926,-0.370548);
17:54:25.895, 	1, 	2, 	15.7862, 	24.383, 	1, 	12, 	3.04, 	(0.542107,-0.195076);
17:54:25.915, 	1, 	2, 	15.9236, 	24.383, 	1, 	12, 	3.04, 	(0.542107,-0.195076);
17:54:25.935, 	1, 	2, 	15.9187, 	24.294, 	1, 	12, 	3.04, 	(0.450002,0.370827);
17:54:25.957, 	1, 	2, 	14.171, 	22.5599, 	1, 	8, 	3.04, 	(0.400401,-0.388215);
17:54:25.975, 	1, 	2, 	15.0846, 	23.6545, 	1, 	4, 	3.04, 	(0.618331,-0.138224);
