(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:12:45.990, 	1, 	1, 	17.4386, 	12.3835, 	0, 	16, 	2.736, 	(-0.106099,0.863225);(0.784625,-0.753394);(-0.916125,0.482747);(0.824387,-0.48955);
18:13:00.743, 	1, 	2, 	17.6786, 	20.9402, 	1, 	12, 	2.736, 	(-0.210476,0.238166);
18:13:00.783, 	1, 	2, 	18.1809, 	21.5428, 	1, 	12, 	2.736, 	(-0.178534,-0.184655);
18:13:00.803, 	1, 	2, 	18.5998, 	24.39, 	1, 	12, 	2.736, 	(-0.239971,-0.353846);
18:13:00.823, 	1, 	2, 	17.9688, 	24.071, 	1, 	8, 	2.736, 	(0.0975934,0.557697);
18:13:00.844, 	1, 	2, 	17.5373, 	22.782, 	1, 	4, 	2.736, 	(-0.441693,-0.309903);
18:13:00.864, 	1, 	2, 	17.2121, 	24.2652, 	1, 	4, 	2.736, 	(-0.250323,-0.49758);
18:13:00.884, 	1, 	2, 	17.8901, 	24.1167, 	1, 	4, 	2.736, 	(0.540778,0.172141);
18:13:00.904, 	1, 	2, 	15.3985, 	20.1741, 	1, 	4, 	2.736, 	(-0.216196,-0.428928);
18:13:00.924, 	1, 	2, 	16.8352, 	24.7585, 	1, 	-1.38778e-15, 	2.736, 	(0.249833,-0.479226);
18:13:00.944, 	1, 	2, 	17.67, 	23.5484, 	1, 	-1.38778e-15, 	3.04, 	(0.205157,-0.504564);
18:13:00.965, 	1, 	2, 	18.6094, 	24.1451, 	1, 	-1.38778e-15, 	3.04, 	(0.0272551,0.45048);
18:13:00.984, 	1, 	2, 	18.4366, 	24.8279, 	1, 	-1.38778e-15, 	3.04, 	(0.300238,-0.478569);
18:13:01.005, 	1, 	2, 	16.6779, 	23.942, 	1, 	-1.38778e-15, 	3.04, 	(0.47968,-0.262988);
18:13:01.025, 	1, 	2, 	16.6101, 	22.7991, 	1, 	-1.38778e-15, 	3.04, 	(0.145504,-0.535001);
18:13:01.045, 	1, 	2, 	18.0497, 	24.1104, 	1, 	-1.38778e-15, 	3.04, 	(0.526939,-0.208798);
18:13:01.065, 	1, 	2, 	18.2665, 	25.2634, 	1, 	-1.38778e-15, 	3.04, 	(-0.573133,-0.0800114);
18:13:01.085, 	1, 	2, 	17.1409, 	24.603, 	1, 	-1.38778e-15, 	3.04, 	(-0.533668,-0.184575);
18:13:01.105, 	1, 	2, 	17.5281, 	23.8928, 	1, 	-1.38778e-15, 	3.04, 	(0.467339,-0.269973);
