(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:14:19.632, 	1, 	1, 	14.7689, 	7.36057, 	0, 	-1.38778e-15, 	2.736, 	(0.868693,0.332461);(-1.17268,-0.571774);(1.17329,0.0260301);(-0.883869,0.559933);
18:14:33.965, 	1, 	2, 	15.3237, 	21.3774, 	1, 	-1.38778e-15, 	2.736, 	(0.256667,0.326244);
18:14:34.004, 	1, 	2, 	14.7527, 	23.5419, 	1, 	-1.38778e-15, 	2.736, 	(-0.171282,0.350873);
18:14:34.025, 	1, 	2, 	15.5004, 	23.6357, 	1, 	-1.38778e-15, 	2.736, 	(0.388203,0.232764);
18:14:34.086, 	1, 	2, 	14.5695, 	24.7304, 	1, 	-1.38778e-15, 	2.736, 	(0.499944,-0.0808958);
18:14:34.105, 	1, 	2, 	12.8919, 	19.0291, 	1, 	-1.38778e-15, 	2.736, 	(0.0588373,-0.44384);
18:14:34.125, 	1, 	2, 	14.9994, 	24.8431, 	1, 	-1.38778e-15, 	2.736, 	(-0.276886,-0.529528);
18:14:34.146, 	1, 	2, 	14.9714, 	19.7846, 	1, 	-1.38778e-15, 	2.736, 	(0.441009,0.106949);
18:14:34.166, 	1, 	2, 	15.2954, 	24.4398, 	1, 	-1.38778e-15, 	2.736, 	(0.187319,-0.510883);
18:14:34.186, 	1, 	2, 	15.8634, 	21.3846, 	1, 	-1.38778e-15, 	2.736, 	(0.444316,0.177435);
18:14:34.206, 	1, 	2, 	15.5991, 	24.4967, 	1, 	-1.38778e-15, 	3.04, 	(-0.537139,-0.295686);
18:14:34.226, 	1, 	2, 	16.5073, 	24.1048, 	1, 	-1.38778e-15, 	3.04, 	(-0.571807,-0.1333);
18:14:34.246, 	1, 	2, 	15.0246, 	24.3453, 	1, 	-1.38778e-15, 	3.04, 	(0.266852,-0.476324);
18:14:34.267, 	1, 	2, 	15.947, 	23.6063, 	1, 	-1.38778e-15, 	3.04, 	(0.605892,-0.0934419);
18:14:34.287, 	1, 	2, 	13.9227, 	21.08, 	1, 	-1.38778e-15, 	3.04, 	(-0.188148,0.446018);
18:14:34.307, 	1, 	2, 	15.1776, 	24.6389, 	1, 	-1.38778e-15, 	3.04, 	(-0.128637,0.578392);
18:14:34.327, 	1, 	2, 	14.5428, 	23.1514, 	1, 	-1.38778e-15, 	3.04, 	(-0.464706,0.374286);
18:14:34.347, 	1, 	2, 	13.4494, 	18.7367, 	1, 	-1.38778e-15, 	3.04, 	(0.157887,0.397793);
18:14:34.368, 	1, 	2, 	14.1011, 	19.8236, 	1, 	-1.38778e-15, 	3.04, 	(0.487329,-0.114031);
18:14:34.388, 	1, 	2, 	14.2149, 	21.2701, 	1, 	-1.38778e-15, 	3.04, 	(-0.472451,-0.259845);
18:14:34.408, 	1, 	2, 	15.4711, 	23.7436, 	1, 	-1.38778e-15, 	3.04, 	(-0.0879039,0.558525);
18:14:34.428, 	1, 	2, 	15.3492, 	24.3594, 	1, 	-1.38778e-15, 	3.04, 	(-0.439885,-0.240513);
18:14:34.448, 	1, 	2, 	16.4442, 	24.2166, 	1, 	-1.38778e-15, 	3.04, 	(0.0343112,0.592627);
18:14:34.468, 	1, 	2, 	14.5475, 	21.3309, 	1, 	-1.38778e-15, 	3.04, 	(-0.14471,-0.49382);
18:14:34.488, 	1, 	2, 	14.5598, 	24.342, 	1, 	-1.38778e-15, 	3.04, 	(0.446987,0.337201);
18:14:34.508, 	1, 	2, 	15.3587, 	24.179, 	1, 	-1.38778e-15, 	3.04, 	(0.613808,0.030712);
18:14:34.529, 	1, 	2, 	14.1226, 	20.0038, 	1, 	-1.38778e-15, 	3.04, 	(-0.194075,-0.409968);
18:14:34.549, 	1, 	2, 	16.0062, 	24.486, 	1, 	-1.38778e-15, 	3.04, 	(-0.0742104,0.615157);
18:14:34.569, 	1, 	2, 	16.304, 	24.6179, 	1, 	-1.38778e-15, 	3.04, 	(-0.565551,-0.240047);
18:14:34.589, 	1, 	2, 	16.6108, 	24.21, 	1, 	-1.38778e-15, 	3.04, 	(-0.119428,-0.555761);
18:14:34.609, 	1, 	2, 	16.9385, 	24.841, 	1, 	-1.38778e-15, 	3.04, 	(-0.163246,0.637383);
18:14:34.629, 	1, 	2, 	15.7856, 	25.6799, 	1, 	-1.38778e-15, 	3.04, 	(-0.5282,-0.389862);
18:14:34.650, 	1, 	2, 	15.7747, 	25.1286, 	1, 	-1.38778e-15, 	3.04, 	(-0.640703,0.0113758);
18:14:34.670, 	1, 	2, 	15.5337, 	23.3771, 	1, 	-1.38778e-15, 	3.04, 	(0.117421,0.646538);
18:14:34.690, 	1, 	2, 	16.3993, 	24.7325, 	1, 	-1.38778e-15, 	3.04, 	(-0.523629,-0.0971468);
18:14:34.710, 	1, 	2, 	16.1923, 	24.5533, 	1, 	-1.38778e-15, 	3.04, 	(0.572554,-0.310937);
18:14:34.730, 	1, 	2, 	16.1127, 	20.402, 	1, 	-1.38778e-15, 	3.04, 	(0.571325,-0.114739);
