(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:17:16.066, 	1, 	1, 	14.099, 	11.537, 	0, 	76, 	0.608, 	(0.184647,0.304581);(0.111076,-0.731851);(0.400933,1.18054);(-0.89096,-0.628293);
18:17:30.744, 	1, 	2, 	14.7034, 	24.0295, 	1, 	72, 	0.912, 	(0.538489,0.037791);
18:17:30.784, 	1, 	2, 	14.512, 	20.5827, 	1, 	68, 	0.912, 	(-0.446776,0.240284);
18:17:30.804, 	1, 	2, 	15.6732, 	22.9381, 	1, 	64, 	1.216, 	(-0.334052,-0.446527);
18:17:30.825, 	1, 	2, 	16.6111, 	23.8353, 	1, 	60, 	1.216, 	(-0.483045,0.17833);
18:17:30.845, 	1, 	2, 	12.6059, 	20.2855, 	1, 	56, 	1.52, 	(-0.0360363,0.43445);
18:17:30.865, 	1, 	2, 	14.2983, 	21.5361, 	1, 	52, 	1.824, 	(0.0265701,-0.484551);
18:17:30.885, 	1, 	2, 	13.8048, 	24.5113, 	1, 	48, 	2.128, 	(-0.509367,0.248192);
18:17:30.905, 	1, 	2, 	14.5921, 	23.7296, 	1, 	44, 	2.432, 	(-0.302548,0.499463);
18:17:30.926, 	1, 	2, 	14.5648, 	24.7223, 	1, 	40, 	2.736, 	(-0.219846,-0.562379);
18:17:30.946, 	1, 	2, 	14.6467, 	19.5688, 	1, 	36, 	3.04, 	(-0.380089,0.164199);
18:17:30.966, 	1, 	2, 	15.4712, 	23.1145, 	1, 	32, 	3.04, 	(-0.0831727,0.522175);
18:17:30.986, 	1, 	2, 	15.3947, 	23.8532, 	1, 	32, 	3.04, 	(0.487122,0.222273);
18:17:31.006, 	1, 	2, 	15.0597, 	23.7248, 	1, 	28, 	3.04, 	(0.2008,0.509473);
18:17:31.026, 	1, 	2, 	15.2088, 	25.3288, 	1, 	28, 	3.04, 	(0.136003,0.598662);
18:17:31.046, 	1, 	2, 	15.2919, 	25.0882, 	1, 	28, 	3.04, 	(-0.43136,0.409094);
