(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:20:18.743, 	1, 	1, 	15.5486, 	8.16588, 	0, 	12, 	1.824, 	(-0.636959,-0.38334);(0.864095,0.780333);(-1.30652,-0.473471);(1.21718,-0.300991);
18:20:46.675, 	0, 	2, 	15.1857, 	14.4295, 	0, 	12, 	1.824, 	(-0.0141851,-0.121277);
18:20:46.715, 	1, 	2, 	15.5382, 	24.1003, 	1, 	16, 	1.52, 	(0.0675681,0.575253);
18:20:46.729, 	0, 	1, 	14.7261, 	8.36406, 	1, 	16, 	1.52, 	(-0.697887,0.590341);(1.30543,-0.716339);(-0.650988,1.02779);(-0.0423873,-1.11776);
18:20:46.755, 	1, 	2, 	13.7091, 	21.1683, 	1, 	20, 	1.216, 	(0.447888,-0.256291);
18:20:46.769, 	0, 	1, 	14.6338, 	10.7649, 	1, 	20, 	1.216, 	(-0.485566,0.767588);(0.773997,-1.03042);(-0.264859,1.46683);(-0.505111,-1.19478);
18:20:46.788, 	0, 	1, 	14.4626, 	7.43482, 	0, 	24, 	0.912, 	(0.775135,-0.596273);(-1.06581,0.765784);(0.662198,-1.30005);(0.115374,1.24398);
18:20:46.808, 	0, 	1, 	14.0112, 	7.36425, 	0, 	28, 	0.608, 	(-0.491867,-0.87023);(0.599236,1.2631);(-1.10692,-0.771833);(1.18053,0.0613773);
18:20:46.829, 	0, 	1, 	14.1406, 	13.6689, 	0, 	32, 	0.608, 	(-0.334344,0.626708);(0.843994,-0.788285);(-0.431281,1.43238);(-0.413083,-1.24871);
18:20:46.849, 	1, 	1, 	15.0101, 	9.4363, 	0, 	36, 	0.608, 	(-0.5398,0.73585);(0.776756,-0.931024);(-0.318656,1.485);(-0.432807,-1.24083);
18:20:46.869, 	1, 	1, 	15.5544, 	8.95951, 	0, 	36, 	0.608, 	(-0.758152,0.576897);(1.18297,-0.681788);(-0.714677,1.26061);(-0.0603269,-1.30106);
18:20:46.897, 	1, 	2, 	15.985, 	23.8696, 	1, 	36, 	0.912, 	(-0.581432,-0.199641);
18:20:46.917, 	1, 	2, 	15.5518, 	24.8003, 	1, 	36, 	0.912, 	(-0.15397,0.576742);
18:20:46.936, 	1, 	2, 	15.1857, 	22.7211, 	1, 	36, 	1.216, 	(0.563086,-0.0113082);
18:20:46.957, 	1, 	2, 	15.1249, 	23.38, 	1, 	36, 	1.216, 	(0.193549,0.507113);
18:20:46.977, 	1, 	2, 	14.8672, 	24.6124, 	1, 	36, 	1.52, 	(-0.616555,-0.0889926);
18:20:46.997, 	1, 	2, 	14.0127, 	20.5884, 	1, 	36, 	1.824, 	(-0.492929,-0.128309);
18:20:47.017, 	1, 	2, 	16.0969, 	24.0323, 	1, 	36, 	2.128, 	(-0.529319,-0.262905);
18:20:47.037, 	1, 	2, 	14.3222, 	23.363, 	1, 	36, 	2.432, 	(-0.384743,0.452083);
18:20:47.057, 	1, 	2, 	15.4157, 	24.3316, 	1, 	36, 	2.736, 	(-0.295826,-0.543847);
18:20:47.078, 	1, 	2, 	12.8728, 	19.8215, 	1, 	36, 	3.04, 	(-0.339108,0.370342);
18:20:47.098, 	1, 	2, 	14.1794, 	21.6164, 	1, 	36, 	3.04, 	(0.15913,0.526653);
18:20:47.118, 	1, 	2, 	14.5272, 	23.4098, 	1, 	32, 	3.04, 	(-0.537026,0.163432);
18:20:47.158, 	1, 	2, 	14.5848, 	24.6543, 	1, 	28, 	3.04, 	(0.242716,-0.565955);
18:20:47.178, 	1, 	2, 	14.2265, 	21.7112, 	1, 	24, 	3.04, 	(-0.0746468,-0.532983);
18:20:47.199, 	1, 	2, 	13.0603, 	22.6756, 	1, 	24, 	3.04, 	(0.385835,0.439391);
18:20:47.239, 	1, 	2, 	13.5317, 	20.9127, 	1, 	20, 	3.04, 	(0.386363,-0.276486);
18:20:47.259, 	1, 	2, 	13.4708, 	21.5453, 	1, 	20, 	3.04, 	(-0.338356,-0.363055);
18:20:47.279, 	1, 	2, 	14.3411, 	22.061, 	1, 	16, 	3.04, 	(0.0506481,0.490022);
18:20:47.302, 	1, 	2, 	15.2976, 	23.0924, 	1, 	16, 	3.04, 	(-0.477117,-0.182319);
18:20:47.319, 	1, 	2, 	15.6094, 	24.0816, 	1, 	12, 	3.04, 	(-0.278556,0.463086);
18:20:47.340, 	1, 	2, 	15.0637, 	24.587, 	1, 	8, 	3.04, 	(-0.598556,-0.0882605);
18:20:47.360, 	1, 	2, 	15.6118, 	24.0656, 	1, 	4, 	3.04, 	(-0.421393,0.346061);
18:20:47.381, 	1, 	2, 	15.6651, 	23.4515, 	1, 	-1.38778e-15, 	3.04, 	(0.279434,-0.402983);
18:20:47.400, 	1, 	2, 	14.9328, 	23.6803, 	1, 	-1.38778e-15, 	3.04, 	(-0.0553231,0.565862);
18:20:47.420, 	1, 	2, 	13.8148, 	20.9098, 	1, 	-1.38778e-15, 	3.04, 	(-0.0114788,0.528848);
18:20:47.440, 	1, 	2, 	13.8868, 	22.0834, 	1, 	-1.38778e-15, 	3.04, 	(-0.255239,0.512676);
18:20:47.461, 	1, 	2, 	15.307, 	21.0992, 	1, 	-1.38778e-15, 	3.04, 	(0.231551,-0.422801);
18:20:47.481, 	1, 	2, 	16.1091, 	24.5832, 	1, 	-1.38778e-15, 	3.04, 	(-0.635268,0.0298125);
18:20:47.502, 	1, 	2, 	16.463, 	24.9013, 	1, 	-1.38778e-15, 	3.04, 	(0.632226,0.019905);
18:20:47.521, 	1, 	2, 	15.8045, 	24.6668, 	1, 	-1.38778e-15, 	3.04, 	(0.171232,-0.590617);
18:20:47.541, 	1, 	2, 	15.9115, 	24.4519, 	1, 	-1.38778e-15, 	3.04, 	(-0.0946044,-0.571476);
18:20:47.561, 	1, 	2, 	15.8066, 	24.7233, 	1, 	-1.38778e-15, 	3.04, 	(-0.184788,0.505372);
18:20:47.581, 	1, 	2, 	15.3674, 	25.6916, 	1, 	-1.38778e-15, 	3.04, 	(0.621574,-0.226571);
18:20:47.601, 	1, 	2, 	16.4528, 	25.3725, 	1, 	-1.38778e-15, 	3.04, 	(0.0316882,-0.627812);
18:20:47.622, 	1, 	2, 	15.6895, 	24.4876, 	1, 	-1.38778e-15, 	3.04, 	(0.242874,-0.555515);
18:20:47.642, 	1, 	2, 	16.0673, 	24.0187, 	1, 	-1.38778e-15, 	3.04, 	(-0.373597,-0.410428);
18:20:47.662, 	1, 	2, 	14.6634, 	19.0888, 	1, 	-1.38778e-15, 	3.04, 	(0.13049,0.474315);
18:20:47.682, 	1, 	2, 	16.0164, 	21.0442, 	1, 	-1.38778e-15, 	3.04, 	(0.512769,0.25499);
18:20:47.702, 	1, 	2, 	16.908, 	22.7304, 	1, 	-1.38778e-15, 	3.04, 	(0.320178,0.535131);
18:20:47.723, 	1, 	2, 	16.6928, 	24.3532, 	1, 	-1.38778e-15, 	3.04, 	(0.356776,0.461048);
18:20:47.742, 	1, 	2, 	16.0198, 	24.7564, 	1, 	-1.38778e-15, 	3.04, 	(-0.125775,-0.611245);
18:20:47.783, 	1, 	2, 	14.0391, 	20.2836, 	1, 	-1.38778e-15, 	3.04, 	(0.37195,0.223378);
18:20:47.803, 	1, 	2, 	16.2753, 	24.6384, 	1, 	-1.38778e-15, 	3.04, 	(0.619872,0.211175);
18:20:47.823, 	1, 	2, 	15.9546, 	25.1839, 	1, 	-1.38778e-15, 	3.04, 	(0.159858,0.492262);
18:20:47.843, 	1, 	2, 	15.3375, 	24.8883, 	1, 	-1.38778e-15, 	3.04, 	(-0.158459,0.583741);
18:20:47.883, 	1, 	2, 	15.2071, 	23.6298, 	1, 	-1.38778e-15, 	3.04, 	(-0.426329,-0.408635);
18:20:47.904, 	1, 	2, 	15.0354, 	19.8347, 	1, 	-1.38778e-15, 	3.04, 	(0.00388065,0.461272);
18:20:47.924, 	1, 	2, 	15.8493, 	25.0064, 	1, 	-1.38778e-15, 	3.04, 	(0.41045,0.54595);
18:20:47.944, 	1, 	2, 	17.2303, 	24.6816, 	1, 	-1.38778e-15, 	3.04, 	(-0.540553,-0.305141);
18:20:47.964, 	1, 	2, 	14.6707, 	23.6249, 	1, 	-1.38778e-15, 	3.04, 	(0.432321,0.443647);
18:20:48.025, 	1, 	2, 	15.617, 	25.1756, 	1, 	-1.38778e-15, 	3.04, 	(-0.394165,0.535033);
18:20:48.045, 	1, 	2, 	15.2401, 	23.2569, 	1, 	-1.38778e-15, 	3.04, 	(0.323067,0.547053);
18:20:48.066, 	1, 	2, 	16.0216, 	24.5514, 	1, 	-1.38778e-15, 	3.04, 	(0.314523,0.56563);
18:20:48.086, 	1, 	2, 	16.6816, 	25.1129, 	1, 	-1.38778e-15, 	3.04, 	(-0.525377,-0.361629);
18:20:48.125, 	1, 	2, 	14.2885, 	24.1267, 	1, 	-1.38778e-15, 	3.04, 	(-0.587749,0.0939419);
18:20:48.139, 	1, 	2, 	16.2413, 	24.2182, 	1, 	-1.38778e-15, 	3.04, 	(0.619415,-0.0494457);
18:20:48.157, 	1, 	2, 	15.7036, 	25.3841, 	1, 	-1.38778e-15, 	3.04, 	(0.577234,0.346113);
18:20:48.176, 	1, 	2, 	16.2704, 	24.7215, 	1, 	-1.38778e-15, 	3.04, 	(-0.459341,0.047748);
18:20:48.196, 	1, 	2, 	16.0791, 	21.3461, 	1, 	-1.38778e-15, 	3.04, 	(-0.433433,-0.216896);
18:20:48.217, 	1, 	2, 	17.1635, 	24.7789, 	1, 	-1.38778e-15, 	3.04, 	(0.619676,0.0533914);
18:20:48.236, 	1, 	2, 	15.6528, 	23.5605, 	1, 	-1.38778e-15, 	3.04, 	(-0.511851,0.225476);
18:20:48.257, 	1, 	2, 	17.5452, 	24.3377, 	1, 	-1.38778e-15, 	3.04, 	(-0.469723,0.0679672);
18:20:48.277, 	1, 	2, 	15.4363, 	22.2761, 	1, 	-1.38778e-15, 	3.04, 	(0.523393,-0.328044);
18:20:48.298, 	1, 	2, 	16.4013, 	22.886, 	1, 	-1.38778e-15, 	3.04, 	(0.144367,0.647023);
18:20:48.317, 	1, 	2, 	16.0524, 	22.886, 	1, 	-1.38778e-15, 	3.04, 	(0.144367,0.647023);
18:20:48.338, 	1, 	2, 	17.6669, 	24.6351, 	1, 	-1.38778e-15, 	3.04, 	(-0.0958526,0.453245);
18:20:48.378, 	1, 	2, 	15.0899, 	24.5287, 	1, 	-1.38778e-15, 	3.04, 	(0.199831,0.652214);
18:20:48.398, 	1, 	2, 	16.3573, 	25.2735, 	1, 	-1.38778e-15, 	3.04, 	(-0.405254,-0.392848);
18:20:48.418, 	1, 	2, 	16.2344, 	25.2845, 	1, 	-1.38778e-15, 	3.04, 	(-0.416146,0.566708);
18:20:48.459, 	1, 	2, 	16.9733, 	25.4939, 	1, 	-1.38778e-15, 	3.04, 	(-0.437967,-0.472778);
18:20:48.479, 	1, 	2, 	18.1104, 	25.3579, 	1, 	-1.38778e-15, 	3.04, 	(0.081508,0.590068);
18:20:48.499, 	1, 	2, 	17.2727, 	25.32, 	1, 	-1.38778e-15, 	3.04, 	(0.425606,-0.32386);
18:20:48.519, 	1, 	2, 	17.2106, 	25.4185, 	1, 	-1.38778e-15, 	3.04, 	(0.0422938,0.70714);
18:20:48.539, 	1, 	2, 	17.6128, 	25.1124, 	1, 	-1.38778e-15, 	3.04, 	(0.0815643,-0.639762);
18:20:48.559, 	1, 	2, 	16.7269, 	23.8552, 	1, 	-1.38778e-15, 	3.04, 	(-0.314554,0.638371);
18:20:48.579, 	1, 	2, 	19.0582, 	25.0522, 	1, 	-1.38778e-15, 	3.04, 	(-0.509794,-0.163925);
18:20:48.599, 	1, 	2, 	17.6432, 	25.6192, 	1, 	-1.38778e-15, 	3.04, 	(-0.0163437,-0.70676);
18:20:48.619, 	1, 	2, 	17.862, 	24.2503, 	1, 	-1.38778e-15, 	3.04, 	(0.626766,-0.289926);
18:20:48.639, 	1, 	2, 	16.3389, 	23.5208, 	1, 	-1.38778e-15, 	3.04, 	(0.171698,-0.692717);
18:20:48.660, 	1, 	2, 	19.8601, 	25.0348, 	1, 	-1.38778e-15, 	3.04, 	(0.00126381,0.565077);
