(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:18:08.858, 	1, 	1, 	19.143, 	12.532, 	0, 	8, 	2.736, 	(0.413882,0.443554);(-0.0510683,-1.10675);(-0.522866,1.48453);(0.479274,-1.46991);
17:18:23.354, 	0, 	2, 	18.7311, 	13.8345, 	0, 	8, 	2.736, 	(0.0342807,0.0232898);
17:18:23.391, 	1, 	1, 	19.2674, 	13.5405, 	0, 	12, 	2.128, 	(-0.0382535,-0.642093);(-0.736225,0.671925);(1.44941,-0.652633);(-1.38854,0.680016);
17:18:23.411, 	1, 	1, 	19.1403, 	13.3088, 	0, 	12, 	1.824, 	(0.643597,0.149421);(0.684437,-1.55458);(-0.681673,0.702937);(0.646361,-0.702221);
17:18:23.434, 	1, 	2, 	18.7772, 	23.9382, 	1, 	12, 	1.824, 	(-0.00244834,-0.561037);
17:18:23.455, 	1, 	2, 	19.592, 	24.534, 	1, 	8, 	1.824, 	(-0.282488,-0.558232);
17:18:23.475, 	1, 	2, 	19.701, 	24.7989, 	1, 	4, 	1.824, 	(-0.558434,-0.25125);
17:18:23.495, 	1, 	2, 	17.9832, 	21.9702, 	1, 	4, 	1.824, 	(-0.453576,-0.33483);
17:18:23.515, 	1, 	2, 	20.1989, 	23.4767, 	1, 	4, 	1.824, 	(-0.509483,0.0681474);
17:18:23.535, 	1, 	2, 	20.1856, 	23.9633, 	1, 	4, 	1.824, 	(0.141551,-0.414348);
17:18:23.555, 	1, 	2, 	20.1082, 	24.2462, 	1, 	4, 	2.128, 	(0.00954121,-0.590923);
17:18:23.576, 	1, 	2, 	19.9584, 	25.2389, 	1, 	4, 	2.432, 	(-0.465039,-0.299748);
17:18:23.596, 	1, 	2, 	20.3609, 	18.5051, 	1, 	4, 	2.736, 	(-0.00571185,0.27022);
17:18:23.616, 	1, 	2, 	20.6897, 	25.1384, 	1, 	4, 	3.04, 	(0.617647,-0.0147736);
17:18:23.636, 	1, 	2, 	20.2967, 	24.7089, 	1, 	4, 	3.04, 	(-0.368813,0.436542);
17:18:23.657, 	1, 	2, 	20.1991, 	25.1894, 	1, 	4, 	3.04, 	(0.453621,0.445799);
17:18:23.676, 	1, 	2, 	20.9767, 	24.9253, 	1, 	4, 	3.04, 	(0.352179,0.51619);
17:18:23.697, 	1, 	2, 	20.3119, 	24.2979, 	1, 	4, 	3.04, 	(-0.489574,-0.328151);
17:18:23.716, 	1, 	2, 	19.0212, 	24.8474, 	1, 	4, 	3.04, 	(0.624416,-0.0411094);
17:18:23.737, 	1, 	2, 	21.6019, 	24.8819, 	1, 	4, 	3.04, 	(0.132578,0.403922);
17:18:23.757, 	1, 	2, 	18.0281, 	22.7647, 	1, 	4, 	3.04, 	(-0.525523,-0.24284);
17:18:23.777, 	1, 	2, 	21.164, 	24.0064, 	1, 	4, 	3.04, 	(0.458913,0.279015);
17:18:23.797, 	1, 	2, 	21.4804, 	24.1489, 	1, 	4, 	3.04, 	(0.442882,-0.0968161);
17:18:23.817, 	1, 	2, 	17.7393, 	21.7455, 	1, 	4, 	3.04, 	(-0.356407,-0.470679);
17:18:23.837, 	1, 	2, 	20.9889, 	24.2144, 	1, 	4, 	3.04, 	(-0.525427,-0.151868);
17:18:23.858, 	1, 	2, 	20.0341, 	24.6343, 	1, 	4, 	3.04, 	(0.385036,0.250987);
17:18:23.878, 	1, 	2, 	20.7774, 	25.0622, 	1, 	-1.249e-14, 	3.04, 	(-0.120534,0.59919);
17:18:23.898, 	1, 	2, 	20.4449, 	24.7594, 	1, 	-1.249e-14, 	3.04, 	(-0.327721,-0.441761);
17:18:23.918, 	1, 	2, 	20.1412, 	24.5823, 	1, 	-1.249e-14, 	3.04, 	(0.0550597,-0.488896);
17:18:23.938, 	1, 	2, 	17.1121, 	20.4097, 	1, 	-1.249e-14, 	3.04, 	(0.544928,-0.0905588);
17:18:23.958, 	1, 	2, 	17.7321, 	23.4781, 	1, 	-1.249e-14, 	3.04, 	(-0.623955,-0.0372055);
17:18:23.979, 	1, 	2, 	19.4457, 	23.9024, 	1, 	-1.249e-14, 	3.04, 	(0.572008,0.332051);
17:18:23.999, 	1, 	2, 	19.3515, 	24.4762, 	1, 	-1.249e-14, 	3.04, 	(-0.652605,-0.0410173);
17:18:24.019, 	1, 	2, 	21.1922, 	14.8147, 	1, 	-1.249e-14, 	3.04, 	(0.114986,0.0328038);
17:18:24.039, 	1, 	2, 	20.2832, 	23.9656, 	1, 	-1.249e-14, 	3.04, 	(0.472387,0.47098);
17:18:24.059, 	1, 	2, 	20.8264, 	24.183, 	1, 	-1.249e-14, 	3.04, 	(-0.34636,-0.335455);
17:18:24.079, 	1, 	2, 	18.4568, 	21.0824, 	1, 	-1.249e-14, 	3.04, 	(0.565316,0.221022);
17:18:24.100, 	1, 	2, 	19.6143, 	23.2961, 	1, 	-1.249e-14, 	3.04, 	(0.0683318,-0.669217);
17:18:24.120, 	1, 	2, 	20.3731, 	24.6921, 	1, 	-1.249e-14, 	3.04, 	(-0.608013,0.329291);
17:18:24.140, 	1, 	2, 	17.5476, 	21.7689, 	1, 	-1.249e-14, 	3.04, 	(-0.49282,-0.355855);
17:18:24.160, 	1, 	2, 	19.5649, 	23.6036, 	1, 	-1.249e-14, 	3.04, 	(0.402678,0.531185);
17:18:24.180, 	1, 	2, 	21.4783, 	24.8227, 	1, 	-1.249e-14, 	3.04, 	(0.0851276,0.544405);
17:18:24.200, 	1, 	2, 	22.129, 	24.2629, 	1, 	-1.249e-14, 	3.04, 	(0.241773,0.380045);
17:18:24.220, 	1, 	2, 	22.7731, 	24.5533, 	1, 	-1.249e-14, 	3.04, 	(-0.597448,-0.217344);
17:18:24.240, 	1, 	2, 	22.9259, 	25.3153, 	1, 	-1.249e-14, 	3.04, 	(0.504719,-0.276543);
17:18:24.260, 	1, 	2, 	23.0208, 	24.6924, 	1, 	-1.249e-14, 	3.04, 	(-0.317325,-0.367902);
17:18:24.281, 	0, 	2, 	23.4312, 	16.5504, 	1, 	-1.249e-14, 	3.04, 	(0.060713,-0.161817);
17:18:24.301, 	1, 	2, 	23.5743, 	25.0327, 	1, 	4, 	2.736, 	(0.260321,0.540203);
17:18:24.316, 	1, 	1, 	23.4126, 	14.569, 	0, 	4, 	2.432, 	(-1.10861,0.28535);(0.817326,1.1244);(-0.451805,-1.48776);(0.368038,1.41946);
17:18:24.341, 	1, 	2, 	17.5143, 	22.7472, 	1, 	4, 	2.432, 	(-0.345291,-0.579039);
17:18:24.361, 	1, 	2, 	20.5146, 	23.978, 	1, 	4, 	2.432, 	(0.540318,0.46799);
17:18:24.382, 	1, 	2, 	22.1546, 	24.9575, 	1, 	4, 	2.432, 	(-0.337762,-0.634432);
17:18:24.402, 	1, 	2, 	22.894, 	25.9793, 	1, 	4, 	2.432, 	(0.630988,0.34127);
17:18:24.423, 	1, 	2, 	22.8799, 	24.8682, 	1, 	4, 	2.432, 	(0.492003,-0.330256);
17:18:24.442, 	1, 	2, 	24.5822, 	24.7091, 	1, 	4, 	2.432, 	(-0.548288,-0.113961);
17:18:24.463, 	1, 	2, 	23.4721, 	25.0898, 	1, 	4, 	2.432, 	(-0.710704,0.13842);
17:18:24.482, 	1, 	2, 	19.6512, 	23.4294, 	1, 	4, 	2.736, 	(0.377944,0.582806);
17:18:24.503, 	1, 	2, 	23.3066, 	25.5917, 	1, 	4, 	2.736, 	(-0.627524,0.051012);
17:18:24.523, 	1, 	2, 	23.2215, 	25.3271, 	1, 	4, 	3.04, 	(0.639311,0.384407);
17:18:24.543, 	1, 	2, 	22.7815, 	26.0948, 	1, 	4, 	3.04, 	(-0.609657,0.391353);
17:18:24.563, 	1, 	2, 	22.7537, 	24.9124, 	1, 	4, 	3.04, 	(0.60545,0.266524);
17:18:24.583, 	1, 	2, 	22.2299, 	24.3079, 	1, 	4, 	3.04, 	(0.677709,-0.362936);
17:18:24.603, 	1, 	2, 	19.1417, 	21.8267, 	1, 	4, 	3.04, 	(0.643807,-0.294498);
17:18:24.623, 	1, 	2, 	20.6115, 	24.2948, 	1, 	4, 	3.04, 	(0.0822218,-0.735174);
17:18:24.643, 	1, 	2, 	21.4656, 	25.0285, 	1, 	4, 	3.04, 	(0.0435833,-0.733099);
17:18:24.664, 	1, 	2, 	24.6717, 	25.2464, 	1, 	4, 	3.04, 	(-0.35021,-0.67268);
17:18:24.684, 	1, 	2, 	23.7004, 	25.6525, 	1, 	4, 	3.04, 	(-0.566297,0.419501);
17:18:24.704, 	1, 	2, 	23.0723, 	25.6372, 	1, 	4, 	3.04, 	(0.180403,-0.594879);
17:18:24.724, 	1, 	2, 	24.1015, 	24.1317, 	1, 	4, 	3.04, 	(-0.0784536,0.432998);
17:18:24.745, 	1, 	2, 	19.8221, 	23.5517, 	1, 	4, 	3.04, 	(0.708514,0.129807);
17:18:24.764, 	1, 	2, 	21.6959, 	25.0044, 	1, 	4, 	3.04, 	(0.715806,0.218322);
17:18:24.785, 	1, 	2, 	22.5723, 	24.7059, 	1, 	-1.249e-14, 	3.04, 	(0.76964,-0.164942);
17:18:24.805, 	1, 	2, 	25.2589, 	25.4255, 	1, 	-1.249e-14, 	3.04, 	(-0.738236,0.120923);
17:18:24.825, 	1, 	2, 	21.2137, 	23.7935, 	1, 	-1.249e-14, 	3.04, 	(0.500643,0.587637);
17:18:24.845, 	1, 	2, 	25.1371, 	25.0518, 	1, 	-1.249e-14, 	3.04, 	(0.320775,0.468005);
17:18:24.866, 	1, 	2, 	19.173, 	21.94, 	1, 	-1.249e-14, 	3.04, 	(0.672991,0.226166);
17:18:24.886, 	1, 	2, 	21.1081, 	24.3399, 	1, 	-1.249e-14, 	3.04, 	(-0.488468,0.593809);
17:18:24.907, 	1, 	2, 	24.0402, 	25.1653, 	1, 	-1.249e-14, 	3.04, 	(0.109557,-0.755776);
17:18:24.926, 	1, 	2, 	23.2987, 	17.9566, 	1, 	-1.249e-14, 	3.04, 	(-0.123952,-0.180037);
17:18:24.946, 	1, 	2, 	24.0482, 	25.4237, 	1, 	-1.249e-14, 	3.04, 	(0.685642,-0.0759887);
17:18:24.966, 	1, 	2, 	23.0723, 	25.3522, 	1, 	-1.249e-14, 	3.04, 	(-0.365727,-0.472231);
17:18:24.986, 	1, 	2, 	23.5018, 	25.8534, 	1, 	-1.249e-14, 	3.04, 	(-0.409562,-0.62093);
17:18:25.006, 	1, 	2, 	22.4935, 	25.517, 	1, 	-1.249e-14, 	3.04, 	(-0.130493,0.693377);
17:18:25.027, 	1, 	2, 	21.5886, 	24.9957, 	1, 	-1.249e-14, 	3.04, 	(0.106056,0.74785);
17:18:25.047, 	1, 	2, 	22.4968, 	24.7196, 	1, 	-1.249e-14, 	3.04, 	(0.255948,-0.464906);
17:18:25.067, 	1, 	2, 	18.3987, 	22.129, 	1, 	-1.249e-14, 	3.04, 	(0.565532,-0.455851);
17:18:25.087, 	1, 	2, 	21.0307, 	24.3111, 	1, 	-1.249e-14, 	3.04, 	(0.0471958,-0.772257);
17:18:25.112, 	1, 	2, 	23.4034, 	25.9903, 	1, 	-1.249e-14, 	3.04, 	(0.158108,0.763528);
17:18:25.128, 	1, 	2, 	19.349, 	22.9011, 	1, 	-1.249e-14, 	3.04, 	(0.186593,-0.720236);
17:18:25.148, 	1, 	2, 	22.8695, 	24.2172, 	1, 	-1.249e-14, 	3.04, 	(0.333534,0.602239);
17:18:25.167, 	1, 	2, 	22.5637, 	25.727, 	1, 	-1.249e-14, 	3.04, 	(0.620661,-0.48013);
17:18:25.188, 	1, 	2, 	24.2744, 	25.5947, 	1, 	-1.249e-14, 	3.04, 	(0.474554,-0.181909);
17:18:25.208, 	1, 	2, 	25.1892, 	25.5958, 	1, 	-1.249e-14, 	3.04, 	(-0.121943,-0.711193);
17:18:25.228, 	1, 	2, 	21.8615, 	25.7184, 	1, 	-1.249e-14, 	3.04, 	(-0.0428046,-0.782728);
17:18:25.248, 	1, 	2, 	23.8232, 	25.8808, 	1, 	-1.249e-14, 	3.04, 	(-0.718084,0.392386);
17:18:25.268, 	1, 	2, 	18.8356, 	23.2063, 	1, 	-1.249e-14, 	3.04, 	(-0.396228,-0.652505);
17:18:25.288, 	1, 	2, 	21.6619, 	24.5983, 	1, 	-1.249e-14, 	3.04, 	(-0.654148,-0.414669);
17:18:25.308, 	1, 	2, 	24.999, 	25.509, 	1, 	-1.249e-14, 	3.04, 	(0.515429,-0.580735);
17:18:25.329, 	1, 	2, 	26.9211, 	20.8658, 	1, 	-1.249e-14, 	3.04, 	(-0.380143,-0.320233);
17:18:25.349, 	1, 	2, 	25.4389, 	25.332, 	1, 	-1.249e-14, 	3.04, 	(0.0372738,0.668585);
17:18:25.369, 	1, 	2, 	24.0901, 	25.7102, 	1, 	-1.249e-14, 	3.04, 	(0.209972,0.767965);
17:18:25.389, 	1, 	2, 	25.6543, 	20.6714, 	1, 	-1.249e-14, 	3.04, 	(-0.352511,-0.41764);
17:18:25.410, 	1, 	2, 	26.885, 	25.1183, 	1, 	-1.249e-14, 	3.04, 	(0.393366,-0.480297);
17:18:25.430, 	1, 	2, 	24.2076, 	25.4413, 	1, 	-1.249e-14, 	3.04, 	(-0.528619,-0.470766);
17:18:25.450, 	1, 	2, 	25.4711, 	25.8214, 	1, 	-1.249e-14, 	3.04, 	(0.729559,0.0525051);
17:18:25.470, 	1, 	2, 	20.878, 	24.4923, 	1, 	-1.249e-14, 	3.04, 	(0.603777,0.473418);
17:18:25.490, 	1, 	2, 	23.5491, 	25.8353, 	1, 	-1.249e-14, 	3.04, 	(-0.781837,0.077688);
17:18:25.510, 	1, 	2, 	24.9384, 	25.1769, 	1, 	-1.249e-14, 	3.04, 	(-0.473724,0.171372);
17:18:25.530, 	1, 	2, 	25.1465, 	25.4879, 	1, 	-1.249e-14, 	3.04, 	(0.656278,-0.276046);
17:18:25.550, 	1, 	2, 	26.5376, 	26.0163, 	1, 	-1.249e-14, 	3.04, 	(-0.297415,-0.556797);
17:18:25.571, 	1, 	2, 	24.2044, 	25.7501, 	1, 	-1.249e-14, 	3.04, 	(0.301524,-0.700557);
17:18:25.591, 	1, 	2, 	25.6455, 	25.1086, 	1, 	-1.249e-14, 	3.04, 	(-0.699091,0.26325);
17:18:25.611, 	1, 	2, 	25.0134, 	25.8305, 	1, 	-1.249e-14, 	3.04, 	(0.0625695,-0.674474);
17:18:25.631, 	1, 	2, 	24.5686, 	26.0905, 	1, 	-1.249e-14, 	3.04, 	(-0.609585,0.545904);
17:18:25.651, 	1, 	2, 	26.6638, 	26.9492, 	1, 	-1.249e-14, 	3.04, 	(-0.735671,-0.156088);
17:18:25.672, 	1, 	2, 	21.6459, 	23.7074, 	1, 	-1.249e-14, 	3.04, 	(-0.47675,0.603324);
17:18:25.692, 	1, 	2, 	25.3457, 	25.3562, 	1, 	-1.249e-14, 	3.04, 	(0.0403542,0.590156);
17:18:25.712, 	1, 	2, 	25.7891, 	26.4385, 	1, 	-1.249e-14, 	3.04, 	(-0.141079,0.78258);
17:18:25.732, 	1, 	2, 	21.3411, 	23.3473, 	1, 	-1.249e-14, 	3.04, 	(0.703126,-0.413443);
17:18:25.752, 	1, 	2, 	26.7397, 	25.0107, 	1, 	-1.249e-14, 	3.04, 	(0.617577,-0.24729);
17:18:25.772, 	1, 	2, 	25.5426, 	26.1076, 	1, 	-1.249e-14, 	3.04, 	(0.739626,-0.366015);
17:18:25.793, 	1, 	2, 	27.0987, 	26.0568, 	1, 	-1.249e-14, 	3.04, 	(0.411019,-0.660969);
17:18:25.815, 	1, 	2, 	22.5059, 	25.624, 	1, 	-1.249e-14, 	3.04, 	(0.598111,0.581429);
17:18:25.833, 	1, 	2, 	26.6025, 	26.2956, 	1, 	-1.249e-14, 	3.04, 	(0.0986522,0.835402);
17:18:25.853, 	1, 	2, 	19.7655, 	23.0903, 	1, 	-1.249e-14, 	3.04, 	(-0.731281,0.283933);
17:18:25.873, 	1, 	2, 	22.2354, 	24.891, 	1, 	-1.249e-14, 	3.04, 	(0.30841,0.76682);
17:18:25.893, 	1, 	2, 	24.9615, 	26.2721, 	1, 	-1.249e-14, 	3.04, 	(-0.757414,-0.351034);
17:18:25.914, 	1, 	2, 	26.7394, 	21.278, 	1, 	-1.249e-14, 	3.04, 	(0.502689,0.329906);
17:18:25.933, 	1, 	2, 	25.7377, 	25.8448, 	1, 	-1.249e-14, 	3.04, 	(-0.674651,-0.129399);
17:18:25.954, 	1, 	2, 	24.6991, 	25.5095, 	1, 	-1.249e-14, 	3.04, 	(-0.145114,-0.745172);
17:18:25.974, 	1, 	2, 	26.8409, 	25.6672, 	1, 	-1.249e-14, 	3.04, 	(-0.163501,0.722675);
17:18:25.994, 	1, 	2, 	25.519, 	24.4288, 	1, 	-1.249e-14, 	3.04, 	(-0.41062,0.532084);
17:18:26.014, 	1, 	2, 	23.9708, 	25.6015, 	1, 	-1.249e-14, 	3.04, 	(-0.0352346,0.765766);
17:18:26.035, 	1, 	2, 	25.972, 	25.1906, 	1, 	-1.249e-14, 	3.04, 	(0.782936,-0.222312);
17:18:26.054, 	1, 	2, 	26.4564, 	26.4101, 	1, 	-1.249e-14, 	3.04, 	(-0.76408,-0.0660159);
17:18:26.075, 	1, 	2, 	23.1693, 	24.9664, 	1, 	-1.249e-14, 	3.04, 	(-0.372104,-0.747937);
17:18:26.095, 	1, 	2, 	25.0004, 	26.1274, 	1, 	-1.249e-14, 	3.04, 	(0.312622,0.739139);
17:18:26.115, 	1, 	2, 	19.412, 	24.9514, 	1, 	-1.249e-14, 	3.04, 	(0.66439,-0.423698);
17:18:26.135, 	1, 	2, 	24.9952, 	25.7246, 	1, 	-1.249e-14, 	3.04, 	(-0.706266,-0.0736474);
17:18:26.145, 	1, 	2, 	22.8183, 	24.8474, 	1, 	-1.249e-14, 	3.04, 	(-0.454591,0.624996);
17:18:26.165, 	1, 	2, 	24.3803, 	26.0258, 	1, 	-1.249e-14, 	3.04, 	(0.822756,0.12969);
17:18:26.185, 	1, 	2, 	27.4701, 	25.7372, 	1, 	-1.249e-14, 	3.04, 	(-0.278365,0.654924);
17:18:26.206, 	1, 	2, 	22.5461, 	25.3386, 	1, 	-1.249e-14, 	3.04, 	(-0.317015,-0.697816);
17:18:26.226, 	1, 	2, 	27.1718, 	25.2681, 	1, 	-1.249e-14, 	3.04, 	(0.404961,0.350585);
17:18:26.246, 	1, 	2, 	19.1807, 	23.3945, 	1, 	-1.249e-14, 	3.04, 	(0.744709,0.105752);
17:18:26.266, 	1, 	2, 	22.1074, 	25.2679, 	1, 	-1.249e-14, 	3.04, 	(0.224434,-0.708493);
17:18:26.286, 	1, 	2, 	24.7725, 	26.097, 	1, 	-1.249e-14, 	3.04, 	(-0.433035,-0.666609);
