(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:22:02.235, 	1, 	1, 	17.4982, 	15.308, 	0, 	16, 	1.216, 	(-0.387126,-0.289683);(-0.997906,0.468064);(0.997906,-0.468064);(-0.387126,-0.289683);
18:22:16.653, 	0, 	2, 	18.9382, 	9.64347, 	0, 	16, 	1.216, 	(0.0727259,0.114761);
18:22:16.673, 	1, 	2, 	18.1913, 	21.7544, 	1, 	20, 	1.216, 	(-0.327407,-0.182613);
18:22:16.687, 	1, 	1, 	18.0113, 	11.4317, 	0, 	20, 	1.216, 	(-0.180184,-0.624849);(-0.505229,0.766093);(1.23753,-0.861229);(-1.17465,0.913061);
18:22:16.713, 	1, 	2, 	19.0672, 	21.977, 	1, 	20, 	1.216, 	(0.160603,0.282761);
18:22:16.733, 	0, 	2, 	18.669, 	19.6726, 	1, 	20, 	1.216, 	(0.261097,0.11885);
18:22:16.754, 	1, 	2, 	17.9289, 	23.8005, 	1, 	20, 	1.52, 	(-0.470869,-0.261287);
18:22:16.768, 	1, 	1, 	17.9846, 	12.0675, 	0, 	20, 	1.216, 	(-0.930908,-0.150715);(0.787668,0.827653);(-0.460254,-1.10273);(0.472048,1.11055);
18:22:16.794, 	1, 	2, 	17.1055, 	21.6808, 	1, 	20, 	1.52, 	(0.213569,-0.434695);
18:22:16.814, 	1, 	2, 	18.4426, 	22.0074, 	1, 	20, 	1.52, 	(0.0199767,0.502476);
18:22:16.834, 	1, 	2, 	19.086, 	18.7357, 	1, 	20, 	1.824, 	(0.101112,-0.0756634);
18:22:16.854, 	1, 	2, 	17.4572, 	18.6681, 	1, 	20, 	2.128, 	(0.116429,-0.111092);
18:22:16.874, 	1, 	2, 	18.1898, 	22.0128, 	1, 	20, 	2.128, 	(-0.420756,-0.17436);
18:22:16.895, 	1, 	2, 	18.8945, 	23.9247, 	1, 	20, 	2.432, 	(0.407894,0.299944);
18:22:16.915, 	1, 	2, 	17.278, 	23.2364, 	1, 	16, 	2.432, 	(0.450307,0.344091);
18:22:16.935, 	1, 	2, 	18.9568, 	23.3854, 	1, 	16, 	2.736, 	(0.189101,0.317699);
18:22:16.955, 	1, 	2, 	15.3301, 	19.0029, 	1, 	16, 	2.736, 	(-0.237503,-0.0271828);
18:22:16.975, 	1, 	2, 	18.1272, 	20.682, 	1, 	16, 	3.04, 	(-0.19745,-0.0681429);
18:22:16.995, 	1, 	2, 	18.5758, 	23.7955, 	1, 	12, 	3.04, 	(0.168069,0.452517);
18:22:17.016, 	1, 	2, 	17.5968, 	22.2686, 	1, 	12, 	3.04, 	(-0.362879,0.253202);
18:22:17.036, 	1, 	2, 	16.505, 	21.0111, 	1, 	12, 	3.04, 	(-0.310224,-0.260937);
18:22:17.056, 	1, 	2, 	18.4124, 	23.0428, 	1, 	8, 	3.04, 	(-0.389158,0.25022);
18:22:17.076, 	1, 	2, 	19.8904, 	24.2072, 	1, 	8, 	3.04, 	(-0.16568,0.458197);
18:22:17.096, 	1, 	2, 	19.8369, 	24.596, 	1, 	8, 	3.04, 	(0.12232,0.574723);
18:22:17.116, 	1, 	2, 	20.5347, 	24.3746, 	1, 	8, 	3.04, 	(0.0230033,0.580339);
18:22:17.137, 	1, 	2, 	16.8136, 	22.7931, 	1, 	8, 	3.04, 	(-0.410673,-0.400352);
18:22:17.157, 	1, 	2, 	19.1147, 	23.1701, 	1, 	4, 	3.04, 	(-0.276371,0.482043);
18:22:17.177, 	1, 	2, 	20.2054, 	23.7069, 	1, 	4, 	3.04, 	(-0.35429,-0.219285);
18:22:17.197, 	1, 	2, 	15.9086, 	20.1601, 	1, 	4, 	3.04, 	(-0.489195,-0.157297);
18:22:17.217, 	1, 	2, 	17.6839, 	21.6765, 	1, 	4, 	3.04, 	(-0.344586,-0.414094);
18:22:17.237, 	1, 	2, 	19.7737, 	22.8239, 	1, 	-1.38778e-15, 	3.04, 	(0.132977,-0.538736);
18:22:17.260, 	1, 	2, 	16.2192, 	21.3003, 	1, 	-1.38778e-15, 	3.04, 	(0.27102,-0.430385);
18:22:17.278, 	1, 	2, 	20.6957, 	23.7374, 	1, 	-1.38778e-15, 	3.04, 	(0.375159,-0.21364);
18:22:17.299, 	1, 	2, 	17.1222, 	21.601, 	1, 	-1.38778e-15, 	3.04, 	(0.219664,-0.386776);
18:22:17.318, 	1, 	2, 	17.7478, 	22.3643, 	1, 	-1.38778e-15, 	3.04, 	(-0.407734,-0.0185463);
18:22:17.338, 	1, 	2, 	20.0024, 	22.364, 	1, 	-1.38778e-15, 	3.04, 	(-0.0653679,0.306293);
18:22:17.358, 	1, 	2, 	19.1885, 	23.2021, 	1, 	-1.38778e-15, 	3.04, 	(-0.273872,-0.0187819);
18:22:17.378, 	1, 	2, 	17.8069, 	20.4876, 	1, 	-1.38778e-15, 	3.04, 	(0.338375,-0.194892);
18:22:17.401, 	1, 	2, 	18.1578, 	21.8044, 	1, 	-1.38778e-15, 	3.04, 	(0.386619,0.129288);
18:22:17.418, 	1, 	2, 	18.3765, 	24.4748, 	1, 	-1.38778e-15, 	3.04, 	(-0.209024,0.441467);
18:22:17.440, 	1, 	2, 	16.0883, 	21.1138, 	1, 	-1.38778e-15, 	3.04, 	(0.472633,0.232736);
18:22:17.459, 	1, 	2, 	17.4267, 	20.8082, 	1, 	-1.38778e-15, 	3.04, 	(0.0821495,-0.37176);
18:22:17.480, 	1, 	2, 	19.0791, 	21.2745, 	1, 	-1.38778e-15, 	3.04, 	(0.387295,-0.11356);
18:22:17.500, 	1, 	2, 	19.8976, 	23.1119, 	1, 	-1.38778e-15, 	3.04, 	(-0.325079,0.114073);
18:22:17.519, 	1, 	2, 	19.8107, 	22.8847, 	1, 	-1.38778e-15, 	3.04, 	(-0.376303,0.191119);
18:22:17.539, 	1, 	2, 	17.6471, 	20.352, 	1, 	-1.38778e-15, 	3.04, 	(-0.168437,0.350364);
18:22:17.559, 	1, 	2, 	18.0953, 	21.0715, 	1, 	-1.38778e-15, 	3.04, 	(-0.16158,0.367568);
18:22:17.580, 	1, 	2, 	18.8823, 	21.1096, 	1, 	-1.38778e-15, 	3.04, 	(0.340426,0.328156);
18:22:17.600, 	1, 	2, 	19.689, 	23.2562, 	1, 	-1.38778e-15, 	3.04, 	(0.210632,0.222666);
18:22:17.620, 	1, 	2, 	21.1816, 	22.7213, 	1, 	-1.38778e-15, 	3.04, 	(0.195815,0.171435);
18:22:17.640, 	1, 	2, 	21.5036, 	23.4118, 	1, 	-1.38778e-15, 	3.04, 	(-0.0384719,-0.37144);
18:22:17.660, 	1, 	2, 	21.9164, 	24.9139, 	1, 	-1.38778e-15, 	3.04, 	(-0.579335,-0.184374);
18:22:17.680, 	1, 	2, 	20.7666, 	25.0368, 	1, 	-1.38778e-15, 	3.04, 	(-0.661543,-0.115453);
18:22:17.701, 	1, 	2, 	22.1381, 	24.4084, 	1, 	-1.38778e-15, 	3.04, 	(-0.425411,-0.179371);
18:22:17.721, 	1, 	2, 	17.5815, 	21.6738, 	1, 	-1.38778e-15, 	3.04, 	(-0.626119,-0.0252507);
18:22:17.741, 	1, 	2, 	22.976, 	23.785, 	1, 	-1.38778e-15, 	3.04, 	(-0.466171,0.0707083);
18:22:17.761, 	1, 	2, 	21.0883, 	23.4844, 	1, 	-1.38778e-15, 	3.04, 	(-0.215575,0.525875);
