(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:20:44.835, 	1, 	1, 	19.647, 	12.7848, 	0, 	-1.249e-14, 	2.736, 	(-0.0217758,0.823976);(0.732745,-0.738117);(-0.631849,0.441229);(0.57874,-0.427352);
17:20:59.613, 	1, 	2, 	18.5945, 	21.0132, 	1, 	-1.249e-14, 	2.736, 	(0.0683898,-0.340251);
17:20:59.652, 	1, 	2, 	17.3502, 	19.5701, 	1, 	-1.249e-14, 	2.736, 	(-0.31782,0.0638295);
17:20:59.672, 	1, 	2, 	20.2319, 	21.941, 	1, 	-1.249e-14, 	2.736, 	(0.0585545,0.263862);
17:20:59.693, 	1, 	2, 	20.2613, 	22.1226, 	1, 	-1.249e-14, 	2.736, 	(-0.321673,-0.0840862);
17:20:59.713, 	1, 	2, 	19.4828, 	24.6059, 	1, 	-1.249e-14, 	2.736, 	(-0.566324,-0.121185);
17:20:59.733, 	1, 	2, 	19.7607, 	24.2202, 	1, 	-1.249e-14, 	2.736, 	(-0.416081,0.253711);
17:20:59.753, 	1, 	2, 	20.0838, 	24.0952, 	1, 	-1.249e-14, 	2.736, 	(-0.4247,-0.0829955);
17:20:59.773, 	1, 	2, 	16.2226, 	20.639, 	1, 	-1.249e-14, 	2.736, 	(0.239211,0.404698);
17:20:59.794, 	1, 	2, 	19.8456, 	23.9308, 	1, 	-1.249e-14, 	2.736, 	(-0.451097,-0.0761925);
17:20:59.813, 	1, 	2, 	19.3471, 	23.5447, 	1, 	-1.249e-14, 	3.04, 	(-0.530398,0.0141542);
17:20:59.834, 	1, 	2, 	16.3929, 	20.3287, 	1, 	-1.249e-14, 	3.04, 	(-0.344026,-0.37444);
17:20:59.854, 	1, 	2, 	17.9207, 	21.9409, 	1, 	-1.249e-14, 	3.04, 	(0.0546407,0.56002);
17:20:59.874, 	1, 	2, 	19.3952, 	24.2444, 	1, 	-1.249e-14, 	3.04, 	(-0.430755,0.422062);
17:20:59.894, 	1, 	2, 	20.4495, 	24.5928, 	1, 	-1.249e-14, 	3.04, 	(0.584439,0.0962627);
17:20:59.914, 	1, 	2, 	17.66, 	22.0967, 	1, 	-1.249e-14, 	3.04, 	(-0.507977,-0.211252);
17:20:59.934, 	1, 	2, 	21.5217, 	23.5267, 	1, 	-1.249e-14, 	3.04, 	(0.522247,0.0857459);
17:20:59.955, 	1, 	2, 	19.9169, 	24.5857, 	1, 	-1.249e-14, 	3.04, 	(0.351019,0.291577);
17:20:59.975, 	1, 	2, 	16.5025, 	21.6165, 	1, 	-1.249e-14, 	3.04, 	(-0.0411818,0.555034);
17:20:59.995, 	1, 	2, 	21.6499, 	24.6069, 	1, 	-1.249e-14, 	3.04, 	(-0.254652,-0.476762);
17:21:00.015, 	1, 	2, 	21.1159, 	23.9138, 	1, 	-1.249e-14, 	3.04, 	(0.323229,0.335808);
17:21:00.035, 	1, 	2, 	20.3507, 	24.7401, 	1, 	-1.249e-14, 	3.04, 	(-0.315478,0.202935);
17:21:00.055, 	1, 	2, 	21.6843, 	24.4236, 	1, 	-1.249e-14, 	3.04, 	(0.395541,0.374816);
17:21:00.075, 	1, 	2, 	21.133, 	24.7079, 	1, 	-1.249e-14, 	3.04, 	(-0.0790024,-0.473565);
17:21:00.095, 	1, 	2, 	22.0943, 	24.3161, 	1, 	-1.249e-14, 	3.04, 	(0.596226,0.0940882);
17:21:00.116, 	1, 	2, 	21.3342, 	24.4877, 	1, 	-1.249e-14, 	3.04, 	(0.552132,-0.141008);
17:21:00.136, 	1, 	2, 	21.4225, 	23.9084, 	1, 	-1.249e-14, 	3.04, 	(-0.505218,-0.0267064);
17:21:00.156, 	1, 	2, 	20.5085, 	24.436, 	1, 	-1.249e-14, 	3.04, 	(-0.327228,0.260856);
17:21:00.176, 	1, 	2, 	21.549, 	24.9578, 	1, 	-1.249e-14, 	3.04, 	(-0.535424,-0.232356);
